Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-10-11,19.4,20.4,18.74,19.4,813300,19.4,,4,2012
2012-10-12,19.01,19.75,18.559999,19.049999,49900,19.049999,,4,2012
2012-10-15,19.0,19.549999,18.59,19.26,54300,19.26,,4,2012
2012-10-16,19.290001,19.91,19.200001,19.67,80500,19.67,,4,2012
2012-10-17,20.0,20.0,19.26,19.780001,13600,19.780001,,4,2012
2012-10-18,19.58,20.01,19.58,20.0,29200,20.0,,4,2012
2012-10-19,19.92,20.299999,19.65,19.969999,114900,19.969999,,4,2012
2012-10-22,19.219999,19.99,19.049999,19.5,4100,19.5,,4,2012
2012-10-23,19.15,19.5,19.049999,19.440001,21100,19.440001,,4,2012
2012-10-24,19.1,19.25,19.0,19.200001,10100,19.200001,,4,2012
2012-10-25,18.9,19.200001,18.700001,19.200001,13900,19.200001,,4,2012
2012-10-26,19.950001,19.950001,18.799999,19.02,12800,19.02,,4,2012
2012-10-31,18.16,19.0,18.059999,18.059999,8300,18.059999,,4,2012
2012-11-01,18.209999,19.02,17.959999,19.0,9000,19.0,,4,2012
2012-11-02,18.51,19.0,18.17,18.75,24200,18.75,42.6636635091,4,2012
2012-11-05,19.0,20.93,18.790001,19.27,7900,19.27,49.0981971157,4,2012
2012-11-06,19.57,21.0,19.57,21.0,30600,21.0,63.6955579308,4,2012
2012-11-07,20.540001,21.35,19.0,20.200001,48700,20.200001,55.7357425642,4,2012
2012-11-08,22.0,22.0,19.030001,20.1,131200,20.1,54.8136340623,4,2012
2012-11-09,19.52,21.35,19.24,20.0,40600,20.0,53.8541283248,4,2012
2012-11-12,20.809999,21.0,20.5,21.0,36500,21.0,61.1734731315,4,2012
2012-11-13,21.120001,22.59,20.790001,21.459999,59400,21.459999,64.001993888,4,2012
2012-11-14,21.5,22.0,21.24,21.99,23200,21.99,66.9862126779,4,2012
2012-11-15,22.0,22.799999,20.059999,22.120001,17600,22.120001,67.693660883,4,2012
2012-11-16,22.18,22.18,21.1,21.5,14200,21.5,60.9819813606,4,2012
2012-11-19,21.459999,21.780001,20.51,21.48,4000,21.48,60.7726599062,4,2012
2012-11-20,21.51,21.59,21.02,21.5,3000,21.5,60.9171317862,4,2012
2012-11-21,21.01,21.5,21.01,21.01,2300,21.01,55.5219062983,4,2012
2012-11-23,21.0,21.98,20.379999,21.209999,7100,21.209999,57.1885638624,4,2012
2012-11-26,21.07,22.0,20.75,21.059999,28000,21.059999,55.5085674668,4,2012
2012-11-27,21.32,21.969999,21.040001,21.049999,3600,21.049999,55.3917419779,4,2012
2012-11-28,21.01,21.5,20.58,21.5,26200,21.5,59.5204263156,4,2012
2012-11-29,21.709999,22.43,21.5,22.0,14900,22.0,63.5564884347,4,2012
2012-11-30,22.299999,23.370001,22.07,23.370001,1000,23.370001,71.8411148831,4,2012
2012-12-03,22.459999,22.959999,22.25,22.549999,4000,22.549999,62.6595133337,4,2012
2012-12-04,22.889999,23.49,22.42,23.49,6100,23.49,67.7481161398,4,2012
2012-12-05,23.280001,25.0,23.049999,25.0,9700,25.0,73.9009661109,4,2012
2012-12-06,24.93,28.92,24.51,28.200001,9800,28.200001,81.8174696416,4,2012
2012-12-07,28.5,28.540001,27.1,28.450001,17100,28.450001,82.269943686,4,2012
2012-12-10,27.07,28.440001,27.07,28.200001,4400,28.200001,80.1227083061,4,2012
2012-12-11,27.559999,30.23,26.799999,30.23,10100,30.23,83.816354616,4,2012
2012-12-12,30.35,33.130001,30.35,33.0,22400,33.0,87.2876562463,4,2012
2012-12-13,32.970001,35.32,32.970001,34.900002,79900,34.900002,89.0263603042,4,2012
2012-12-14,34.889999,35.130001,34.57,34.580002,17300,34.580002,86.8713119285,4,2012
2012-12-17,34.639999,34.950001,34.099998,34.75,5800,34.75,87.050646903,4,2012
2012-12-18,35.02,35.990002,32.98,34.009998,53000,34.009998,81.8118264008,4,2012
2012-12-19,33.779999,34.689999,32.869999,33.709999,46200,33.709999,79.7173006835,4,2012
2012-12-20,34.0,34.150002,33.810001,34.09,66000,34.09,80.4017427271,4,2012
2012-12-21,33.880001,34.34,33.34,34.34,659800,34.34,80.8593650691,4,2012
2012-12-24,34.240002,34.259998,33.509998,33.93,16600,33.93,77.6568012424,4,2012
2012-12-26,33.939999,34.080002,33.759998,33.939999,17500,33.939999,77.6800189151,4,2012
2012-12-27,33.990002,34.09,33.560001,33.830002,35700,33.830002,76.7353539868,4,2012
2012-12-28,33.790001,34.049999,33.759998,34.0,16400,34.0,77.1968948042,4,2012
2012-12-31,34.09,34.279999,33.860001,34.240002,39600,34.240002,77.8645582384,4,2012
2013-01-02,34.389999,34.389999,33.849998,34.259998,39800,34.259998,77.9225578795,1,2013
2013-01-03,34.259998,34.490002,33.990002,34.040001,17800,34.040001,75.5762721819,1,2013
2013-01-04,34.490002,34.490002,33.91,34.130001,29400,34.130001,75.8960267546,1,2013
2013-01-07,34.049999,34.310001,33.5,33.869999,8100,33.869999,72.9256996419,1,2013
2013-01-08,33.73,34.0,33.450001,33.720001,17900,33.720001,71.1945856421,1,2013
2013-01-09,33.779999,34.09,33.5,33.740002,5000,33.740002,71.2924427168,1,2013
2013-01-10,34.200001,34.439999,33.509998,34.02,29000,34.02,72.6910966331,1,2013
2013-01-11,34.099998,34.099998,33.779999,33.889999,11900,33.889999,70.9624000704,1,2013
2013-01-14,34.189999,34.189999,33.529999,33.580002,15600,33.580002,66.8781060847,1,2013
2013-01-15,33.57,34.360001,33.57,34.18,62200,34.18,70.4260374727,1,2013
