Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.41,3.44,3.38,3.4,379100,3.4,,1,2012
2012-01-04,3.37,3.4,3.33,3.33,192900,3.33,,1,2012
2012-01-05,3.31,3.38,3.31,3.35,260000,3.35,,1,2012
2012-01-06,3.39,3.41,3.32,3.37,315300,3.37,,1,2012
2012-01-09,3.37,3.39,3.26,3.31,288000,3.31,,1,2012
2012-01-10,3.35,3.42,3.3,3.38,255000,3.38,,1,2012
2012-01-11,3.35,3.45,3.3,3.44,228300,3.44,,1,2012
2012-01-12,3.44,3.48,3.35,3.46,217900,3.46,,1,2012
2012-01-13,3.41,3.47,3.37,3.45,155100,3.45,,1,2012
2012-01-17,3.45,3.49,3.36,3.37,270200,3.37,,1,2012
2012-01-18,3.44,3.6,3.39,3.6,526100,3.6,,1,2012
2012-01-19,3.62,3.62,3.53,3.58,118400,3.58,,1,2012
2012-01-20,3.57,3.61,3.41,3.5,318900,3.5,,1,2012
2012-01-23,3.48,3.5,3.32,3.35,312600,3.35,,1,2012
2012-01-24,3.33,3.45,3.3,3.43,281000,3.43,51.5463917526,1,2012
2012-01-25,3.45,3.48,3.38,3.48,249600,3.48,54.0946656649,1,2012
2012-01-26,3.49,3.49,3.41,3.45,211400,3.45,52.3168073333,1,2012
2012-01-27,3.43,3.5,3.42,3.47,223300,3.47,53.4159977486,1,2012
2012-01-30,3.45,3.46,3.39,3.42,204800,3.42,50.2945692474,1,2012
2012-01-31,3.45,3.53,3.41,3.52,269100,3.52,55.8512464924,1,2012
2012-02-01,3.56,3.72,3.54,3.71,657000,3.71,64.0700134931,1,2012
2012-02-02,3.7,3.83,3.55,3.77,547300,3.77,66.2092944026,1,2012
2012-02-03,3.84,3.9,3.79,3.84,486700,3.84,68.5611410988,1,2012
2012-02-06,3.84,3.88,3.8,3.82,250000,3.82,67.1236539288,1,2012
2012-02-07,3.78,3.85,3.75,3.83,297100,3.83,67.4906729789,1,2012
2012-02-08,3.9,3.9,3.62,3.74,487000,3.74,60.9010983403,1,2012
2012-02-09,3.78,3.78,3.69,3.7,229200,3.7,58.1821225011,1,2012
2012-02-10,3.67,3.72,3.61,3.68,268600,3.68,56.8162582449,1,2012
2012-02-13,3.7,3.87,3.69,3.7,541400,3.7,57.8810871121,1,2012
2012-02-14,3.68,3.71,3.61,3.63,219600,3.63,52.9589714401,1,2012
2012-02-15,3.65,3.74,3.63,3.64,198000,3.64,53.566453746,1,2012
2012-02-16,3.64,3.78,3.64,3.77,161500,3.77,60.6760091881,1,2012
2012-02-17,3.8,3.82,3.7,3.8,230600,3.8,62.1174997804,1,2012
2012-02-21,3.82,3.82,3.6,3.6,308000,3.6,49.1756168481,1,2012
2012-02-22,3.59,3.65,3.53,3.55,410600,3.55,46.5637209129,1,2012
2012-02-23,3.57,3.66,3.55,3.66,225200,3.66,52.536460003,1,2012
2012-02-24,3.66,3.66,3.63,3.63,179200,3.63,50.8665879589,1,2012
2012-02-27,3.6,3.63,3.56,3.61,200300,3.61,49.7317098888,1,2012
2012-02-28,3.61,3.66,3.58,3.58,188000,3.58,48.0016977995,1,2012
2012-02-29,3.59,3.65,3.56,3.56,247700,3.56,46.8320572746,1,2012
2012-03-01,3.58,3.59,3.5,3.5,220100,3.5,43.414348636,1,2012
2012-03-02,3.52,3.55,3.45,3.46,277700,3.46,41.2529246448,1,2012
2012-03-05,3.41,3.5,3.4,3.41,258500,3.41,38.6618271779,1,2012
2012-03-06,3.37,3.41,3.27,3.28,321900,3.28,32.8793915165,1,2012
2012-03-07,3.31,3.38,3.3,3.37,228000,3.37,39.6131097518,1,2012
2012-03-08,3.4,3.44,3.38,3.42,136500,3.42,43.0324236852,1,2012
2012-03-09,3.42,3.55,3.42,3.54,216600,3.54,50.3052431311,1,2012
2012-03-12,3.51,3.55,3.49,3.5,109600,3.5,48.1008393532,1,2012
2012-03-13,3.54,3.54,3.41,3.48,272100,3.48,46.9920302301,1,2012
2012-03-14,3.47,3.47,3.37,3.39,183000,3.39,42.2699528816,1,2012
2012-03-15,3.4,3.45,3.35,3.43,218800,3.43,44.9191349432,1,2012
2012-03-16,3.44,3.49,3.43,3.46,264200,3.46,46.8877051458,1,2012
2012-03-19,3.47,3.5,3.45,3.49,226200,3.49,48.856171837,1,2012
2012-03-20,3.48,3.52,3.44,3.45,149700,3.45,46.3875322285,1,2012
2012-03-21,3.46,3.52,3.41,3.5,288300,3.5,49.801973139,1,2012
2012-03-22,3.46,3.53,3.44,3.5,315700,3.5,49.801973139,1,2012
2012-03-23,3.49,3.6,3.47,3.6,269000,3.6,56.2630079026,1,2012
2012-03-26,3.62,3.74,3.61,3.72,454600,3.72,62.5004609553,1,2012
2012-03-27,3.72,3.77,3.65,3.72,224200,3.72,62.5004609553,1,2012
2012-03-28,3.72,3.74,3.63,3.66,140400,3.66,57.7265597724,1,2012
2012-03-29,3.63,3.71,3.61,3.64,170800,3.64,56.1859889689,1,2012
2012-03-30,3.68,3.68,3.63,3.63,272900,3.63,55.3900271201,1,2012
2012-04-02,3.64,3.67,3.6,3.61,339100,3.61,53.7499767657,2,2012
2012-04-03,3.61,3.65,3.6,3.61,208500,3.61,53.7499767657,2,2012
2012-04-04,3.58,3.59,3.45,3.46,232300,3.46,42.7419280342,2,2012
2012-04-05,3.44,3.51,3.41,3.42,134700,3.42,40.3677152045,2,2012
2012-04-09,3.38,3.42,3.34,3.35,304500,3.35,36.5422555882,2,2012
2012-04-10,3.34,3.44,3.21,3.25,444100,3.25,31.8925510658,2,2012
2012-04-11,3.3,3.4,3.29,3.38,205700,3.38,42.1906312147,2,2012
2012-04-12,3.38,3.41,3.33,3.37,165900,3.37,41.6687003971,2,2012
2012-04-13,3.37,3.42,3.33,3.33,226500,3.33,39.5605392953,2,2012
2012-04-16,3.34,3.34,3.25,3.3,143300,3.3,38.0074084492,2,2012
2012-04-17,3.32,3.35,3.28,3.3,225100,3.3,38.0074084492,2,2012
2012-04-18,3.26,3.28,3.17,3.18,249500,3.18,32.1517034748,2,2012
2012-04-19,3.2,3.51,3.2,3.5,533900,3.5,52.9631602235,2,2012
2012-04-20,3.55,3.68,3.46,3.68,541400,3.68,60.3336018286,2,2012
2012-04-23,3.63,3.67,3.57,3.66,267500,3.66,59.2231767854,2,2012
2012-04-24,3.64,3.87,3.64,3.86,893100,3.86,65.9684093363,2,2012
2012-04-25,3.89,4.0,3.85,3.91,847700,3.91,67.4194086068,2,2012
2012-04-26,3.9,3.91,3.8,3.87,280800,3.87,65.0306211081,2,2012
2012-04-27,3.88,3.9,3.66,3.7,427800,3.7,55.9562813212,2,2012
2012-04-30,3.68,3.7,3.58,3.59,195000,3.59,50.9975050732,2,2012
2012-05-01,3.62,3.69,3.58,3.59,315400,3.59,50.9975050732,2,2012
2012-05-02,3.55,3.62,3.53,3.55,165100,3.55,49.1602215849,2,2012
2012-05-03,3.54,3.56,3.45,3.5,225300,3.5,46.8863378696,2,2012
2012-05-04,3.48,3.51,3.43,3.47,272600,3.47,45.5256865193,2,2012
2012-05-07,3.46,3.61,3.42,3.56,182000,3.56,50.1952594658,2,2012
2012-05-08,3.52,3.62,3.48,3.61,191500,3.61,52.6249302907,2,2012
2012-05-09,3.56,3.59,3.45,3.46,362000,3.46,45.4599977633,2,2012
2012-05-10,3.48,3.58,3.46,3.54,157000,3.54,49.415667344,2,2012
2012-05-11,3.5,3.57,3.48,3.53,153500,3.53,48.9378690366,2,2012
2012-05-14,3.49,3.64,3.49,3.61,213300,3.61,52.8643551468,2,2012
2012-05-15,3.61,3.66,3.56,3.6,226000,3.6,52.322740612,2,2012
2012-05-16,3.6,3.61,3.51,3.53,176600,3.53,48.5713661796,2,2012
2012-05-17,3.51,3.55,3.46,3.48,164100,3.48,46.0326034398,2,2012
2012-05-18,3.47,3.47,3.4,3.4,313900,3.4,42.2293050697,2,2012
2012-05-21,3.4,3.45,3.34,3.35,502900,3.35,40.0046143246,2,2012
2012-05-22,3.35,3.42,3.23,3.3,411300,3.3,37.8568582047,2,2012
2012-05-23,3.26,3.35,3.24,3.34,155000,3.34,40.6041552021,2,2012
2012-05-24,3.33,3.34,3.26,3.3,112700,3.3,38.7588509519,2,2012
2012-05-25,3.3,3.38,3.3,3.37,190100,3.37,43.5902653764,2,2012
2012-05-29,3.41,3.46,3.36,3.41,257800,3.41,46.2020841941,2,2012
2012-05-30,3.37,3.41,3.34,3.35,145700,3.35,42.9869330536,2,2012
