Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.06,0.13,0.06,0.08,700,3.2,,1,2012
2012-01-04,0.08,0.08,0.08,0.08,100,3.2,,1,2012
2012-01-05,0.08,0.08,0.08,0.08,0,3.2,,1,2012
2012-01-06,0.06,0.08,0.06,0.08,800,3.2,,1,2012
2012-01-09,0.08,0.08,0.08,0.08,0,3.2,,1,2012
2012-01-10,0.08,0.08,0.07,0.07,400,2.8,,1,2012
2012-01-11,0.08,0.08,0.07,0.07,300,2.8,,1,2012
2012-01-12,0.07,0.1,0.07,0.1,0,4.0,,1,2012
2012-01-13,0.1,0.1,0.1,0.1,0,4.0,,1,2012
2012-01-17,0.1,0.1,0.1,0.1,0,4.0,,1,2012
2012-01-18,0.1,0.1,0.1,0.1,0,4.0,,1,2012
2012-01-19,0.09,0.09,0.09,0.09,200,3.6,,1,2012
2012-01-20,0.07,0.07,0.07,0.07,600,2.8,,1,2012
2012-01-23,0.07,0.07,0.07,0.07,0,2.8,,1,2012
2012-01-24,0.06,0.06,0.06,0.06,100,2.4,37.5,1,2012
2012-01-25,0.06,0.06,0.06,0.06,300,2.4,37.5,1,2012
2012-01-26,0.06,0.07,0.03,0.05,6300,2.0,32.7519379845,1,2012
2012-01-27,0.07,0.1,0.07,0.08,1800,3.2,52.2746508675,1,2012
2012-01-30,0.08,0.1,0.08,0.09,1700,3.6,56.7788740284,1,2012
2012-01-31,0.09,0.09,0.06,0.09,1000,3.6,56.7788740284,1,2012
2012-02-01,0.09,0.09,0.09,0.09,0,3.6,56.7788740284,1,2012
2012-02-02,0.09,0.09,0.09,0.09,0,3.6,56.7788740284,1,2012
2012-02-03,0.09,0.09,0.09,0.09,0,3.6,56.7788740284,1,2012
2012-02-06,0.09,0.09,0.09,0.09,0,3.6,56.7788740284,1,2012
2012-02-07,0.09,0.09,0.07,0.07,1300,2.8,43.8633810921,1,2012
2012-02-08,0.07,0.09,0.07,0.07,100,2.8,43.8633810921,1,2012
2012-02-09,0.07,0.07,0.07,0.07,1600,2.8,43.8633810921,1,2012
2012-02-10,0.07,0.08,0.07,0.08,1000,3.2,50.8458421833,1,2012
2012-02-13,0.09,0.09,0.09,0.09,800,3.6,56.6523205133,1,2012
2012-02-14,0.09,0.09,0.09,0.09,500,3.6,56.6523205133,1,2012
2012-02-15,0.09,0.09,0.09,0.09,0,3.6,56.6523205133,1,2012
2012-02-16,0.09,0.09,0.09,0.09,0,3.6,56.6523205133,1,2012
2012-02-17,0.09,0.09,0.09,0.09,0,3.6,56.6523205133,1,2012
2012-02-21,0.08,0.08,0.07,0.07,700,2.8,42.207910304,1,2012
2012-02-22,0.07,0.07,0.07,0.07,700,2.8,42.207910304,1,2012
2012-02-23,0.08,0.08,0.07,0.07,100,2.8,42.207910304,1,2012
2012-02-24,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-02-27,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-02-28,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-02-29,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-01,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-02,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-05,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-06,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-07,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-08,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-09,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-12,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-13,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-14,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-15,0.56,0.56,0.56,0.56,0,2.8,42.207910304,1,2012
2012-03-16,0.1,1.45,0.1,1.45,0,7.25,90.9468512988,1,2012
2012-03-19,0.1,0.15,0.1,0.15,1100,0.75,39.0897307463,1,2012
2012-03-20,0.2,0.2,0.2,0.2,100,1.0,40.495082131,1,2012
2012-03-21,0.2,0.2,0.2,0.2,0,1.0,40.495082131,1,2012
2012-03-22,0.26,0.26,0.26,0.26,100,1.3,42.3463605863,1,2012
2012-03-23,0.3,0.35,0.3,0.35,0,1.75,45.1051976688,1,2012
2012-03-26,0.35,0.35,0.35,0.35,0,1.75,45.1051976688,1,2012
2012-03-27,0.35,0.35,0.35,0.35,0,1.75,45.1051976688,1,2012
2012-03-28,0.49,0.49,0.49,0.49,500,2.45,49.7746099559,1,2012
2012-03-29,0.52,0.55,0.52,0.55,400,2.75,51.6719205469,1,2012
2012-03-30,0.6,0.93,0.6,0.9,3200,4.5,60.9410190692,1,2012
2012-04-02,0.9,0.9,0.8,0.9,2000,4.5,60.9410190692,2,2012
2012-04-03,0.6,0.74,0.6,0.7,1500,3.5,54.06853303,2,2012
2012-04-04,0.7,0.7,0.7,0.7,0,3.5,54.06853303,2,2012
2012-04-05,0.6,0.6,0.55,0.55,1500,2.75,49.2386063682,2,2012
2012-04-09,0.55,0.55,0.55,0.55,0,2.75,49.2386063682,2,2012
2012-04-10,0.55,0.55,0.55,0.55,200,2.75,49.2386063682,2,2012
2012-04-11,0.56,0.56,0.56,0.56,0,2.8,49.6133842314,2,2012
2012-04-12,0.61,0.7,0.61,0.7,1000,3.5,54.6603595886,2,2012
2012-04-13,0.7,0.7,0.7,0.7,0,3.5,54.6603595886,2,2012
2012-04-16,0.71,0.71,0.71,0.71,0,3.55,55.0334779519,2,2012
2012-04-17,0.7,0.71,0.7,0.7,2600,3.5,54.5500316499,2,2012
2012-04-18,0.7,0.7,0.7,0.7,300,3.5,54.5500316499,2,2012
2012-04-19,0.69,0.69,0.69,0.69,200,3.45,53.9998787154,2,2012
2012-04-20,0.7,0.7,0.7,0.7,0,3.5,54.4941218101,2,2012
2012-04-23,0.75,0.82,0.75,0.82,2200,4.1,60.0422735724,2,2012
2012-04-24,0.82,0.89,0.82,0.89,1900,4.45,62.8849799812,2,2012
2012-04-25,0.92,1.29,0.92,1.0,3500,5.0,66.8732897074,2,2012
2012-04-26,1.0,1.01,0.93,1.01,1600,5.05,67.2181668505,2,2012
2012-04-27,1.02,1.02,1.0,1.0,1200,5.0,66.4728938775,2,2012
2012-04-30,0.81,0.85,0.81,0.85,1500,4.25,56.3757808,2,2012
2012-05-01,0.81,0.9,0.76,0.76,1100,3.8,51.3370677455,2,2012
2012-05-02,0.76,0.76,0.52,0.52,8600,2.6,40.8515666711,2,2012
2012-05-03,0.65,0.65,0.54,0.54,400,2.7,41.9162397949,2,2012
2012-05-04,0.54,0.54,0.54,0.54,800,2.7,41.9162397949,2,2012
2012-05-07,0.54,0.54,0.54,0.54,0,2.7,41.9162397949,2,2012
2012-05-08,0.59,0.61,0.59,0.61,800,3.05,46.1532059135,2,2012
2012-05-09,0.61,0.61,0.61,0.61,0,3.05,46.1532059135,2,2012
2012-05-10,0.61,0.61,0.61,0.61,0,3.05,46.1532059135,2,2012
2012-05-11,0.61,0.61,0.61,0.61,400,3.05,46.1532059135,2,2012
2012-05-14,0.65,0.65,0.65,0.65,2000,3.25,49.0119130751,2,2012
2012-05-15,0.65,0.65,0.65,0.65,0,3.25,49.0119130751,2,2012
2012-05-16,0.75,0.75,0.71,0.74,500,3.7,55.2160841932,2,2012
2012-05-17,0.74,0.74,0.62,0.62,400,3.1,47.0036797591,2,2012
2012-05-18,0.61,0.62,0.61,0.61,900,3.05,46.3845502387,2,2012
2012-05-21,0.8,0.8,0.8,0.8,0,4.0,57.7670852172,2,2012
2012-05-22,0.59,0.71,0.59,0.59,1300,2.95,46.114186561,2,2012
2012-05-23,0.59,0.59,0.59,0.59,0,2.95,46.114186561,2,2012
2012-05-24,0.79,0.79,0.59,0.65,3400,3.25,49.4903917815,2,2012
2012-05-25,0.65,0.65,0.65,0.65,0,3.25,49.4903917815,2,2012
2012-05-29,0.65,0.65,0.65,0.65,0,3.25,49.4903917815,2,2012
2012-05-30,0.65,0.65,0.59,0.6,1600,3.0,46.4606050508,2,2012
2012-05-31,0.6,0.6,0.6,0.6,0,3.0,46.4606050508,2,2012
2012-06-01,0.6,0.6,0.6,0.6,0,3.0,46.4606050508,2,2012
2012-06-04,0.59,0.59,0.59,0.59,500,2.95,45.7608130953,2,2012
2012-06-05,0.59,0.59,0.59,0.59,500,2.95,45.7608130953,2,2012
2012-06-06,0.59,0.59,0.59,0.59,100,2.95,45.7608130953,2,2012
2012-06-07,0.59,0.59,0.59,0.59,0,2.95,45.7608130953,2,2012
2012-06-08,0.6,0.6,0.6,0.6,200,3.0,46.8378372868,2,2012
2012-06-11,0.6,0.6,0.6,0.6,200,3.0,46.8378372868,2,2012
2012-06-12,0.6,0.6,0.6,0.6,0,3.0,46.8378372868,2,2012
2012-06-13,0.6,0.6,0.6,0.6,0,3.0,46.8378372868,2,2012
2012-06-14,0.6,0.6,0.6,0.6,0,3.0,46.8378372868,2,2012
2012-06-15,0.6,0.6,0.6,0.6,0,3.0,46.8378372868,2,2012
