Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,8.85,9.12,8.8,8.98,68600,8.98,,1,2012
2012-01-04,8.9,9.09,8.23,8.31,33600,8.31,,1,2012
2012-01-05,8.17,8.23,7.83,8.07,51200,8.07,,1,2012
2012-01-06,8.06,8.06,7.77,7.93,50800,7.93,,1,2012
2012-01-09,7.98,8.07,7.72,7.94,47700,7.94,,1,2012
2012-01-10,8.07,8.94,8.07,8.91,57500,8.91,,1,2012
2012-01-11,8.89,9.07,8.62,8.81,48000,8.81,,1,2012
2012-01-12,8.81,9.1,8.62,9.08,72300,9.08,,1,2012
2012-01-13,8.93,9.09,8.73,8.99,88400,8.99,,1,2012
2012-01-17,9.08,9.18,8.97,9.12,61400,9.12,,1,2012
2012-01-18,9.11,9.5,9.08,9.49,26400,9.49,,1,2012
2012-01-19,9.51,9.95,9.51,9.92,35100,9.92,,1,2012
2012-01-20,9.89,10.01,9.67,9.97,47500,9.97,,1,2012
2012-01-23,9.91,10.01,9.79,9.92,66900,9.92,,1,2012
2012-01-24,9.85,9.98,9.67,9.93,46000,9.93,63.4560906516,1,2012
2012-01-25,9.91,10.03,9.72,10.01,92900,10.01,64.3267389917,1,2012
2012-01-26,10.11,10.18,9.65,9.95,55200,9.95,63.1122670134,1,2012
2012-01-27,6.09,7.53,5.85,5.98,2283700,5.98,26.9100770091,1,2012
2012-01-30,5.98,6.05,5.5,6.03,386600,6.03,27.4743340271,1,2012
2012-01-31,6.09,6.18,6.0,6.08,252200,6.08,28.072332569,1,2012
2012-02-01,6.15,6.15,6.0,6.12,184200,6.12,28.5796792994,1,2012
2012-02-02,6.12,6.49,6.09,6.46,210800,6.46,32.9114073174,1,2012
2012-02-03,6.57,6.95,6.48,6.95,178100,6.95,38.6833213357,1,2012
2012-02-06,6.92,6.93,6.49,6.83,127200,6.83,37.8250578782,1,2012
2012-02-07,6.79,6.79,6.33,6.4,165500,6.4,34.8419357419,1,2012
2012-02-08,6.41,6.52,6.18,6.41,76300,6.41,34.9703812347,1,2012
2012-02-09,6.44,6.54,6.35,6.4,106100,6.4,34.8962988853,1,2012
2012-02-10,6.29,6.44,6.12,6.17,101900,6.17,33.1565132021,1,2012
2012-02-13,6.27,6.29,6.0,6.27,80200,6.27,34.6813056323,1,2012
2012-02-14,6.22,6.37,6.04,6.08,44300,6.08,33.1347225548,1,2012
2012-02-15,6.13,6.13,5.96,6.02,52300,6.02,32.6397209746,1,2012
2012-02-16,6.0,6.28,6.0,6.23,43800,6.23,36.2305024005,1,2012
2012-02-17,6.28,6.36,6.1,6.25,70300,6.25,36.5772595948,1,2012
2012-02-21,6.31,6.36,6.22,6.32,79600,6.32,37.8510529744,1,2012
2012-02-22,6.31,6.37,6.13,6.31,75600,6.31,37.7344582911,1,2012
2012-02-23,6.33,7.16,6.32,7.15,181100,7.15,51.3038255153,1,2012
2012-02-24,7.12,7.13,6.87,7.1,87800,7.1,50.5970003602,1,2012
2012-02-27,7.01,7.38,6.91,7.25,253400,7.25,52.7022735068,1,2012
2012-02-28,7.33,8.07,7.25,8.01,198600,8.01,61.6252159727,1,2012
2012-02-29,8.01,8.21,7.79,8.15,213700,8.15,63.0095981616,1,2012
2012-03-01,8.19,8.35,7.95,8.23,111300,8.23,63.8129573871,1,2012
2012-03-02,8.2,8.42,8.01,8.12,112500,8.12,61.8247109528,1,2012
2012-03-05,8.1,8.39,8.1,8.38,57800,8.38,64.6299050228,1,2012
2012-03-06,8.26,8.26,7.83,7.97,85700,7.97,57.4595891706,1,2012
2012-03-07,8.05,8.66,7.98,8.59,262300,8.59,63.9694052181,1,2012
2012-03-08,8.65,8.88,8.61,8.87,145600,8.87,66.4652262636,1,2012
2012-03-09,8.87,9.0,8.74,8.79,71300,8.79,65.0781702991,1,2012
2012-03-12,8.8,9.23,8.8,9.22,842800,9.22,68.842017449,1,2012
2012-03-13,9.36,9.42,8.88,9.41,172100,9.41,70.3620502987,1,2012
2012-03-14,8.63,10.21,8.63,10.08,187000,10.08,74.9946292281,1,2012
2012-03-15,9.48,10.08,9.48,9.86,110000,9.86,71.0666166282,1,2012
2012-03-16,9.87,10.1,9.85,10.0,151500,10.0,72.0691902519,1,2012
2012-03-19,10.17,10.27,10.05,10.26,118000,10.26,73.8794050603,1,2012
2012-03-20,10.18,10.36,9.7,10.2,217300,10.2,72.7083071509,1,2012
2012-03-21,10.29,10.52,10.16,10.51,181200,10.51,74.9203166701,1,2012
