Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.61,1.63,1.61,1.63,1000,1.63,,1,2012
2012-01-04,1.63,1.67,1.63,1.67,1100,1.67,,1,2012
2012-01-05,1.69,1.77,1.69,1.77,19700,1.77,,1,2012
2012-01-06,1.78,1.78,1.74,1.77,25100,1.77,,1,2012
2012-01-09,1.76,1.79,1.76,1.77,12900,1.77,,1,2012
2012-01-10,1.79,1.85,1.78,1.78,2000,1.78,,1,2012
2012-01-11,1.84,1.87,1.73,1.73,13700,1.73,,1,2012
2012-01-12,1.74,1.74,1.74,1.74,100,1.74,,1,2012
2012-01-13,1.8,1.8,1.77,1.79,1300,1.79,,1,2012
2012-01-17,1.78,1.78,1.78,1.78,200,1.78,,1,2012
2012-01-18,1.8,1.82,1.75,1.75,22000,1.75,,1,2012
2012-01-19,1.73,1.97,1.73,1.92,46400,1.92,,1,2012
2012-01-20,1.94,1.96,1.94,1.95,4000,1.95,,1,2012
2012-01-23,1.96,1.96,1.9,1.95,19100,1.95,,1,2012
2012-01-24,1.92,1.92,1.9,1.9,1600,1.9,74.5454545455,1,2012
2012-01-25,1.94,1.96,1.94,1.96,300,1.96,77.2215269086,1,2012
2012-01-26,1.96,1.99,1.96,1.99,22300,1.99,78.4419134396,1,2012
2012-01-27,2.0,2.02,1.99,1.99,19500,1.99,78.4419134396,1,2012
2012-01-30,1.98,1.99,1.98,1.99,4100,1.99,78.4419134396,1,2012
2012-01-31,1.97,2.01,1.95,2.01,11200,2.01,79.3625569092,1,2012
2012-02-01,2.0,2.0,1.96,1.96,80400,1.96,71.1787341049,1,2012
2012-02-02,1.95,1.96,1.92,1.92,8800,1.92,65.3710781106,1,2012
2012-02-03,1.92,2.0,1.9,1.99,10200,1.99,69.986302832,1,2012
2012-02-06,1.96,1.96,1.9,1.9,3200,1.9,59.0832649556,1,2012
2012-02-07,1.9,1.9,1.88,1.88,5600,1.88,56.9596586004,1,2012
2012-02-08,1.87,1.89,1.83,1.83,32900,1.83,51.9340737253,1,2012
2012-02-09,1.83,1.83,1.68,1.68,44400,1.68,40.4139638525,1,2012
2012-02-10,1.68,1.73,1.65,1.73,14400,1.73,44.808751341,1,2012
2012-02-13,1.73,1.78,1.71,1.77,138400,1.77,48.106239161,1,2012
2012-02-14,1.73,1.75,1.7,1.75,19700,1.75,46.6068397901,1,2012
2012-02-15,1.75,1.75,1.73,1.75,8400,1.75,46.6068397901,1,2012
2012-02-16,1.73,1.8,1.73,1.8,29500,1.8,51.0320809409,1,2012
2012-02-17,1.77,1.8,1.77,1.79,3000,1.79,50.1370768822,1,2012
2012-02-21,1.77,1.77,1.7,1.74,2600,1.74,45.8108912051,1,2012
2012-02-22,1.76,1.84,1.76,1.84,24100,1.84,54.3035435821,1,2012
2012-02-23,1.83,1.92,1.83,1.9,17900,1.9,58.5055550438,1,2012
2012-02-24,1.9,1.9,1.9,1.9,0,1.9,58.5055550438,1,2012
2012-02-27,1.9,1.9,1.89,1.89,400,1.89,57.4838196368,1,2012
2012-02-28,1.89,2.02,1.89,2.0,154200,2.0,64.7718273605,1,2012
2012-02-29,2.01,2.08,2.0,2.03,269500,2.03,66.4604220892,1,2012
2012-03-01,2.0,2.0,2.0,2.0,500,2.0,63.1981201318,1,2012
2012-03-02,2.0,2.01,2.0,2.01,600,2.01,63.835368215,1,2012
2012-03-05,2.02,2.02,2.02,2.02,9500,2.02,64.4974067885,1,2012
2012-03-06,2.02,2.04,1.97,1.97,52000,1.97,58.7102182767,1,2012
2012-03-07,1.97,2.02,1.96,1.96,11600,1.96,57.5971016131,1,2012
2012-03-08,1.97,2.0,1.95,2.0,18600,2.0,60.7987359913,1,2012
2012-03-09,2.0,2.0,2.0,2.0,30900,2.0,60.7987359913,1,2012
2012-03-12,2.02,2.02,2.0,2.0,1300,2.0,60.7987359913,1,2012
2012-03-13,2.02,2.02,2.02,2.02,100,2.02,62.5639224383,1,2012
2012-03-14,2.05,2.07,2.05,2.06,5900,2.06,65.8736693599,1,2012
2012-03-15,2.07,2.3,1.9,2.05,60800,2.05,64.3421423593,1,2012
2012-03-16,2.01,2.01,1.89,1.98,64500,1.98,54.7469167417,1,2012
2012-03-19,1.94,1.94,1.9,1.91,4400,1.91,47.171236767,1,2012
2012-03-20,1.87,1.87,1.87,1.87,200,1.87,43.4695965983,1,2012
2012-03-21,1.87,1.92,1.87,1.92,700,1.92,48.8706886153,1,2012
2012-03-22,1.89,1.89,1.81,1.81,900,1.81,39.8500763863,1,2012
