Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.44,0.44,0.42,0.44,109500,1.76,,1,2012
2012-01-04,0.45,0.46,0.44,0.45,123100,1.8,,1,2012
2012-01-05,0.45,0.45,0.42,0.43,172900,1.72,,1,2012
2012-01-06,0.44,0.45,0.43,0.44,47500,1.76,,1,2012
2012-01-09,0.44,0.47,0.43,0.45,188400,1.8,,1,2012
2012-01-10,0.47,0.47,0.43,0.45,111900,1.8,,1,2012
2012-01-11,0.43,0.45,0.43,0.43,83400,1.72,,1,2012
2012-01-12,0.43,0.45,0.43,0.44,98400,1.76,,1,2012
2012-01-13,0.44,0.44,0.42,0.43,81000,1.72,,1,2012
2012-01-17,0.43,0.43,0.4,0.42,518800,1.68,,1,2012
2012-01-18,0.45,0.45,0.42,0.42,181100,1.68,,1,2012
2012-01-19,0.42,0.43,0.41,0.41,173400,1.64,,1,2012
2012-01-20,0.43,0.44,0.42,0.43,194900,1.72,,1,2012
2012-01-23,0.43,0.52,0.42,0.5,461600,2.0,,1,2012
2012-01-24,0.52,0.56,0.51,0.54,363800,2.16,70.8333333333,1,2012
2012-01-25,0.58,0.58,0.5,0.54,133700,2.16,70.8333333333,1,2012
2012-01-26,0.55,0.56,0.53,0.55,140900,2.2,72.177798683,1,2012
2012-01-27,0.57,0.61,0.54,0.6,205700,2.4,77.7103020465,1,2012
2012-01-30,0.61,0.61,0.55,0.57,122800,2.28,68.8622559267,1,2012
2012-01-31,0.64,0.69,0.58,0.68,727800,2.72,78.5197465616,1,2012
2012-02-01,0.7,0.9,0.7,0.74,1224500,2.96,81.8300907914,1,2012
2012-02-02,0.75,0.79,0.67,0.69,360900,2.76,71.8876808452,1,2012
2012-02-03,0.72,0.73,0.67,0.68,186500,2.72,70.0544011147,1,2012
2012-02-06,0.71,0.72,0.63,0.66,236800,2.64,66.406846528,1,2012
2012-02-07,0.66,0.72,0.63,0.69,287200,2.76,69.0131210207,1,2012
2012-02-08,0.7,0.72,0.68,0.69,83400,2.76,69.0131210207,1,2012
2012-02-09,0.66,0.72,0.66,0.66,93700,2.64,63.3160388524,1,2012
2012-02-10,0.66,0.68,0.65,0.66,60400,2.64,63.3160388524,1,2012
2012-02-13,0.67,0.71,0.66,0.66,96200,2.64,63.3160388524,1,2012
2012-02-14,0.67,0.69,0.63,0.64,95800,2.56,59.2438590445,1,2012
2012-02-15,0.64,0.66,0.61,0.61,168500,2.44,53.6680840151,1,2012
2012-02-16,0.6,0.6,0.55,0.55,263400,2.2,44.6226061887,1,2012
2012-02-17,0.55,0.64,0.54,0.63,193400,2.52,55.4131960331,1,2012
2012-02-21,0.63,0.65,0.58,0.62,131300,2.48,53.9968295875,1,2012
2012-02-22,0.65,0.67,0.59,0.59,128700,2.36,49.8779686784,1,2012
2012-02-23,0.59,0.62,0.59,0.6,81900,2.4,51.2138528838,1,2012
2012-02-24,0.62,0.62,0.59,0.59,55300,2.36,49.7848853996,1,2012
2012-02-27,0.62,0.62,0.58,0.58,85300,2.32,48.3325747834,1,2012
2012-02-28,0.62,0.62,0.58,0.6,65400,2.4,51.3869973916,1,2012
2012-02-29,0.6,0.6,0.58,0.58,80200,2.32,48.3112859572,1,2012
2012-03-01,0.56,0.58,0.56,0.57,65100,2.28,46.8028753834,1,2012
2012-03-02,0.59,0.62,0.57,0.62,47600,2.48,54.4592901741,1,2012
2012-03-05,0.65,0.65,0.62,0.65,124600,2.6,58.3341294151,1,2012
2012-03-06,0.65,0.67,0.62,0.63,82500,2.52,54.9758321929,1,2012
2012-03-07,0.62,0.65,0.6,0.63,59800,2.52,54.9758321929,1,2012
2012-03-08,0.64,0.65,0.62,0.64,78000,2.56,56.4303526227,1,2012
2012-03-09,0.61,0.65,0.61,0.63,63800,2.52,54.5331260093,1,2012
2012-03-12,0.62,0.64,0.61,0.62,49500,2.48,52.627643141,1,2012
2012-03-13,0.69,0.69,0.62,0.65,318300,2.6,57.4329800298,1,2012
2012-03-14,0.67,0.67,0.61,0.62,103300,2.48,51.7768526799,1,2012
2012-03-15,0.62,0.65,0.6,0.6,97000,2.4,48.3577118038,1,2012
2012-03-16,0.6,0.63,0.58,0.58,106500,2.32,45.1470441531,1,2012
2012-03-19,0.59,0.6,0.58,0.59,28400,2.36,47.0403863138,1,2012
2012-03-20,0.61,0.61,0.59,0.6,92300,2.4,48.9384372217,1,2012
