Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,9.0,10.00998,7.5,10.00998,7200,3.33666,,1,2012
2012-01-04,11.00001,11.00001,11.00001,11.00001,800,3.66667,,1,2012
2012-01-05,12.99999,15.0,9.99,13.78998,24000,4.59666,,1,2012
2012-01-06,12.99999,12.99999,12.99999,12.99999,800,4.33333,,1,2012
2012-01-09,12.99999,12.99999,11.01,11.01,1400,3.67,,1,2012
2012-01-10,12.0,12.0,11.49999,12.0,2400,4.0,,1,2012
2012-01-11,12.0,12.0,12.0,12.0,800,4.0,,1,2012
2012-01-12,12.0,12.0,12.0,12.0,0,4.0,,1,2012
2012-01-13,12.0,12.0,11.49999,11.49999,1200,3.83333,,1,2012
2012-01-17,10.5,10.5,10.5,10.5,800,3.5,,1,2012
2012-01-18,10.5,10.5,10.5,10.5,0,3.5,,1,2012
2012-01-19,10.5,10.5,10.5,10.5,0,3.5,,1,2012
2012-01-20,7.50999,7.50999,7.50999,7.50999,600,2.50333,,1,2012
2012-01-23,9.0,9.50001,9.0,9.50001,2000,3.16667,,1,2012
2012-01-24,9.0,9.24999,9.0,9.24999,800,3.08333,47.3389761786,1,2012
2012-01-25,9.9,9.9,9.9,9.9,2600,3.3,49.7998028454,1,2012
2012-01-26,9.9,9.9,9.9,9.9,0,3.3,49.7998028454,1,2012
2012-01-27,9.9,9.9,9.9,9.9,0,3.3,49.7998028454,1,2012
2012-01-30,9.9,9.9,9.9,9.9,0,3.3,49.7998028454,1,2012
2012-01-31,11.1,20.00001,11.1,18.700019,4200,6.23334,72.8783994485,1,2012
2012-02-01,10.50999,13.5,10.50999,13.5,1200,4.5,56.3831365057,1,2012
2012-02-02,11.01,12.99999,11.01,12.99999,1200,4.33333,55.0918978769,1,2012
2012-02-03,12.99999,14.49999,12.10002,14.49999,5000,4.83333,58.1856126354,1,2012
2012-02-06,14.49999,14.49999,14.49999,14.49999,800,4.83333,58.1856126354,1,2012
2012-02-07,14.49999,14.49999,14.49999,14.49999,600,4.83333,58.1856126354,1,2012
2012-02-08,11.01,12.0,11.01,12.0,1200,4.0,50.8881292377,1,2012
2012-02-09,11.00001,12.0,11.00001,12.0,3200,4.0,50.8881292377,1,2012
2012-02-10,13.5,13.5,13.5,13.5,1200,4.5,54.8302301406,1,2012
2012-02-13,13.5,13.5,13.5,13.5,0,4.5,54.8302301406,1,2012
2012-02-14,13.5,13.5,13.5,13.5,0,4.5,54.8302301406,1,2012
2012-02-15,12.99999,12.99999,12.99999,12.99999,2000,4.33333,53.0571567461,1,2012
2012-02-16,12.99999,12.99999,12.99999,12.99999,0,4.33333,53.0571567461,1,2012
2012-02-17,12.50001,12.50001,12.50001,12.50001,1800,4.16667,51.1393486598,1,2012
2012-02-21,12.50001,12.50001,12.50001,12.50001,0,4.16667,51.1393486598,1,2012
2012-02-22,12.40002,12.40002,12.40002,12.40002,1400,4.13334,50.714177438,1,2012
2012-02-23,12.40002,12.40002,12.40002,12.40002,0,4.13334,50.714177438,1,2012
2012-02-24,12.24999,12.24999,12.24999,12.24999,1400,4.08333,49.9909236162,1,2012
2012-02-27,12.75,12.75,12.0,12.0,2400,4.0,48.743518735,1,2012
2012-02-28,12.0,12.0,12.0,12.0,0,4.0,48.743518735,1,2012
2012-02-29,12.0,12.0,12.0,12.0,0,4.0,48.743518735,1,2012
2012-03-01,12.0,12.0,12.0,12.0,0,4.0,48.743518735,1,2012
2012-03-02,12.0,12.0,12.0,12.0,0,4.0,48.743518735,1,2012
2012-03-05,12.0,12.0,12.0,12.0,0,4.0,48.743518735,1,2012
2012-03-06,11.00001,11.00001,7.62,7.62,4800,2.54,28.9797304141,1,2012
2012-03-07,11.00001,11.00001,11.00001,11.00001,600,3.66667,46.8793948233,1,2012
2012-03-08,11.00001,11.00001,11.00001,11.00001,0,3.66667,46.8793948233,1,2012
2012-03-09,11.00001,11.00001,11.00001,11.00001,0,3.66667,46.8793948233,1,2012
2012-03-12,11.00001,11.00001,11.00001,11.00001,600,3.66667,46.8793948233,1,2012
2012-03-13,11.00001,11.00001,11.00001,11.00001,200,3.66667,46.8793948233,1,2012
2012-03-14,11.00001,11.00001,11.00001,11.00001,600,3.66667,46.8793948233,1,2012
2012-03-15,11.00001,11.00001,11.00001,11.00001,0,3.66667,46.8793948233,1,2012
2012-03-16,11.00001,11.00001,11.00001,11.00001,0,3.66667,46.8793948233,1,2012
2012-03-19,10.99002,11.00001,10.99002,11.00001,2400,3.66667,46.8793948233,1,2012
2012-03-20,11.00001,11.00001,11.00001,11.00001,600,3.66667,46.8793948233,1,2012
2012-03-21,11.00001,11.00001,11.00001,11.00001,1200,3.66667,46.8793948233,1,2012
2012-03-22,9.0,11.00001,9.0,11.00001,800,3.66667,46.8793948233,1,2012
2012-03-23,11.00001,11.00001,11.00001,11.00001,0,3.66667,46.8793948233,1,2012
2012-03-26,11.00001,11.49999,11.00001,11.49999,1200,3.83333,51.6073912314,1,2012
2012-03-27,12.50001,13.5,12.50001,13.5,1200,4.5,65.019662698,1,2012
2012-03-28,12.99999,12.99999,12.99999,12.99999,600,4.33333,60.5048020432,1,2012
2012-03-29,12.99999,12.99999,12.99999,12.99999,0,4.33333,60.5048020432,1,2012
2012-03-30,11.49999,11.49999,11.49999,11.49999,1400,3.83333,48.7316513524,1,2012
2012-04-02,11.49999,12.99999,11.49999,12.40002,3200,4.13334,54.4578545416,2,2012
2012-04-03,12.40002,12.40002,12.40002,12.40002,0,4.13334,54.4578545416,2,2012
2012-04-04,12.40002,12.40002,12.40002,12.40002,0,4.13334,54.4578545416,2,2012
2012-04-05,11.01,12.0,11.01,12.0,1400,4.0,51.2785513708,2,2012
2012-04-09,11.01,11.01,11.01,11.01,800,3.67,44.3739628278,2,2012
2012-04-10,11.01,11.01,11.01,11.01,0,3.67,44.3739628278,2,2012
2012-04-11,12.0,12.50001,12.0,12.50001,1800,4.16667,54.9598100965,2,2012
2012-04-12,12.50001,12.50001,12.50001,12.50001,0,4.16667,54.9598100965,2,2012
2012-04-13,12.50001,12.50001,12.50001,12.50001,0,4.16667,54.9598100965,2,2012
2012-04-16,12.50001,12.50001,12.50001,12.50001,0,4.16667,54.9598100965,2,2012
2012-04-17,9.50001,9.50001,9.50001,9.50001,600,3.16667,36.2682682782,2,2012
2012-04-18,11.75001,11.75001,11.75001,11.75001,1200,3.91667,50.0022461702,2,2012
2012-04-19,11.75001,11.75001,11.75001,11.75001,0,3.91667,50.0022461702,2,2012
2012-04-20,11.75001,11.75001,11.75001,11.75001,0,3.91667,50.0022461702,2,2012
