Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,20.67,20.879999,20.23,20.469999,503800,20.469999,,1,2012
2012-01-04,20.309999,20.85,20.209999,20.280001,177600,20.280001,,1,2012
2012-01-05,20.16,20.42,19.809999,20.17,469600,20.17,,1,2012
2012-01-06,20.1,20.309999,20.02,20.200001,314800,20.200001,,1,2012
2012-01-09,21.0,21.68,20.85,21.23,729500,21.23,,1,2012
2012-01-10,20.790001,20.879999,19.9,19.92,1591800,19.92,,1,2012
2012-01-11,19.91,20.07,19.76,19.940001,1000900,19.940001,,1,2012
2012-01-12,19.93,20.040001,19.629999,19.889999,387300,19.889999,,1,2012
2012-01-13,19.6,20.440001,19.6,20.17,392400,20.17,,1,2012
2012-01-17,19.76,20.59,19.65,19.719999,372300,19.719999,,1,2012
2012-01-18,19.629999,20.049999,19.6,20.040001,630800,20.040001,,1,2012
2012-01-19,20.030001,20.4,19.99,20.26,260800,20.26,,1,2012
2012-01-20,20.280001,20.549999,19.83,20.0,392200,20.0,,1,2012
2012-01-23,19.9,19.9,19.41,19.59,367800,19.59,,1,2012
2012-01-24,19.459999,19.790001,19.15,19.219999,266900,19.219999,37.6237770807,1,2012
2012-01-25,19.25,19.25,18.65,18.82,587600,18.82,34.6666902643,1,2012
2012-01-26,18.860001,19.139999,18.4,18.639999,813200,18.639999,33.3947108985,1,2012
2012-01-27,18.620001,19.110001,18.620001,19.049999,316000,19.049999,38.8944485817,1,2012
2012-01-30,18.860001,19.25,18.84,19.09,316400,19.09,39.420022783,1,2012
2012-01-31,19.27,19.41,18.77,18.879999,423200,18.879999,37.5919903788,1,2012
2012-02-01,19.950001,20.93,19.450001,20.6,1377100,20.6,55.7086450229,1,2012
2012-02-02,20.629999,22.33,20.620001,22.139999,2379900,22.139999,65.394870515,1,2012
2012-02-03,22.49,23.23,22.110001,22.309999,783500,22.309999,66.2717552603,1,2012
2012-02-06,22.120001,22.4,22.030001,22.360001,545500,22.360001,66.5403187513,1,2012
2012-02-07,22.379999,22.379999,21.690001,21.809999,845500,21.809999,60.8050417251,1,2012
2012-02-08,21.790001,22.469999,21.58,21.98,757500,21.98,61.8982094456,1,2012
2012-02-09,20.93,22.110001,20.299999,21.75,2642200,21.75,59.4810983313,1,2012
2012-02-10,21.540001,22.0,21.41,21.93,582900,21.93,60.7721464434,1,2012
2012-02-13,22.200001,23.049999,22.030001,22.99,752900,22.99,67.3664271525,1,2012
2012-02-14,22.9,23.709999,22.73,23.549999,986100,23.549999,70.2150552496,1,2012
2012-02-15,23.58,23.969999,23.32,23.540001,707700,23.540001,70.0974074932,1,2012
2012-02-16,23.48,24.370001,23.34,24.25,883700,24.25,73.4938852121,1,2012
2012-02-17,24.26,24.290001,22.84,23.120001,514900,23.120001,61.517549526,1,2012
2012-02-21,23.120001,23.290001,22.450001,22.67,505500,22.67,57.4991399032,1,2012
2012-02-22,22.59,22.77,22.27,22.639999,496900,22.639999,57.2307343902,1,2012
2012-02-23,22.76,23.48,22.58,23.4,433900,23.4,62.062066286,1,2012
2012-02-24,23.309999,23.83,23.08,23.49,508100,23.49,62.6008443513,1,2012
2012-02-27,23.32,23.49,22.690001,23.299999,715200,23.299999,60.642839245,1,2012
2012-02-28,24.59,24.74,23.34,23.620001,968400,23.620001,62.7557186834,1,2012
2012-02-29,23.75,23.75,22.969999,23.35,1069100,23.35,59.8368340733,1,2012
2012-03-01,23.360001,23.690001,23.0,23.51,857500,23.51,60.9946178241,1,2012
2012-03-02,23.26,23.32,22.879999,23.030001,1032400,23.030001,55.7979737524,1,2012
2012-03-05,22.9,23.139999,22.24,23.030001,878700,23.030001,55.7979737524,1,2012
2012-03-06,22.709999,22.809999,22.26,22.709999,655200,22.709999,52.3495089565,1,2012
2012-03-07,22.75,23.48,22.719999,23.41,675300,23.41,58.4053624991,1,2012
2012-03-08,23.43,23.83,23.15,23.48,1592600,23.48,58.9669607309,1,2012
2012-03-09,23.48,23.48,23.15,23.4,802400,23.4,58.0030957719,1,2012
2012-03-12,23.379999,23.389999,23.02,23.129999,274500,23.129999,54.7503196298,1,2012
2012-03-13,23.23,23.26,22.85,23.209999,277900,23.209999,55.5457921399,1,2012
2012-03-14,23.139999,23.440001,22.870001,23.1,332000,23.1,54.1365561734,1,2012
2012-03-15,23.110001,23.85,23.030001,23.719999,694400,23.719999,60.2569660483,1,2012
2012-03-16,23.700001,23.709999,23.290001,23.34,586800,23.34,55.3790378935,1,2012
2012-03-19,23.379999,23.809999,23.200001,23.77,429600,23.77,59.3856586637,1,2012
2012-03-20,23.549999,23.620001,22.889999,22.9,358800,22.9,49.6681905006,1,2012
2012-03-21,23.01,23.559999,22.6,23.48,527300,23.48,54.9595546346,1,2012
2012-03-22,23.290001,23.74,23.280001,23.52,362300,23.52,55.308507401,1,2012
2012-03-23,23.52,23.85,23.35,23.85,290800,23.85,58.1866825992,1,2012
2012-03-26,23.92,24.459999,23.85,24.370001,310100,24.370001,62.3061219266,1,2012
2012-03-27,24.360001,24.49,24.09,24.23,294200,24.23,60.5757714315,1,2012
2012-03-28,24.219999,24.49,23.6,24.15,374600,24.15,59.5579153365,1,2012
2012-03-29,23.93,24.17,23.530001,24.02,247600,24.02,57.8566244768,1,2012
2012-03-30,24.18,25.0,24.059999,24.58,822900,24.58,62.7878333247,1,2012
2012-04-02,24.51,25.030001,24.4,25.01,568800,25.01,66.0707747439,2,2012
2012-04-03,25.01,25.18,24.75,24.92,432000,24.92,64.7825403582,2,2012
2012-04-04,24.610001,24.860001,24.360001,24.620001,272600,24.620001,60.5448914366,2,2012
2012-04-05,24.440001,24.93,24.4,24.57,203800,24.57,59.8422744304,2,2012
2012-04-09,24.059999,24.290001,23.77,23.969999,262500,23.969999,52.0382002645,2,2012
2012-04-10,23.870001,24.129999,23.4,23.57,368200,23.57,47.5830984861,2,2012
2012-04-11,23.870001,24.26,23.73,24.09,236900,24.09,53.1932313144,2,2012
2012-04-12,24.0,24.4,23.809999,24.09,366200,24.09,53.1932313144,2,2012
2012-04-13,24.01,24.16,23.290001,23.6,351400,23.6,47.6229147778,2,2012
2012-04-16,23.65,23.889999,23.309999,23.709999,202000,23.709999,48.9161701521,2,2012
2012-04-17,24.030001,25.08,23.790001,25.059999,533000,25.059999,61.4851687927,2,2012
2012-04-18,24.85,24.92,24.190001,24.370001,397300,24.370001,54.1514230314,2,2012
2012-04-19,24.42,24.98,24.26,24.43,451800,24.43,54.6578749428,2,2012
2012-04-20,24.91,24.950001,24.540001,24.74,360900,24.74,57.2833728303,2,2012
2012-04-23,24.309999,24.309999,23.84,23.98,238800,23.98,49.6872596077,2,2012
2012-04-24,24.129999,24.860001,24.09,24.65,293900,24.65,55.3131179849,2,2012
2012-04-25,25.01,25.200001,24.68,24.799999,411200,24.799999,56.4862202572,2,2012
2012-04-26,24.65,24.879999,24.219999,24.709999,315600,24.709999,55.5440440165,2,2012
2012-04-27,24.700001,25.360001,24.540001,25.309999,204600,25.309999,60.2983938444,2,2012
2012-04-30,24.870001,25.16,24.58,24.629999,331900,24.629999,53.3364908868,2,2012
2012-05-01,23.42,23.950001,22.540001,22.620001,1148300,22.620001,39.002042906,2,2012
2012-05-02,22.23,23.43,22.23,23.26,804800,23.26,44.1490574339,2,2012
2012-05-03,23.15,23.23,22.620001,22.809999,669100,22.809999,41.4976155425,2,2012
2012-05-04,22.59,22.68,22.4,22.459999,497100,22.459999,39.510110798,2,2012
2012-05-07,22.459999,22.790001,22.219999,22.450001,442600,22.450001,39.451983031,2,2012
2012-05-08,22.219999,22.85,22.219999,22.59,605000,22.59,40.7661242198,2,2012
2012-05-09,22.389999,22.51,21.799999,21.82,639400,21.82,36.1223738889,2,2012
2012-05-10,21.98,22.43,21.59,22.24,595000,22.24,40.1285709796,2,2012
2012-05-11,22.09,22.18,21.77,22.0,475000,22.0,38.6373648611,2,2012
2012-05-14,21.77,22.049999,21.719999,21.860001,255500,21.860001,37.7559750053,2,2012
2012-05-15,21.82,22.09,21.540001,21.709999,258000,21.709999,36.787653808,2,2012
2012-05-16,21.74,21.99,21.66,21.809999,160800,21.809999,37.930530605,2,2012
2012-05-17,21.809999,21.809999,21.08,21.08,296000,21.08,33.2101664236,2,2012
2012-05-18,21.01,21.549999,20.85,20.969999,367600,20.969999,32.5527607231,2,2012
2012-05-21,21.049999,21.68,21.049999,21.25,349300,21.25,36.0243228178,2,2012
2012-05-22,21.299999,21.719999,20.9,21.26,505200,21.26,36.1507212992,2,2012
2012-05-23,21.1,21.41,20.48,20.9,273000,20.9,33.5786809314,2,2012
2012-05-24,20.940001,21.299999,20.709999,21.200001,257200,21.200001,37.5651877265,2,2012
2012-05-25,21.23,21.35,21.129999,21.23,193500,21.23,37.9661307325,2,2012
2012-05-29,21.41,21.6,21.16,21.43,260400,21.43,40.7002448242,2,2012
2012-05-30,21.120001,21.43,21.09,21.18,369000,21.18,38.4207020023,2,2012
2012-05-31,21.280001,21.280001,20.559999,20.73,364400,20.73,34.6579093815,2,2012
2012-06-01,20.35,20.530001,19.959999,20.18,378900,20.18,30.7003844381,2,2012
2012-06-04,20.27,20.540001,20.01,20.4,190900,20.4,33.949335465,2,2012
2012-06-05,20.23,20.790001,20.190001,20.700001,417100,20.700001,38.2039274624,2,2012
2012-06-06,20.85,21.1,20.68,20.84,272000,20.84,40.1416534264,2,2012
2012-06-07,21.15,21.360001,20.84,21.0,415500,21.0,42.3659384744,2,2012
2012-06-08,20.93,21.440001,20.85,21.27,233300,21.27,46.0117439262,2,2012
2012-06-11,21.530001,21.6,20.76,20.809999,380300,20.809999,41.2268322522,2,2012
2012-06-12,20.91,21.49,20.389999,21.43,296400,21.43,48.9349338098,2,2012
2012-06-13,21.34,21.540001,20.43,20.6,301200,20.6,41.1537130016,2,2012
2012-06-14,20.639999,21.1,20.469999,21.07,287300,21.07,46.355563549,2,2012
2012-06-15,21.02,21.91,20.709999,21.57,863200,21.57,51.2887229658,2,2012
2012-06-18,21.370001,22.07,21.280001,22.049999,335800,22.049999,55.5177656472,2,2012
2012-06-19,22.059999,22.879999,22.059999,22.5,558400,22.5,59.1025771494,2,2012
2012-06-20,22.43,22.799999,22.16,22.639999,306300,22.639999,60.1778063459,2,2012
2012-06-21,22.530001,23.23,22.33,22.65,675200,22.65,60.258187817,2,2012
2012-06-22,22.66,23.049999,22.620001,22.85,1126400,22.85,61.9138403788,2,2012
2012-06-25,21.58,21.74,20.07,20.200001,1851700,20.200001,38.8306245455,2,2012
2012-06-26,20.299999,20.85,20.110001,20.67,665000,20.67,42.8969643939,2,2012
2012-06-27,20.799999,21.77,20.66,21.59,618000,21.59,49.9155288863,2,2012
2012-06-28,21.42,22.360001,21.219999,21.49,627000,21.49,49.2075541925,2,2012
2012-06-29,21.799999,21.799999,19.290001,20.27,2077000,20.27,41.4781510385,2,2012
2012-07-02,20.450001,20.790001,19.620001,20.120001,812200,20.120001,40.6330534614,3,2012
2012-07-03,20.110001,20.57,20.1,20.450001,300300,20.450001,43.3668635493,3,2012
2012-07-05,20.4,20.450001,19.889999,20.16,612200,20.16,41.5558326618,3,2012
2012-07-06,19.950001,20.309999,19.950001,20.25,459800,20.25,42.3603161436,3,2012
2012-07-09,20.280001,20.52,20.09,20.49,347100,20.49,44.5521813213,3,2012
2012-07-10,20.620001,20.799999,19.719999,19.870001,325000,19.870001,40.289804534,3,2012
2012-07-11,19.84,20.01,19.76,19.940001,294300,19.940001,40.9763990053,3,2012
2012-07-12,19.719999,19.959999,19.5,19.83,391900,19.83,40.1942331857,3,2012
2012-07-13,19.84,19.950001,19.68,19.83,282100,19.83,40.1942331857,3,2012
2012-07-16,19.85,20.85,19.799999,20.51,790500,20.51,47.3934683379,3,2012
2012-07-17,20.719999,21.219999,20.709999,20.99,587800,20.99,51.8038172307,3,2012
2012-07-18,20.969999,21.299999,20.379999,20.440001,381100,20.440001,46.947053637,3,2012
2012-07-19,20.51,20.690001,20.200001,20.200001,272600,20.200001,44.9659683281,3,2012
2012-07-20,20.1,20.18,19.59,19.709999,372700,19.709999,41.1481404588,3,2012
2012-07-23,19.459999,19.889999,19.219999,19.719999,301700,19.719999,41.2577554016,3,2012
2012-07-24,19.860001,20.110001,19.33,19.67,335600,19.67,40.8480918297,3,2012
2012-07-25,19.799999,20.15,19.43,20.040001,341900,20.040001,45.1856219556,3,2012
2012-07-26,20.309999,20.719999,20.280001,20.43,268800,20.43,49.3976361778,3,2012
2012-07-27,20.440001,21.190001,20.219999,20.77,325300,20.77,52.8026074463,3,2012
2012-07-30,20.83,20.98,20.25,20.51,389400,20.51,50.0302184871,3,2012
2012-07-31,21.5,22.84,21.360001,22.219999,1369700,22.219999,63.5757625185,3,2012
2012-08-01,22.42,23.0,22.110001,22.18,640700,22.18,63.1445781297,3,2012
2012-08-02,22.139999,22.950001,22.129999,22.639999,492100,22.639999,66.0004399192,3,2012
2012-08-03,22.620001,23.32,22.620001,23.18,814100,23.18,69.0339406296,3,2012
2012-08-06,23.48,24.200001,23.299999,23.870001,678700,23.870001,72.4200717744,3,2012
2012-08-07,24.0,24.23,23.870001,23.889999,465500,23.889999,72.5138825566,3,2012
2012-08-08,23.799999,24.190001,23.450001,23.549999,397300,23.549999,68.2626044511,3,2012
2012-08-09,23.620001,23.74,23.219999,23.57,462500,23.57,68.3800447329,3,2012
2012-08-10,23.5,24.09,23.059999,24.030001,311500,24.030001,71.0347417079,3,2012
2012-08-13,23.91,24.0,23.530001,23.98,422000,23.98,70.3434174991,3,2012
2012-08-14,24.02,24.49,24.02,24.49,773900,24.49,73.2075884437,3,2012
2012-08-15,24.52,24.540001,23.780001,24.030001,481000,24.030001,66.928979565,3,2012
2012-08-16,24.27,24.370001,24.0,24.059999,361400,24.059999,67.1269804012,3,2012
2012-08-17,24.07,24.309999,24.01,24.16,296500,24.16,67.8186838733,3,2012
2012-08-20,23.99,24.469999,23.92,24.299999,349500,24.299999,68.8082070492,3,2012
2012-08-21,24.5,24.889999,23.83,24.02,504500,24.02,64.534263728,3,2012
2012-08-22,24.1,24.370001,23.82,23.969999,477500,23.969999,63.7724851572,3,2012
2012-08-23,24.02,24.129999,23.74,23.83,283000,23.83,61.5806222273,3,2012
2012-08-24,23.700001,24.02,23.5,23.879999,285500,23.879999,62.0818649581,3,2012
2012-08-27,23.92,24.15,23.629999,23.92,251800,23.92,62.5033521848,3,2012
2012-08-28,24.0,24.16,23.780001,23.950001,1046900,23.950001,62.8370072295,3,2012
2012-08-29,23.92,24.059999,23.68,23.83,194700,23.83,60.5173749133,3,2012
2012-08-30,23.65,24.0,23.43,23.85,285900,23.85,60.7772540806,3,2012
2012-08-31,23.959999,23.98,23.540001,23.67,288400,23.67,57.1324397519,3,2012
2012-09-04,23.75,24.0,23.42,23.84,316000,23.84,59.596837455,3,2012
2012-09-05,23.76,24.9,23.76,24.83,1200600,24.83,70.3035749655,3,2012
2012-09-06,25.0,25.309999,24.700001,24.93,589400,24.93,71.1356324465,3,2012
2012-09-07,25.110001,25.110001,24.24,24.389999,445400,24.389999,61.1687761225,3,2012
2012-09-10,24.32,24.440001,23.91,24.049999,463000,24.049999,55.8617126305,3,2012
2012-09-11,24.049999,24.719999,23.809999,24.360001,319300,24.360001,59.3267184427,3,2012
2012-09-12,24.469999,24.700001,24.41,24.549999,377400,24.549999,61.3303942344,3,2012
2012-09-13,24.549999,24.700001,24.120001,24.18,322700,24.18,55.5874908113,3,2012
2012-09-14,24.33,24.35,23.93,24.049999,448800,24.049999,53.6853512358,3,2012
2012-09-17,24.0,24.389999,23.950001,24.049999,380900,24.049999,53.6853512358,3,2012
2012-09-18,24.190001,25.07,24.129999,24.84,1040400,24.84,62.6845577588,3,2012
2012-09-19,24.84,26.09,24.75,25.799999,1597500,25.799999,70.2495322092,3,2012
2012-09-20,25.74,26.0,25.34,25.98,545600,25.98,71.4195093418,3,2012
2012-09-21,26.27,26.559999,25.809999,26.16,1857600,26.16,72.580747905,3,2012
2012-09-24,26.08,26.889999,25.75,26.639999,982800,26.639999,75.4457855033,3,2012
2012-09-25,25.799999,26.889999,25.799999,26.59,1275200,26.59,74.5716989725,3,2012
2012-09-26,26.59,26.67,26.120001,26.15,705500,26.15,67.1939227141,3,2012
2012-09-27,26.190001,26.280001,25.57,25.879999,931900,25.879999,63.0703463807,3,2012
2012-09-28,25.75,26.379999,25.5,25.959999,438000,25.959999,63.7796080442,3,2012
2012-10-01,26.280001,26.860001,26.18,26.43,535800,26.43,67.7040087822,4,2012
2012-10-02,26.74,27.25,26.280001,27.02,902900,27.02,71.8301380903,4,2012
2012-10-03,27.200001,27.200001,26.32,26.389999,1363000,26.389999,62.628962037,4,2012
2012-10-04,26.440001,26.860001,26.08,26.4,629100,26.4,62.7106219009,4,2012
2012-10-05,26.58,26.85,26.440001,26.68,505000,26.68,65.0155024324,4,2012
2012-10-08,26.67,26.77,26.34,26.379999,253200,26.379999,60.6872731634,4,2012
2012-10-09,26.33,26.469999,25.92,26.209999,543200,26.209999,58.3180433906,4,2012
2012-10-10,26.200001,26.370001,25.9,26.139999,376700,26.139999,57.3256309428,4,2012
2012-10-11,26.25,26.459999,25.950001,26.049999,277400,26.049999,56.0059985845,4,2012
2012-10-12,25.66,26.389999,25.59,26.35,457200,26.35,59.3639933286,4,2012
2012-10-15,26.219999,26.4,25.67,25.860001,332800,25.860001,52.3372424153,4,2012
2012-10-16,26.0,26.08,25.709999,25.99,316700,25.99,53.8964200696,4,2012
2012-10-17,26.08,26.139999,25.82,26.1,299400,26.1,55.2309600077,4,2012
2012-10-18,26.08,26.15,25.709999,25.77,226800,25.77,50.5075149823,4,2012
2012-10-19,25.6,25.68,24.6,24.98,586200,24.98,41.383236003,4,2012
2012-10-22,25.0,25.309999,24.690001,25.280001,357500,25.280001,45.4158737543,4,2012
2012-10-23,25.18,25.48,24.57,25.35,394000,25.35,46.3434380661,4,2012
2012-10-24,25.389999,25.450001,24.389999,24.610001,635000,24.610001,38.8310098738,4,2012
2012-10-25,24.73,25.17,24.360001,24.52,364900,24.52,38.0236871118,4,2012
2012-10-26,24.59,24.889999,24.18,24.34,349500,24.34,36.3939859016,4,2012
2012-10-31,22.0,22.0,20.0,21.219999,3172300,21.219999,20.2182461386,4,2012
2012-11-01,21.200001,21.200001,20.51,21.01,1740200,21.01,19.5872099243,4,2012
2012-11-02,21.0,21.0,20.35,20.360001,867000,20.360001,17.7414313346,4,2012
2012-11-05,20.0,20.25,19.629999,20.110001,1129400,20.110001,17.0749640618,4,2012
2012-11-06,20.129999,20.65,19.91,20.33,708300,20.33,19.9256474854,4,2012
2012-11-07,20.1,20.450001,19.889999,20.280001,624300,20.280001,19.7593972346,4,2012
2012-11-08,20.200001,20.57,20.049999,20.129999,661900,20.129999,19.2407264963,4,2012
2012-11-09,20.049999,20.940001,19.799999,20.219999,509600,20.219999,20.5876296127,4,2012
2012-11-12,20.18,20.790001,20.139999,20.25,455400,20.25,21.0602555756,4,2012
2012-11-13,20.1,20.299999,19.450001,19.84,1223100,19.84,19.3641220585,4,2012
2012-11-14,19.860001,20.07,19.51,19.67,658700,19.67,18.6919196674,4,2012
2012-11-15,19.709999,20.16,19.5,19.799999,593500,19.799999,20.951721879,4,2012
2012-11-16,19.620001,20.059999,19.52,19.950001,645200,19.950001,23.5906346545,4,2012
2012-11-19,20.0,20.379999,19.879999,20.120001,613600,20.120001,26.5820150098,4,2012
2012-11-20,20.030001,20.209999,19.84,20.02,678000,20.02,25.938714929,4,2012
2012-11-21,20.139999,20.549999,20.09,20.43,430500,20.43,33.0884655432,4,2012
2012-11-23,20.530001,20.75,20.440001,20.540001,186200,20.540001,34.9041908228,4,2012
2012-11-26,20.5,20.76,20.41,20.530001,585500,20.530001,34.8117076908,4,2012
2012-11-27,20.49,20.75,20.33,20.48,532100,20.48,34.322017798,4,2012
2012-11-28,20.360001,20.4,20.059999,20.200001,824500,20.200001,31.6381030207,4,2012
2012-11-29,20.360001,20.780001,20.360001,20.559999,410700,20.559999,38.3167910769,4,2012
2012-11-30,20.629999,20.85,20.26,20.34,499100,20.34,36.0020141034,4,2012
2012-12-03,20.4,20.66,20.25,20.379999,489200,20.379999,36.750170668,4,2012
2012-12-04,20.4,20.719999,20.32,20.559999,594600,20.559999,40.1414268584,4,2012
2012-12-05,20.610001,21.110001,20.299999,20.450001,461300,20.450001,38.7732859869,4,2012
2012-12-06,20.459999,20.9,20.299999,20.84,308200,20.84,45.8236442702,4,2012
2012-12-07,20.92,21.110001,20.620001,20.93,292400,20.93,47.3309097466,4,2012
2012-12-10,20.959999,21.17,20.59,20.83,397800,20.83,45.8059987557,4,2012
2012-12-11,20.92,20.98,20.65,20.959999,489400,20.959999,48.1449202448,4,2012
2012-12-12,21.0,21.18,20.530001,20.540001,314000,20.540001,41.8592981908,4,2012
2012-12-13,20.59,20.950001,20.23,20.280001,320900,20.280001,38.5076699428,4,2012
2012-12-14,20.24,20.389999,19.85,20.23,685800,20.23,37.8795270179,4,2012
2012-12-17,20.299999,20.799999,20.299999,20.66,484600,20.66,46.0325322526,4,2012
2012-12-18,20.700001,20.92,20.700001,20.75,713200,20.75,47.5831773016,4,2012
2012-12-19,20.969999,21.040001,20.58,20.639999,496900,20.639999,45.8491710787,4,2012
2012-12-20,20.85,20.85,20.280001,20.309999,560300,20.309999,41.019778459,4,2012
2012-12-21,20.23,20.43,19.84,20.33,1352500,20.33,41.4225087049,4,2012
2012-12-24,20.280001,20.629999,20.030001,20.4,152200,20.4,42.8922269522,4,2012
2012-12-26,20.459999,20.620001,20.17,20.209999,234800,20.209999,39.9614228469,4,2012
2012-12-27,20.16,20.49,19.98,20.110001,376000,20.110001,38.4714879562,4,2012
2012-12-28,20.0,20.23,19.969999,20.01,388000,20.01,36.9863541524,4,2012
2012-12-31,19.98,20.51,19.860001,20.49,519500,20.49,47.4688577824,4,2012
2013-01-02,20.93,21.0,20.57,20.66,776000,20.66,50.6030315928,1,2013
2013-01-03,20.75,21.440001,20.68,21.02,668100,21.02,56.5192179154,1,2013
2013-01-04,21.040001,21.559999,21.030001,21.23,808100,21.23,59.5617513705,1,2013
2013-01-07,21.23,21.530001,21.209999,21.209999,396900,21.209999,59.1373109982,1,2013
2013-01-08,21.129999,21.549999,20.700001,21.549999,1344100,21.549999,63.8528868645,1,2013
2013-01-09,21.65,22.15,21.559999,22.0,931200,22.0,68.9587204346,1,2013
2013-01-10,22.030001,22.379999,21.59,21.6,451900,21.6,60.7450857771,1,2013
2013-01-11,21.65,21.709999,21.24,21.4,507500,21.4,57.0839574743,1,2013
2013-01-14,21.4,21.83,21.280001,21.42,485300,21.42,57.3607143395,1,2013
2013-01-15,21.26,21.68,21.23,21.59,644300,21.59,59.737464158,1,2013
2013-01-16,21.559999,21.9,21.25,21.4,421000,21.4,55.9816134329,1,2013
2013-01-17,21.41,21.959999,21.309999,21.85,428600,21.85,62.0649977093,1,2013
2013-01-18,21.82,21.889999,20.959999,21.02,857700,21.02,48.6970667168,1,2013
2013-01-22,19.799999,20.0,18.9,19.530001,3920800,19.530001,34.3808880576,1,2013
