Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.64,3.75,3.61,3.73,3900,3.73,,1,2012
2012-01-04,3.75,3.75,3.68,3.68,3500,3.68,,1,2012
2012-01-05,3.67,3.67,3.67,3.67,200,3.67,,1,2012
2012-01-06,3.68,3.77,3.68,3.7,5800,3.7,,1,2012
2012-01-09,3.68,3.78,3.68,3.75,2700,3.75,,1,2012
2012-01-10,3.75,3.79,3.7,3.75,14000,3.75,,1,2012
2012-01-11,3.77,3.79,3.74,3.77,4300,3.77,,1,2012
2012-01-12,3.76,3.79,3.76,3.79,1200,3.79,,1,2012
2012-01-13,3.77,3.78,3.76,3.76,34100,3.76,,1,2012
2012-01-17,3.76,3.8,3.76,3.8,18000,3.8,,1,2012
2012-01-18,3.76,3.91,3.76,3.83,10000,3.83,,1,2012
2012-01-19,3.78,3.78,3.76,3.76,1200,3.76,,1,2012
2012-01-20,3.76,3.76,3.76,3.76,800,3.76,,1,2012
2012-01-23,3.76,3.76,3.76,3.76,200,3.76,,1,2012
2012-01-24,3.78,3.78,3.74,3.78,15200,3.78,56.7567567568,1,2012
2012-01-25,3.7,3.95,3.7,3.93,34700,3.93,69.8986975398,1,2012
2012-01-26,3.82,3.82,3.75,3.75,1400,3.75,50.1878347055,1,2012
2012-01-27,3.77,3.95,3.74,3.89,16200,3.89,59.7053601182,1,2012
2012-01-30,3.84,3.91,3.84,3.88,1600,3.88,58.8405475791,1,2012
2012-01-31,3.9,3.9,3.82,3.9,3600,3.9,60.0857815628,1,2012
2012-02-01,3.78,3.91,3.78,3.85,12500,3.85,55.5602436284,1,2012
2012-02-02,3.88,3.92,3.81,3.89,10300,3.89,58.2681919177,1,2012
2012-02-03,3.91,3.97,3.9,3.93,11700,3.93,60.8380974718,1,2012
2012-02-06,3.93,4.15,3.85,4.15,13500,4.15,71.3047418851,1,2012
2012-02-07,4.12,4.22,4.1,4.16,14400,4.16,71.6753123647,1,2012
2012-02-08,4.17,4.22,4.15,4.15,5900,4.15,70.6921693977,1,2012
2012-02-09,4.16,4.16,4.08,4.08,8700,4.08,64.0674533611,1,2012
2012-02-10,4.11,4.11,3.95,3.97,26900,3.97,55.2977875826,1,2012
2012-02-13,4.01,4.08,4.0,4.08,9700,4.08,61.0408062149,1,2012
2012-02-14,3.97,3.97,3.97,3.97,2000,3.97,53.62192689,1,2012
2012-02-15,3.96,3.97,3.96,3.96,5400,3.96,52.9913830337,1,2012
2012-02-16,3.96,4.22,3.96,4.22,24600,4.22,64.6353361479,1,2012
2012-02-17,4.2,4.2,4.1,4.1,7900,4.1,57.5499938383,1,2012
2012-02-21,4.1,4.1,4.0,4.04,29600,4.04,54.3423654282,1,2012
2012-02-22,4.04,4.13,3.95,3.95,11600,3.95,49.8537486158,1,2012
2012-02-23,4.07,4.12,3.99,4.12,14000,4.12,57.0673591651,1,2012
2012-02-24,4.12,4.12,4.12,4.12,0,4.12,57.0673591651,1,2012
