Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,7.35,7.48,7.18,7.25,717800,7.25,,1,2012
2012-01-04,7.39,7.42,7.17,7.19,1226700,7.19,,1,2012
2012-01-05,7.15,7.51,7.08,7.44,1203000,7.44,,1,2012
2012-01-06,7.45,7.49,7.26,7.27,771800,7.27,,1,2012
2012-01-09,7.34,7.45,7.16,7.27,638400,7.27,,1,2012
2012-01-10,7.34,7.45,7.34,7.44,469900,7.44,,1,2012
2012-01-11,7.41,7.45,7.28,7.38,548600,7.38,,1,2012
2012-01-12,7.39,7.67,7.33,7.59,946400,7.59,,1,2012
2012-01-13,7.52,7.61,7.39,7.6,456000,7.6,,1,2012
2012-01-17,7.64,7.93,7.62,7.87,992100,7.87,,1,2012
2012-01-18,7.89,8.04,7.78,8.02,797300,8.02,,1,2012
2012-01-19,8.04,8.07,7.97,8.0,417000,8.0,,1,2012
2012-01-20,8.0,8.03,7.87,7.9,379100,7.9,,1,2012
2012-01-23,7.87,8.0,7.76,7.8,352700,7.8,,1,2012
2012-01-24,7.74,7.87,7.71,7.85,361600,7.85,68.5185185185,1,2012
2012-01-25,7.87,8.15,7.82,8.13,375200,8.13,73.4587670136,1,2012
2012-01-26,8.21,8.21,7.95,8.16,628600,8.16,73.930796685,1,2012
2012-01-27,8.15,8.34,8.1,8.25,503000,8.25,75.3473032022,1,2012
2012-01-30,8.21,8.28,8.1,8.24,371400,8.24,74.8605754016,1,2012
2012-01-31,8.28,8.33,8.15,8.16,403900,8.16,70.9139596395,1,2012
2012-02-01,8.23,8.42,8.12,8.39,588200,8.39,74.9954054472,1,2012
2012-02-02,8.42,8.6,8.39,8.59,476800,8.59,77.8995450488,1,2012
2012-02-03,8.72,8.95,8.65,8.8,889900,8.8,80.4651079671,1,2012
2012-02-06,8.75,8.82,8.68,8.79,394000,8.79,79.9889218959,1,2012
2012-02-07,8.76,8.86,8.67,8.75,542000,8.75,78.0004883294,1,2012
2012-02-08,8.75,8.81,8.34,8.68,508100,8.68,74.5097516428,1,2012
2012-02-09,8.67,8.67,8.5,8.59,235300,8.59,70.1621305239,1,2012
2012-02-10,8.5,8.56,8.3,8.33,375100,8.33,59.3823172807,1,2012
2012-02-13,8.43,8.63,8.39,8.62,438400,8.62,65.7104993103,1,2012
2012-02-14,8.6,8.66,8.37,8.41,316100,8.41,58.5917124269,1,2012
2012-02-15,8.48,8.48,8.29,8.37,365900,8.37,57.317953387,1,2012
2012-02-16,8.4,8.73,8.3,8.73,427800,8.73,64.7461703851,1,2012
2012-02-17,8.78,8.78,8.47,8.49,600600,8.49,57.5547608085,1,2012
2012-02-21,8.69,8.79,8.31,8.35,422400,8.35,53.8007966477,1,2012
2012-02-22,8.32,8.43,8.05,8.32,636900,8.32,53.0030090204,1,2012
2012-02-23,8.35,8.79,8.31,8.73,467100,8.73,61.4224064211,1,2012
2012-02-24,8.73,8.93,8.3,8.92,349000,8.92,64.5884060492,1,2012
2012-02-27,8.83,8.84,8.58,8.64,300200,8.64,57.1454341947,1,2012
2012-02-28,8.65,8.82,8.56,8.61,390900,8.61,56.3955664385,1,2012
2012-02-29,8.8,9.28,8.45,9.11,1509100,9.11,64.7077623523,1,2012
2012-03-01,9.18,9.25,8.83,8.85,865300,8.85,58.4663986358,1,2012
2012-03-02,8.83,8.98,8.75,8.95,1326300,8.95,60.0619871375,1,2012
2012-03-05,8.9,9.05,8.65,8.87,1053400,8.87,58.1377688451,1,2012
2012-03-06,8.79,8.82,8.3,8.34,818800,8.34,47.3213735572,1,2012
2012-03-07,8.39,8.42,8.3,8.33,351800,8.33,47.1431555218,1,2012
2012-03-08,8.36,8.48,8.16,8.21,500500,8.21,44.9551919087,1,2012
2012-03-09,8.2,8.37,8.19,8.31,668800,8.31,47.1561867906,1,2012
2012-03-12,8.3,8.34,8.19,8.21,300200,8.21,45.209409856,1,2012
2012-03-13,8.26,8.33,8.06,8.32,394400,8.32,47.7640199767,1,2012
2012-03-14,8.31,8.38,8.2,8.28,219400,8.28,46.9075475861,1,2012
2012-03-15,8.26,8.42,8.2,8.4,228100,8.4,49.8148718436,1,2012
2012-03-16,8.44,8.67,8.43,8.54,1040000,8.54,53.0453775413,1,2012
2012-03-19,8.53,8.73,8.51,8.59,411300,8.59,54.1798109365,1,2012
2012-03-20,8.54,8.6,8.36,8.54,367600,8.54,52.8058716285,1,2012
2012-03-21,8.59,8.71,8.52,8.63,444100,8.63,55.0171053602,1,2012
2012-03-22,8.55,8.6,8.41,8.54,361900,8.54,52.3743902695,1,2012
2012-03-23,8.52,8.59,8.38,8.57,248000,8.57,53.1816844481,1,2012
2012-03-26,8.66,9.2,8.66,9.11,773500,9.11,64.7607822011,1,2012
2012-03-27,9.14,9.2,9.0,9.13,522500,9.13,65.1050076403,1,2012
2012-03-28,9.13,9.27,8.97,9.08,411000,9.08,63.4366781449,1,2012
2012-03-29,9.01,9.27,8.81,9.12,828600,9.12,64.2264544321,1,2012
2012-03-30,9.21,9.21,8.77,8.77,705800,8.77,53.3645904146,1,2012
2012-04-02,8.77,8.93,8.61,8.93,610700,8.93,56.9489439934,2,2012
2012-04-03,8.92,8.95,8.66,8.79,398200,8.79,53.1029679079,2,2012
2012-04-04,8.71,8.73,8.41,8.49,485900,8.49,45.9428989957,2,2012
2012-04-05,8.43,8.62,8.43,8.55,302700,8.55,47.4684724276,2,2012
2012-04-09,8.39,8.52,8.07,8.15,780600,8.15,39.4710127461,2,2012
2012-04-10,8.15,8.15,7.77,7.78,812700,7.78,33.7985540715,2,2012
2012-04-11,7.87,7.96,7.81,7.87,553000,7.87,36.2003538995,2,2012
