Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,470.950012,473.929993,467.170013,471.709991,344600,471.709991,,1,2012
2012-01-04,472.029999,474.5,466.0,466.940002,290700,466.940002,,1,2012
2012-01-05,467.920013,472.630005,464.059998,472.359985,523300,472.359985,,1,2012
2012-01-06,470.98999,472.970001,458.890015,460.459991,507500,460.459991,,1,2012
2012-01-09,458.809998,459.76001,450.25,451.5,466200,451.5,,1,2012
2012-01-10,453.579987,456.440002,446.549988,450.190002,435300,450.190002,,1,2012
2012-01-11,448.369995,457.76001,446.100006,456.950012,319200,456.950012,,1,2012
2012-01-12,457.48999,460.850006,455.049988,458.130005,215300,458.130005,,1,2012
2012-01-13,457.440002,460.98999,454.0,459.440002,203400,459.440002,,1,2012
2012-01-17,464.290009,467.0,462.149994,465.359985,312400,465.359985,,1,2012
2012-01-18,465.570007,471.200012,465.410004,470.859985,295200,470.859985,,1,2012
2012-01-19,473.720001,476.48999,467.5,474.649994,589100,474.649994,,1,2012
2012-01-20,445.0,449.779999,429.26001,445.679993,1613700,445.679993,,1,2012
2012-01-23,447.359985,457.859985,441.0,444.390015,766200,444.390015,,1,2012
2012-01-24,441.5,446.089996,437.5,440.0,422600,440.0,32.6664417549,1,2012
2012-01-25,436.640015,455.660004,436.640015,455.660004,524200,455.660004,43.148367791,1,2012
2012-01-26,456.959991,458.720001,452.0,456.380005,422400,456.380005,43.5832220412,1,2012
2012-01-27,454.570007,461.589996,453.019989,459.0,209300,459.0,45.2250763188,1,2012
2012-01-30,455.0,458.0,451.350006,456.519989,341400,456.519989,43.9220687314,1,2012
2012-01-31,459.5,460.5,453.899994,459.910004,226100,459.910004,46.2037366861,1,2012
2012-02-01,461.470001,464.940002,458.899994,462.940002,204800,462.940002,48.2312043032,1,2012
2012-02-02,464.0,488.839996,463.5,483.0,1072800,483.0,59.1955470349,1,2012
2012-02-03,486.350006,495.529999,483.5,492.01001,675800,492.01001,62.9873343993,1,2012
2012-02-06,489.660004,494.26001,483.130005,491.390015,357900,491.390015,62.5565531182,1,2012
2012-02-07,489.140015,494.570007,488.390015,494.0,227300,494.0,63.6825908929,1,2012
2012-02-08,492.579987,493.279999,485.0,491.920013,280100,491.920013,62.0803112429,1,2012
2012-02-09,493.470001,493.519989,487.769989,492.410004,243800,492.410004,62.3208201692,1,2012
2012-02-10,488.980011,493.5,486.399994,490.829987,294700,490.829987,60.9777576623,1,2012
2012-02-13,492.579987,506.01001,492.100006,503.070007,476700,503.070007,66.9244467603,1,2012
2012-02-14,502.709991,514.549988,500.619995,510.399994,481700,510.399994,69.8842476063,1,2012
2012-02-15,515.179993,515.609985,504.720001,505.230011,407300,505.230011,65.4364434753,1,2012
2012-02-16,505.480011,513.25,503.5,507.540009,364900,507.540009,66.463492938,1,2012
2012-02-17,507.320007,511.899994,505.0,505.98999,252900,505.98999,65.0663542774,1,2012
2012-02-21,506.51001,508.970001,500.0,504.910004,175200,504.910004,64.0559810656,1,2012
2012-02-22,503.609985,508.070007,501.019989,504.079987,183000,504.079987,63.2431646086,1,2012
2012-02-23,505.299988,509.709991,503.019989,506.359985,161300,506.359985,64.5730042896,1,2012
2012-02-24,508.459991,513.630005,505.829987,512.76001,206900,512.76001,68.0656254202,1,2012
2012-02-27,510.119995,518.469971,507.470001,514.22998,282900,514.22998,68.825818132,1,2012
2012-02-28,515.880005,517.48999,511.75,515.690002,205300,515.690002,69.5998809082,1,2012
2012-02-29,514.460022,516.130005,511.040009,511.619995,219800,511.619995,64.7716656568,1,2012
2012-03-01,510.119995,521.5,509.5,521.330017,310200,521.330017,70.1007038519,1,2012
2012-03-02,521.830017,523.099976,515.309998,516.909973,240300,516.909973,65.261179242,1,2012
2012-03-05,514.419983,519.590027,511.299988,513.429993,241200,513.429993,61.6523620505,1,2012
2012-03-06,510.670013,511.5,503.269989,506.640015,271600,506.640015,55.234416359,1,2012
2012-03-07,509.690002,511.48999,507.149994,508.25,152200,508.25,56.3935543823,1,2012
2012-03-08,511.100006,519.700012,510.25,516.859985,196500,516.859985,62.0525430761,1,2012
2012-03-09,518.099976,526.51001,518.099976,523.830017,323000,523.830017,65.9094503808,1,2012
2012-03-12,524.599976,529.700012,522.419983,526.469971,298700,526.469971,67.2664985372,1,2012
2012-03-13,530.0,531.97998,527.0,531.320007,215600,531.320007,69.6563064048,1,2012
2012-03-14,530.809998,533.0,525.849976,528.200012,253000,528.200012,66.302822997,1,2012
2012-03-15,527.070007,528.679993,523.890015,528.200012,215500,528.200012,66.302822997,1,2012
2012-03-16,525.940002,531.109985,525.940002,529.73999,388200,529.73999,67.2065815008,1,2012
2012-03-19,528.51001,530.039978,525.140015,529.539978,198300,529.539978,66.9554097637,1,2012
2012-03-20,526.219971,531.919983,525.0,531.630005,148400,531.630005,68.2890796291,1,2012
2012-03-21,531.450012,535.849976,530.369995,532.919983,136900,532.919983,69.1175459571,1,2012
2012-03-22,530.76001,538.02002,529.0,534.809998,193100,534.809998,70.3401953365,1,2012
2012-03-23,536.700012,536.700012,530.609985,533.400024,133400,533.400024,68.1718630932,1,2012
2012-03-26,537.400024,542.380005,533.909973,541.960022,189200,541.960022,73.510631738,1,2012
2012-03-27,543.0,550.469971,539.530029,546.309998,313300,546.309998,75.7378230814,1,2012
2012-03-28,548.590027,549.590027,538.640015,544.630005,184200,544.630005,73.1787868823,1,2012
2012-03-29,544.400024,549.219971,536.200012,543.679993,260200,543.679993,71.703387534,1,2012
2012-03-30,545.580017,547.409973,538.140015,541.75,372600,541.75,68.6741789186,1,2012
2012-04-02,536.820007,547.0,536.809998,545.820007,255000,545.820007,71.4165617611,2,2012
2012-04-03,544.440002,549.099976,543.530029,548.390015,202900,548.390015,73.0225784737,2,2012
2012-04-04,545.340027,547.51001,540.0,543.969971,161200,543.969971,66.1396352276,2,2012
2012-04-05,541.98999,545.640015,541.0,545.23999,160100,545.23999,67.099237562,2,2012
2012-04-09,540.0,542.390015,533.51001,539.070007,194600,539.070007,58.434986226,2,2012
2012-04-10,537.169983,538.969971,528.299988,535.23999,347100,535.23999,53.7916538589,2,2012
2012-04-11,538.679993,541.73999,536.880005,540.01001,340900,540.01001,58.242063952,2,2012
2012-04-12,543.820007,554.130005,542.280029,551.590027,413300,551.590027,66.6416494584,2,2012
2012-04-13,551.950012,552.679993,544.02002,546.559998,206200,546.559998,60.9103162236,2,2012
2012-04-16,551.549988,551.98999,534.320007,541.090027,324300,541.090027,55.3368709768,2,2012
2012-04-17,546.469971,549.830017,537.469971,545.530029,487100,545.530029,58.6447270271,2,2012
2012-04-18,574.070007,594.890015,569.599976,584.52002,1413300,584.52002,75.6792291459,2,2012
2012-04-19,586.51001,589.849976,575.320007,579.219971,478000,579.219971,71.3753671119,2,2012
2012-04-20,577.52002,582.099976,569.210022,576.570007,578000,576.570007,69.2546850045,2,2012
2012-04-23,566.719971,570.590027,560.309998,567.440002,341700,567.440002,62.3780676506,2,2012
2012-04-24,567.0,570.599976,555.719971,560.109985,244300,560.109985,57.4462602092,2,2012
2012-04-25,566.23999,578.359985,566.23999,575.5,276400,575.5,63.8998574212,2,2012
