Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-05-12,7.0,7.0,7.0,7.0,0,7.0,,2,2015
2015-05-13,7.0,7.01,6.57,6.78,422600,6.78,,2,2015
2015-05-14,6.74,6.943,6.5,6.78,73100,6.78,,2,2015
2015-05-15,6.72,7.06,6.6,7.01,74000,7.01,,2,2015
2015-05-18,7.0,7.0,6.55,6.6,34300,6.6,,2,2015
2015-05-19,6.9,6.93,6.53,6.72,11500,6.72,,2,2015
2015-05-20,6.75,6.944,6.75,6.89,13800,6.89,,2,2015
2015-05-21,6.94,6.99,6.66,6.95,46200,6.95,,2,2015
2015-05-22,6.94,7.01,6.76,6.85,25800,6.85,,2,2015
2015-05-26,6.8,6.8,6.6,6.75,17400,6.75,,2,2015
2015-05-27,6.65,6.868,6.62,6.8,11600,6.8,,2,2015
2015-05-28,6.8,6.88,6.6,6.88,25200,6.88,,2,2015
2015-05-29,6.79,6.83,6.65,6.73,8500,6.73,,2,2015
2015-06-01,6.65,6.86,6.61,6.62,27800,6.62,,2,2015
