Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.54,2.59,2.43,2.48,49100,19.84,,1,2012
2012-01-04,2.46,2.55,2.38,2.45,72400,19.6,,1,2012
2012-01-05,2.44,2.46,2.37,2.42,69300,19.360001,,1,2012
2012-01-06,2.39,2.51,2.32,2.48,110500,19.84,,1,2012
2012-01-09,2.52,2.82,2.5,2.82,161000,22.559999,,1,2012
2012-01-10,2.82,2.96,2.75,2.9,161100,23.200001,,1,2012
2012-01-11,2.86,2.9,2.66,2.66,147900,21.280001,,1,2012
2012-01-12,2.69,2.7,2.51,2.55,116000,20.4,,1,2012
2012-01-13,2.55,2.6,2.39,2.4,107100,19.200001,,1,2012
2012-01-17,2.42,2.49,1.01,1.1,2286500,8.8,,1,2012
2012-01-18,1.22,1.47,1.18,1.47,1234700,11.76,,1,2012
2012-01-19,1.5,1.64,1.3,1.58,933200,12.64,,1,2012
2012-01-20,1.58,1.58,1.58,1.58,0,12.64,,1,2012
2012-01-23,0.67,0.75,0.64,0.71,2221900,5.68,,1,2012
2012-01-24,0.74,0.94,0.72,0.9,1282700,7.2,29.6391752577,1,2012
2012-01-25,0.95,0.96,0.85,0.87,573600,6.96,29.394416044,1,2012
2012-01-26,0.89,0.89,0.85,0.87,284800,6.96,29.394416044,1,2012
2012-01-27,0.86,0.88,0.84,0.86,207600,6.88,29.3008751238,1,2012
2012-01-30,0.85,0.87,0.79,0.81,362200,6.48,28.8072544308,1,2012
2012-01-31,0.81,0.87,0.81,0.84,191500,6.72,29.5738785364,1,2012
2012-02-01,0.84,0.87,0.83,0.85,130100,6.8,29.8450652343,1,2012
2012-02-02,0.85,0.85,0.77,0.83,207100,6.64,29.5995746942,1,2012
2012-02-03,0.84,0.86,0.8,0.81,85500,6.48,29.3396771102,1,2012
2012-02-06,0.81,0.84,0.8,0.82,84200,6.56,29.6721824312,1,2012
2012-02-07,0.82,0.88,0.82,0.84,250500,6.72,30.3778257644,1,2012
2012-02-08,0.87,0.87,0.81,0.85,136700,6.8,30.7519538521,1,2012
2012-02-09,0.84,0.85,0.82,0.82,83900,6.56,30.2271751121,1,2012
2012-02-10,0.81,0.83,0.78,0.78,91900,6.24,29.5042204178,1,2012
2012-02-13,0.83,0.83,0.72,0.74,136300,5.92,28.763357625,1,2012
2012-02-14,0.75,0.81,0.72,0.77,76900,6.16,30.179422096,1,2012
2012-02-15,0.78,0.92,0.75,0.92,408400,7.36,36.9302267666,1,2012
2012-02-16,0.9,0.93,0.88,0.92,199300,7.36,36.9302267666,1,2012
2012-02-17,0.93,0.94,0.84,0.88,173500,7.04,35.8579769377,1,2012
2012-02-21,0.88,0.9,0.82,0.86,132900,6.88,35.3060046513,1,2012
2012-02-22,0.85,0.87,0.79,0.8,128300,6.4,33.6333453341,1,2012
2012-02-23,0.8,0.85,0.77,0.79,308100,6.32,33.3497591592,1,2012
2012-02-24,0.8,0.82,0.7,0.73,341300,5.84,31.6266826454,1,2012
2012-02-27,0.64,0.69,0.64,0.68,463700,5.44,30.2252100007,1,2012
2012-02-28,0.68,0.7,0.68,0.7,188500,5.6,31.5321697846,1,2012
2012-02-29,0.69,0.7,0.65,0.66,118800,5.28,30.3093702138,1,2012
2012-03-01,0.67,0.68,0.66,0.67,112900,5.36,31.0294650683,1,2012
2012-03-02,0.7,0.73,0.65,0.66,262000,5.28,30.6879826551,1,2012
2012-03-05,0.66,0.69,0.62,0.63,176400,5.04,29.6343355332,1,2012
2012-03-06,0.62,0.65,0.62,0.65,102300,5.2,31.3271347043,1,2012
2012-03-07,0.65,0.67,0.62,0.64,221100,5.12,30.9265168123,1,2012
2012-03-08,0.66,0.69,0.64,0.66,146000,5.28,32.7780663948,1,2012
2012-03-09,0.66,0.67,0.65,0.66,195000,5.28,32.7780663948,1,2012
2012-03-12,0.66,0.67,0.66,0.67,88100,5.36,33.8069721771,1,2012
2012-03-13,0.67,0.72,0.67,0.71,172400,5.68,37.9013811744,1,2012
2012-03-14,0.71,0.71,0.67,0.68,136900,5.44,36.0979187997,1,2012
2012-03-15,0.68,0.71,0.66,0.68,122300,5.44,36.0979187997,1,2012
2012-03-16,0.68,0.69,0.67,0.68,275600,5.44,36.0979187997,1,2012
2012-03-19,0.68,0.69,0.67,0.68,98800,5.44,36.0979187997,1,2012
2012-03-20,0.67,0.69,0.67,0.69,84200,5.52,37.4327206473,1,2012
2012-03-21,0.69,0.72,0.68,0.7,91600,5.6,38.809209019,1,2012
2012-03-22,0.69,0.76,0.69,0.76,110100,6.08,46.4251285636,1,2012
2012-03-23,0.75,0.79,0.72,0.74,215800,5.92,44.4396275223,1,2012
2012-03-26,0.76,0.76,0.72,0.73,77100,5.84,43.4392723239,1,2012
2012-03-27,0.74,0.76,0.72,0.72,52800,5.76,42.4111412955,1,2012
2012-03-28,0.75,0.75,0.7,0.72,39100,5.76,42.4111412955,1,2012
2012-03-29,0.72,0.72,0.7,0.71,41000,5.68,41.2780765083,1,2012
2012-03-30,0.7,0.72,0.69,0.71,81100,5.68,41.2780765083,1,2012
2012-04-02,0.7,0.72,0.7,0.7,31800,5.6,40.037534498,2,2012
2012-04-03,0.7,0.73,0.7,0.72,59800,5.76,43.6829465692,2,2012
2012-04-04,0.73,0.73,0.67,0.68,84300,5.44,38.6252463199,2,2012
2012-04-05,0.7,0.7,0.68,0.69,71400,5.52,40.4805904215,2,2012
2012-04-09,0.68,0.7,0.68,0.69,59200,5.52,40.4805904215,2,2012
2012-04-10,0.69,0.69,0.66,0.68,114400,5.44,39.1094382662,2,2012
2012-04-11,0.7,0.7,0.67,0.68,45100,5.44,39.1094382662,2,2012
2012-04-12,0.7,0.7,0.68,0.69,44900,5.52,41.4110083446,2,2012
2012-04-13,0.7,0.7,0.67,0.69,42500,5.52,41.4110083446,2,2012
2012-04-16,0.69,0.7,0.67,0.69,37000,5.52,41.4110083446,2,2012
2012-04-17,0.69,0.71,0.68,0.7,38300,5.6,44.0522660288,2,2012
2012-04-18,0.7,0.71,0.68,0.68,30500,5.44,40.1534536656,2,2012
2012-04-19,0.69,0.71,0.68,0.7,28000,5.6,45.3612010445,2,2012
2012-04-20,0.73,0.73,0.68,0.7,37400,5.6,45.3612010445,2,2012
2012-04-23,0.69,0.7,0.68,0.68,45600,5.44,41.2029692307,2,2012
2012-04-24,0.69,0.69,0.68,0.69,45800,5.52,43.9686977967,2,2012
2012-04-25,0.69,0.71,0.68,0.68,28200,5.44,41.8487678054,2,2012
2012-04-26,0.68,0.71,0.68,0.68,52600,5.44,41.8487678054,2,2012
2012-04-27,0.7,0.7,0.69,0.69,34700,5.52,44.9282396723,2,2012
2012-04-30,0.71,0.76,0.7,0.73,127200,5.84,55.1576453659,2,2012
2012-05-01,0.74,0.76,0.72,0.72,63500,5.76,52.5306522794,2,2012
2012-05-02,0.71,0.73,0.7,0.73,35600,5.84,54.8465979771,2,2012
2012-05-03,0.73,0.76,0.71,0.75,124800,6.0,59.1402379036,2,2012
2012-05-04,0.74,0.75,0.68,0.73,85400,5.84,53.6465770659,2,2012
2012-05-07,0.74,0.76,0.7,0.75,90000,6.0,57.8619666892,2,2012
2012-05-08,0.75,0.77,0.72,0.75,62800,6.0,57.8619666892,2,2012
2012-05-09,0.76,0.76,0.73,0.75,45100,6.0,57.8619666892,2,2012
2012-05-10,0.75,0.75,0.7,0.7,47200,5.6,45.0654060365,2,2012
2012-05-11,0.7,0.72,0.68,0.69,73500,5.52,43.0163749082,2,2012
2012-05-14,0.68,0.7,0.66,0.67,76900,5.36,39.1794903779,2,2012
2012-05-15,0.68,0.71,0.67,0.68,48200,5.44,41.9667443536,2,2012
2012-05-16,0.67,0.69,0.67,0.67,40600,5.36,39.992981573,2,2012
2012-05-17,0.67,0.68,0.65,0.66,59900,5.28,38.0650113466,2,2012
2012-05-18,0.64,0.68,0.61,0.61,162000,4.88,30.2203999409,2,2012
2012-05-21,0.63,0.67,0.63,0.65,38300,5.2,40.7416984284,2,2012
2012-05-22,0.65,0.67,0.64,0.65,24800,5.2,40.7416984284,2,2012
2012-05-23,0.64,0.65,0.61,0.63,57200,5.04,37.4659052983,2,2012
2012-05-24,0.63,0.65,0.63,0.64,38600,5.12,40.0609330341,2,2012
2012-05-25,0.64,0.67,0.63,0.66,25100,5.28,44.9787282525,2,2012
2012-05-29,0.67,0.69,0.64,0.65,29300,5.2,43.0756905262,2,2012
2012-05-30,0.64,0.68,0.64,0.68,34500,5.44,49.9211209871,2,2012
2012-05-31,0.68,0.71,0.66,0.69,55200,5.52,51.9934875542,2,2012
2012-06-01,0.68,0.71,0.68,0.68,23900,5.44,49.7752399354,2,2012
2012-06-04,0.69,0.7,0.66,0.68,32900,5.44,49.7752399354,2,2012
2012-06-05,0.68,0.7,0.67,0.68,24100,5.44,49.7752399354,2,2012
2012-06-06,0.68,0.7,0.66,0.69,67200,5.52,52.3161341375,2,2012
2012-06-07,0.71,0.72,0.68,0.68,54800,5.44,49.6131104563,2,2012
2012-06-08,0.7,0.72,0.69,0.71,38100,5.68,56.8207809949,2,2012
2012-06-11,0.7,0.72,0.67,0.68,31400,5.44,49.2359730873,2,2012
2012-06-12,0.68,0.68,0.65,0.68,25800,5.44,49.2359730873,2,2012
2012-06-13,0.67,0.7,0.67,0.68,29000,5.44,49.2359730873,2,2012
