Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-01-31,8.16,8.25,7.62,8.0,129200,64.0,,1,2013
2013-02-01,8.13,8.13,7.95,8.0,19700,64.0,,1,2013
2013-02-04,8.0,8.0,7.72,7.95,14800,63.599998,,1,2013
2013-02-05,7.9,7.95,7.64,7.73,9600,61.84,,1,2013
2013-02-06,7.93,7.93,7.63,7.75,6200,62.0,,1,2013
2013-02-07,7.8,7.95,7.6,7.76,2500,62.080002,,1,2013
2013-02-08,7.65,7.7,7.45,7.5,18700,60.0,,1,2013
2013-02-11,7.8,7.8,7.41,7.62,2700,60.959999,,1,2013
2013-02-12,7.62,7.62,7.27,7.27,5800,58.16,,1,2013
2013-02-13,7.3,7.3,7.11,7.25,2600,58.0,,1,2013
2013-02-14,7.49,7.49,7.35,7.38,1400,59.040001,,1,2013
2013-02-15,7.26,7.57,7.2,7.2,5700,57.599998,,1,2013
2013-02-19,7.26,7.31,7.21,7.21,7600,57.68,,1,2013
2013-02-20,7.2,7.37,7.2,7.3,3100,58.400002,,1,2013
2013-02-21,7.22,7.42,7.12,7.12,3100,56.959999,23.1707544802,1,2013
2013-02-22,7.05,7.15,7.03,7.12,1200,56.959999,23.1707544802,1,2013
2013-02-25,7.13,7.17,7.0,7.06,16200,56.48,22.2276308851,1,2013
2013-02-26,7.25,7.25,6.89,6.89,13400,55.119999,19.7720023735,1,2013
2013-02-27,6.9,6.99,6.52,6.74,4500,53.919998,17.8935778803,1,2013
2013-02-28,6.76,6.76,6.51,6.6,1800,52.799999,16.3338384386,1,2013
2013-03-01,6.59,6.59,6.51,6.57,400,52.560001,16.0117549421,1,2013
2013-03-04,6.55,6.57,6.45,6.5,6600,52.0,15.2558246179,1,2013
2013-03-05,6.65,6.7,6.52,6.59,16100,52.720001,20.4555644869,1,2013
2013-03-06,6.51,6.6,6.38,6.4,17000,51.200001,17.9513878407,1,2013
2013-03-07,6.49,6.58,6.47,6.58,3000,52.639999,27.0613057028,1,2013
2013-03-08,6.55,6.63,6.53,6.53,12200,52.240002,26.1913819982,1,2013
2013-03-11,6.5,6.55,6.45,6.49,14500,51.919998,25.4855366498,1,2013
2013-03-12,6.5,6.5,6.31,6.44,13700,51.52,24.5933495866,1,2013
2013-03-13,6.46,6.5,6.1,6.42,6100,51.360001,24.2279873901,1,2013
2013-03-14,6.4,6.43,6.35,6.4,400,51.200001,23.8464673327,1,2013
2013-03-15,6.38,6.4,6.31,6.36,10500,50.880001,23.0642036312,1,2013
2013-03-18,5.93,6.3,5.91,6.19,12700,49.52,20.0533478841,1,2013
2013-03-19,6.17,6.25,5.97,6.04,5100,48.32,17.8403474697,1,2013
2013-03-20,5.96,6.24,5.96,6.12,10500,48.959999,22.7375261442,1,2013
2013-03-21,6.13,6.25,6.0,6.24,7700,49.919998,29.5234382894,1,2013
2013-03-22,6.25,6.4,6.25,6.3,6400,50.400002,32.705985254,1,2013
