Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.59,2.7,2.53,2.65,1026600,2.65,,1,2012
2012-01-04,2.63,2.65,2.55,2.6,732600,2.6,,1,2012
2012-01-05,2.6,2.65,2.5,2.64,534100,2.64,,1,2012
2012-01-06,2.65,2.66,2.53,2.56,1158700,2.56,,1,2012
2012-01-09,2.59,2.6,2.47,2.51,992000,2.51,,1,2012
2012-01-10,2.53,2.6,2.51,2.57,588600,2.57,,1,2012
2012-01-11,2.58,2.84,2.53,2.69,1675300,2.69,,1,2012
2012-01-12,2.71,2.84,2.65,2.68,1565700,2.68,,1,2012
2012-01-13,2.64,2.72,2.53,2.66,950700,2.66,,1,2012
2012-01-17,2.71,2.77,2.63,2.67,646100,2.67,,1,2012
2012-01-18,2.71,2.9,2.62,2.88,1639400,2.88,,1,2012
2012-01-19,2.9,3.12,2.88,3.04,2390300,3.04,,1,2012
2012-01-20,3.07,3.07,2.92,2.94,975300,2.94,,1,2012
2012-01-23,2.98,3.03,2.83,2.85,742300,2.85,,1,2012
2012-01-24,2.86,3.08,2.76,3.07,1266000,3.07,67.2131147541,1,2012
2012-01-25,3.07,3.15,2.96,3.03,1415900,3.03,64.9208282582,1,2012
2012-01-26,3.06,3.11,3.01,3.06,952900,3.06,65.8612200237,1,2012
2012-01-27,3.04,3.1,3.03,3.1,599600,3.1,67.1266184426,1,2012
2012-01-30,3.06,3.2,3.05,3.14,1129400,3.14,68.3884734155,1,2012
2012-01-31,3.18,3.45,3.15,3.39,2126800,3.39,74.8788426876,1,2012
2012-02-01,3.43,3.67,3.24,3.29,2797900,3.29,68.7943884816,1,2012
2012-02-02,3.36,3.53,3.32,3.51,1916000,3.51,73.8321529623,1,2012
2012-02-03,3.57,3.67,3.56,3.6,1730300,3.6,75.5697071124,1,2012
2012-02-06,3.66,3.74,3.62,3.65,1742200,3.65,76.5031591522,1,2012
2012-02-07,3.67,3.68,3.45,3.45,1167900,3.45,65.6909689284,1,2012
2012-02-08,3.46,3.55,3.42,3.46,896400,3.46,65.9500913225,1,2012
2012-02-09,3.48,3.5,3.25,3.3,1656300,3.3,58.3558319583,1,2012
2012-02-10,3.26,3.3,3.16,3.2,1583500,3.2,54.1582485383,1,2012
2012-02-13,3.25,3.38,3.25,3.37,1109800,3.37,59.492615386,1,2012
2012-02-14,3.43,3.52,3.26,3.3,1376300,3.3,56.5733896473,1,2012
2012-02-15,3.38,3.38,3.15,3.2,986400,3.2,52.6024164432,1,2012
2012-02-16,3.19,3.24,3.15,3.24,604400,3.24,53.9934857246,1,2012
2012-02-17,3.29,3.34,3.16,3.19,910100,3.19,51.9413754185,1,2012
2012-02-21,3.19,3.19,3.03,3.05,993300,3.05,46.6007186838,1,2012
2012-02-22,2.98,3.06,2.85,3.04,1498800,3.04,46.2350320973,1,2012
