Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-12-12,8.75,12.72,8.75,11.95,1132800,11.95,,4,2013
2013-12-13,12.4,14.065,11.65,12.2,217400,12.2,,4,2013
2013-12-16,12.02,12.47,11.75,12.0,98400,12.0,,4,2013
2013-12-17,12.0,12.4,11.95,12.12,59000,12.12,,4,2013
2013-12-18,11.95,12.22,11.79,11.93,44200,11.93,,4,2013
2013-12-19,11.8,12.85,11.8,12.32,55900,12.32,,4,2013
2013-12-20,12.2,12.5,12.07,12.37,20000,12.37,,4,2013
2013-12-23,12.45,13.0,11.81,12.28,113200,12.28,,4,2013
2013-12-24,12.49,12.58,12.1,12.15,32500,12.15,,4,2013
2013-12-26,12.15,12.15,11.53,11.85,41100,11.85,,4,2013
2013-12-27,11.51,11.68,11.03,11.61,68700,11.61,,4,2013
2013-12-30,11.61,11.81,10.74,11.0,91200,11.0,,4,2013
2013-12-31,11.15,11.29,10.8,11.17,69600,11.17,,4,2013
2014-01-02,11.28,11.28,10.75,10.95,80000,10.95,,1,2014
2014-01-03,11.07,11.1,10.55,10.79,42500,10.79,31.4102564103,1,2014
2014-01-06,10.4,10.7,9.99,10.39,144700,10.39,27.5996533795,1,2014
2014-01-07,10.22,10.95,10.15,10.7,88800,10.7,34.2564009443,1,2014
2014-01-08,10.6,10.8,10.32,10.63,39700,10.63,33.5072298759,1,2014
2014-01-09,10.87,11.56,10.61,11.14,103000,11.14,43.245778836,1,2014
2014-01-10,13.15,13.5,12.1,12.75,210400,12.75,62.1113320826,1,2014
2014-01-13,13.5,13.5,12.74,13.3,107300,13.3,66.2398759887,1,2014
2014-01-14,13.5,13.6,12.77,13.41,124700,13.41,67.0140372125,1,2014
2014-01-15,13.55,17.27,13.55,15.56,329400,15.56,77.7524489433,1,2014
2014-01-16,15.99,16.5,15.75,16.049999,293100,16.049999,79.3985275334,1,2014
2014-01-17,16.0,16.219999,15.75,15.77,104200,15.77,75.9408097181,1,2014
2014-01-21,15.75,16.129999,15.75,16.129999,90000,16.129999,77.3090407987,1,2014
2014-01-22,16.129999,16.870001,16.129999,16.43,113100,16.43,78.4108830333,1,2014
2014-01-23,16.18,16.209999,15.9,16.110001,29800,16.110001,74.2682148616,1,2014
2014-01-24,16.950001,17.0,14.0,15.3,100000,15.3,64.9185841118,1,2014
2014-01-27,15.34,15.35,14.16,14.66,78800,14.66,58.6373509023,1,2014
2014-01-28,14.81,16.0,14.71,15.68,29400,15.68,64.5280381887,1,2014
2014-01-29,15.8,16.299999,14.82,15.83,25400,15.83,65.3104441182,1,2014
2014-01-30,15.92,17.25,15.92,16.5,134200,16.5,68.637955285,1,2014
2014-01-31,16.43,16.66,15.52,15.53,27400,15.53,59.708256911,1,2014
2014-02-03,15.67,16.15,14.88,15.41,53900,15.41,58.6909827144,1,2014
2014-02-04,16.17,16.75,15.93,16.52,31200,16.52,64.684661038,1,2014
2014-02-05,16.530001,16.75,16.049999,16.58,17200,16.58,64.9804433275,1,2014
2014-02-06,16.629999,16.74,16.290001,16.48,28000,16.48,64.018067338,1,2014
2014-02-07,16.58,17.5,16.540001,17.26,89000,17.26,67.9991639746,1,2014
2014-02-10,17.360001,19.9,17.34,19.629999,80200,19.629999,76.5052145437,1,2014
2014-02-11,19.719999,19.719999,18.889999,19.5,60400,19.5,75.3225322898,1,2014
2014-02-12,19.690001,19.75,18.799999,19.32,92200,19.32,73.6253763533,1,2014
2014-02-13,19.02,19.629999,18.799999,19.299999,66700,19.299999,73.4273974751,1,2014
2014-02-14,19.290001,19.290001,19.1,19.23,31500,19.23,72.690690243,1,2014
2014-02-18,19.74,19.74,19.049999,19.200001,72200,19.200001,72.3556408636,1,2014
2014-02-19,19.200001,19.690001,19.030001,19.360001,22600,19.360001,73.068635513,1,2014
