Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-10-16,23.66,25.200001,21.65,22.5,100200,22.5,,4,2012
2012-10-17,22.9,24.790001,22.6,23.41,54100,23.41,,4,2012
2012-10-18,24.02,24.02,23.0,23.870001,34700,23.870001,,4,2012
2012-10-19,23.74,24.0,23.02,23.299999,77600,23.299999,,4,2012
2012-10-22,23.040001,23.98,21.23,22.950001,76000,22.950001,,4,2012
2012-10-23,22.0,24.370001,22.0,23.370001,34800,23.370001,,4,2012
2012-10-24,24.41,24.41,23.139999,23.93,5000,23.93,,4,2012
2012-10-25,24.469999,24.469999,22.74,24.0,15600,24.0,,4,2012
2012-10-26,23.885,25.299999,23.0,24.049999,42800,24.049999,,4,2012
2012-10-31,24.889999,24.889999,21.98,21.98,19800,21.98,,4,2012
2012-11-01,21.98,23.1,21.5,22.209999,34100,22.209999,,4,2012
2012-11-02,21.969999,22.879999,21.809999,22.110001,48100,22.110001,,4,2012
2012-11-05,23.09,23.940001,21.975,23.940001,27600,23.940001,,4,2012
2012-11-06,24.0,24.0,22.389999,23.1,29200,23.1,,4,2012
2012-11-07,23.25,23.790001,22.52,22.709999,10200,22.709999,51.1864354304,4,2012
2012-11-08,22.41,22.85,20.67,21.15,36900,21.15,43.0199406827,4,2012
2012-11-09,21.74,21.969999,21.48,21.969999,3600,21.969999,47.7397651123,4,2012
2012-11-12,21.290001,23.82,21.0,23.4,40100,23.4,54.7751489084,4,2012
2012-11-13,23.200001,25.24,22.43,24.77,18700,24.77,60.2905736096,4,2012
2012-11-14,24.75,25.49,23.454,25.139999,61100,25.139999,61.6508350658,4,2012
2012-11-15,25.1,26.0,24.823999,25.879999,79900,25.879999,64.2858605594,4,2012
2012-11-16,26.700001,28.34,24.950001,25.639999,144000,25.639999,62.7792221138,4,2012
2012-11-19,25.67,27.82,24.264,24.49,18800,24.49,56.0059481564,4,2012
2012-11-20,24.110001,25.25,23.51,24.09,22200,24.09,53.8304537823,4,2012
2012-11-21,25.9,25.9,23.57,24.775,800,24.775,56.9168158136,4,2012
2012-11-23,24.059999,24.98,24.0,24.01,23200,24.01,52.6813272214,4,2012
2012-11-26,24.709999,25.450001,23.780001,23.780001,8400,23.780001,51.4418774628,4,2012
2012-11-27,23.950001,25.27,23.75,24.139999,4700,24.139999,53.29413948,4,2012
2012-11-28,24.129999,24.43,23.57,23.73,19800,23.73,50.912204881,4,2012
2012-11-29,23.92,24.07,23.559999,23.705,5600,23.705,50.7632202609,4,2012
2012-11-30,23.549999,24.469999,23.549999,24.469999,25000,24.469999,55.0936666844,4,2012
2012-12-03,24.76,25.459999,23.809999,24.370001,42000,24.370001,54.4198902449,4,2012
2012-12-04,24.530001,26.799999,24.040001,25.85,23400,25.85,61.8552746597,4,2012
2012-12-05,25.889999,26.41,25.129999,26.41,11200,26.41,64.2327955716,4,2012
2012-12-06,26.299999,26.6,25.309999,25.5,11500,25.5,57.9156112819,4,2012
2012-12-07,25.5,26.5,24.940001,25.5,6500,25.5,57.9156112819,4,2012
2012-12-10,25.6,25.6,25.5,25.5,2800,25.5,57.9156112819,4,2012
2012-12-11,25.5,25.879999,25.0,25.879999,4900,25.879999,59.9689419923,4,2012
2012-12-12,25.719999,26.33,24.51,25.15,23900,25.15,54.4706829789,4,2012
2012-12-13,25.719999,25.719999,24.83,25.059999,25700,25.059999,53.8155695499,4,2012
2012-12-14,25.129999,25.879999,24.940001,25.879999,21100,25.879999,58.6903634214,4,2012
2012-12-17,25.51,25.91,25.26,25.370001,11100,25.370001,54.8151087516,4,2012
2012-12-18,25.549999,26.27,25.5,25.77,40500,25.77,57.2019969172,4,2012
2012-12-19,26.299999,26.48,25.530001,26.129999,75600,26.129999,59.2865082145,4,2012
2012-12-20,26.49,26.879999,25.591999,26.389999,45700,26.389999,60.7725385949,4,2012
2012-12-21,26.16,26.450001,25.559999,26.209999,620300,26.209999,59.1625598791,4,2012
2012-12-24,26.27,27.299999,25.75,26.92,22700,26.92,63.2933116671,4,2012
2012-12-26,27.440001,27.700001,26.370001,27.24,13400,27.24,65.0111261299,4,2012
2012-12-27,27.17,28.58,26.209999,27.200001,48500,27.200001,64.6041440693,4,2012
2012-12-28,27.309999,28.0,27.02,27.91,26400,27.91,68.3872082896,4,2012
