Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.5,4.89,4.37,4.47,72000,4.47,,1,2012
2012-01-04,4.43,4.57,4.41,4.45,36400,4.45,,1,2012
2012-01-05,4.41,4.49,4.38,4.47,19600,4.47,,1,2012
2012-01-06,4.48,4.48,4.32,4.32,26700,4.32,,1,2012
2012-01-09,4.69,4.69,4.25,4.39,39400,4.39,,1,2012
2012-01-10,4.45,4.49,4.37,4.49,20400,4.49,,1,2012
2012-01-11,4.45,4.5,4.37,4.49,17800,4.49,,1,2012
2012-01-12,4.5,4.5,4.41,4.5,23600,4.5,,1,2012
2012-01-13,4.45,4.52,4.45,4.45,12000,4.45,,1,2012
2012-01-17,4.5,4.5,4.38,4.42,20300,4.42,,1,2012
2012-01-18,4.39,4.43,4.25,4.4,30000,4.4,,1,2012
2012-01-19,4.4,4.44,4.32,4.41,20800,4.41,,1,2012
2012-01-20,4.4,4.47,4.27,4.43,48400,4.43,,1,2012
2012-01-23,4.41,4.48,4.35,4.41,15000,4.41,,1,2012
2012-01-24,4.39,4.42,4.31,4.42,29900,4.42,45.2830188679,1,2012
2012-01-25,4.7,4.7,4.39,4.5,46300,4.5,52.9338327091,1,2012
2012-01-26,4.5,4.62,4.47,4.59,40300,4.59,59.7519914593,1,2012
2012-01-27,4.52,4.96,4.353,4.96,57600,4.96,75.4788726432,1,2012
2012-01-30,4.91,5.06,4.859,4.97,53300,4.97,75.7546192501,1,2012
2012-01-31,5.0,5.12,4.97,5.08,43500,5.08,78.6047482311,1,2012
2012-02-01,5.1,5.18,5.02,5.16,58000,5.16,80.4085319818,1,2012
2012-02-02,5.14,5.14,4.95,5.09,64600,5.09,74.4907097186,1,2012
2012-02-03,5.2,5.25,5.04,5.24,51200,5.24,78.1941890777,1,2012
2012-02-06,5.24,5.279,4.97,5.19,37500,5.19,74.3208488821,1,2012
2012-02-07,5.29,5.29,5.11,5.2,29000,5.2,74.5919289198,1,2012
2012-02-08,5.19,5.19,4.86,5.05,63400,5.05,63.7250890432,1,2012
2012-02-09,5.0,5.05,4.95,4.96,29800,4.96,58.2424806386,1,2012
2012-02-10,4.95,4.97,4.78,4.78,20600,4.78,49.13704921,1,2012
2012-02-13,4.81,4.83,4.7,4.81,36200,4.81,50.5253290329,1,2012
2012-02-14,4.76,4.77,4.64,4.65,23600,4.65,43.6779943078,1,2012
2012-02-15,4.65,4.67,4.5,4.55,27100,4.55,40.0268536665,1,2012
2012-02-16,4.57,4.74,4.442,4.73,26100,4.73,48.3897883261,1,2012
2012-02-17,4.74,4.74,4.63,4.67,19300,4.67,46.083008611,1,2012
2012-02-21,4.66,4.66,4.35,4.36,26100,4.36,36.4221960516,1,2012
2012-02-22,4.38,4.41,4.24,4.3,27900,4.3,34.8973045152,1,2012
2012-02-23,4.3,4.4,4.3,4.39,40900,4.39,39.0213778169,1,2012
2012-02-24,4.39,4.41,4.25,4.32,28900,4.32,37.0552258411,1,2012
2012-02-27,4.23,4.39,4.23,4.36,31700,4.36,38.9482630192,1,2012
2012-02-28,4.35,4.37,4.27,4.29,7800,4.29,36.8591246161,1,2012
2012-02-29,4.28,4.37,4.11,4.13,28000,4.13,32.5600865119,1,2012
2012-03-01,4.14,4.25,3.98,4.15,29400,4.15,33.6025772292,1,2012
2012-03-02,4.16,4.18,3.99,4.01,50300,4.01,30.0955423182,1,2012
2012-03-05,3.95,4.07,3.95,4.06,17500,4.06,32.7933226132,1,2012
2012-03-06,4.03,4.06,3.96,4.01,32200,4.01,31.4847823617,1,2012
2012-03-07,4.01,4.1,4.01,4.06,32700,4.06,34.3077162561,1,2012
2012-03-08,4.08,4.24,4.07,4.24,26700,4.24,43.3557943735,1,2012
2012-03-09,4.19,4.45,4.17,4.45,46100,4.45,51.7120582959,1,2012
2012-03-12,4.47,4.55,4.403,4.53,18700,4.53,54.4677530877,1,2012
2012-03-13,4.55,4.56,4.5,4.56,28800,4.56,55.4934806006,1,2012
2012-03-14,4.56,4.56,4.39,4.44,20200,4.44,50.5846675024,1,2012
2012-03-15,4.45,4.46,4.28,4.37,8900,4.37,47.9216862991,1,2012
2012-03-16,4.39,4.4,4.1,4.11,60300,4.11,39.585850158,1,2012
2012-03-19,4.15,4.44,4.05,4.43,51100,4.43,50.9050391012,1,2012
2012-03-20,4.37,4.487,4.34,4.35,20000,4.35,48.460541606,1,2012
2012-03-21,4.35,4.36,4.17,4.27,17500,4.27,46.0776524063,1,2012
2012-03-22,4.2,4.32,4.2,4.27,13400,4.27,46.0776524063,1,2012
2012-03-23,4.28,4.44,4.19,4.33,23100,4.33,48.2893522799,1,2012
2012-03-26,4.36,4.47,4.29,4.47,22200,4.47,53.1210196385,1,2012
2012-03-27,4.48,4.48,4.27,4.27,20600,4.27,46.4446632555,1,2012
2012-03-28,4.27,4.36,4.25,4.32,18200,4.32,48.1975275285,1,2012
2012-03-29,4.28,4.37,4.27,4.34,17700,4.34,48.917739469,1,2012
2012-03-30,4.39,4.39,4.17,4.17,23100,4.17,43.3950160829,1,2012
2012-04-02,4.17,4.34,4.17,4.34,31300,4.34,49.5311522017,2,2012
2012-04-03,4.31,4.31,4.17,4.27,14200,4.27,47.2593932038,2,2012
2012-04-04,4.21,4.21,4.04,4.04,25200,4.04,40.6605010391,2,2012
2012-04-05,4.01,4.21,4.01,4.1,19800,4.1,42.9003782908,2,2012
2012-04-09,3.98,4.11,3.98,4.03,28600,4.03,40.9579285052,2,2012
2012-04-10,4.03,4.08,3.86,3.86,88600,3.86,36.6212483903,2,2012
2012-04-11,3.89,3.97,3.74,3.8,54300,3.8,35.2044627753,2,2012
2012-04-12,3.78,3.9,3.74,3.79,27500,3.79,34.9616917424,2,2012
2012-04-13,3.76,3.87,3.74,3.76,33400,3.76,34.199739278,2,2012
2012-04-16,3.77,3.88,3.77,3.87,27500,3.87,39.4136804153,2,2012
2012-04-17,3.89,3.98,3.86,3.92,19100,3.92,41.6759692007,2,2012
2012-04-18,3.89,3.92,3.86,3.86,16700,3.86,39.7574846736,2,2012
2012-04-19,3.86,3.89,3.77,3.79,28500,3.79,37.5837611515,2,2012
2012-04-20,3.82,3.98,3.82,3.93,35100,3.93,44.1595653597,2,2012
2012-04-23,3.84,3.87,3.77,3.85,45300,3.85,41.4708731264,2,2012
2012-04-24,3.84,4.16,3.84,4.15,47000,4.15,53.0220517292,2,2012
2012-04-25,4.19,4.27,4.17,4.22,28100,4.22,55.2417250494,2,2012
2012-04-26,4.22,4.22,4.07,4.09,13500,4.09,50.4721787921,2,2012
2012-04-27,4.08,4.15,3.97,4.01,34300,4.01,47.7405090226,2,2012
2012-04-30,3.99,4.05,3.94,3.94,19800,3.94,45.4238971798,2,2012
2012-05-01,3.97,4.02,3.75,3.77,72000,3.77,40.3083006839,2,2012
2012-05-02,3.8,3.89,3.8,3.86,51400,3.86,43.9097517843,2,2012
2012-05-03,3.84,3.921,3.84,3.87,46800,3.87,44.3117915398,2,2012
2012-05-04,3.87,3.87,3.77,3.77,43000,3.77,41.1364317622,2,2012
2012-05-07,3.77,3.85,3.74,3.85,19500,3.85,44.5592021956,2,2012
2012-05-08,3.82,4.17,3.74,4.1,44500,4.1,53.6327517344,2,2012
2012-05-09,4.02,4.11,3.8,4.05,46700,4.05,51.8065567285,2,2012
2012-05-10,4.08,4.15,3.99,4.14,29300,4.14,54.790586375,2,2012
2012-05-11,4.09,4.16,4.05,4.16,26000,4.16,55.4507142804,2,2012
2012-05-14,4.1,4.24,4.07,4.21,31100,4.21,57.1357874349,2,2012
2012-05-15,4.2,4.2,4.06,4.08,29300,4.08,51.6640586059,2,2012
2012-05-16,4.09,4.12,4.05,4.08,35700,4.08,51.6640586059,2,2012
2012-05-17,4.08,4.09,3.89,3.9,36900,3.9,44.7778784328,2,2012
2012-05-18,3.87,3.89,3.75,3.79,41000,3.79,41.1667624452,2,2012
2012-05-21,3.79,4.01,3.75,4.01,30200,4.01,49.8735774129,2,2012
2012-05-22,3.98,4.05,3.78,3.89,29000,3.89,45.8847251586,2,2012
2012-05-23,3.85,3.95,3.77,3.91,44900,3.91,46.6505697473,2,2012
2012-05-24,3.89,4.01,3.85,4.0,43600,4.0,50.0746142889,2,2012
2012-05-25,4.0,4.15,4.0,4.1,24700,4.1,53.6353426849,2,2012
2012-05-29,4.13,4.14,3.94,4.08,18000,4.08,52.8238913313,2,2012
2012-05-30,4.06,4.22,4.04,4.13,43200,4.13,54.6702637888,2,2012
2012-05-31,4.11,4.11,4.03,4.05,29700,4.05,51.2163574842,2,2012
2012-06-01,3.97,3.98,3.76,3.76,38300,3.76,41.0837324922,2,2012
2012-06-04,3.82,3.94,3.72,3.94,32800,3.94,47.9649942595,2,2012
2012-06-05,3.88,4.08,3.81,3.98,45700,3.98,49.379901627,2,2012
2012-06-06,3.98,4.06,3.9,4.03,23100,4.03,51.1673654189,2,2012
2012-06-07,4.08,4.1,3.94,4.0,30700,4.0,50.0259453442,2,2012
2012-06-08,3.99,4.08,3.96,4.03,15000,4.03,51.1983344603,2,2012
2012-06-11,4.08,4.08,3.86,3.86,33500,3.86,44.7864436445,2,2012
2012-06-12,3.83,4.01,3.83,3.95,22800,3.95,48.4660549676,2,2012
2012-06-13,3.9,4.1,3.78,3.87,40900,3.87,45.5595704935,2,2012
2012-06-14,3.86,4.04,3.86,4.02,22100,4.02,51.4398299763,2,2012
2012-06-15,3.98,4.07,3.85,4.05,60500,4.05,52.5438628659,2,2012
2012-06-18,4.0,4.03,3.93,4.01,24600,4.01,50.8827623497,2,2012
2012-06-19,4.01,4.08,4.01,4.07,40200,4.07,53.2692155885,2,2012
2012-06-20,4.05,4.1,3.966,4.01,17800,4.01,50.6205302453,2,2012
2012-06-21,3.99,4.04,3.9,3.92,24800,3.92,46.8569271784,2,2012
2012-06-22,3.98,4.252,3.98,4.25,194200,4.25,58.9179758726,2,2012
2012-06-25,4.13,4.31,4.03,4.17,32700,4.17,55.6222742848,2,2012
2012-06-26,4.18,4.33,4.0,4.31,14900,4.31,59.8544192903,2,2012
2012-06-27,4.29,4.31,4.17,4.28,16900,4.28,58.5655303975,2,2012
2012-06-28,4.25,4.27,4.18,4.2,11500,4.2,55.1547364117,2,2012
2012-06-29,4.25,4.25,4.2,4.24,30300,4.24,56.5182976107,2,2012
2012-07-02,4.21,4.45,4.2,4.45,28500,4.45,62.8967333919,3,2012
2012-07-03,4.4,4.65,4.3,4.65,18800,4.65,67.749015175,3,2012
2012-07-05,4.63,4.66,4.42,4.63,23300,4.63,66.808105987,3,2012
2012-07-06,4.55,4.71,4.46,4.61,18900,4.61,65.8236163589,3,2012
2012-07-09,4.59,4.61,4.47,4.54,42300,4.54,62.3599166042,3,2012
