Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-10-09,18.5,20.469999,17.790001,19.35,4279400,19.35,,4,2013
2013-10-10,19.5,21.18,19.5,20.219999,500600,20.219999,,4,2013
2013-10-11,20.17,20.26,20.0,20.0,134200,20.0,,4,2013
2013-10-14,20.0,22.139999,20.0,21.200001,163800,21.200001,,4,2013
2013-10-15,21.120001,22.67,20.0,20.92,55800,20.92,,4,2013
2013-10-16,20.969999,21.0,20.0,20.950001,178700,20.950001,,4,2013
2013-10-17,20.26,21.0,20.110001,20.9,85100,20.9,,4,2013
2013-10-18,20.85,20.85,20.0,20.4,127500,20.4,,4,2013
2013-10-21,20.459999,20.83,20.1,20.790001,21300,20.790001,,4,2013
2013-10-22,21.15,22.030001,20.43,20.93,40500,20.93,,4,2013
2013-10-23,20.530001,21.43,20.26,21.280001,23300,21.280001,,4,2013
2013-10-24,21.66,21.66,20.35,20.68,39000,20.68,,4,2013
2013-10-25,21.34,21.34,20.309999,20.870001,150100,20.870001,,4,2013
2013-10-28,20.959999,21.34,20.57,20.82,28500,20.82,,4,2013
2013-10-29,20.77,21.0,20.59,20.59,86200,20.59,62.1568484429,4,2013
2013-10-30,20.549999,21.299999,20.450001,20.65,47700,20.65,62.6303100214,4,2013
2013-10-31,21.209999,21.209999,20.68,20.709999,145600,20.709999,63.1271105632,4,2013
2013-11-01,20.84,20.969999,20.0,20.059999,146700,20.059999,54.6506942744,4,2013
2013-11-04,20.25,21.190001,20.23,20.780001,156700,20.780001,60.9117506667,4,2013
2013-11-05,20.9,21.18,20.25,20.809999,28900,20.809999,61.1523998814,4,2013
2013-11-06,21.27,22.040001,20.75,21.059999,59400,21.059999,63.1865239876,4,2013
2013-11-07,20.92,22.74,20.790001,22.25,22600,22.25,70.9767675084,4,2013
2013-11-08,22.530001,24.0,22.41,23.5,48300,23.5,76.5824972622,4,2013
2013-11-11,23.84,23.91,23.49,23.719999,29400,23.719999,77.4095011931,4,2013
2013-11-12,23.700001,23.700001,22.09,22.99,24500,22.99,68.7352365559,4,2013
2013-11-13,22.73,23.09,22.049999,22.33,9200,22.33,61.9736048609,4,2013
2013-11-14,22.290001,23.799999,21.1,23.450001,9100,23.450001,67.7681174369,4,2013
2013-11-15,23.450001,23.690001,21.200001,21.530001,168000,21.530001,52.8893358617,4,2013
2013-11-18,21.82,23.049999,21.5,22.0,39300,22.0,55.4668763393,4,2013
2013-11-19,22.0,22.309999,21.809999,21.99,21900,21.99,55.3974277199,4,2013
2013-11-20,22.290001,22.290001,21.299999,21.809999,18700,21.809999,54.0847316414,4,2013
2013-11-21,21.879999,23.0,21.879999,22.0,29500,22.0,55.2890846495,4,2013
2013-11-22,21.98,22.0,21.41,21.98,37200,21.98,55.1251746513,4,2013
2013-11-25,22.18,22.18,20.9,21.75,54400,21.75,53.1729086682,4,2013
2013-11-26,21.32,22.200001,21.139999,21.860001,5500,21.860001,54.0117681189,4,2013
2013-11-27,21.719999,22.690001,21.469999,21.719999,11300,21.719999,52.7173694999,4,2013
2013-11-29,21.530001,22.07,21.33,22.02,1900,22.02,55.1952310381,4,2013
2013-12-02,21.93,22.93,21.93,22.41,12100,22.41,58.2577438317,4,2013
2013-12-03,22.26,23.1,21.940001,22.68,71800,22.68,60.2818199918,4,2013
2013-12-04,22.790001,23.860001,22.77,23.15,30700,23.15,63.591405609,4,2013
2013-12-05,23.17,24.9,23.07,23.530001,66100,23.530001,66.0542726368,4,2013
2013-12-06,24.110001,26.5,23.709999,25.309999,188800,25.309999,74.6907373494,4,2013
2013-12-09,25.33,26.99,24.17,26.559999,40000,26.559999,78.7746853455,4,2013
2013-12-10,26.879999,26.879999,24.309999,25.34,59800,25.34,67.3516145901,4,2013
2013-12-11,24.83,25.389999,23.799999,24.799999,112800,24.799999,62.997130291,4,2013
2013-12-12,24.76,25.459999,23.66,24.57,46100,24.57,61.1827278522,4,2013
2013-12-13,24.82,24.82,23.24,23.99,43000,23.99,56.7443695541,4,2013
2013-12-16,23.780001,25.0,23.75,24.639999,56300,24.639999,60.2265860696,4,2013
2013-12-17,24.82,24.82,23.43,23.93,161900,23.93,55.0165995367,4,2013
2013-12-18,24.07,24.65,23.59,24.35,136100,24.35,57.366121118,4,2013
2013-12-19,24.17,24.49,23.469999,24.07,154600,24.07,55.2926960401,4,2013
2013-12-20,24.049999,24.049999,22.879999,23.879999,865800,23.879999,53.8698396041,4,2013
2013-12-23,23.91,24.27,23.799999,24.0,45300,24.0,54.6633567939,4,2013
2013-12-24,23.700001,24.16,23.629999,23.700001,6800,23.700001,52.2438535793,4,2013
2013-12-26,23.83,24.219999,23.709999,23.959999,50400,23.959999,54.1384366175,4,2013
2013-12-27,24.0,24.530001,23.639999,24.190001,41500,24.190001,55.8086350594,4,2013
2013-12-30,24.129999,24.370001,23.860001,24.15,17300,24.15,55.4305475701,4,2013
2013-12-31,24.27,24.27,23.25,23.6,36900,23.6,50.3769643228,4,2013
2014-01-02,23.92,25.73,23.75,24.9,243000,24.9,59.7237909648,1,2014
2014-01-03,25.139999,25.139999,24.5,24.639999,39500,24.639999,57.3953052466,1,2014
2014-01-06,24.75,24.889999,24.1,24.74,118500,24.74,58.0723858456,1,2014
2014-01-07,24.83,25.26,24.0,24.940001,67900,24.940001,59.4600322607,1,2014
2014-01-08,24.92,26.0,24.059999,25.700001,100300,25.700001,64.2957867556,1,2014
2014-01-09,25.809999,26.18,23.34,25.65,43200,25.65,63.7569488346,1,2014
2014-01-10,26.24,27.5,25.940001,27.190001,123000,27.190001,71.6402061513,1,2014
2014-01-13,27.0,27.5,26.549999,27.190001,107200,27.190001,71.6402061513,1,2014
2014-01-14,27.389999,27.68,27.040001,27.43,72800,27.43,72.7129483369,1,2014
2014-01-15,27.620001,28.23,27.610001,27.74,41200,27.74,74.0769512913,1,2014
2014-01-16,27.83,27.9,27.049999,27.41,32200,27.41,70.0620185631,1,2014
2014-01-17,26.25,27.299999,25.219999,26.65,92800,26.65,61.7599478352,1,2014
2014-01-21,26.68,26.85,25.950001,26.1,34100,26.1,56.5386001292,1,2014
2014-01-22,26.360001,26.360001,25.370001,25.549999,35300,25.549999,51.8205436787,1,2014
2014-01-23,25.690001,25.969999,24.459999,25.950001,247000,25.950001,54.7762930555,1,2014
2014-01-24,25.559999,26.24,24.5,25.18,64900,25.18,48.5958614251,1,2014
2014-01-27,25.120001,25.559999,24.27,25.23,84300,25.23,48.9982766633,1,2014
2014-01-28,25.25,26.32,25.25,26.16,110500,26.16,55.9117572666,1,2014
2014-01-29,25.780001,26.9,25.49,26.299999,56700,26.299999,56.8597846346,1,2014
2014-01-30,26.68,26.68,25.780001,25.99,35100,25.99,54.0864236959,1,2014
2014-01-31,25.639999,26.5,24.59,26.42,64200,26.42,57.2045361112,1,2014
