Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-01-29,9.25,9.32,7.85,8.15,1976200,8.15,,1,2015
2015-01-30,8.23,8.338,6.5,6.51,189800,6.51,,1,2015
2015-02-02,6.7,7.03,6.51,6.79,83900,6.79,,1,2015
2015-02-03,6.56,7.04,6.51,6.56,39800,6.56,,1,2015
2015-02-04,6.39,6.78,6.22,6.34,25700,6.34,,1,2015
2015-02-05,6.28,6.95,6.28,6.71,32000,6.71,,1,2015
2015-02-06,6.8,7.19,6.774,6.83,28300,6.83,,1,2015
2015-02-09,7.09,7.09,6.69,6.78,24400,6.78,,1,2015
2015-02-10,6.81,6.96,6.44,6.575,17200,6.575,,1,2015
2015-02-11,6.45,6.68,6.41,6.63,13100,6.63,,1,2015
2015-02-12,6.554,6.68,6.33,6.67,7700,6.67,,1,2015
2015-02-13,6.69,6.69,5.52,6.0,23700,6.0,,1,2015
2015-02-17,6.37,6.6,5.79,6.6,18900,6.6,,1,2015
2015-02-18,6.42,6.69,6.31,6.55,15400,6.55,,1,2015
2015-02-19,6.38,7.09,6.38,7.09,3400,7.09,39.5463510848,1,2015
2015-02-20,7.036,7.16,6.85,7.125,11400,7.125,39.9924698795,1,2015
2015-02-23,6.99,6.99,6.57,6.85,114000,6.85,37.6420237706,1,2015
2015-02-24,7.023,7.023,6.6,6.71,21700,6.71,36.4669856319,1,2015
2015-02-25,6.88,7.04,6.88,7.01,35500,7.01,40.7361856343,1,2015
2015-02-26,7.09,7.09,6.71,7.0,2400,7.0,40.6381589095,1,2015
2015-02-27,6.9,7.05,6.9,6.98,15800,6.98,40.4286185367,1,2015
2015-03-02,7.0,7.09,6.68,7.0,68000,7.0,40.7575846231,1,2015
2015-03-03,7.08,7.09,6.72,6.82,26900,6.82,38.6869424419,1,2015
2015-03-04,6.92,6.92,6.5,6.76,29600,6.76,37.9940346251,1,2015
2015-03-05,6.55,7.39,6.55,7.39,18000,7.39,48.4369875023,1,2015
2015-03-06,7.357,7.46,7.28,7.343,8200,7.343,47.7903336057,1,2015
2015-03-09,7.24,7.78,7.22,7.58,16300,7.58,51.3195972943,1,2015
2015-03-10,7.43,9.084,7.43,8.68,60500,8.68,63.6137692143,1,2015
2015-03-11,8.72,9.0,8.06,8.41,19000,8.41,59.6328235043,1,2015
2015-03-12,8.39,8.6,8.33,8.59,9100,8.59,61.3685051228,1,2015
2015-03-13,8.41,8.63,8.2,8.2,8400,8.2,55.7729627191,1,2015
2015-03-16,8.46,8.63,8.3,8.63,8200,8.63,60.0934197635,1,2015
2015-03-17,8.36,8.74,8.28,8.68,23000,8.68,60.575691884,1,2015
2015-03-18,8.65,9.0,8.65,8.69,12400,8.69,60.6780441434,1,2015
2015-03-19,8.67,8.73,8.5,8.52,13700,8.52,57.9248800212,1,2015
2015-03-20,8.61,8.85,8.0,8.26,53900,8.26,53.8970198103,1,2015
2015-03-23,8.28,8.48,8.0,8.15,190700,8.15,52.2418896786,1,2015
2015-03-24,8.16,8.25,7.75,8.25,6800,8.25,53.6358228338,1,2015
2015-03-25,7.71,7.71,7.4,7.45,17000,7.45,42.8585880649,1,2015
2015-03-26,6.68,7.22,6.52,6.87,5600,6.87,37.0466147106,1,2015
2015-03-27,7.0,7.69,7.0,7.51,106200,7.51,45.7834525797,1,2015
2015-03-30,7.73,7.73,7.36,7.64,8200,7.64,47.38090033,1,2015
2015-03-31,7.54,7.78,7.39,7.39,5400,7.39,44.6559684116,1,2015
2015-04-01,7.44,7.5,7.32,7.44,85900,7.44,45.3331283364,2,2015
2015-04-02,7.5,7.59,6.66,7.55,31600,7.55,46.8732018859,2,2015
2015-04-06,7.49,7.95,7.41,7.88,42100,7.88,51.3052579719,2,2015
2015-04-07,7.89,7.95,7.58,7.84,8600,7.84,50.7525695395,2,2015
2015-04-08,7.3,7.51,7.27,7.27,500,7.27,43.5525790214,2,2015
2015-04-09,7.4,7.44,7.4,7.44,2900,7.44,46.0125254587,2,2015
2015-04-10,7.3,7.8,7.27,7.53,12100,7.53,47.3213883023,2,2015
2015-04-13,7.59,7.9,7.46,7.87,8800,7.87,52.0507649326,2,2015
2015-04-14,7.92,8.15,7.75,7.94,40400,7.94,52.9865909824,2,2015
2015-04-15,8.0,8.0,7.41,7.7,11700,7.7,49.4248931574,2,2015
2015-04-16,7.45,7.71,7.41,7.57,6800,7.57,47.5600174517,2,2015
2015-04-17,7.75,7.75,7.57,7.6,2400,7.6,48.0471821898,2,2015
2015-04-20,7.74,8.0,7.5,7.51,22000,7.51,46.6471301606,2,2015
2015-04-21,7.65,7.65,7.35,7.37,36200,7.37,44.4760651896,2,2015
2015-04-22,7.508,8.24,7.481,8.0,7100,8.0,54.6947234052,2,2015
2015-04-23,8.0,8.0,8.0,8.0,0,8.0,54.6947234052,2,2015
2015-04-24,8.0,8.0,7.37,7.38,2100,7.38,45.2001759405,2,2015
2015-04-27,7.54,7.76,7.51,7.66,9300,7.66,49.4665489482,2,2015
2015-04-28,7.88,8.25,7.68,8.02,8300,8.02,54.3838565599,2,2015
2015-04-29,7.79,7.98,7.79,7.8,1900,7.8,51.1107118099,2,2015
2015-04-30,8.0,8.02,7.93,7.99,315800,7.99,53.7023239479,2,2015
2015-05-01,8.219,8.22,8.04,8.06,800,8.06,54.6560093878,2,2015
2015-05-04,8.06,8.06,8.06,8.06,0,8.06,54.6560093878,2,2015
2015-05-05,8.1,8.1,7.839,8.1,4500,8.1,55.2666819276,2,2015
2015-05-06,8.24,8.49,7.76,8.2,20100,8.2,56.8319049567,2,2015
2015-05-07,8.5,8.816,8.45,8.816,256500,8.816,64.9643432163,2,2015
2015-05-08,8.39,8.85,7.85,8.84,65000,8.84,65.2391098499,2,2015
