Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,12.0,12.09,11.81,11.91,57000,11.91,,1,2012
2012-01-04,11.85,11.93,11.64,11.65,29300,11.65,,1,2012
2012-01-05,11.57,11.73,11.44,11.62,47200,11.62,,1,2012
2012-01-06,11.62,11.69,11.54,11.59,63900,11.59,,1,2012
2012-01-09,11.65,11.83,11.48,11.51,88100,11.51,,1,2012
2012-01-10,11.61,11.92,11.51,11.91,89400,11.91,,1,2012
2012-01-11,11.86,12.14,11.68,12.12,64700,12.12,,1,2012
2012-01-12,12.12,12.12,11.82,11.97,38200,11.97,,1,2012
2012-01-13,11.87,12.11,11.84,12.09,38700,12.09,,1,2012
2012-01-17,12.2,12.29,11.91,11.98,37100,11.98,,1,2012
2012-01-18,11.98,12.26,11.95,12.22,41300,12.22,,1,2012
2012-01-19,12.22,12.22,11.95,12.08,59200,12.08,,1,2012
2012-01-20,12.05,12.27,11.93,12.26,28000,12.26,,1,2012
2012-01-23,12.22,12.25,12.05,12.24,34900,12.24,,1,2012
2012-01-24,12.16,12.64,12.02,12.61,148800,12.61,64.9572649573,1,2012
2012-01-25,12.65,12.76,12.48,12.7,137300,12.7,66.351010101,1,2012
2012-01-26,12.75,12.75,12.24,12.28,47600,12.28,55.2978792294,1,2012
2012-01-27,12.26,12.41,12.17,12.32,38200,12.32,56.0488166224,1,2012
2012-01-30,12.29,12.41,12.0,12.27,37900,12.27,54.8093775875,1,2012
2012-01-31,12.3,12.52,12.26,12.44,46000,12.44,58.1943656411,1,2012
2012-02-01,12.54,12.85,12.27,12.81,73000,12.81,64.4379390878,1,2012
2012-02-02,12.81,13.36,12.66,13.35,54800,13.35,71.1985945918,1,2012
2012-02-03,13.56,13.93,13.45,13.83,79600,13.83,75.6330061684,1,2012
2012-02-06,13.77,14.16,13.53,14.02,73300,14.02,77.1337751199,1,2012
2012-02-07,13.99,14.09,13.44,13.93,114300,13.93,74.7841685688,1,2012
2012-02-08,14.02,14.32,14.02,14.27,61700,14.27,77.5645616969,1,2012
2012-02-09,14.26,14.53,14.05,14.47,146800,14.47,79.0293679842,1,2012
2012-02-10,14.65,15.43,14.2,14.7,360600,14.7,80.5981790803,1,2012
2012-02-13,15.2,15.73,14.53,15.68,322800,15.68,85.5563289066,1,2012
2012-02-14,15.53,15.86,15.3,15.36,111800,15.36,78.5018396732,1,2012
2012-02-15,15.49,15.52,15.0,15.03,67200,15.03,71.9163271785,1,2012
2012-02-16,15.0,15.48,15.0,15.43,92200,15.43,74.6881436748,1,2012
2012-02-17,15.48,15.53,15.05,15.22,69000,15.22,70.7406314018,1,2012
2012-02-21,15.31,15.48,14.75,14.76,88200,14.76,62.8984804556,1,2012
2012-02-22,14.78,14.96,14.55,14.64,55200,14.64,60.9987359434,1,2012
2012-02-23,14.66,14.96,14.52,14.83,94200,14.83,62.9089465473,1,2012
2012-02-24,14.83,14.95,14.71,14.76,50900,14.76,61.709763249,1,2012
2012-02-27,14.66,14.81,14.51,14.74,44200,14.74,61.3499278757,1,2012
2012-02-28,14.79,14.94,14.6,14.71,36800,14.71,60.7774373542,1,2012
2012-02-29,15.0,15.0,14.57,14.68,104100,14.68,60.1727391083,1,2012
2012-03-01,14.68,14.99,14.68,14.77,67000,14.77,61.4130836398,1,2012
2012-03-02,14.8,14.94,14.63,14.78,87100,14.78,61.5563448922,1,2012
2012-03-05,14.8,15.43,14.71,15.43,141800,15.43,69.486457297,1,2012
2012-03-06,15.31,15.48,15.16,15.26,81800,15.26,65.6709837988,1,2012
2012-03-07,15.33,15.82,15.24,15.7,101700,15.7,70.2276737501,1,2012
2012-03-08,15.84,15.94,15.67,15.82,56200,15.82,71.3448063418,1,2012
2012-03-09,15.8,15.93,15.69,15.8,71100,15.8,70.867526971,1,2012
2012-03-12,15.77,16.02,15.56,15.96,259600,15.96,72.4550739337,1,2012
2012-03-13,16.040001,16.370001,15.91,16.24,152700,16.24,75.0204796353,1,2012
2012-03-14,16.200001,16.41,16.07,16.139999,99800,16.139999,72.4260595553,1,2012
2012-03-15,16.200001,16.299999,16.129999,16.27,58800,16.27,73.6994240972,1,2012
2012-03-16,16.219999,16.540001,16.200001,16.290001,90700,16.290001,73.8991335145,1,2012
2012-03-19,16.280001,18.200001,16.280001,17.950001,331900,17.950001,84.451687873,1,2012
2012-03-20,17.91,18.219999,17.530001,18.049999,124000,18.049999,84.8490713766,1,2012
2012-03-21,18.059999,18.1,17.610001,17.709999,134100,17.709999,77.5881112732,1,2012
2012-03-22,17.610001,17.860001,17.5,17.85,68000,17.85,78.4074941917,1,2012
2012-03-23,17.82,18.059999,17.58,18.049999,56200,18.049999,79.5573089621,1,2012
2012-03-26,18.26,18.74,18.1,18.24,120500,18.24,80.613487351,1,2012
2012-03-27,18.200001,18.379999,17.889999,17.9,58200,17.9,73.3139773692,1,2012
2012-03-28,17.93,18.01,17.42,17.49,82200,17.49,65.5999825241,1,2012
2012-03-29,17.379999,17.469999,17.049999,17.09,99600,17.09,59.0698871772,1,2012
2012-03-30,17.16,17.16,15.93,15.95,277600,15.95,45.2461133073,1,2012
2012-04-02,15.95,16.790001,15.9,16.67,181700,16.67,52.7647489026,2,2012
2012-04-03,16.65,16.65,16.139999,16.299999,76200,16.299999,49.0381452605,2,2012
2012-04-04,16.01,16.23,14.5,15.53,415700,15.53,42.3368358323,2,2012
2012-04-05,15.48,15.71,15.31,15.61,56200,15.61,43.2052331358,2,2012
2012-04-09,15.37,15.38,15.09,15.25,120400,15.25,40.2664941628,2,2012
2012-04-10,14.72,15.17,14.5,14.62,208700,14.62,35.6912978621,2,2012
2012-04-11,14.74,15.12,14.72,14.87,72600,14.87,38.6693194376,2,2012
2012-04-12,14.84,14.95,14.53,14.66,72600,14.66,37.1145490768,2,2012
2012-04-13,14.64,14.64,14.15,14.15,93200,14.15,33.5830770188,2,2012
2012-04-16,14.21,14.23,13.69,13.74,97800,13.74,31.027131588,2,2012
2012-04-17,13.89,14.35,13.89,14.18,85800,14.18,36.6034813372,2,2012
2012-04-18,14.1,14.18,13.67,13.84,66800,13.84,34.2960601632,2,2012
2012-04-19,13.9,14.3,13.75,14.05,69100,14.05,36.9401866275,2,2012
2012-04-20,14.3,14.5,14.06,14.28,62400,14.28,39.7977555764,2,2012
2012-04-23,14.08,14.35,13.77,13.84,53200,13.84,36.3995505211,2,2012
2012-04-24,13.81,14.0,13.75,13.95,71900,13.95,37.8287900296,2,2012
2012-04-25,14.13,14.31,13.94,14.11,28400,14.11,39.9428698668,2,2012
2012-04-26,14.13,14.16,13.89,13.92,42300,13.92,38.2782964019,2,2012
2012-04-27,13.95,13.99,13.62,13.89,79800,13.89,38.0089557069,2,2012
2012-04-30,13.85,13.92,13.45,13.51,67000,13.51,34.6802274833,2,2012
2012-05-01,13.44,13.45,12.49,12.58,218000,12.58,28.1764860552,2,2012
2012-05-02,12.12,12.93,12.0,12.85,279800,12.85,32.1545136203,2,2012
2012-05-03,12.79,12.82,12.0,12.12,212100,12.12,27.6891702523,2,2012
2012-05-04,12.04,12.21,11.84,11.9,125400,11.9,26.4950129055,2,2012
2012-05-07,11.9,12.54,11.9,12.28,108000,12.28,31.9538574066,2,2012
2012-05-08,12.18,12.81,12.14,12.72,99400,12.72,37.7212263325,2,2012
