Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,12.9,13.01,12.77,12.95,209000,12.95,,1,2012
2012-01-04,12.85,13.02,12.53,12.57,106800,12.57,,1,2012
2012-01-05,13.01,13.89,12.97,13.71,288900,13.71,,1,2012
2012-01-06,13.66,13.85,13.39,13.72,129900,13.72,,1,2012
2012-01-09,13.71,13.8,13.35,13.39,157500,13.39,,1,2012
2012-01-10,13.39,13.39,13.15,13.28,79900,13.28,,1,2012
2012-01-11,13.24,13.7,13.06,13.67,133000,13.67,,1,2012
2012-01-12,13.66,13.85,13.5,13.83,123900,13.83,,1,2012
2012-01-13,13.61,13.69,13.37,13.56,133800,13.56,,1,2012
2012-01-17,13.66,13.85,13.32,13.34,108600,13.34,,1,2012
2012-01-18,13.4,13.63,13.11,13.62,103100,13.62,,1,2012
2012-01-19,13.7,14.1,13.6,14.01,169500,14.01,,1,2012
2012-01-20,13.94,14.29,13.92,14.2,156000,14.2,,1,2012
2012-01-23,14.17,14.35,13.99,14.04,96100,14.04,,1,2012
2012-01-24,14.0,14.35,13.81,14.33,113000,14.33,65.9722222222,1,2012
2012-01-25,14.33,14.76,14.07,14.76,113600,14.76,69.2666452235,1,2012
2012-01-26,14.82,14.95,14.45,14.65,104400,14.65,67.4671647186,1,2012
2012-01-27,14.64,14.87,14.47,14.85,97300,14.85,69.0419404631,1,2012
2012-01-30,14.72,14.77,14.46,14.7,75000,14.7,66.4441765878,1,2012
2012-01-31,14.71,14.96,14.54,14.8,114600,14.8,67.3267927504,1,2012
2012-02-01,14.85,15.51,14.85,15.47,91000,15.47,72.5385777123,1,2012
2012-02-02,15.45,15.71,15.23,15.67,110600,15.67,73.8780689471,1,2012
2012-02-03,15.84,16.4,15.79,16.280001,153700,16.280001,77.4852591064,1,2012
2012-02-06,16.17,16.33,15.86,16.049999,190300,16.049999,73.3711587128,1,2012
2012-02-07,16.049999,16.16,15.76,16.09,75200,16.09,73.6333598119,1,2012
2012-02-08,16.09,16.6,15.93,16.110001,101500,16.110001,73.7724210164,1,2012
2012-02-09,16.110001,16.110001,15.83,15.84,66700,15.84,68.5187938423,1,2012
2012-02-10,15.65,15.7,15.31,15.34,78200,15.34,59.9978068187,1,2012
2012-02-13,15.48,15.58,15.08,15.37,150400,15.37,60.3166844671,1,2012
2012-02-14,15.24,17.43,15.12,17.129999,726700,17.129999,73.6084164399,1,2012
2012-02-15,17.5,18.440001,17.41,17.57,385300,17.57,75.7914865005,1,2012
2012-02-16,17.58,17.58,16.52,17.09,321600,17.09,69.0784773772,1,2012
2012-02-17,17.0,17.629999,16.610001,16.690001,200800,16.690001,63.9919161257,1,2012
2012-02-21,16.76,17.290001,16.76,17.18,172000,17.18,67.1800758211,1,2012
2012-02-22,17.110001,17.629999,17.110001,17.540001,116400,17.540001,69.3287230145,1,2012
2012-02-23,17.6,17.65,17.35,17.450001,97800,17.450001,68.127908091,1,2012
2012-02-24,17.49,17.49,17.0,17.290001,170400,17.290001,65.9412435363,1,2012
2012-02-27,17.190001,17.6,16.959999,17.35,120500,17.35,66.3770578972,1,2012
2012-02-28,17.440001,17.65,17.33,17.4,110500,17.4,66.7587913597,1,2012
2012-02-29,17.41,17.549999,17.01,17.02,176700,17.02,61.0827999352,1,2012
2012-03-01,19.43,19.83,18.57,19.110001,485900,19.110001,74.1172210739,1,2012
2012-03-02,19.139999,19.200001,18.309999,18.620001,220000,18.620001,68.3382774347,1,2012
2012-03-05,18.559999,18.639999,18.23,18.370001,158100,18.370001,65.5308797237,1,2012
2012-03-06,18.25,18.59,18.0,18.26,229200,18.26,64.2796000556,1,2012
2012-03-07,18.299999,18.530001,18.09,18.299999,198200,18.299999,64.5447103617,1,2012
2012-03-08,18.389999,18.389999,17.709999,17.73,193100,17.73,57.9448494879,1,2012
2012-03-09,17.709999,18.34,17.709999,18.15,137600,18.15,61.1010990506,1,2012
2012-03-12,18.15,18.33,18.02,18.08,91400,18.08,60.2889729614,1,2012
2012-03-13,18.200001,18.41,17.99,18.360001,180700,18.360001,62.4395333637,1,2012
2012-03-14,19.35,20.26,18.98,19.65,252900,19.65,70.3943417358,1,2012
2012-03-15,19.66,19.83,19.450001,19.66,117800,19.66,70.4465935771,1,2012
2012-03-16,19.690001,19.9,19.35,19.620001,112500,19.620001,69.9150591194,1,2012
2012-03-19,19.59,20.190001,19.52,19.709999,93700,19.709999,70.4552169044,1,2012
2012-03-20,19.5,19.559999,18.68,18.99,90900,18.99,61.0166971136,1,2012
2012-03-21,19.040001,19.360001,18.719999,18.809999,86900,18.809999,58.8925773324,1,2012
2012-03-22,18.709999,18.709999,18.18,18.41,98300,18.41,54.3635322241,1,2012
2012-03-23,18.379999,18.549999,18.200001,18.35,80000,18.35,53.6964662034,1,2012
2012-03-26,18.530001,18.77,18.290001,18.469999,227100,18.469999,54.8886896383,1,2012
2012-03-27,18.469999,18.84,18.469999,18.49,70300,18.49,55.0962216849,1,2012
2012-03-28,18.49,18.77,18.459999,18.610001,80200,18.610001,56.3924434745,1,2012
2012-03-29,18.52,18.76,18.190001,18.610001,38900,18.610001,56.3924434745,1,2012
2012-03-30,18.719999,18.780001,18.42,18.530001,100000,18.530001,55.1613090221,1,2012
2012-04-02,18.49,18.780001,18.209999,18.76,75900,18.76,58.000222801,2,2012
2012-04-03,18.709999,18.870001,18.41,18.530001,73000,18.530001,54.2979581597,2,2012
2012-04-04,18.42,18.540001,18.08,18.360001,113200,18.360001,51.6725009967,2,2012
2012-04-05,18.280001,18.33,18.1,18.1,28400,18.1,47.8608540887,2,2012
2012-04-09,17.889999,17.92,17.639999,17.700001,89000,17.700001,42.6485898186,2,2012
2012-04-10,17.780001,17.780001,16.93,16.969999,120600,16.969999,35.12946426,2,2012
2012-04-11,17.110001,17.48,16.65,17.23,65100,17.23,39.2383837385,2,2012
2012-04-12,17.280001,17.82,17.280001,17.68,75500,17.68,45.6544166054,2,2012
2012-04-13,17.59,17.91,17.040001,17.209999,72600,17.209999,40.8076730156,2,2012
2012-04-16,17.299999,17.299999,16.85,17.059999,63300,17.059999,39.3711183442,2,2012
2012-04-17,17.209999,17.9,17.209999,17.620001,62100,17.620001,46.8882770697,2,2012
2012-04-18,17.549999,17.58,17.02,17.200001,94100,17.200001,42.6201840173,2,2012
2012-04-19,17.200001,17.610001,17.139999,17.41,175200,17.41,45.3012036484,2,2012
2012-04-20,17.719999,17.799999,17.33,17.41,62300,17.41,45.3012036484,2,2012
2012-04-23,17.129999,17.370001,16.93,17.280001,84500,17.280001,43.8308792064,2,2012
2012-04-24,17.23,17.66,17.129999,17.57,90600,17.57,47.8937622821,2,2012
2012-04-25,17.719999,18.040001,17.59,17.879999,124700,17.879999,51.8990934961,2,2012
2012-04-26,17.860001,18.360001,17.68,18.07,73400,18.07,54.2217662642,2,2012
2012-04-27,18.08,18.530001,17.84,18.5,96000,18.5,59.0420264444,2,2012
2012-04-30,18.48,18.530001,17.67,17.709999,82600,17.709999,48.8624335498,2,2012
2012-05-01,17.709999,18.17,17.360001,17.4,64000,17.4,45.5441101373,2,2012
2012-05-02,17.93,17.93,16.84,17.129999,150000,17.129999,42.8167228888,2,2012
2012-05-03,18.040001,19.42,17.74,18.870001,210500,18.870001,59.605139982,2,2012
2012-05-04,18.74,18.809999,18.01,18.309999,126200,18.309999,54.100067625,2,2012
2012-05-07,18.280001,18.74,18.16,18.59,59300,18.59,56.274609159,2,2012
2012-05-08,18.440001,18.68,18.26,18.440001,102600,18.440001,54.7774400478,2,2012
2012-05-09,18.209999,18.35,18.030001,18.18,87000,18.18,52.185758088,2,2012
2012-05-10,18.35,18.35,17.950001,17.98,122000,17.98,50.2175319334,2,2012
2012-05-11,17.790001,18.17,17.790001,18.030001,107700,18.030001,50.7179638754,2,2012
2012-05-14,17.790001,18.200001,17.790001,18.02,121000,18.02,50.6083815611,2,2012
2012-05-15,18.07,18.219999,17.99,18.07,90600,18.07,51.1763447757,2,2012
2012-05-16,18.1,18.1,17.879999,17.879999,95000,17.879999,48.8763022844,2,2012
2012-05-17,17.860001,18.16,17.709999,17.719999,100900,17.719999,46.9622056438,2,2012
2012-05-18,17.690001,17.91,17.200001,17.27,101800,17.27,41.9824344682,2,2012
2012-05-21,17.299999,17.57,17.049999,17.24,112600,17.24,41.6652374097,2,2012
2012-05-22,17.23,17.299999,16.969999,17.129999,98100,17.129999,40.458179972,2,2012
2012-05-23,16.91,17.440001,16.57,16.969999,84300,16.969999,38.7018975009,2,2012
2012-05-24,16.959999,16.99,16.59,16.92,76000,16.92,38.1446505706,2,2012
2012-05-25,16.860001,16.959999,16.67,16.83,94100,16.83,37.1088902541,2,2012
2012-05-29,16.98,17.26,16.809999,17.07,159600,17.07,41.6583298198,2,2012
2012-05-30,16.9,16.969999,16.809999,16.870001,43700,16.870001,39.1187883854,2,2012
2012-05-31,16.860001,16.860001,16.52,16.75,83800,16.75,37.6362645455,2,2012
2012-06-01,16.43,16.58,16.16,16.469999,75000,16.469999,34.3637867622,2,2012
2012-06-04,16.49,16.58,16.24,16.450001,118500,16.450001,34.1354961363,2,2012
2012-06-05,16.34,16.9,16.26,16.85,86100,16.85,42.380877182,2,2012
2012-06-06,16.98,17.59,16.82,17.59,76800,17.59,53.8829968322,2,2012
2012-06-07,17.709999,17.98,17.6,17.700001,105400,17.700001,55.3111029247,2,2012
2012-06-08,17.629999,18.01,17.5,17.93,69400,17.93,58.2240947232,2,2012
2012-06-11,17.700001,17.700001,16.639999,16.780001,162000,16.780001,43.0973264689,2,2012
2012-06-12,16.969999,17.01,16.360001,16.540001,90000,16.540001,40.7196854449,2,2012
2012-06-13,16.52,16.959999,16.48,16.610001,138000,16.610001,41.7294418474,2,2012
2012-06-14,16.58,17.02,16.58,16.9,139700,16.9,45.8449918744,2,2012
2012-06-15,16.870001,17.200001,16.809999,17.01,142100,17.01,47.3636001175,2,2012
2012-06-18,16.91,17.129999,16.76,16.889999,110900,16.889999,45.8529924837,2,2012
2012-06-19,16.93,17.040001,16.85,16.969999,174400,16.969999,47.0650937986,2,2012
2012-06-20,16.969999,17.16,16.940001,17.01,113900,17.01,47.6955696888,2,2012
2012-06-21,16.940001,17.07,16.65,16.68,85400,16.68,43.1315341615,2,2012
2012-06-22,16.82,17.0,16.719999,16.98,165200,16.98,48.0028112932,2,2012
2012-06-25,16.66,17.030001,16.66,16.83,83200,16.83,45.8863537444,2,2012
2012-06-26,16.799999,16.950001,16.6,16.67,67700,16.67,43.6743650832,2,2012
2012-06-27,16.719999,17.200001,16.67,17.16,176700,17.16,51.4009550083,2,2012
2012-06-28,17.0,17.379999,16.299999,16.540001,199000,16.540001,43.3060786417,2,2012
2012-06-29,16.879999,17.280001,16.85,16.959999,209800,16.959999,49.1483894919,2,2012
2012-07-02,17.059999,17.34,16.84,17.0,122300,17.0,49.6802466116,3,2012
2012-07-03,16.99,17.200001,16.98,17.0,92100,17.0,49.6802466116,3,2012
2012-07-05,16.940001,17.209999,16.940001,17.01,128900,17.01,49.8323757196,3,2012
2012-07-06,16.85,17.1,16.85,16.99,97800,16.99,49.5099859168,3,2012
2012-07-09,17.049999,17.139999,16.959999,16.959999,153300,16.959999,48.9979061172,3,2012
2012-07-10,17.139999,17.35,17.02,17.15,89400,17.15,52.3586378793,3,2012
2012-07-11,17.139999,17.43,17.139999,17.379999,127700,17.379999,56.1273619203,3,2012
2012-07-12,17.309999,17.49,17.129999,17.42,100800,17.42,56.7679016433,3,2012
2012-07-13,17.450001,17.66,17.4,17.52,84500,17.52,58.4029430584,3,2012
2012-07-16,17.450001,17.799999,17.450001,17.620001,92000,17.620001,60.0308745132,3,2012
2012-07-17,17.700001,17.959999,17.540001,17.860001,64800,17.860001,63.7023727855,3,2012
2012-07-18,17.860001,18.09,17.84,18.02,77100,18.02,65.9480696297,3,2012
2012-07-19,18.09,18.09,17.93,17.99,59100,17.99,65.1343558233,3,2012
2012-07-20,17.870001,18.120001,17.870001,18.049999,83800,18.049999,66.0369321744,3,2012
2012-07-23,17.74,17.84,17.23,17.35,56200,17.35,49.8295939418,3,2012
2012-07-24,17.48,17.51,16.9,16.940001,87200,16.940001,43.1496589652,3,2012
2012-07-25,16.99,16.99,16.67,16.940001,139700,16.940001,43.1496589652,3,2012
2012-07-26,17.200001,17.559999,17.059999,17.360001,100500,17.360001,50.9600187789,3,2012
2012-07-27,17.43,18.129999,17.309999,18.059999,119800,18.059999,60.6606024216,3,2012
2012-07-30,18.059999,18.200001,17.93,18.059999,48500,18.059999,60.6606024216,3,2012
2012-07-31,17.940001,18.209999,17.870001,17.889999,71300,17.889999,57.4592812444,3,2012
