Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-05-07,13.25,15.01,12.9,14.95,3302500,14.95,,2,2015
2015-05-08,15.02,19.48,15.02,19.27,655300,19.27,,2,2015
2015-05-11,20.209999,21.700001,19.6,20.75,547900,20.75,,2,2015
2015-05-12,21.68,21.889999,19.24,21.57,271600,21.57,,2,2015
2015-05-13,21.57,22.0,18.200001,19.59,373100,19.59,,2,2015
2015-05-14,19.190001,21.34,18.35,20.58,100400,20.58,,2,2015
2015-05-15,21.07,21.49,18.884001,20.129999,144300,20.129999,,2,2015
2015-05-18,19.709999,20.23,18.9,19.9,93000,19.9,,2,2015
2015-05-19,20.389999,20.389999,19.535,20.1,39100,20.1,,2,2015
2015-05-20,20.040001,23.16,19.08,22.879999,153000,22.879999,,2,2015
2015-05-21,23.200001,27.82,22.9,24.0,184800,24.0,,2,2015
2015-05-22,23.76,25.969999,23.0,24.709999,75500,24.709999,,2,2015
2015-05-26,25.200001,26.5,24.030001,25.34,231100,25.34,,2,2015
2015-05-27,25.83,26.85,23.540001,24.690001,160900,24.690001,,2,2015
2015-05-28,24.219999,25.139999,23.91,23.98,113600,23.98,76.4499121265,2,2015
2015-05-29,23.59,24.0,22.129999,22.889999,165200,22.889999,71.5309651245,2,2015
2015-06-01,24.17,24.27,22.690001,23.48,110800,23.48,72.5601363528,2,2015
