Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.190024,1.210024,1.180024,1.200024,16300,8.400167,,1,2012
2012-01-04,1.200024,1.200024,1.170023,1.180024,8200,8.260165,,1,2012
2012-01-05,1.200024,1.200024,1.180024,1.180024,7300,8.260165,,1,2012
2012-01-06,1.180024,1.190024,1.170023,1.190024,20100,8.330166,,1,2012
2012-01-09,1.190024,1.200024,1.160023,1.180024,33900,8.260165,,1,2012
2012-01-10,1.190024,1.200024,1.170023,1.190024,12800,8.330166,,1,2012
2012-01-11,1.190024,1.200024,1.150023,1.170023,10500,8.190163,,1,2012
2012-01-12,1.190024,1.190024,1.170023,1.190024,15000,8.330166,,1,2012
2012-01-13,1.180024,1.190024,1.170023,1.190024,18800,8.330166,,1,2012
2012-01-17,1.190024,1.190024,1.160023,1.190024,15300,8.330166,,1,2012
2012-01-18,1.180024,1.180024,1.120022,1.180024,15900,8.260165,,1,2012
2012-01-19,1.180024,1.190024,1.150023,1.190024,11700,8.330166,,1,2012
2012-01-20,1.190024,1.250025,1.180024,1.240025,52900,8.680174,,1,2012
2012-01-23,1.290026,1.380028,1.250025,1.370027,90300,9.590192,,1,2012
2012-01-24,1.370027,1.400028,1.290026,1.300026,13400,9.100182,63.8889164457,1,2012
2012-01-25,1.300026,1.350027,1.290026,1.320026,13400,9.240184,65.9274354336,1,2012
2012-01-26,1.400028,1.400028,1.280026,1.290026,13900,9.03018,60.41786632,1,2012
2012-01-27,1.060021,1.080022,0.810016,0.99002,335000,6.930138,31.7990836933,1,2012
2012-01-30,1.00002,1.00002,0.920018,0.950019,55700,6.650133,29.773989221,1,2012
2012-01-31,0.98002,0.98002,0.910018,0.920018,19100,6.440129,28.3174209571,1,2012
2012-02-01,0.940019,0.960019,0.880018,0.910018,61500,6.370127,27.8287073681,1,2012
2012-02-02,0.910018,0.930019,0.820016,0.900018,44400,6.300126,27.3209284667,1,2012
2012-02-03,0.900018,0.970019,0.840017,0.970019,21700,6.790136,36.1092330711,1,2012
2012-02-06,0.960019,1.030021,0.950019,0.99002,26200,6.930138,38.4010657571,1,2012
2012-02-07,1.00002,1.01002,0.960019,1.00002,5800,7.00014,39.5683329361,1,2012
2012-02-08,1.00002,1.030021,0.930019,1.01002,4200,7.070141,40.7768889204,1,2012
2012-02-09,0.98002,0.98002,0.930019,0.960019,11700,6.720134,36.8126777844,1,2012
2012-02-10,0.960019,1.00002,0.940019,0.950019,7800,6.650133,36.0576680982,1,2012
2012-02-13,0.950019,1.100022,0.840017,0.910018,31600,6.370127,33.1306039313,1,2012
2012-02-14,0.900018,0.900018,0.880018,0.880018,10900,6.160123,31.0920206133,1,2012
2012-02-15,0.850017,0.880018,0.850017,0.880018,3600,6.160123,31.0920206133,1,2012
2012-02-16,0.880018,0.99002,0.880018,0.920018,6600,6.440129,37.0789509594,1,2012
2012-02-17,0.930019,0.99002,0.910018,0.98002,10500,6.860137,44.8229935602,1,2012
2012-02-21,0.970019,0.98002,0.900018,0.920018,11700,6.440129,39.5773031106,1,2012
2012-02-22,0.940019,0.940019,0.840017,0.840017,13600,5.880118,33.8833731791,1,2012
2012-02-23,0.900018,0.950019,0.840017,0.910018,9000,6.370127,41.7766173459,1,2012
2012-02-24,0.900018,0.950019,0.850017,0.910018,2900,6.370127,41.7766173459,1,2012
2012-02-27,0.850017,0.920018,0.850017,0.900018,5000,6.300126,40.9663255989,1,2012
2012-02-28,0.860017,0.910018,0.860017,0.910018,5100,6.370127,42.1741801106,1,2012
2012-02-29,0.920018,0.98002,0.890018,0.970019,9200,6.790136,48.9264513582,1,2012
2012-03-01,0.970019,0.98002,0.960019,0.960019,7600,6.720134,47.9220665076,1,2012
2012-03-02,0.98002,1.040021,0.920018,0.940019,13200,6.580131,45.8929186607,1,2012
