Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.71,1.79,1.64,1.64,9400,1.64,,1,2012
2012-01-04,1.69,1.78,1.58,1.68,7800,1.68,,1,2012
2012-01-05,1.68,1.69,1.53,1.6,14100,1.6,,1,2012
2012-01-06,1.56,1.73,1.51,1.54,9800,1.54,,1,2012
2012-01-09,1.54,1.61,1.54,1.58,2500,1.58,,1,2012
2012-01-10,1.64,1.64,1.44,1.55,15600,1.55,,1,2012
2012-01-11,1.5,1.5,1.2,1.38,54800,1.38,,1,2012
2012-01-12,1.38,1.48,1.32,1.42,24800,1.42,,1,2012
2012-01-13,1.43,1.48,1.43,1.46,900,1.46,,1,2012
2012-01-17,1.53,1.53,1.47,1.47,6900,1.47,,1,2012
2012-01-18,1.55,1.55,1.48,1.51,10000,1.51,,1,2012
2012-01-19,1.46,1.65,1.41,1.64,54000,1.64,,1,2012
2012-01-20,1.66,1.66,1.5,1.63,30600,1.63,,1,2012
2012-01-23,1.66,1.66,1.62,1.62,16300,1.62,,1,2012
2012-01-24,1.49,1.73,1.48,1.69,30500,1.69,53.2467532468,1,2012
2012-01-25,1.69,1.69,1.57,1.58,4300,1.58,46.1471861472,1,2012
2012-01-26,1.61,1.68,1.61,1.65,18800,1.65,50.6560078111,1,2012
2012-01-27,1.65,1.7,1.65,1.66,6400,1.66,51.2835129185,1,2012
2012-01-30,1.66,1.71,1.66,1.71,5200,1.71,54.4056280039,1,2012
2012-01-31,1.72,1.78,1.66,1.78,35200,1.78,58.4229727061,1,2012
2012-02-01,1.78,1.78,1.72,1.77,6900,1.77,57.641613681,1,2012
2012-02-02,1.78,1.78,1.69,1.78,23100,1.78,58.2430374188,1,2012
2012-02-03,1.77,1.78,1.7,1.76,10900,1.76,56.5147435133,1,2012
2012-02-06,1.78,1.8,1.67,1.75,16800,1.75,55.6259402601,1,2012
2012-02-07,1.75,1.75,1.67,1.75,7800,1.75,55.6259402601,1,2012
2012-02-08,1.69,1.73,1.69,1.72,6000,1.72,52.7400801098,1,2012
2012-02-09,1.71,1.75,1.66,1.75,43200,1.75,55.2407992732,1,2012
2012-02-10,1.72,1.77,1.72,1.76,7700,1.76,56.0751443595,1,2012
2012-02-13,1.75,1.8,1.7,1.75,26200,1.75,54.9716083307,1,2012
2012-02-14,1.75,1.89,1.65,1.69,63200,1.69,48.7699940277,1,2012
2012-02-15,1.75,1.81,1.69,1.74,16000,1.74,53.4798817721,1,2012
2012-02-16,1.69,1.8,1.68,1.69,28300,1.69,48.6619530714,1,2012
2012-02-17,1.7,1.85,1.7,1.85,8400,1.85,60.8243848349,1,2012
2012-02-21,1.83,1.84,1.7,1.82,8300,1.82,58.047544661,1,2012
2012-02-22,1.68,1.8,1.67,1.7,11100,1.7,48.5079347153,1,2012
2012-02-23,1.7,1.74,1.65,1.65,17900,1.65,45.1764894311,1,2012
2012-02-24,1.65,1.68,1.63,1.63,21400,1.63,43.8783688088,1,2012
2012-02-27,1.63,1.65,1.6,1.61,9900,1.61,42.5613186124,1,2012
2012-02-28,1.64,1.75,1.61,1.68,6200,1.68,48.3992694244,1,2012
2012-02-29,1.68,1.77,1.64,1.77,35400,1.77,54.7651473085,1,2012
2012-03-01,1.77,1.79,1.71,1.71,26800,1.71,50.3091694443,1,2012
2012-03-02,1.7,1.7,1.64,1.67,20000,1.67,47.5325080665,1,2012
2012-03-05,1.64,1.68,1.6,1.6,11000,1.6,43.0541994202,1,2012
2012-03-06,1.6,1.6,1.43,1.45,24400,1.45,35.3650911595,1,2012
2012-03-07,1.52,1.7,1.47,1.5,23600,1.5,39.25916889,1,2012
2012-03-08,1.46,1.55,1.46,1.47,42900,1.47,37.7881148206,1,2012
2012-03-09,1.47,1.62,1.38,1.49,20800,1.49,39.4178814283,1,2012
2012-03-12,1.45,1.5,1.39,1.46,13100,1.46,37.8175095153,1,2012
2012-03-13,1.47,1.5,1.42,1.42,3700,1.42,35.7342846323,1,2012
2012-03-14,1.45,1.5,1.42,1.49,9000,1.49,41.7786187856,1,2012
2012-03-15,1.5,1.6,1.46,1.59,14400,1.59,49.1381168986,1,2012
2012-03-16,1.53,1.53,1.36,1.45,72500,1.45,41.2724026507,1,2012
2012-03-19,1.44,1.48,1.36,1.36,24500,1.36,37.1548912749,1,2012
2012-03-20,1.39,1.4,1.37,1.39,8400,1.39,39.3277359687,1,2012
2012-03-21,1.4,1.46,1.4,1.46,11200,1.46,44.1775754834,1,2012
