Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,28.879999,28.92,28.459999,28.73,110800,26.680146,,1,2012
2012-01-04,28.540001,28.620001,28.370001,28.5,114700,26.466556,,1,2012
2012-01-05,28.09,28.15,27.9,28.0,74600,26.002231,,1,2012
2012-01-06,27.709999,27.73,27.299999,27.52,113300,25.556479,,1,2012
2012-01-09,28.0,28.08,27.860001,27.940001,130800,25.946512,,1,2012
2012-01-10,28.84,29.0,28.51,28.690001,205600,26.643,,1,2012
2012-01-11,29.43,29.450001,29.16,29.41,160200,27.311629,,1,2012
2012-01-12,30.030001,30.139999,29.9,30.09,111700,27.943112,,1,2012
2012-01-13,29.370001,29.49,29.18,29.4,36900,27.302342,,1,2012
2012-01-17,30.07,30.18,29.540001,29.559999,52000,27.450926,,1,2012
2012-01-18,29.889999,30.51,29.870001,30.51,112900,28.333145,,1,2012
2012-01-19,30.719999,31.0,30.549999,30.809999,358200,28.61174,,1,2012
2012-01-20,30.690001,30.870001,30.620001,30.83,70800,28.630313,,1,2012
2012-01-23,30.76,30.940001,30.65,30.73,40500,28.537448,,1,2012
2012-01-24,30.76,31.6,30.76,31.6,235800,29.345375,70.887921361,1,2012
2012-01-25,32.130001,32.57,31.76,32.549999,240500,30.227592,74.6613358306,1,2012
2012-01-26,32.939999,33.099998,32.759998,32.970001,348200,30.617628,76.1341634244,1,2012
2012-01-27,32.560001,32.939999,32.529999,32.75,311700,30.413323,73.7170602474,1,2012
2012-01-30,32.389999,32.57,32.189999,32.560001,38600,30.236881,71.6028244445,1,2012
2012-01-31,33.25,33.25,32.759998,32.919998,89600,30.571192,73.1728042683,1,2012
2012-02-01,33.57,33.860001,33.419998,33.48,170500,31.091238,75.4468630579,1,2012
2012-02-02,33.349998,33.5,33.139999,33.25,72100,30.877649,72.7203706095,1,2012
2012-02-03,33.369999,33.75,33.310001,33.720001,39900,31.314116,74.7300411274,1,2012
2012-02-06,33.09,33.450001,33.09,33.380001,54900,30.998375,70.6739296256,1,2012
2012-02-07,33.099998,33.57,32.990002,33.490002,20900,31.100527,71.2182227507,1,2012
2012-02-08,33.169998,33.27,32.77,32.98,84200,30.626913,65.1781350153,1,2012
