Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.320026,1.320026,1.180024,1.250025,94900,8.750175,,1,2012
2012-01-04,1.230025,1.230025,1.140023,1.180024,63400,8.260165,,1,2012
2012-01-05,1.220024,1.250025,1.160023,1.210024,45600,8.470169,,1,2012
2012-01-06,1.210024,1.230025,1.180024,1.200024,57700,8.400167,,1,2012
2012-01-09,1.200024,1.200024,1.130023,1.160023,79100,8.120162,,1,2012
2012-01-10,1.220024,1.300026,1.220024,1.270025,389400,8.890178,,1,2012
2012-01-11,1.260025,1.410028,1.250025,1.390028,254200,9.730194,,1,2012
2012-01-12,1.390028,1.470029,1.390028,1.440029,157500,10.080201,,1,2012
2012-01-13,1.410028,1.48003,1.390028,1.460029,118200,10.220204,,1,2012
2012-01-17,1.470029,1.640033,1.460029,1.590032,246200,11.130222,,1,2012
2012-01-18,1.580032,1.630033,1.52003,1.630033,86600,11.410228,,1,2012
2012-01-19,1.620032,1.630033,1.390028,1.400028,292500,9.800196,,1,2012
2012-01-20,1.390028,1.420028,1.330027,1.370027,102500,9.590192,,1,2012
2012-01-23,1.360027,1.400028,1.290026,1.320026,62200,9.240184,,1,2012
2012-01-24,1.310026,1.380028,1.270025,1.370027,133100,9.590192,56.1224488308,1,2012
2012-01-25,1.370027,1.50003,1.330027,1.470029,133000,10.290205,60.4667542092,1,2012
2012-01-26,1.48003,1.48003,1.440029,1.460029,161900,10.220204,59.828826784,1,2012
2012-01-27,1.450029,1.570031,1.420028,1.570031,200900,10.990219,64.291598303,1,2012
2012-01-30,1.550031,1.550031,1.470029,1.49003,391200,10.430209,59.1453359741,1,2012
2012-01-31,1.50003,1.50003,1.450029,1.450029,569800,10.150202,56.7014029909,1,2012
2012-02-01,1.470029,1.610032,1.460029,1.590032,196600,11.130222,62.5362650715,1,2012
2012-02-02,1.590032,1.650033,1.570031,1.620032,162800,11.340227,63.6661836941,1,2012
2012-02-03,1.650033,1.690034,1.620032,1.670033,245900,11.690233,65.5320563758,1,2012
2012-02-06,1.650033,1.740035,1.600032,1.710034,95200,11.970239,66.9924206424,1,2012
2012-02-07,1.710034,1.730034,1.620032,1.710034,65800,11.970239,66.9924206424,1,2012
2012-02-08,1.720034,1.740035,1.650033,1.740035,75300,12.180244,68.1656253866,1,2012
2012-02-09,1.730034,1.730034,1.680034,1.710034,62800,11.970239,65.6526007146,1,2012
2012-02-10,1.680034,1.710034,1.650033,1.710034,54700,11.970239,65.6526007146,1,2012
2012-02-13,1.710034,1.750035,1.650033,1.750035,65600,12.250245,67.5050820578,1,2012
2012-02-14,1.780036,1.810036,1.700034,1.800036,86200,12.600252,69.7046153081,1,2012
2012-02-15,1.810036,1.830037,1.710034,1.830037,106800,12.810256,70.9741247394,1,2012
2012-02-16,1.790036,1.840037,1.740035,1.840037,81100,12.880257,71.4042767001,1,2012
2012-02-17,1.850037,1.850037,1.730034,1.800036,108100,12.600252,67.1194691466,1,2012
2012-02-21,1.810036,1.820036,1.530031,1.580032,135100,11.060221,49.5189079648,1,2012
2012-02-22,1.600032,1.750035,1.580032,1.750035,234900,12.250245,58.5615005369,1,2012
2012-02-23,1.720034,1.860037,1.720034,1.790036,139900,12.53025,60.360722334,1,2012
2012-02-24,1.790036,1.840037,1.720034,1.820036,64400,12.740254,61.7037453314,1,2012
2012-02-27,1.800036,1.800036,1.740035,1.780036,57500,12.460249,58.8411385985,1,2012
2012-02-28,1.790036,1.800036,1.770035,1.770035,35600,12.390248,58.1152608309,1,2012
2012-02-29,1.790036,1.790036,1.700034,1.700034,107500,11.900237,53.1705609447,1,2012
2012-03-01,1.700034,1.750035,1.700034,1.700034,47000,11.900237,53.1705609447,1,2012
2012-03-02,1.690034,1.690034,1.560031,1.580032,129800,11.060221,45.4775264912,1,2012
2012-03-05,1.590032,1.630033,1.540031,1.590032,72300,11.130222,46.1764031268,1,2012
2012-03-06,1.570031,1.580032,1.540031,1.560031,73800,10.920218,44.3401597956,1,2012
2012-03-07,1.560031,1.620032,1.550031,1.620032,72400,11.340227,48.7313078714,1,2012
2012-03-08,1.620032,1.720034,1.590032,1.680034,81600,11.760235,52.7460520338,1,2012
2012-03-09,1.690034,1.720034,1.640033,1.710034,48300,11.970239,54.6579363333,1,2012
2012-03-12,1.700034,1.700034,1.620032,1.660033,48900,11.620232,50.957400454,1,2012
2012-03-13,1.680034,1.740035,1.650033,1.740035,60300,12.180244,56.0809359752,1,2012
2012-03-14,1.740035,1.760035,1.680034,1.700034,31700,11.900237,53.0941820537,1,2012
2012-03-15,1.710034,1.750035,1.680034,1.730034,71100,12.110241,55.0286582763,1,2012
2012-03-16,1.730034,1.820036,1.720034,1.820036,315100,12.740254,60.3162295945,1,2012
2012-03-19,1.810036,1.920038,1.790036,1.910038,144500,13.370267,64.7762848291,1,2012
2012-03-20,1.880038,1.880038,1.810036,1.870037,106500,13.090262,61.4696299705,1,2012
2012-03-21,1.910038,2.01004,1.820036,1.860037,209600,13.02026,60.6362661801,1,2012
2012-03-22,1.860037,1.860037,1.800036,1.840037,73900,12.880257,58.9159106818,1,2012
2012-03-23,1.850037,1.900038,1.780036,1.870037,66600,13.090262,60.7163344215,1,2012
2012-03-26,1.880038,1.960039,1.830037,1.950039,86200,13.650272,65.1075374533,1,2012
2012-03-27,1.950039,1.950039,1.840037,1.950039,72400,13.650272,65.1075374533,1,2012
2012-03-28,1.950039,1.950039,1.810036,1.890038,66500,13.230264,59.3380657825,1,2012
