Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-07-31,9.0,9.0,7.01,7.25,1774400,7.25,,3,2014
2014-08-01,7.5,7.9,7.25,7.49,163600,7.49,,3,2014
2014-08-04,7.85,7.85,7.49,7.75,72200,7.75,,3,2014
2014-08-05,7.75,7.95,7.7,7.88,68400,7.88,,3,2014
2014-08-06,7.75,8.22,7.75,8.22,58000,8.22,,3,2014
2014-08-07,8.19,8.19,8.0,8.04,21200,8.04,,3,2014
2014-08-08,8.0,8.05,8.0,8.01,29400,8.01,,3,2014
2014-08-11,8.0,8.22,8.0,8.06,20000,8.06,,3,2014
2014-08-12,8.06,8.23,8.0,8.17,46900,8.17,,3,2014
2014-08-13,8.25,8.25,8.081,8.24,42100,8.24,,3,2014
2014-08-14,8.1,8.35,8.0,8.34,46400,8.34,,3,2014
2014-08-15,8.14,8.25,8.01,8.23,62900,8.23,,3,2014
2014-08-18,8.22,8.39,8.048,8.39,32100,8.39,,3,2014
2014-08-19,8.4,8.45,8.25,8.44,47500,8.44,,3,2014
2014-08-20,8.23,8.9,8.23,8.84,87500,8.84,85.6502242152,3,2014
2014-08-21,8.93,9.35,8.6,9.334,109000,9.334,88.414192614,3,2014
2014-08-22,9.4,9.6,9.3,9.51,72500,9.51,89.2114891257,3,2014
2014-08-25,9.6,9.79,9.45,9.69,147400,9.69,89.9715882588,3,2014
2014-08-26,9.76,9.98,9.53,9.71,179700,9.71,90.0554255258,3,2014
2014-08-27,9.75,9.76,9.25,9.34,61200,9.34,77.1976599569,3,2014
2014-08-28,9.14,9.78,8.65,9.31,191500,9.31,76.2470921106,3,2014
2014-08-29,9.68,9.94,9.32,9.435,110400,9.435,77.4907839784,3,2014
2014-09-02,9.56,9.845,9.48,9.6,37400,9.6,79.050108146,3,2014
2014-09-03,9.48,9.6,9.35,9.39,23900,9.39,72.1951602302,3,2014
2014-09-04,9.35,9.455,9.25,9.26,16200,9.26,68.2495839837,3,2014
2014-09-05,10.2,10.2,9.1,9.18,50900,9.18,65.8640685631,3,2014
2014-09-08,9.2,9.43,8.84,9.04,23400,9.04,61.7935644377,3,2014
2014-09-09,9.0,9.21,9.0,9.0,4100,9.0,60.6404336123,3,2014
