Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,71.129997,72.959999,70.419998,70.68,1240600,35.34,,1,2012
2012-01-04,70.339996,70.650002,69.660004,69.949997,656600,34.974998,,1,2012
2012-01-05,69.879997,69.879997,68.739998,69.5,706200,34.75,,1,2012
2012-01-06,69.669998,70.0,69.349998,69.839996,1055800,34.919998,,1,2012
2012-01-09,69.860001,70.269997,69.419998,70.040001,494600,35.02,,1,2012
2012-01-10,70.540001,70.540001,69.830002,70.080002,470800,35.040001,,1,2012
2012-01-11,69.779999,70.629997,69.57,69.839996,771400,34.919998,,1,2012
2012-01-12,70.099998,70.120003,68.349998,68.639999,458800,34.32,,1,2012
2012-01-13,68.129997,68.239998,66.949997,68.080002,486000,34.040001,,1,2012
2012-01-17,68.279999,69.269997,68.279999,69.0,659600,34.5,,1,2012
2012-01-18,69.0,69.699997,68.440002,69.410004,650000,34.705002,,1,2012
2012-01-19,69.720001,71.339996,69.529999,70.099998,889400,35.049999,,1,2012
2012-01-20,70.010002,70.589996,69.769997,70.440002,329600,35.220001,,1,2012
2012-01-23,70.589996,71.510002,70.470001,71.440002,654000,35.720001,,1,2012
2012-01-24,71.25,71.449997,70.959999,71.260002,507800,35.630001,53.97261535,1,2012
2012-01-25,71.099998,72.0,70.129997,71.639999,652400,35.82,56.4158841831,1,2012
2012-01-26,71.82,71.980003,70.940002,71.190002,509000,35.595001,52.8388563302,1,2012
2012-01-27,71.0,71.669998,70.910004,71.010002,391000,35.505001,51.4340443485,1,2012
2012-01-30,70.559998,71.360001,70.160004,71.25,482400,35.625,53.2198975757,1,2012
2012-01-31,71.599998,72.0,71.129997,71.220001,487600,35.610001,52.9577699016,1,2012
2012-02-01,71.419998,73.389999,71.419998,73.0,717600,36.5,64.2193427435,1,2012
2012-02-02,70.910004,71.510002,67.0,71.18,2515200,35.59,50.8224689851,1,2012
2012-02-03,71.699997,72.620003,71.25,72.139999,768800,36.07,56.0326458757,1,2012
2012-02-06,72.0,72.599998,70.489998,70.989998,467400,35.494999,49.2951025938,1,2012
2012-02-07,71.019997,71.889999,70.720001,71.690002,420400,35.845001,52.9997526508,1,2012
2012-02-08,71.629997,72.860001,71.629997,72.730003,908000,36.365002,57.9190305245,1,2012
2012-02-09,72.5,73.400002,72.160004,73.199997,947800,36.599998,59.9586578081,1,2012
2012-02-10,72.550003,73.080002,71.989998,72.779999,462600,36.389999,57.2865193821,1,2012
2012-02-13,73.040001,74.650002,72.959999,74.010002,1074600,37.005001,62.5503169719,1,2012
2012-02-14,73.739998,74.029999,73.269997,73.699997,367600,36.849998,60.5257928099,1,2012
2012-02-15,73.900002,74.459999,73.040001,74.0,661000,37.0,61.8138666598,1,2012
2012-02-16,73.910004,75.260002,73.660004,74.970001,698800,37.485001,65.7099298213,1,2012
2012-02-17,75.279999,75.379997,74.580002,74.690002,484200,37.345001,63.6898856849,1,2012
2012-02-21,74.660004,75.279999,73.940002,74.669998,605200,37.334999,63.5395999259,1,2012
2012-02-22,74.5,74.739998,73.599998,73.790001,656200,36.895,57.1508012101,1,2012
2012-02-23,73.919998,74.360001,73.580002,74.300003,482200,37.150002,59.6810351866,1,2012
2012-02-24,74.169998,75.610001,74.120003,75.459999,625000,37.73,64.7758263172,1,2012
2012-02-27,74.669998,75.68,74.639999,75.300003,802400,37.650002,63.5824117761,1,2012
2012-02-28,75.25,75.5,74.260002,74.550003,1043000,37.275002,58.1720129849,1,2012
2012-02-29,74.949997,75.169998,74.029999,74.389999,562400,37.195,57.0565578487,1,2012
2012-03-01,74.739998,74.739998,73.209999,73.300003,746600,36.650002,50.0199973319,1,2012
2012-03-02,73.309998,73.309998,70.610001,71.25,1505600,35.625,40.0228266864,1,2012
2012-03-05,71.410004,72.110001,70.68,70.720001,859400,35.360001,37.9130965638,1,2012
2012-03-06,70.25,70.730003,69.809998,70.510002,575200,35.255001,37.079074052,1,2012
2012-03-07,70.589996,71.139999,70.309998,71.0,493400,35.5,40.3749939498,1,2012
2012-03-08,71.199997,72.650002,70.93,72.370003,702000,36.185001,48.4980070788,1,2012
2012-03-09,72.480003,73.860001,72.480003,73.529999,500800,36.764999,54.188888331,1,2012
2012-03-12,73.650002,73.650002,72.589996,72.940002,406000,36.470001,51.09629941,1,2012
2012-03-13,73.339996,74.830002,73.169998,74.830002,782400,37.415001,59.1408022532,1,2012
2012-03-14,74.839996,74.989998,74.160004,74.580002,337000,37.290001,57.7867097279,1,2012
2012-03-15,74.5,75.139999,74.32,74.639999,449800,37.32,58.0350398447,1,2012
2012-03-16,74.660004,75.690002,74.279999,75.099998,647200,37.549999,59.9789343418,1,2012
2012-03-19,74.879997,75.860001,74.879997,75.029999,460000,37.514999,59.5270502862,1,2012
2012-03-20,74.610001,75.050003,74.389999,74.639999,375400,37.32,56.9525640349,1,2012
2012-03-21,74.779999,75.010002,74.389999,74.779999,295000,37.389999,57.6604552665,1,2012
2012-03-22,74.389999,74.879997,73.809998,74.0,425600,37.0,52.4821548346,1,2012
2012-03-23,74.0,74.599998,73.550003,73.980003,556200,36.990002,52.3523533357,1,2012
2012-03-26,74.559998,75.449997,74.370003,75.150002,478800,37.575001,58.7768089259,1,2012
2012-03-27,75.300003,75.589996,74.459999,74.610001,474200,37.305,55.0851278931,1,2012
2012-03-28,74.529999,75.18,73.699997,74.540001,362400,37.27,54.6063340655,1,2012
2012-03-29,74.059998,75.150002,73.32,74.709999,520400,37.355,55.6153148358,1,2012
2012-03-30,75.0,75.169998,74.089996,74.370003,413000,37.185001,53.0744293647,1,2012
2012-04-02,74.290001,74.669998,73.629997,74.029999,850800,37.014999,50.5855190487,2,2012
2012-04-03,74.120003,74.360001,73.220001,73.949997,624000,36.974998,49.9914713272,2,2012
2012-04-04,73.269997,74.209999,71.800003,72.010002,1875200,36.005001,38.2585149061,2,2012
2012-04-05,71.980003,72.82,71.620003,72.550003,699800,36.275002,42.3167825027,2,2012
