Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.060021,1.160023,1.060021,1.100022,1800,6.600132,,1,2012
2012-01-04,1.100022,1.110022,1.060021,1.080022,3300,6.480129,,1,2012
2012-01-05,1.100022,1.100022,1.080022,1.090022,500,6.540131,,1,2012
2012-01-06,1.090022,1.120022,1.070021,1.090022,1000,6.540131,,1,2012
2012-01-09,1.070021,1.100022,1.050021,1.050021,4600,6.300126,,1,2012
2012-01-10,1.060021,1.120022,1.01002,1.01002,5900,6.060121,,1,2012
2012-01-11,1.080022,1.080022,1.040021,1.050021,5800,6.300126,,1,2012
2012-01-12,1.060021,1.060021,0.920018,0.99002,27200,5.940119,,1,2012
2012-01-13,1.02002,1.040021,1.00002,1.030021,8100,6.180123,,1,2012
2012-01-17,1.030021,1.040021,1.00002,1.030021,2400,6.180123,,1,2012
2012-01-18,1.030021,1.050021,0.970019,1.00002,5300,6.00012,,1,2012
2012-01-19,1.00002,1.01002,0.960019,1.00002,19600,6.00012,,1,2012
2012-01-20,1.01002,1.090022,1.00002,1.01002,3200,6.060121,,1,2012
2012-01-23,1.01002,1.060021,1.00002,1.040021,4600,6.240124,,1,2012
2012-01-24,1.030021,1.040021,1.00002,1.02002,3200,6.120122,38.2352797004,1,2012
2012-01-25,1.02002,1.050021,1.00002,1.00002,4000,6.00012,35.9574395505,1,2012
2012-01-26,1.050021,1.280026,1.050021,1.100022,58600,6.600132,51.5117731814,1,2012
2012-01-27,1.150023,1.200024,1.060021,1.150023,33400,6.900138,57.1196187911,1,2012
2012-01-30,1.200024,1.200024,1.060021,1.120022,9900,6.720134,53.1478637302,1,2012
2012-01-31,1.110022,1.140023,1.02002,1.030021,21900,6.180123,43.3984864941,1,2012
2012-02-01,1.060021,1.090022,1.030021,1.030021,14300,6.180123,43.3984864941,1,2012
2012-02-02,1.040021,1.130023,1.040021,1.050021,6200,6.300126,45.953636512,1,2012
2012-02-03,1.050021,1.100022,1.040021,1.050021,6200,6.300126,45.953636512,1,2012
2012-02-06,1.090022,1.150023,1.050021,1.070021,32800,6.420128,48.642436625,1,2012
2012-02-07,1.090022,1.210024,1.070021,1.100022,54400,6.600132,52.4627944617,1,2012
2012-02-08,1.140023,1.170023,1.070021,1.090022,11900,6.540131,51.0983143122,1,2012
2012-02-09,1.060021,1.070021,1.00002,1.030021,23100,6.180123,43.746457513,1,2012
2012-02-10,1.040021,1.050021,0.98002,0.98002,9900,5.880118,38.7438720962,1,2012
2012-02-13,1.00002,1.00002,0.960019,0.970019,11900,5.820116,37.812529911,1,2012
2012-02-14,0.970019,0.970019,0.870017,0.890018,16300,5.340107,31.3251695875,1,2012
2012-02-15,0.900018,0.910018,0.870017,0.900018,9600,5.400108,32.8754402439,1,2012
2012-02-16,0.900018,0.940019,0.890018,0.930019,7900,5.580111,37.4381755438,1,2012
2012-02-17,0.98002,0.98002,0.910018,0.920018,1000,5.52011,36.5464074203,1,2012
2012-02-21,0.920018,0.940019,0.900018,0.900018,5900,5.400108,34.7629272437,1,2012
2012-02-22,0.920018,0.930019,0.870017,0.900018,5700,5.400108,34.7629272437,1,2012
2012-02-23,0.910018,0.920018,0.880018,0.900018,2500,5.400108,34.7629272437,1,2012
2012-02-24,0.880018,0.910018,0.880018,0.910018,5200,5.460109,36.692248454,1,2012
2012-02-27,0.890018,0.890018,0.880018,0.890018,1000,5.340107,34.4949917528,1,2012
2012-02-28,0.890018,0.890018,0.880018,0.890018,300,5.340107,34.4949917528,1,2012
2012-02-29,0.900018,0.910018,0.860017,0.860017,3400,5.160103,31.2404707402,1,2012
2012-03-01,0.850017,0.930019,0.850017,0.920018,2800,5.52011,42.8532471745,1,2012
2012-03-02,0.880018,0.900018,0.850017,0.850017,5700,5.100102,35.3517865005,1,2012
2012-03-05,0.850017,0.890018,0.850017,0.850017,3400,5.100102,35.3517865005,1,2012
2012-03-06,0.910018,1.00002,0.900018,0.940019,38400,5.640112,48.7334425488,1,2012
2012-03-07,0.940019,0.940019,0.880018,0.890018,13200,5.340107,43.3632865768,1,2012
2012-03-08,1.00002,1.130023,0.880018,0.880018,174100,5.280106,42.3579546643,1,2012
2012-03-09,0.900018,0.900018,0.810016,0.860017,23300,5.160103,40.3434043475,1,2012
2012-03-12,0.870017,0.880018,0.710014,0.740015,43500,4.440089,30.8598611518,1,2012
2012-03-13,0.740015,0.780016,0.720014,0.750015,10900,4.50009,32.288307664,1,2012
2012-03-14,0.730015,0.750015,0.720014,0.750015,11100,4.50009,32.288307664,1,2012
2012-03-15,0.720014,0.730015,0.700014,0.720014,15200,4.320086,30.122974982,1,2012
2012-03-16,0.710014,0.720014,0.660013,0.680014,7400,4.080081,27.4770792197,1,2012
2012-03-19,0.700014,0.700014,0.660013,0.690014,13600,4.140083,29.152521189,1,2012
2012-03-20,0.690014,0.760015,0.660013,0.760015,12400,4.560091,39.6607708133,1,2012
2012-03-21,0.780016,0.780016,0.730015,0.740015,5900,4.440089,37.9297527582,1,2012
2012-03-22,0.740015,0.740015,0.720014,0.720014,2500,4.320086,36.2269643188,1,2012
2012-03-23,0.720014,0.730015,0.690014,0.700014,2600,4.200084,34.556300793,1,2012
2012-03-26,0.700014,0.720014,0.690014,0.720014,1000,4.320086,37.6527165351,1,2012
2012-03-27,0.730015,0.820016,0.660013,0.750015,20200,4.50009,42.0796307275,1,2012
2012-03-28,0.750015,0.750015,0.700014,0.700014,11300,4.200084,37.3230666007,1,2012
2012-03-29,0.790016,0.790016,0.720014,0.760015,500,4.560091,45.3118453506,1,2012
2012-03-30,0.760015,0.780016,0.720014,0.760015,12100,4.560091,45.3118453506,1,2012
2012-04-02,0.780016,0.780016,0.760015,0.760015,5300,4.560091,45.3118453506,2,2012
2012-04-03,0.750015,0.930019,0.750015,0.830017,59800,4.980099,53.8779258446,2,2012
2012-04-04,0.920018,0.920018,0.840017,0.880018,19700,5.280106,58.8375483742,2,2012
2012-04-05,0.890018,0.99002,0.880018,0.940019,41700,5.640112,63.859748343,2,2012
2012-04-09,0.960019,0.960019,0.850017,0.850017,18100,5.100102,53.3457209702,2,2012
2012-04-10,1.050021,1.110022,0.800016,0.800016,129200,4.800096,48.5621459221,2,2012
2012-04-11,0.770015,0.890018,0.770015,0.830017,47300,4.980099,51.3792883242,2,2012
2012-04-12,0.830017,0.880018,0.790016,0.830017,20400,4.980099,51.3792883242,2,2012
2012-04-13,0.800016,0.840017,0.790016,0.800016,16900,4.800096,48.3106998198,2,2012
2012-04-16,0.800016,0.820016,0.710014,0.740015,17300,4.440089,42.8044560175,2,2012
2012-04-17,0.740015,0.740015,0.700014,0.710014,23100,4.260085,40.3293745995,2,2012
2012-04-18,0.710014,0.760015,0.700014,0.700014,6800,4.200084,39.5092861292,2,2012
2012-04-19,0.700014,0.790016,0.680014,0.740015,8500,4.440089,44.3812795841,2,2012
2012-04-20,0.710014,0.740015,0.710014,0.720014,500,4.320086,42.5365335781,2,2012
2012-04-23,0.700014,0.730015,0.680014,0.680014,3300,4.080081,39.0413170244,2,2012
2012-04-24,0.670013,0.680014,0.640013,0.660013,26500,3.960079,37.387121283,2,2012
2012-04-25,0.700014,0.790016,0.610012,0.630013,73000,3.780075,34.9920926524,2,2012
2012-04-26,0.610012,0.630013,0.600012,0.620012,14000,3.720074,34.2055075133,2,2012
2012-04-27,0.620012,0.620012,0.560011,0.600012,21200,3.600072,32.6258867808,2,2012
2012-04-30,0.600012,0.620012,0.600012,0.610012,3300,3.660073,34.2605839715,2,2012
