Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-10-10,24.0,26.4,23.91,24.99,5360200,24.99,,4,2013
2013-10-11,25.200001,26.27,24.889999,26.1,549500,26.1,,4,2013
2013-10-14,26.5,26.5,25.01,25.379999,244500,25.379999,,4,2013
2013-10-15,25.059999,25.99,23.1,25.01,322400,25.01,,4,2013
2013-10-16,25.23,25.700001,24.16,25.43,97700,25.43,,4,2013
2013-10-17,26.5,26.5,24.51,25.17,47400,25.17,,4,2013
2013-10-18,25.09,25.73,25.049999,25.41,152800,25.41,,4,2013
2013-10-21,25.200001,25.719999,24.889999,25.700001,120500,25.700001,,4,2013
2013-10-22,25.98,27.99,25.74,27.219999,107300,27.219999,,4,2013
2013-10-23,27.219999,27.719999,25.700001,26.17,76800,26.17,,4,2013
2013-10-24,26.01,29.299999,26.01,28.0,93200,28.0,,4,2013
2013-10-25,28.0,28.450001,27.43,27.5,18400,27.5,,4,2013
2013-10-28,27.65,27.690001,26.77,27.370001,16000,27.370001,,4,2013
2013-10-29,27.08,27.77,26.0,27.129999,35400,27.129999,,4,2013
2013-10-30,26.360001,28.0,26.360001,26.85,22100,26.85,60.3794666026,4,2013
2013-10-31,27.0,28.32,26.52,26.940001,101500,26.940001,60.8034723088,4,2013
2013-11-01,27.620001,27.620001,26.5,27.32,25400,27.32,62.6222688574,4,2013
2013-11-04,28.219999,28.219999,25.6,26.15,64900,26.15,54.2720002612,4,2013
2013-11-05,26.610001,27.25,25.27,26.23,72500,26.23,54.7166306978,4,2013
2013-11-06,26.09,27.01,25.620001,26.23,261500,26.23,54.7166306978,4,2013
2013-11-07,25.559999,26.26,25.27,26.0,56300,26.0,52.9983789829,4,2013
2013-11-08,26.25,26.51,25.370001,25.91,59200,25.91,52.3061975498,4,2013
2013-11-11,25.91,26.809999,25.51,26.540001,32200,26.540001,56.5810406754,4,2013
2013-11-12,26.75,27.49,26.49,26.93,43300,26.93,59.0291996683,4,2013
2013-11-13,26.860001,29.0,26.860001,28.48,40900,28.48,66.9944594867,4,2013
2013-11-14,28.469999,28.75,27.34,27.959999,33100,27.959999,62.597621201,4,2013
2013-11-15,28.459999,30.25,27.030001,27.110001,122200,27.110001,56.1146208329,4,2013
2013-11-18,27.49,27.950001,25.4,26.110001,81100,26.110001,49.6055994503,4,2013
2013-11-19,26.0,26.0,23.0,23.209999,96000,23.209999,36.4141431869,4,2013
2013-11-20,23.299999,23.870001,21.5,22.209999,55300,22.209999,33.1413495985,4,2013
2013-11-21,22.290001,22.41,21.549999,21.82,85200,21.82,31.9358283163,4,2013
2013-11-22,21.870001,24.15,21.74,23.790001,40600,23.790001,43.1792670962,4,2013
2013-11-25,23.790001,25.780001,23.049999,24.865,35400,24.865,48.2070608063,4,2013
2013-11-26,24.540001,26.98,24.540001,26.52,115000,26.52,54.8332533297,4,2013
2013-11-27,26.309999,27.98,26.200001,27.25,41000,27.25,57.4208693323,4,2013
2013-11-29,26.620001,27.98,25.92,26.469999,11200,26.469999,53.8696142603,4,2013
2013-12-02,26.43,27.27,25.83,25.83,37400,25.83,51.0782474477,4,2013
2013-12-03,27.120001,27.190001,25.040001,25.639999,80500,25.639999,50.2458428782,4,2013
2013-12-04,27.4,27.92,24.719999,26.0,248900,26.0,51.8470726841,4,2013
2013-12-05,25.77,27.33,25.17,25.76,65000,25.76,50.6761713358,4,2013
2013-12-06,25.93,26.950001,25.32,26.01,29700,26.01,51.8948825157,4,2013
2013-12-09,26.02,27.0,25.549999,26.0,59300,26.0,51.8397063874,4,2013
2013-12-10,25.99,26.6,25.360001,26.01,68800,26.01,51.8947876021,4,2013
2013-12-11,25.93,26.110001,24.309999,24.9,92100,24.9,45.6532227658,4,2013
2013-12-12,25.219999,25.219999,24.4,24.959999,61700,24.959999,46.0310726129,4,2013
2013-12-13,24.959999,25.639999,24.08,25.200001,79900,25.200001,47.6004540494,4,2013
2013-12-16,25.35,26.389999,24.459999,26.15,59300,26.15,53.3794819394,4,2013
2013-12-17,26.290001,27.52,25.85,26.799999,73200,26.799999,56.8833407218,4,2013
2013-12-18,26.870001,27.690001,25.83,27.530001,93600,27.530001,60.4760788889,4,2013
2013-12-19,27.280001,27.629999,26.440001,26.690001,107500,26.690001,54.815938097,4,2013
2013-12-20,26.76,27.52,25.620001,26.85,985000,26.85,55.6670620017,4,2013
2013-12-23,27.049999,27.809999,26.52,27.16,65800,27.16,57.3436275846,4,2013
2013-12-24,27.200001,27.200001,26.309999,27.0,24400,27.0,56.1630682193,4,2013
2013-12-26,27.17,27.17,26.309999,26.809999,48900,26.809999,54.7223210829,4,2013
2013-12-27,26.93,26.93,26.26,26.77,184700,26.77,54.4059032912,4,2013
2013-12-30,26.68,28.280001,26.09,28.049999,105500,28.049999,61.9817864927,4,2013
2013-12-31,28.01,28.52,26.790001,27.43,171700,27.43,57.038049458,4,2013
2014-01-02,27.15,29.040001,27.059999,28.83,59300,28.83,64.0172725588,1,2014
2014-01-03,28.889999,29.48,28.379999,29.48,156500,29.48,66.7204268907,1,2014
2014-01-06,29.48,29.48,28.709999,29.309999,58100,29.309999,65.3379275892,1,2014
2014-01-07,29.5,32.080002,28.959999,31.530001,114400,31.530001,73.1593495084,1,2014
2014-01-08,31.4,32.259998,30.879999,32.259998,66600,32.259998,75.1454003163,1,2014
2014-01-09,32.459999,33.93,32.459999,33.919998,63900,33.919998,78.958258815,1,2014
