Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,13.63,13.74,13.41,13.61,139500,13.61,,1,2012
2012-01-04,13.5,13.85,13.39,13.44,147500,13.44,,1,2012
2012-01-05,13.33,13.56,13.21,13.35,149900,13.35,,1,2012
2012-01-06,13.32,13.48,13.06,13.06,265600,13.06,,1,2012
2012-01-09,13.1,13.26,12.79,12.79,229700,12.79,,1,2012
2012-01-10,12.85,12.92,12.45,12.56,395700,12.56,,1,2012
2012-01-11,12.51,12.59,12.39,12.54,631300,12.54,,1,2012
2012-01-12,12.6,12.97,12.48,12.87,364800,12.87,,1,2012
2012-01-13,12.71,13.04,12.71,13.03,137200,13.03,,1,2012
2012-01-17,13.14,13.31,13.01,13.24,181200,13.24,,1,2012
2012-01-18,13.21,13.52,13.12,13.42,379300,13.42,,1,2012
2012-01-19,13.4,13.46,13.21,13.45,277900,13.45,,1,2012
2012-01-20,13.4,13.72,13.4,13.58,219200,13.58,,1,2012
2012-01-23,13.51,13.65,13.4,13.52,144500,13.52,,1,2012
2012-01-24,13.48,13.66,13.42,13.64,205000,13.64,50.6550218341,1,2012
2012-01-25,13.64,13.87,13.5,13.86,152400,13.86,55.2815829528,1,2012
2012-01-26,13.92,13.92,13.71,13.82,133600,13.82,54.2849916071,1,2012
2012-01-27,13.75,14.17,13.75,14.05,121200,14.05,58.8757758935,1,2012
2012-01-30,13.98,14.16,13.7,14.1,195100,14.1,59.8204032275,1,2012
2012-01-31,14.16,14.22,13.98,14.11,198300,14.11,60.0182093415,1,2012
2012-02-01,14.24,14.4,14.14,14.26,367500,14.26,62.9635744955,1,2012
2012-02-02,14.34,14.38,14.12,14.14,172700,14.14,59.20592112,1,2012
2012-02-03,14.4,14.41,14.19,14.41,426200,14.41,64.3598048387,1,2012
2012-02-06,14.35,14.52,14.3,14.38,166500,14.38,63.4013358477,1,2012
2012-02-07,14.38,14.38,13.2,13.7,1563900,13.7,46.4980701492,1,2012
2012-02-08,13.76,14.14,13.59,13.68,416100,13.68,46.1087016001,1,2012
2012-02-09,13.74,13.8,13.52,13.58,122800,13.58,44.1193579505,1,2012
2012-02-10,13.41,13.5,13.37,13.38,155100,13.38,40.3680764625,1,2012
2012-02-13,13.46,13.89,13.24,13.64,174200,13.64,46.7113471844,1,2012
2012-02-14,13.58,13.64,13.37,13.52,533600,13.52,44.3656401917,1,2012
2012-02-15,13.54,13.91,13.45,13.9,603800,13.9,52.5001380809,1,2012
2012-02-16,13.86,13.93,13.76,13.91,252200,13.91,52.6961512364,1,2012
