Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.52,2.6,2.49,2.52,789400,2.52,,1,2012
2012-01-04,2.51,2.52,2.35,2.36,919500,2.36,,1,2012
2012-01-05,2.35,2.43,2.31,2.39,590200,2.39,,1,2012
2012-01-06,2.42,2.65,2.42,2.56,1502800,2.56,,1,2012
2012-01-09,2.56,2.58,2.45,2.56,702700,2.56,,1,2012
2012-01-10,2.6,2.6,2.52,2.58,580800,2.58,,1,2012
2012-01-11,2.58,2.65,2.53,2.63,839800,2.63,,1,2012
2012-01-12,2.65,2.82,2.61,2.74,2020500,2.74,,1,2012
2012-01-13,2.73,2.84,2.68,2.74,1057700,2.74,,1,2012
2012-01-17,2.8,2.8,2.7,2.72,712700,2.72,,1,2012
2012-01-18,2.75,2.76,2.66,2.73,692300,2.73,,1,2012
2012-01-19,2.75,2.85,2.7,2.84,941500,2.84,,1,2012
2012-01-20,2.92,3.04,2.77,2.82,1730600,2.82,,1,2012
2012-01-23,2.85,2.94,2.74,2.79,1046900,2.79,,1,2012
2012-01-24,2.76,2.88,2.75,2.88,1201000,2.88,71.9512195122,1,2012
2012-01-25,2.89,3.09,2.82,3.09,1171900,3.09,78.0147058824,1,2012
2012-01-26,3.08,3.42,3.06,3.41,2303000,3.41,83.7717100868,1,2012
2012-01-27,3.34,3.44,3.26,3.28,1190300,3.28,75.1610728199,1,2012
2012-01-30,3.45,3.48,3.06,3.17,1436000,3.17,68.7241092781,1,2012
2012-01-31,3.16,3.2,2.68,2.7,2910400,2.7,49.2973130827,1,2012
2012-02-01,2.74,2.75,2.65,2.68,2079300,2.68,48.6668751346,1,2012
2012-02-02,2.75,2.75,2.45,2.47,2836800,2.47,42.5183681803,1,2012
2012-02-03,2.2,2.27,2.14,2.17,27054000,2.17,35.5990772495,1,2012
2012-02-06,2.19,2.36,2.18,2.34,6547800,2.34,41.4170123155,1,2012
2012-02-07,2.4,2.45,2.33,2.43,3834300,2.43,44.2865699266,1,2012
2012-02-08,2.48,2.48,2.38,2.4,2915700,2.4,43.5213102634,1,2012
2012-02-09,2.42,2.44,2.35,2.41,1411200,2.41,43.8694865755,1,2012
2012-02-10,2.37,2.38,2.25,2.33,2030800,2.33,41.657016329,1,2012
2012-02-13,2.44,2.45,2.33,2.38,2030900,2.38,43.5724656326,1,2012
2012-02-14,2.38,2.39,2.33,2.34,1511400,2.34,42.373917945,1,2012
2012-02-15,2.36,2.4,2.29,2.32,1580800,2.32,41.7554586397,1,2012
2012-02-16,2.3,2.37,2.26,2.35,1513500,2.35,43.0970589895,1,2012
2012-02-17,2.36,2.36,2.26,2.28,1574400,2.28,40.7390764697,1,2012
2012-02-21,2.28,2.3,2.19,2.23,2871600,2.23,39.0937323987,1,2012
2012-02-22,2.26,2.26,2.16,2.18,1807900,2.18,37.4642586168,1,2012
2012-02-23,2.25,2.31,2.18,2.23,3369200,2.23,40.1507392556,1,2012
2012-02-24,2.24,2.28,2.2,2.23,3283100,2.23,40.1507392556,1,2012
2012-02-27,2.26,2.27,2.18,2.19,1751600,2.19,38.6117545543,1,2012
2012-02-28,2.26,2.35,2.22,2.35,5486000,2.35,47.3114092344,1,2012
2012-02-29,2.39,2.45,2.29,2.34,6943300,2.34,46.864391782,1,2012
2012-03-01,2.37,2.4,2.27,2.27,1943400,2.27,43.7483518498,1,2012
2012-03-02,2.29,2.36,2.26,2.28,1602300,2.28,44.3179413258,1,2012
2012-03-05,2.29,2.31,2.25,2.27,1260400,2.27,43.8398831214,1,2012
2012-03-06,2.26,2.27,2.18,2.18,1271500,2.18,39.6902281703,1,2012
2012-03-07,2.2,2.22,2.16,2.19,1220300,2.19,40.3656594872,1,2012
2012-03-08,2.2,2.27,2.19,2.25,894500,2.25,44.38989299,1,2012
2012-03-09,2.24,2.27,2.2,2.26,1389600,2.26,45.0553887449,1,2012
2012-03-12,2.25,2.28,2.17,2.19,1116600,2.19,41.3271025717,1,2012
2012-03-13,2.21,2.22,2.18,2.21,1289700,2.21,42.7838941897,1,2012
2012-03-14,2.2,2.23,2.16,2.16,1312700,2.16,40.1031054255,1,2012
2012-03-15,2.16,2.25,2.16,2.24,1389900,2.24,45.9397712433,1,2012
2012-03-16,2.24,2.35,2.22,2.33,2432100,2.33,51.6481269775,1,2012
2012-03-19,2.33,2.4,2.31,2.37,1389900,2.37,53.9742678974,1,2012
2012-03-20,2.37,2.4,2.35,2.39,1683700,2.39,55.136441808,1,2012
2012-03-21,2.4,2.44,2.33,2.35,985400,2.35,52.2924764309,1,2012
2012-03-22,2.34,2.38,2.32,2.36,933800,2.36,52.9459191979,1,2012
2012-03-23,2.37,2.37,2.31,2.33,719700,2.33,50.7022746067,1,2012
2012-03-26,2.36,2.4,2.33,2.38,1650500,2.38,54.1868148924,1,2012
2012-03-27,2.38,2.57,2.37,2.51,3678800,2.51,61.7558664866,1,2012
2012-03-28,2.53,2.59,2.4,2.44,2029500,2.44,56.356595789,1,2012
2012-03-29,2.43,2.5,2.4,2.42,1654300,2.42,54.8802449927,1,2012
2012-03-30,2.45,2.48,2.41,2.47,1470200,2.47,57.8528532658,1,2012
2012-04-02,2.47,2.47,2.39,2.46,1433400,2.46,57.0434013748,2,2012
2012-04-03,2.44,2.45,2.35,2.36,970300,2.36,49.5737143964,2,2012
2012-04-04,2.35,2.36,2.26,2.26,1450000,2.26,43.4468289968,2,2012
2012-04-05,2.27,2.27,2.2,2.2,1291800,2.2,40.2337956272,2,2012
2012-04-09,2.21,2.27,2.16,2.26,963400,2.26,44.6425688791,2,2012
