Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,17.77,18.0,17.52,17.639999,827200,17.639999,,1,2012
2012-01-04,17.530001,17.76,17.290001,17.73,561200,17.73,,1,2012
2012-01-05,18.1,19.139999,17.93,18.59,1101700,18.59,,1,2012
2012-01-06,18.59,18.879999,18.209999,18.51,520000,18.51,,1,2012
2012-01-09,18.530001,19.07,18.389999,19.059999,633700,19.059999,,1,2012
2012-01-10,19.389999,19.639999,19.200001,19.33,795500,19.33,,1,2012
2012-01-11,19.32,19.440001,18.959999,19.16,556300,19.16,,1,2012
2012-01-12,19.16,19.41,18.969999,19.200001,647800,19.200001,,1,2012
2012-01-13,19.030001,19.299999,18.92,19.26,640300,19.26,,1,2012
2012-01-17,19.370001,19.620001,19.27,19.58,1143200,19.58,,1,2012
2012-01-18,19.52,19.6,19.27,19.379999,658300,19.379999,,1,2012
2012-01-19,19.530001,19.57,19.120001,19.34,685200,19.34,,1,2012
2012-01-20,19.34,19.48,18.77,18.91,805100,18.91,,1,2012
2012-01-23,19.129999,19.4,18.700001,18.75,856200,18.75,,1,2012
2012-01-24,18.75,19.049999,18.68,18.719999,867100,18.719999,66.3636264463,1,2012
2012-01-25,18.85,19.219999,18.719999,19.110001,761400,19.110001,70.1612967595,1,2012
2012-01-26,19.09,19.1,14.25,15.13,7676000,15.13,31.3105320872,1,2012
2012-01-27,15.18,15.68,15.05,15.19,1278100,15.19,31.9225414284,1,2012
2012-01-30,15.6,15.66,15.2,15.47,2010300,15.47,34.8402298164,1,2012
2012-01-31,15.57,15.79,15.4,15.69,6714500,15.69,37.1205388947,1,2012
2012-02-01,15.74,16.25,15.5,16.030001,1158500,16.030001,40.5813594426,1,2012
2012-02-02,16.08,16.34,15.83,16.200001,761200,16.200001,42.2916210819,1,2012
2012-02-03,16.34,16.809999,16.34,16.549999,1028100,16.549999,45.7535076178,1,2012
2012-02-06,16.49,16.540001,16.15,16.379999,671100,16.379999,44.3614794654,1,2012
2012-02-07,16.450001,16.620001,16.0,16.120001,876300,16.120001,42.2445792709,1,2012
2012-02-08,16.08,16.34,15.88,16.16,615900,16.16,42.6976133597,1,2012
2012-02-09,15.02,16.01,14.83,15.61,2076500,15.61,38.2542112134,1,2012
2012-02-10,15.41,15.45,15.04,15.27,1001200,15.27,35.7756456498,1,2012
2012-02-13,15.32,15.58,15.3,15.45,698500,15.45,38.0635900176,1,2012
2012-02-14,15.32,15.45,15.19,15.44,641700,15.44,37.982635147,1,2012
2012-02-15,15.47,15.48,14.92,14.95,680800,14.95,34.1499426346,1,2012
2012-02-16,15.0,15.83,15.0,15.74,697800,15.74,43.9669447483,1,2012
2012-02-17,15.81,15.83,15.08,15.16,548400,15.16,39.3309517792,1,2012
2012-02-21,15.26,15.42,15.06,15.14,709800,15.14,39.1775464663,1,2012
2012-02-22,15.11,15.17,14.76,15.08,706400,15.08,38.6900059872,1,2012
2012-02-23,15.16,15.84,15.07,15.8,780500,15.8,47.1838809022,1,2012
2012-02-24,15.71,15.79,15.28,15.71,635900,15.71,46.3200313189,1,2012
2012-02-27,15.5,15.66,14.94,14.97,592800,14.97,39.8584505827,1,2012
2012-02-28,14.9,15.25,14.75,15.17,605400,15.17,42.2050698554,1,2012
2012-02-29,15.17,15.28,14.64,14.66,541200,14.66,38.1204562946,1,2012
2012-03-01,14.75,15.24,14.74,14.76,378200,14.76,39.359715319,1,2012
2012-03-02,14.78,15.0,14.5,14.6,499300,14.6,38.0467968633,1,2012
2012-03-05,14.6,14.93,14.53,14.74,602000,14.74,39.9347947612,1,2012
2012-03-06,14.58,14.75,14.29,14.48,604700,14.48,37.6406299216,1,2012
2012-03-07,14.53,14.93,14.53,14.8,512900,14.8,42.0529386567,1,2012
2012-03-08,14.83,15.08,14.72,14.96,423000,14.96,44.1796635333,1,2012
2012-03-09,14.93,15.28,14.81,15.07,598500,15.07,45.656342685,1,2012
2012-03-12,15.03,15.23,14.93,15.1,640300,15.1,46.0753238423,1,2012
2012-03-13,15.21,15.6,15.15,15.58,447100,15.58,52.3989582321,1,2012
2012-03-14,15.57,15.64,15.43,15.54,783600,15.54,51.8532523366,1,2012
2012-03-15,15.53,15.59,15.21,15.5,310600,15.5,51.2781396642,1,2012
2012-03-16,15.56,15.76,15.4,15.59,789400,15.59,52.5532581226,1,2012
2012-03-19,15.52,15.8,15.33,15.59,383100,15.59,52.5532581226,1,2012
2012-03-20,15.49,15.55,15.21,15.23,350800,15.23,46.8635356977,1,2012
2012-03-21,15.3,15.65,15.27,15.55,345900,15.55,51.8534050288,1,2012
2012-03-22,15.44,15.61,15.28,15.56,284500,15.56,52.0050843783,1,2012
2012-03-23,15.51,15.65,15.33,15.6,256200,15.6,52.6476932166,1,2012
2012-03-26,15.73,15.98,15.68,15.94,419800,15.94,57.8176386438,1,2012
2012-03-27,15.97,15.97,15.33,15.34,295100,15.34,47.8824105736,1,2012
2012-03-28,15.39,15.65,15.09,15.34,229200,15.34,47.8824105736,1,2012
2012-03-29,15.23,15.49,15.19,15.44,339000,15.44,49.557851737,1,2012
2012-03-30,15.57,15.71,15.17,15.32,343600,15.32,47.5811299813,1,2012
2012-04-02,15.34,16.110001,15.33,16.08,720600,16.08,58.7918441343,2,2012
2012-04-03,16.08,16.48,16.07,16.25,402600,16.25,60.8108230318,2,2012
2012-04-04,15.94,16.26,15.78,16.209999,400000,16.209999,60.0651002399,2,2012
2012-04-05,15.91,16.190001,15.91,16.040001,402000,16.040001,56.8731127481,2,2012
2012-04-09,15.63,16.120001,15.4,15.41,268100,15.41,46.9215093695,2,2012
2012-04-10,15.39,15.72,14.75,14.82,517800,14.82,39.8831564618,2,2012
2012-04-11,14.96,15.33,14.86,15.07,310800,15.07,43.7345138488,2,2012
2012-04-12,15.12,15.27,14.78,14.81,361500,14.81,40.8065509913,2,2012
2012-04-13,14.77,14.91,14.21,14.36,459100,14.36,36.2793979097,2,2012
2012-04-16,14.4,14.57,14.08,14.45,326300,14.45,37.766477968,2,2012
2012-04-17,14.53,15.06,14.51,14.86,291900,14.86,44.1598118134,2,2012
2012-04-18,14.8,14.94,14.59,14.6,310800,14.6,41.264759002,2,2012
2012-04-19,14.69,15.46,14.69,15.1,426100,15.1,48.2860692832,2,2012
