Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,26.0,26.719999,25.77,26.299999,749600,24.863047,,1,2012
2012-01-04,26.42,26.48,25.870001,26.01,305700,24.588893,,1,2012
2012-01-05,25.98,26.74,25.93,26.41,503200,24.967038,,1,2012
2012-01-06,26.379999,26.66,25.889999,26.360001,751400,24.91977,,1,2012
2012-01-09,27.5,28.219999,27.379999,27.98,1404400,26.451258,,1,2012
2012-01-10,28.030001,29.440001,28.030001,29.280001,1273400,27.680231,,1,2012
2012-01-11,29.059999,29.41,28.83,29.15,1619800,27.557332,,1,2012
2012-01-12,29.15,29.190001,28.08,28.309999,310900,26.763227,,1,2012
2012-01-13,28.5,28.67,28.01,28.139999,131000,26.602516,,1,2012
2012-01-17,28.290001,29.07,28.26,28.93,575800,27.349353,,1,2012
2012-01-18,29.440001,29.9,28.809999,29.59,1145700,27.973293,,1,2012
2012-01-19,29.83,29.950001,29.440001,29.83,537400,28.20018,,1,2012
2012-01-20,29.66,29.85,29.07,29.690001,380700,28.067829,,1,2012
2012-01-23,29.690001,29.92,29.440001,29.530001,276400,27.916571,,1,2012
2012-01-24,29.5,29.9,29.280001,29.77,280400,28.143458,74.6799494365,1,2012
2012-01-25,29.889999,29.940001,29.65,29.9,198000,28.266355,75.1743428989,1,2012
2012-01-26,29.93,29.98,29.700001,29.799999,425900,28.171818,73.9777281299,1,2012
2012-01-27,29.719999,30.01,29.719999,30.0,342200,28.360891,74.8403139561,1,2012
2012-01-30,29.52,30.0,29.08,29.700001,360700,28.077283,71.0365578519,1,2012
2012-01-31,29.950001,29.98,29.52,29.76,224800,28.134004,71.3501816567,1,2012
2012-02-01,29.85,30.33,29.0,29.26,633000,27.661323,65.0306367845,1,2012
2012-02-02,29.15,29.9,29.0,29.459999,728700,27.850394,66.3158003663,1,2012
2012-02-03,29.74,29.870001,29.129999,29.35,435200,27.746406,64.9030074923,1,2012
2012-02-06,29.450001,29.75,29.01,29.360001,144000,27.75586,64.9760614113,1,2012
2012-02-07,29.299999,29.469999,29.049999,29.35,497500,27.746406,64.8307367711,1,2012
2012-02-08,29.540001,29.75,29.190001,29.530001,520100,27.916571,66.2920958677,1,2012
2012-02-09,29.549999,29.879999,29.5,29.860001,471900,28.228541,68.8477951188,1,2012
2012-02-10,29.620001,29.73,29.379999,29.51,326100,27.897664,63.3607708885,1,2012
2012-02-13,29.549999,29.85,29.450001,29.66,244300,28.039468,64.6606760386,1,2012
2012-02-14,29.52,29.610001,28.57,29.139999,284200,27.547879,57.0978601554,1,2012
2012-02-15,29.200001,29.780001,29.16,29.530001,332400,27.916571,60.8009563945,1,2012
2012-02-16,29.49,29.73,29.42,29.6,265300,27.982746,61.4442221515,1,2012
2012-02-17,29.59,29.65,28.66,28.799999,201900,27.226455,51.1194435921,1,2012
2012-02-21,29.030001,29.030001,28.4,28.610001,461500,27.046837,49.012968588,1,2012
2012-02-22,28.41,29.209999,28.41,28.870001,255800,27.292632,51.9319705173,1,2012
2012-02-23,28.950001,29.290001,28.549999,28.870001,221100,27.292632,51.9319705173,1,2012
2012-02-24,28.780001,29.33,28.780001,28.959999,245500,27.377713,53.0118903982,1,2012
2012-02-27,28.879999,29.799999,28.68,29.5,465100,27.88821,58.9684852215,1,2012
2012-02-28,29.549999,29.780001,28.629999,29.450001,1067300,27.840942,58.2323909722,1,2012
2012-02-29,29.48,30.73,28.959999,30.610001,1873700,28.937563,68.1620191271,1,2012
2012-03-01,30.25,32.290001,30.25,31.98,1443800,30.23271,75.5538370633,1,2012
2012-03-02,32.150002,32.200001,31.85,32.009998,1410200,30.261069,75.6869443468,1,2012
2012-03-05,31.889999,32.16,31.52,31.99,417400,30.242164,75.3922388671,1,2012
2012-03-06,31.809999,31.83,31.049999,31.059999,404800,29.362976,63.0892090849,1,2012
2012-03-07,30.49,31.360001,30.49,30.959999,355700,29.650285,65.09386291,1,2012
2012-03-08,31.25,31.49,31.08,31.299999,323900,29.975902,67.2638453667,1,2012
2012-03-09,31.299999,31.73,31.09,31.16,409900,29.841825,65.4593409155,1,2012
2012-03-12,31.08,31.41,31.030001,31.17,265200,29.851402,65.5304739711,1,2012
2012-03-13,31.379999,31.99,31.209999,31.799999,581300,30.45475,69.7561909389,1,2012
2012-03-14,31.85,31.860001,31.48,31.76,299900,30.416443,69.1763383356,1,2012
2012-03-15,31.58,31.75,31.299999,31.57,246900,30.23448,66.354732242,1,2012
2012-03-16,31.49,31.780001,31.4,31.629999,220900,30.291941,66.8150468927,1,2012
2012-03-19,31.65,31.940001,31.540001,31.809999,489100,30.464327,68.2198028788,1,2012
2012-03-20,31.629999,32.400002,31.6,32.029999,329500,30.67502,69.8970664002,1,2012
2012-03-21,32.040001,32.880001,32.0,32.529999,589300,31.153868,73.3407616164,1,2012
2012-03-22,32.459999,33.389999,32.220001,32.91,1130300,31.517794,75.6231692839,1,2012
2012-03-23,32.869999,33.639999,32.869999,33.639999,441000,32.216912,79.291124898,1,2012
2012-03-26,33.849998,34.07,33.34,33.91,884300,32.47549,80.4621071818,1,2012
2012-03-27,33.830002,33.84,33.25,33.560001,561200,32.140298,74.5753531431,1,2012
2012-03-28,33.790001,33.869999,33.509998,33.689999,916200,32.264796,75.2982326757,1,2012
2012-03-29,33.330002,33.490002,32.740002,32.939999,334800,31.546523,63.9935350427,1,2012
2012-03-30,33.200001,33.200001,32.779999,32.970001,142300,31.575257,64.2249257644,1,2012
2012-04-02,33.0,33.75,32.82,33.400002,625600,31.987066,67.453117228,2,2012
2012-04-03,33.509998,33.740002,33.490002,33.59,265200,32.169027,68.793092072,2,2012
2012-04-04,33.490002,33.540001,32.970001,33.07,160700,31.671025,61.3486873535,2,2012
2012-04-05,33.040001,33.540001,32.93,33.490002,249500,32.073259,64.6738565443,2,2012
2012-04-09,33.09,33.27,32.900002,33.150002,109000,31.747642,60.1617152937,2,2012
2012-04-10,33.150002,33.599998,32.98,33.02,596700,31.623141,58.4816581341,2,2012
2012-04-11,33.209999,33.259998,32.700001,32.860001,276700,31.469909,56.3942842278,2,2012
2012-04-12,32.779999,33.5,32.740002,33.130001,176300,31.728488,59.0504672015,2,2012
2012-04-13,33.200001,33.400002,32.740002,32.790001,130700,31.402871,54.5447299053,2,2012
2012-04-16,33.099998,33.200001,32.41,32.439999,332700,31.067675,50.2906448098,2,2012
2012-04-17,32.529999,32.700001,32.34,32.540001,221500,31.163447,51.4556201897,2,2012
2012-04-18,32.450001,32.98,32.43,32.689999,139800,31.307099,53.2262925806,2,2012
2012-04-19,32.77,33.049999,32.689999,32.91,89400,31.517794,55.7743028955,2,2012
2012-04-20,33.0,33.040001,32.73,33.02,169000,31.623141,57.0345941766,2,2012
2012-04-23,32.950001,32.950001,32.209999,32.349998,433900,30.981482,48.0524751072,2,2012
2012-04-24,32.290001,32.740002,32.0,32.330002,151800,30.962331,47.8104640212,2,2012
2012-04-25,32.700001,33.380001,32.689999,33.02,220300,31.623141,56.0379518616,2,2012
2012-04-26,32.939999,33.360001,32.77,33.009998,324500,31.613562,55.9003808817,2,2012
2012-04-27,32.990002,33.110001,32.810001,32.880001,225100,31.489064,54.0433723325,2,2012
2012-04-30,32.779999,32.849998,32.41,32.759998,251000,31.374138,52.3156599559,2,2012
2012-05-01,32.75,32.77,32.43,32.509998,337000,31.134713,48.8144865825,2,2012
2012-05-02,32.25,32.25,31.870001,32.110001,1541200,30.751637,43.7674830139,2,2012
