Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,37.880001,38.560001,37.810001,38.299999,17271400,33.852561,,1,2012
2012-01-04,38.25,38.34,37.900002,38.34,13716300,33.887917,,1,2012
2012-01-05,38.139999,39.0,38.040001,38.740002,20987600,34.24147,,1,2012
2012-01-06,38.75,38.75,38.43,38.470001,16727700,34.002822,,1,2012
2012-01-09,38.34,38.470001,37.889999,38.389999,13906900,33.93211,,1,2012
2012-01-10,38.75,38.799999,38.400002,38.52,11366200,34.047015,,1,2012
2012-01-11,38.419998,38.52,38.240002,38.41,11945800,33.949788,,1,2012
2012-01-12,38.619999,38.68,38.419998,38.610001,9931200,34.126564,,1,2012
2012-01-13,38.450001,38.5,38.02,38.32,9677400,33.870239,,1,2012
2012-01-17,38.529999,38.889999,38.369999,38.82,16554700,34.312178,,1,2012
2012-01-18,38.650002,38.950001,38.639999,38.869999,14710600,34.356371,,1,2012
2012-01-19,38.900002,39.43,38.73,39.259998,16546800,34.701084,,1,2012
2012-01-20,39.32,39.400002,38.919998,39.200001,15333900,34.648053,,1,2012
2012-01-23,38.959999,39.099998,38.68,38.77,13499900,34.267985,,1,2012
2012-01-24,38.970001,39.209999,38.650002,38.779999,13144700,34.276822,58.108086931,1,2012
2012-01-25,38.57,38.790001,38.259998,38.68,14475200,34.188436,56.0682273635,1,2012
2012-01-26,38.84,38.950001,38.540001,38.779999,12388800,34.276822,57.6685641035,1,2012
2012-01-27,38.73,38.799999,38.220001,38.52,12120600,34.047015,52.3308546217,1,2012
2012-01-30,38.380001,38.900002,38.27,38.889999,12714300,34.374049,58.2527174361,1,2012
2012-01-31,38.970001,38.990002,38.189999,38.27,16477600,33.826045,47.5850992824,1,2012
2012-02-01,38.549999,39.009998,38.32,38.630001,14577100,34.144242,52.970507181,1,2012
2012-02-02,38.939999,38.970001,38.0,38.439999,20780700,33.976303,50.0477765637,1,2012
2012-02-03,38.5,38.59,38.080002,38.369999,15010200,33.914432,48.9756280985,1,2012
2012-02-06,38.209999,38.400002,38.130001,38.400002,11032300,33.940951,49.4752358025,1,2012
