Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-07-15,7.0,7.05,7.0,7.05,600,7.05,,3,2013
2013-07-16,7.5,8.01,7.5,8.01,1400,8.01,,3,2013
2013-07-17,8.5,8.75,8.2,8.5,2000,8.5,,3,2013
2013-07-18,10.88,11.79,9.18,9.2,7000,9.2,,3,2013
2013-07-19,9.2,9.2,9.0,9.0,1400,9.0,,3,2013
2013-07-22,9.97,10.0,9.5,10.0,1000,10.0,,3,2013
2013-07-23,9.02,9.5,9.02,9.5,700,9.5,,3,2013
2013-07-24,10.0,10.03,9.01,9.01,20400,9.01,,3,2013
2013-07-25,9.0,9.05,9.0,9.0,4200,9.0,,3,2013
2013-07-26,8.84,8.84,8.5,8.5,300,8.5,,3,2013
2013-07-29,9.97,9.97,8.01,8.5,7600,8.5,,3,2013
2013-07-30,8.5,8.5,8.2,8.25,10100,8.25,,3,2013
2013-07-31,8.25,8.25,8.25,8.25,0,8.25,,3,2013
2013-08-01,8.5,8.5,8.47,8.5,10200,8.5,,3,2013
2013-08-02,8.49,8.49,8.2,8.3,1600,8.3,61.2612612613,3,2013
2013-08-05,8.02,8.5,8.0,8.42,1900,8.42,62.1427603955,3,2013
2013-08-06,7.51,8.48,7.5,8.48,2700,8.48,62.6009984046,3,2013
2013-08-07,8.48,8.49,8.2,8.4,11300,8.4,61.5315412769,3,2013
2013-08-08,8.5,8.5,8.33,8.49,7700,8.49,62.3115995218,3,2013
2013-08-09,8.49,8.5,8.2,8.29,8100,8.29,59.427679657,3,2013
2013-08-12,8.26,8.5,8.25,8.4,29700,8.4,60.5102255458,3,2013
2013-08-13,8.43,8.5,8.43,8.5,21600,8.5,61.5155218124,3,2013
2013-08-14,8.35,8.5,8.35,8.5,19000,8.5,61.5155218124,3,2013
2013-08-15,9.0,10.0,8.99,9.05,23900,9.05,66.8917500536,3,2013
2013-08-16,9.45,9.45,8.95,8.95,700,8.95,65.1107386042,3,2013
2013-08-19,9.2,9.2,9.0,9.0,7900,9.0,65.6038652639,3,2013
2013-08-20,9.11,9.2,8.58,8.6,26300,8.6,58.4824408762,3,2013
2013-08-21,8.5,8.7,8.36,8.5,23600,8.5,56.8217948174,3,2013
2013-08-22,8.48,8.5,8.44,8.44,14500,8.44,55.7980156759,3,2013
2013-08-23,8.45,8.5,8.3,8.44,24600,8.44,55.7980156759,3,2013
2013-08-26,8.5,8.5,8.35,8.43,11100,8.43,55.6043653048,3,2013
2013-08-27,8.55,8.55,8.49,8.5,6100,8.5,56.7362608582,3,2013
2013-08-28,8.35,8.4,8.35,8.4,6200,8.4,54.5948291014,3,2013
2013-08-29,8.34,8.44,8.34,8.4,6900,8.4,54.5948291014,3,2013
2013-08-30,8.4,8.44,8.15,8.15,9100,8.15,49.2096161568,3,2013
2013-09-03,8.53,8.53,8.4,8.5,18900,8.5,55.7851661843,3,2013
2013-09-04,8.5,8.5,8.4,8.5,4600,8.5,55.7851661843,3,2013
2013-09-05,8.53,8.85,8.4,8.5,11700,8.5,55.7851661843,3,2013
2013-09-06,8.52,8.88,8.45,8.5,27500,8.5,55.7851661843,3,2013
2013-09-09,8.12,8.6,8.12,8.49,18600,8.49,55.5089910246,3,2013
2013-09-10,8.49,8.84,8.38,8.49,23900,8.49,55.5089910246,3,2013
2013-09-11,8.42,8.75,8.32,8.73,22100,8.73,60.8973081351,3,2013
2013-09-12,8.63,9.15,8.6,9.07,18800,9.07,66.9955630997,3,2013
2013-09-13,9.3,10.72,8.95,9.99,36900,9.99,77.3080650871,3,2013
2013-09-16,10.2,15.0,10.2,13.7,86000,13.7,90.3723134207,3,2013
2013-09-17,13.25,15.9,13.02,14.0,63500,14.0,90.8319573729,3,2013
2013-09-18,14.49,16.49,14.35,15.79,132600,15.79,92.9842077269,3,2013
2013-09-19,16.99,17.24,15.5,16.25,144500,16.25,93.4122093701,3,2013
2013-09-20,15.95,16.25,14.26,14.51,74700,14.51,74.8189192765,3,2013
2013-09-23,15.56,15.56,14.1,15.39,8800,15.39,77.2818063818,3,2013
2013-09-24,15.32,15.4,13.15,13.53,36900,13.53,63.2094425393,3,2013
2013-09-25,13.62,14.84,13.25,13.95,9900,13.95,64.7694622731,3,2013
2013-09-26,14.29,14.44,13.75,14.1,11000,14.1,65.3348078356,3,2013
2013-09-27,13.22,14.44,13.22,13.95,12300,13.95,64.2249102537,3,2013
2013-09-30,14.0,15.3,14.0,15.15,38500,15.15,68.7923609843,3,2013
2013-10-01,15.0,18.879999,15.0,17.66,73600,17.66,75.7627079183,4,2013
2013-10-02,18.139999,19.799999,17.67,18.48,84200,18.48,77.5285406875,4,2013
2013-10-03,17.879999,18.639999,17.030001,18.25,36200,18.25,75.8590968616,4,2013
2013-10-04,18.43,19.65,18.43,19.200001,22500,19.200001,77.969278462,4,2013
2013-10-07,19.200001,20.9,16.280001,18.75,75200,18.75,74.6410131116,4,2013
2013-10-08,18.5,18.99,16.299999,17.940001,46800,17.940001,68.9367333654,4,2013
2013-10-09,18.5,19.0,16.530001,17.59,43200,17.59,66.5693578913,4,2013
2013-10-10,17.82,18.24,17.82,18.0,3800,18.0,67.9575250092,4,2013
2013-10-11,17.82,17.959999,16.65,17.0,91100,17.0,61.2744368546,4,2013
2013-10-14,17.25,17.74,16.1,16.41,48000,16.41,57.670868043,4,2013
2013-10-15,16.57,16.98,16.26,16.26,19200,16.26,56.7569723261,4,2013
2013-10-16,16.27,17.200001,16.16,16.42,14700,16.42,57.5300712923,4,2013
2013-10-17,16.17,17.25,16.08,17.25,29200,17.25,61.38662638,4,2013
2013-10-18,17.52,18.17,16.799999,17.799999,52500,17.799999,63.7365595071,4,2013
2013-10-21,17.58,18.58,17.5,18.16,40600,18.16,65.2282238951,4,2013
2013-10-22,18.35,18.469999,17.799999,18.200001,29000,18.200001,65.3985371312,4,2013
2013-10-23,18.129999,19.0,17.9,18.129999,78100,18.129999,64.8003689765,4,2013
2013-10-24,18.25,18.33,16.719999,17.469999,1024800,17.469999,59.2937811402,4,2013
2013-10-25,17.41,17.540001,17.120001,17.26,101000,17.26,57.6161093759,4,2013
2013-10-28,17.200001,17.5,17.200001,17.5,244200,17.5,59.0424095865,4,2013
2013-10-29,17.6,18.0,17.4,17.4,88900,17.4,58.1641180157,4,2013
2013-10-30,17.4,17.65,17.200001,17.200001,77700,17.200001,56.3584166259,4,2013
2013-10-31,17.76,17.76,16.85,16.85,102900,16.85,53.2432486074,4,2013
2013-11-01,16.9,17.32,16.799999,17.15,33100,17.15,55.5130704821,4,2013
2013-11-04,17.48,17.5,17.129999,17.41,34000,17.41,57.441358833,4,2013
2013-11-05,17.41,17.48,17.049999,17.200001,31600,17.200001,55.3543704867,4,2013
2013-11-06,17.35,17.35,16.85,16.85,26900,16.85,51.9655571412,4,2013
2013-11-07,16.83,16.83,15.41,15.83,49100,15.83,43.5902512978,4,2013
2013-11-08,16.120001,16.280001,15.76,15.79,12000,15.79,43.2955561986,4,2013
2013-11-11,15.95,16.0,15.55,15.84,8500,15.84,43.8069562809,4,2013
2013-11-12,15.78,17.34,15.77,16.690001,36200,16.690001,51.7702514252,4,2013
2013-11-13,16.799999,17.65,16.620001,17.0,59500,17.0,54.3131387549,4,2013
2013-11-14,17.6,17.75,16.799999,17.51,85400,17.51,58.2162760667,4,2013
2013-11-15,17.5,17.65,17.059999,17.370001,78000,17.370001,56.7821936373,4,2013
2013-11-18,17.370001,17.67,17.370001,17.4,121700,17.4,57.0264788404,4,2013
2013-11-19,17.35,17.58,16.719999,17.25,23400,17.25,55.3420267371,4,2013
2013-11-20,17.5,17.5,16.51,16.6,5900,16.6,48.637608434,4,2013
2013-11-21,16.59,17.68,16.59,17.049999,88400,17.049999,52.8924144452,4,2013
2013-11-22,17.219999,17.5,17.02,17.24,86200,17.24,54.6024151795,4,2013
2013-11-25,17.209999,17.25,16.809999,16.969999,11300,16.969999,51.7287785907,4,2013
2013-11-26,16.9,17.0,16.639999,16.99,12800,16.99,51.9305965197,4,2013
2013-11-27,17.0,17.18,16.799999,17.0,27900,17.0,52.0385649034,4,2013
2013-11-29,16.950001,17.0,16.620001,16.73,8000,16.73,48.8483067366,4,2013
2013-12-02,16.879999,17.0,16.75,16.75,13000,16.75,49.0972456077,4,2013
2013-12-03,16.76,16.790001,16.52,16.610001,11200,16.610001,47.3597576868,4,2013
2013-12-04,16.41,16.969999,16.41,16.6,18600,16.6,47.2311708378,4,2013
2013-12-05,16.6,16.67,16.299999,16.639999,47200,16.639999,47.8411367847,4,2013
2013-12-06,16.610001,16.719999,16.26,16.530001,42100,16.530001,46.2575879767,4,2013
2013-12-09,16.5,16.84,16.129999,16.129999,76700,16.129999,40.9494728269,4,2013
2013-12-10,16.0,17.879999,15.81,17.0,63000,17.0,53.4588737781,4,2013
2013-12-11,17.0,17.389999,16.34,17.16,60400,17.16,55.332940343,4,2013
2013-12-12,17.219999,17.389999,16.65,17.049999,31600,17.049999,53.7310428277,4,2013
2013-12-13,17.0,17.190001,16.690001,16.700001,19900,16.700001,48.8820250037,4,2013
2013-12-16,16.780001,17.700001,16.309999,16.709999,45300,16.709999,49.02354909,4,2013
2013-12-17,16.75,16.940001,16.48,16.639999,22500,16.639999,48.021108846,4,2013
2013-12-18,17.5,17.5,16.52,16.559999,149700,16.559999,46.8422332772,4,2013
2013-12-19,16.780001,16.860001,16.0,16.77,78900,16.77,50.2919138644,4,2013
2013-12-20,16.91,17.23,16.700001,17.200001,38400,17.200001,56.5147318264,4,2013
2013-12-23,17.0,17.02,16.58,16.629999,26000,16.629999,47.946209538,4,2013
2013-12-24,16.639999,17.0,16.639999,16.93,2500,16.93,52.0655091818,4,2013
2013-12-26,16.950001,16.950001,16.360001,16.360001,35000,16.360001,44.8097965814,4,2013
2013-12-27,16.26,17.1,16.26,16.799999,6500,16.799999,50.5397081409,4,2013
2013-12-30,16.799999,17.0,16.690001,16.719999,5000,16.719999,49.5327706453,4,2013
2013-12-31,16.879999,17.110001,16.57,16.629999,12800,16.629999,48.3653133716,4,2013
2014-01-02,16.879999,17.0,16.75,16.98,4700,16.98,53.0042497897,1,2014
2014-01-03,17.120001,18.389999,17.08,18.0,78800,18.0,63.3407964553,1,2014
2014-01-06,18.0,18.0,17.02,17.040001,37600,17.040001,51.7942148541,1,2014
2014-01-07,16.809999,17.15,16.5,16.98,28100,16.98,51.1664063189,1,2014
2014-01-08,17.290001,18.0,17.049999,17.700001,310300,17.700001,57.7798153557,1,2014
2014-01-09,17.82,18.389999,17.73,18.24,146800,18.24,61.942655379,1,2014
2014-01-10,18.200001,18.5,17.370001,18.209999,149100,18.209999,61.5793829942,1,2014
2014-01-13,18.799999,21.299999,18.35,19.969999,245800,19.969999,71.96626416,1,2014
2014-01-14,19.969999,20.860001,19.059999,19.969999,111400,19.969999,71.96626416,1,2014
2014-01-15,19.9,21.77,19.540001,21.59,129000,21.59,78.2447720872,1,2014
2014-01-16,21.5,22.42,21.360001,21.75,127300,21.75,78.7509513449,1,2014
2014-01-17,22.0,22.700001,21.459999,22.040001,108700,22.040001,79.6740655296,1,2014
2014-01-21,22.5,22.85,18.01,18.799999,200200,18.799999,52.3244563631,1,2014
2014-01-22,19.440001,21.559999,18.5,21.4,117900,21.4,63.2318085156,1,2014
2014-01-23,20.91,22.0,20.91,21.84,74000,21.84,64.7035077805,1,2014
2014-01-24,21.01,21.83,21.01,21.809999,61900,21.809999,64.5138949137,1,2014
2014-01-27,21.99,21.99,20.389999,21.639999,67600,21.639999,63.3804685813,1,2014
2014-01-28,21.43,21.889999,20.02,20.309999,30600,20.309999,55.2083902141,1,2014
2014-01-29,20.280001,21.700001,19.780001,19.799999,19200,19.799999,52.4174155156,1,2014
2014-01-30,19.75,21.219999,19.75,20.92,23900,20.92,57.4988299758,1,2014
2014-01-31,20.889999,21.57,20.75,20.82,29900,20.82,56.9144099322,1,2014
2014-02-03,20.790001,21.290001,20.290001,21.02,47700,21.02,57.8374231487,1,2014
2014-02-04,20.700001,20.969999,19.59,20.18,35400,20.18,52.7282222754,1,2014
2014-02-05,19.84,20.959999,19.76,20.9,19400,20.9,56.2922447842,1,2014
2014-02-06,21.0,21.0,20.49,21.0,8300,21.0,56.7796375678,1,2014
2014-02-07,21.0,21.299999,20.24,20.950001,42700,20.950001,56.4407471041,1,2014
2014-02-10,21.0,22.0,20.379999,21.51,70200,21.51,59.3660220347,1,2014
2014-02-11,21.5,22.280001,21.27,21.93,51000,21.93,61.4566759931,1,2014
2014-02-12,21.940001,22.299999,21.700001,22.0,40800,22.0,61.8093579219,1,2014
2014-02-13,22.0,22.530001,21.620001,21.9,80800,21.9,60.9513252256,1,2014
2014-02-14,21.950001,22.540001,20.15,20.43,160200,20.43,49.9698710814,1,2014
2014-02-18,20.950001,21.23,20.0,21.0,95100,21.0,53.4705090976,1,2014
2014-02-19,20.9,21.209999,20.4,20.809999,90200,20.809999,52.1603566,1,2014
2014-02-20,20.790001,21.440001,20.629999,21.389999,64300,21.389999,55.7265712322,1,2014
2014-02-21,21.299999,21.92,20.83,21.620001,34700,21.620001,57.092539643,1,2014
2014-02-24,21.6,24.09,21.6,23.280001,122400,23.280001,65.3917734952,1,2014
2014-02-25,23.23,24.84,23.219999,24.690001,65200,24.690001,70.5944844462,1,2014
2014-02-26,24.51,25.969999,23.77,24.799999,149000,24.799999,70.961241736,1,2014
2014-02-27,25.1,25.139999,23.68,24.75,103600,24.75,70.5306269738,1,2014
2014-02-28,23.790001,24.75,23.790001,24.33,46400,24.33,66.8602685273,1,2014
2014-03-03,24.0,24.370001,22.6,22.889999,51300,22.889999,56.0840104592,1,2014
2014-03-04,22.860001,24.370001,22.75,22.99,59000,22.99,56.6070627967,1,2014
2014-03-05,23.0,23.200001,22.110001,22.530001,71400,22.530001,53.4532643519,1,2014
2014-03-06,22.83,22.83,20.549999,20.99,98800,20.99,44.5121665461,1,2014
2014-03-07,21.0,21.65,20.59,21.0,86900,21.0,44.5769957005,1,2014
2014-03-10,21.0,21.379999,20.6,20.76,50000,20.76,43.2703468489,1,2014
2014-03-11,20.9,21.459999,20.6,20.91,16600,20.91,44.3679314486,1,2014
2014-03-12,20.879999,21.459999,20.870001,21.09,31900,21.09,45.7249751599,1,2014
2014-03-13,21.0,21.360001,20.77,21.0,47000,21.0,45.1321732925,1,2014
2014-03-14,21.1,21.92,20.75,21.620001,18700,21.620001,49.9463942314,1,2014
2014-03-17,21.75,21.85,21.02,21.02,24100,21.02,45.7617799298,1,2014
2014-03-18,21.16,22.65,21.16,21.34,126100,21.34,48.2519443207,1,2014
2014-03-19,21.4,21.5,20.75,21.27,82800,21.27,47.7356490269,1,2014
2014-03-20,21.129999,21.639999,21.0,21.299999,26300,21.299999,47.992477362,1,2014
2014-03-21,21.299999,21.51,20.33,20.389999,72600,20.389999,41.3539246943,1,2014
2014-03-24,20.35,20.4,16.6,18.33,176800,18.33,30.9253463295,1,2014
2014-03-25,18.25,19.049999,18.16,18.629999,168700,18.629999,33.5533091377,1,2014
2014-03-26,18.67,19.1,18.01,18.280001,80400,18.280001,32.0226173124,1,2014
2014-03-27,18.209999,19.549999,17.690001,19.139999,158600,19.139999,39.3447465256,1,2014
2014-03-28,19.219999,19.389999,18.709999,19.01,43900,19.01,38.6667340355,1,2014
2014-03-31,19.0,19.200001,18.68,19.07,33000,19.07,39.1876154931,1,2014
2014-04-01,19.01,19.780001,19.0,19.5,79000,19.5,42.92841659,2,2014
2014-04-02,19.5,19.98,18.99,19.16,49400,19.16,40.79173454,2,2014
2014-04-03,19.01,19.459999,18.299999,19.1,113400,19.1,40.4094951206,2,2014
2014-04-04,19.1,19.1,17.870001,18.08,70800,18.08,34.4922631438,2,2014
2014-04-07,17.969999,18.66,17.02,18.52,63000,18.52,38.6646377525,2,2014
2014-04-08,18.459999,19.219999,18.0,18.709999,28600,18.709999,40.4290834704,2,2014
2014-04-09,18.719999,18.969999,18.110001,18.92,19800,18.92,42.401344724,2,2014
2014-04-10,18.969999,19.049999,18.5,18.85,23400,18.85,41.9033324076,2,2014
2014-04-11,18.700001,18.700001,17.77,18.110001,50500,18.110001,36.9611004699,2,2014
2014-04-14,18.120001,18.360001,18.0,18.120001,51700,18.120001,37.0691174258,2,2014
2014-04-15,18.0,18.43,16.629999,16.799999,46600,16.799999,29.8083769614,2,2014
2014-04-16,16.799999,18.969999,16.799999,18.790001,26900,18.790001,46.7439893386,2,2014
2014-04-17,18.809999,19.299999,18.299999,19.1,28500,19.1,48.8157676296,2,2014
2014-04-21,19.040001,19.51,18.139999,19.16,29600,19.16,49.2274659804,2,2014
2014-04-22,19.049999,20.620001,18.799999,19.67,26200,19.67,52.7094061898,2,2014
2014-04-23,19.799999,19.83,18.879999,19.07,18100,19.07,48.495724906,2,2014
2014-04-24,19.040001,19.639999,18.27,19.32,14400,19.32,50.279271599,2,2014
2014-04-25,18.860001,19.200001,18.25,18.91,12000,18.91,47.3814095177,2,2014
2014-04-28,18.9,19.540001,18.030001,19.01,47600,19.01,48.1661090115,2,2014
2014-04-29,19.0,19.559999,18.459999,18.91,15000,18.91,47.4047824129,2,2014
2014-04-30,18.67,19.469999,18.67,18.84,5700,18.84,46.8465821037,2,2014
2014-05-01,19.059999,19.059999,18.1,18.43,14800,18.43,43.607655176,2,2014
2014-05-02,18.4,18.4,18.0,18.200001,44200,18.200001,41.8592524219,2,2014
2014-05-05,18.0,18.32,17.99,17.99,35400,17.99,40.2715919115,2,2014
2014-05-06,18.049999,18.370001,17.66,18.0,49300,18.0,40.3875407851,2,2014
2014-05-07,18.23,18.23,17.309999,17.690001,21100,17.690001,37.9294011148,2,2014
2014-05-08,17.16,17.719999,17.110001,17.32,18400,17.32,35.1773907965,2,2014
2014-05-09,17.219999,17.23,15.86,16.23,70200,16.23,28.5951380618,2,2014
2014-05-12,16.139999,16.639999,16.139999,16.35,18000,16.35,30.1448423637,2,2014
2014-05-13,16.5,17.209999,16.18,16.77,18100,16.77,35.4271505286,2,2014
2014-05-14,16.709999,17.459999,16.709999,17.200001,10900,17.200001,40.3965246995,2,2014
2014-05-15,16.969999,17.34,16.700001,17.1,12300,17.1,39.6326460417,2,2014
2014-05-16,17.049999,17.440001,16.59,16.870001,20900,16.870001,37.85943359,2,2014
2014-05-19,16.99,17.459999,16.42,17.02,43600,17.02,39.7526182675,2,2014
2014-05-20,16.65,17.23,16.65,16.959999,9200,16.959999,39.2376557326,2,2014
2014-05-21,16.959999,17.76,16.959999,17.41,18700,17.41,44.9929546777,2,2014
2014-05-22,17.32,17.91,17.0,17.77,27500,17.77,49.143043906,2,2014
2014-05-23,17.780001,18.24,17.620001,17.950001,27500,17.950001,51.1284630905,2,2014
2014-05-27,18.0,19.77,17.950001,19.190001,48500,19.190001,62.1040176122,2,2014
2014-05-28,19.1,20.75,19.1,20.42,47000,20.42,69.4363677664,2,2014
2014-05-29,20.290001,22.0,20.120001,21.540001,43700,21.540001,74.3105632626,2,2014
2014-05-30,21.68,22.42,20.6,21.389999,37300,21.389999,72.6397209363,2,2014
2014-06-02,21.25,21.5,20.02,20.120001,17500,20.120001,60.281413067,2,2014
2014-06-03,20.709999,20.709999,19.92,20.139999,34700,20.139999,60.3956734528,2,2014
