Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,34.41,34.529999,33.610001,33.740002,106300,30.834618,,1,2012
2012-01-04,33.540001,33.830002,33.07,33.66,63600,30.761505,,1,2012
2012-01-05,33.279999,33.950001,32.779999,33.799999,79500,30.889449,,1,2012
2012-01-06,33.860001,33.98,33.169998,33.630001,66900,30.73409,,1,2012
2012-01-09,33.759998,34.049999,32.860001,33.48,130100,30.597005,,1,2012
2012-01-10,34.040001,34.09,33.450001,33.639999,101100,30.743227,,1,2012
2012-01-11,33.419998,33.880001,33.419998,33.75,194000,30.843755,,1,2012
2012-01-12,33.799999,33.919998,33.299999,33.759998,292900,30.852893,,1,2012
2012-01-13,33.209999,33.700001,33.0,33.32,86600,30.450783,,1,2012
2012-01-17,33.740002,33.98,33.509998,33.900002,351400,30.98084,,1,2012
2012-01-18,33.93,34.130001,33.700001,34.060001,304800,31.127062,,1,2012
2012-01-19,34.279999,34.75,34.029999,34.450001,143800,31.483478,,1,2012
2012-01-20,34.450001,34.610001,34.32,34.5,87300,31.529172,,1,2012
2012-01-23,34.5,34.830002,34.09,34.5,66100,31.529172,,1,2012
2012-01-24,34.25,34.959999,34.16,34.740002,109100,31.748507,68.6567127616,1,2012
2012-01-25,34.700001,34.779999,34.279999,34.48,113500,31.510894,62.1621139744,1,2012
2012-01-26,34.91,34.98,34.150002,34.450001,121500,31.483478,61.4399451803,1,2012
2012-01-27,34.330002,34.450001,33.709999,33.810001,125700,30.89859,48.4958706129,1,2012
2012-01-30,33.400002,33.580002,32.82,32.880001,343300,30.048673,36.4715011095,1,2012
2012-01-31,33.139999,34.529999,32.650002,34.139999,691000,31.200172,53.3484907555,1,2012
2012-02-01,34.389999,35.139999,34.32,35.0,410800,31.986117,60.9699593978,1,2012
2012-02-02,34.990002,35.110001,34.779999,34.82,180400,31.821616,58.8045261826,1,2012
2012-02-03,35.279999,35.91,35.220001,35.419998,247300,32.369948,63.4627892511,1,2012
2012-02-06,35.02,35.57,35.02,35.299999,80700,32.260283,61.9539171989,1,2012
2012-02-07,35.299999,35.470001,35.189999,35.290001,166000,32.251145,61.822017372,1,2012
