Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,21.25,21.49,20.969999,21.0,409900,21.0,,1,2012
2012-01-04,20.799999,20.9,20.280001,20.360001,332000,20.360001,,1,2012
2012-01-05,20.25,20.860001,19.950001,20.639999,943500,20.639999,,1,2012
2012-01-06,20.709999,21.33,20.6,21.190001,377500,21.190001,,1,2012
2012-01-09,21.219999,21.34,21.120001,21.200001,375700,21.200001,,1,2012
2012-01-10,21.23,21.389999,20.950001,21.0,398200,21.0,,1,2012
2012-01-11,20.870001,21.059999,20.809999,20.98,469100,20.98,,1,2012
2012-01-12,21.0,21.15,20.74,20.75,1202600,20.75,,1,2012
2012-01-13,20.719999,20.82,20.5,20.68,581700,20.68,,1,2012
2012-01-17,20.700001,21.07,20.68,20.950001,492800,20.950001,,1,2012
2012-01-18,20.940001,21.41,20.790001,21.33,481400,21.33,,1,2012
2012-01-19,21.58,22.059999,21.389999,21.860001,627200,21.860001,,1,2012
2012-01-20,21.860001,22.299999,21.780001,22.219999,516400,22.219999,,1,2012
2012-01-23,22.24,22.450001,21.75,22.120001,519100,22.120001,,1,2012
2012-01-24,22.110001,22.610001,21.85,22.450001,547400,22.450001,68.26199113,1,2012
2012-01-25,22.639999,23.0,22.52,22.83,869500,22.83,71.2278425272,1,2012
2012-01-26,22.9,23.23,22.780001,23.08,889900,23.08,73.0145043113,1,2012
2012-01-27,22.92,23.58,22.700001,23.290001,497800,23.290001,74.449765207,1,2012
2012-01-30,23.139999,23.26,22.879999,23.26,412700,23.26,73.8455055882,1,2012
2012-01-31,23.17,23.940001,22.950001,23.66,1765600,23.66,76.5753747662,1,2012
2012-02-01,24.91,24.91,23.42,23.969999,3061800,23.969999,78.4524369131,1,2012
2012-02-02,24.25,24.25,23.49,23.66,818800,23.66,72.2201284504,1,2012
2012-02-03,23.950001,24.16,23.77,23.84,616500,23.84,73.5347922517,1,2012
2012-02-06,23.99,24.01,23.59,24.0,596900,24.0,74.6817573191,1,2012
2012-02-07,23.969999,24.18,23.74,23.940001,527300,23.940001,73.3971720908,1,2012
2012-02-08,23.92,24.059999,23.290001,23.58,470700,23.58,66.0553969338,1,2012
2012-02-09,23.49,23.51,23.120001,23.370001,419200,23.370001,62.1500346252,1,2012
2012-02-10,23.219999,23.35,22.969999,23.280001,418400,23.280001,60.4991665033,1,2012
