Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-11-14,9.45,9.45,7.77,9.15,1851700,9.15,,4,2014
2014-11-17,9.0,9.15,8.79,9.0,107900,9.0,,4,2014
2014-11-18,8.93,9.0,8.71,8.82,39300,8.82,,4,2014
2014-11-19,8.5,9.12,8.5,8.99,22200,8.99,,4,2014
2014-11-20,8.69,8.98,8.35,8.39,126000,8.39,,4,2014
2014-11-21,9.0,9.0,8.25,8.38,164600,8.38,,4,2014
2014-11-24,8.23,8.448,7.75,7.85,125300,7.85,,4,2014
2014-11-25,7.87,7.98,6.66,7.15,241800,7.15,,4,2014
2014-11-26,7.03,7.351,7.03,7.24,66600,7.24,,4,2014
2014-11-28,7.24,7.384,7.083,7.29,43700,7.29,,4,2014
2014-12-01,7.77,8.03,7.403,7.79,126900,7.79,,4,2014
2014-12-02,7.96,8.18,7.7,8.11,81300,8.11,,4,2014
2014-12-03,7.93,8.19,7.91,7.99,35300,7.99,,4,2014
2014-12-04,8.0,8.0,7.42,7.99,66900,7.99,,4,2014
2014-12-05,7.9,7.99,7.9,7.99,16100,7.99,33.0409356725,4,2014
2014-12-08,8.13,8.13,7.9,8.04,31700,8.04,34.0788308237,4,2014
2014-12-09,7.82,8.02,7.58,7.69,44900,7.69,30.5133601757,4,2014
2014-12-10,8.0,8.1,6.649,7.01,74600,7.01,25.0333982691,4,2014
2014-12-11,6.84,7.57,6.84,7.365,44200,7.365,31.9085776522,4,2014
2014-12-12,7.07,7.42,7.07,7.19,50900,7.19,30.4271779179,4,2014
2014-12-15,7.11,7.12,6.68,6.81,53900,6.81,27.4473234864,4,2014
2014-12-16,6.71,6.75,6.34,6.34,25900,6.34,24.2800736691,4,2014
2014-12-17,6.27,6.444,6.09,6.22,24700,6.22,23.5333929502,4,2014
2014-12-18,6.74,6.74,6.04,6.12,10600,6.12,22.90134594,4,2014
2014-12-19,6.1,6.6,5.67,5.8,97200,5.8,20.9612767105,4,2014
2014-12-22,6.28,6.28,5.81,5.83,48500,5.83,21.6315523328,4,2014
2014-12-23,6.41,6.45,6.01,6.09,107900,6.09,27.3794596996,4,2014
2014-12-24,6.474,6.474,5.9,5.902,23400,5.902,25.9002116226,4,2014
2014-12-26,6.51,6.51,5.98,6.06,37400,6.06,29.354696957,4,2014
2014-12-29,6.3,6.3,5.939,6.18,240800,6.18,31.9495123741,4,2014
2014-12-30,8.27,19.07,8.16,18.139999,41008700,18.139999,86.231212846,4,2014
2014-12-31,16.75,18.4,13.405,14.04,8651300,14.04,66.6144291244,4,2014
2015-01-02,14.49,14.9,11.65,12.06,1583500,12.06,59.5669355229,1,2015
2015-01-05,11.92,15.045,11.45,13.65,5638200,13.65,62.956150439,1,2015
2015-01-06,13.75,16.450001,13.5,15.45,6028100,15.45,66.3907874977,1,2015
2015-01-07,16.049999,16.75,13.61,13.88,2219200,13.88,61.0719315739,1,2015
2015-01-08,13.8,14.74,13.3,14.3,912700,14.3,61.9501403778,1,2015
2015-01-09,14.41,15.5,14.089,14.96,984300,14.96,63.3493908349,1,2015
2015-01-12,14.98,15.94,14.6,15.32,819000,15.32,64.12436154,1,2015
2015-01-13,15.35,15.682,12.28,13.0,1147400,13.0,55.9184079872,1,2015
2015-01-14,12.88,13.5,12.788,13.19,303000,13.19,56.4103788635,1,2015
2015-01-15,13.5,13.5,11.91,12.07,434700,12.07,52.6782023567,1,2015
2015-01-16,11.81,12.56,10.9,11.01,542000,11.01,49.350336568,1,2015
2015-01-20,11.04,11.447,10.15,10.26,465500,10.26,47.0838810884,1,2015
2015-01-21,10.2,11.0,9.75,9.89,395700,9.89,45.9624177432,1,2015
2015-01-22,9.6,10.864,9.108,10.03,649000,10.03,46.4818452627,1,2015
2015-01-23,9.71,10.24,9.71,9.83,199800,9.83,45.8044788859,1,2015
2015-01-26,10.02,12.25,9.86,11.65,794800,11.65,52.5770683223,1,2015
2015-01-27,11.26,12.77,11.08,12.14,638800,12.14,54.2352489312,1,2015
2015-01-28,12.47,12.47,11.68,11.94,192700,11.94,53.4142936104,1,2015
2015-01-29,11.82,12.34,10.59,11.57,296300,11.57,51.8506125102,1,2015
2015-01-30,11.12,11.99,10.7,10.7,99500,10.7,48.2722030814,1,2015
2015-02-02,10.7,11.0,10.2,10.34,124600,10.34,46.8319258751,1,2015
2015-02-03,10.3,10.65,9.88,10.01,130200,10.01,45.4920019574,1,2015
2015-02-04,10.1,10.25,9.9,10.06,123700,10.06,45.7452909451,1,2015
2015-02-05,9.99,11.25,9.98,11.08,286800,11.08,50.7709432824,1,2015
2015-02-06,11.35,11.5,10.435,10.56,180500,10.56,48.3138884392,1,2015
2015-02-09,10.66,10.66,10.01,10.1,105300,10.1,46.184593064,1,2015
2015-02-10,10.05,10.41,10.05,10.39,64000,10.39,47.7480686913,1,2015
2015-02-11,10.43,10.98,10.31,10.57,74100,10.57,48.7434580204,1,2015
2015-02-12,10.66,10.75,10.26,10.54,55100,10.54,48.5773624703,1,2015
2015-02-13,10.6,11.31,10.57,10.76,145900,10.76,49.9249263672,1,2015
2015-02-17,10.54,11.68,10.54,11.28,152900,11.28,53.0563188676,1,2015
2015-02-18,11.5,12.19,11.29,11.77,149500,11.77,55.8575549716,1,2015
2015-02-19,11.9,12.47,11.78,12.09,144800,12.09,57.6354800041,1,2015
2015-02-20,12.18,12.18,11.25,11.58,116900,11.58,53.9088039932,1,2015
2015-02-23,11.98,12.4,11.5,12.21,154000,12.21,57.5594349908,1,2015
2015-02-24,12.3,13.5,12.11,13.4,467100,13.4,63.4484989543,1,2015
2015-02-25,14.07,14.21,12.91,13.03,261500,13.03,60.631399663,1,2015
2015-02-26,13.17,13.86,13.07,13.62,92900,13.62,63.4204367482,1,2015
2015-02-27,13.8,14.2,13.62,13.83,145600,13.83,64.3875083735,1,2015
2015-03-02,13.9,14.07,12.82,13.19,131000,13.19,59.2467191965,1,2015
2015-03-03,13.11,13.25,12.27,12.48,128000,12.48,54.0874548739,1,2015
2015-03-04,12.46,13.31,12.31,13.22,204900,13.22,58.1754708741,1,2015
2015-03-05,13.3,13.99,13.21,13.97,225100,13.97,61.8801191381,1,2015
2015-03-06,13.97,13.97,13.46,13.8,168900,13.8,60.5704869912,1,2015
2015-03-09,13.95,13.95,13.36,13.69,156900,13.69,59.6901892474,1,2015
2015-03-10,13.65,13.73,12.99,13.25,172500,13.25,56.1734185464,1,2015
2015-03-11,13.35,13.45,12.32,12.74,170100,12.74,52.3252458218,1,2015
2015-03-12,12.74,12.74,12.024,12.49,143300,12.49,50.4989928523,1,2015
2015-03-13,12.2,12.71,12.13,12.55,81000,12.55,50.9415399475,1,2015
2015-03-16,12.66,13.29,12.66,12.85,182300,12.85,53.1947155295,1,2015
2015-03-17,12.93,12.96,12.42,12.55,124800,12.55,50.687637464,1,2015
2015-03-18,12.52,12.862,12.3,12.5,117800,12.5,50.2624538812,1,2015
2015-03-19,12.44,13.11,12.44,13.11,209000,13.11,55.1998545937,1,2015
2015-03-20,13.15,13.37,12.82,13.03,250300,13.03,54.4366339323,1,2015
2015-03-23,13.09,13.2,12.64,12.89,105600,12.89,53.0541680387,1,2015
2015-03-24,12.95,13.71,12.78,13.15,292800,13.15,55.3233720619,1,2015
2015-03-25,13.09,13.25,12.5,12.61,147400,12.61,49.9257082136,1,2015
2015-03-26,12.58,12.77,12.35,12.52,91000,12.52,49.0664663929,1,2015
