Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.42,1.42,1.42,1.42,25900,1.42,,1,2012
2012-01-04,1.42,1.42,1.41,1.42,8100,1.42,,1,2012
2012-01-05,1.4,1.43,1.4,1.4,39000,1.4,,1,2012
2012-01-06,1.4,1.43,1.4,1.43,17600,1.43,,1,2012
2012-01-09,1.43,1.43,1.4,1.43,21400,1.43,,1,2012
2012-01-10,1.43,1.43,1.4,1.43,29900,1.43,,1,2012
2012-01-11,1.44,1.5,1.44,1.48,39500,1.48,,1,2012
2012-01-12,1.5,1.5,1.45,1.45,19000,1.45,,1,2012
2012-01-13,1.5,1.55,1.5,1.5,109100,1.5,,1,2012
2012-01-17,1.69,1.69,1.52,1.55,91800,1.55,,1,2012
2012-01-18,1.6,1.63,1.51,1.55,83200,1.55,,1,2012
2012-01-19,1.6,1.68,1.55,1.55,63900,1.55,,1,2012
2012-01-20,1.65,1.65,1.51,1.55,32100,1.55,,1,2012
2012-01-23,1.55,1.6,1.53,1.55,12300,1.55,,1,2012
2012-01-24,1.6,1.65,1.57,1.57,3500,1.57,80.0,1,2012
2012-01-25,1.57,1.64,1.57,1.6,37400,1.6,82.2888283379,1,2012
2012-01-26,1.6,1.73,1.6,1.7,81600,1.7,87.4461447036,1,2012
2012-01-27,1.8,1.8,1.73,1.76,55700,1.76,89.4341473737,1,2012
2012-01-30,1.76,1.79,1.75,1.76,21500,1.76,89.4341473737,1,2012
2012-01-31,1.75,1.75,1.65,1.75,12800,1.75,86.7779084303,1,2012
2012-02-01,1.75,1.76,1.74,1.76,29200,1.76,87.1877114581,1,2012
2012-02-02,1.7,1.75,1.67,1.68,19500,1.68,68.8130121372,1,2012
2012-02-03,1.76,1.76,1.67,1.69,12800,1.69,69.6733790153,1,2012
2012-02-06,1.67,1.7,1.59,1.6,8100,1.6,54.9741123135,1,2012
2012-02-07,1.6,1.62,1.6,1.6,14100,1.6,54.9741123135,1,2012
2012-02-08,1.6,1.65,1.6,1.64,10100,1.64,59.390280774,1,2012
2012-02-09,1.7,1.71,1.67,1.7,9900,1.7,64.9444165272,1,2012
