Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,31.240005,31.840004,30.87,31.489995,356200,20.99333,,1,2012
2012-01-04,31.26,31.86,30.660001,30.769996,357300,20.51333,,1,2012
2012-01-05,30.51,31.450004,30.150001,30.970004,232000,20.646669,,1,2012
2012-01-06,31.039996,31.11,30.569999,30.790006,186400,20.52667,,1,2012
2012-01-09,30.940006,31.009995,30.589994,30.610004,219300,20.40667,,1,2012
2012-01-10,31.030005,31.199999,30.540001,30.739995,169300,20.49333,,1,2012
2012-01-11,30.619995,31.030005,30.520005,30.820006,124000,20.546671,,1,2012
2012-01-12,30.850004,31.219995,30.75,31.050001,215500,20.700001,,1,2012
2012-01-13,30.63,31.11,30.499995,30.940006,147000,20.626671,,1,2012
2012-01-17,31.14,31.729995,31.079999,31.189994,133800,20.793329,,1,2012
2012-01-18,31.199999,31.949999,30.769996,31.840004,197500,21.226669,,1,2012
2012-01-19,32.020005,32.76,31.699994,32.01,161800,21.34,,1,2012
2012-01-20,31.89,32.52,31.89,32.299996,127200,21.533331,,1,2012
2012-01-23,32.170006,32.310001,31.669996,31.699994,74200,21.133329,,1,2012
2012-01-24,31.589999,32.050006,31.000005,31.690006,132300,21.126671,52.6317451533,1,2012
2012-01-25,31.709999,32.689994,31.530001,32.49,151200,21.66,61.3862564952,1,2012
2012-01-26,32.629995,32.719995,32.099999,32.389996,133500,21.59333,59.8959957778,1,2012
2012-01-27,32.149996,32.920006,32.149996,32.500005,140100,21.66667,61.0171361181,1,2012
2012-01-30,32.339999,32.380005,31.86,32.320006,157200,21.546671,58.1525466862,1,2012
2012-01-31,32.419996,32.849999,32.230004,32.569994,140700,21.713329,60.8981695099,1,2012
2012-02-01,32.73,33.769996,32.419996,33.719999,188400,22.48,70.4901185254,1,2012
2012-02-02,33.689999,33.99,33.209999,33.36,127900,22.24,65.1059649144,1,2012
2012-02-03,33.940006,34.62,33.580004,34.600004,250500,23.066669,72.8097961216,1,2012
2012-02-06,34.369995,34.949999,33.649996,34.360004,148900,22.90667,69.6066510792,1,2012
2012-02-07,34.219995,34.219995,33.409996,33.670006,90000,22.446671,61.262100091,1,2012
2012-02-08,33.610004,33.850004,33.220004,33.670006,102600,22.446671,61.262100091,1,2012
2012-02-09,33.709994,33.850004,32.770005,33.75,114000,22.5,61.876597153,1,2012
2012-02-10,33.340004,33.649996,33.259995,33.619995,99100,22.41333,60.2050946868,1,2012
2012-02-13,34.030005,34.849995,34.030005,34.759995,113800,23.17333,68.2934328835,1,2012
2012-02-14,34.680001,34.829999,34.549996,34.77,112200,23.18,68.3542246121,1,2012
2012-02-15,34.879995,34.89,34.23,34.469999,130000,22.98,64.3689302391,1,2012
2012-02-16,34.519996,35.920006,34.38,35.530005,169900,23.68667,70.8385103196,1,2012
2012-02-17,35.749995,35.749995,35.099999,35.479995,125100,23.65333,70.1909769666,1,2012
2012-02-21,35.400001,35.88,34.349999,34.519996,207000,23.01333,59.0351351679,1,2012
2012-02-22,34.459994,34.630005,33.839999,34.429994,208900,22.953329,58.1027804491,1,2012
2012-02-23,34.540006,35.209994,34.290001,35.110004,99100,23.40667,62.8737134398,1,2012
2012-02-24,34.969995,35.800006,34.969995,35.470004,86800,23.646669,65.1370608924,1,2012
2012-02-27,35.569994,37.000005,35.569994,36.160006,311700,24.10667,69.0337229152,1,2012
2012-02-28,36.169996,36.229995,35.410006,35.839994,341200,23.89333,65.383693297,1,2012
2012-02-29,35.73,35.920006,34.699994,34.699994,132400,23.133329,54.3575945037,1,2012
2012-03-01,34.900005,35.080004,34.23,34.240005,138400,22.82667,50.6462922751,1,2012
2012-03-02,34.240005,34.5,33.499995,33.799996,178800,22.533331,47.3182162904,1,2012
2012-03-05,33.760005,34.150005,33.469995,34.150005,75000,22.76667,50.125745002,1,2012
2012-03-06,33.780001,34.420006,33.780001,34.069994,192900,22.713329,49.4766289612,1,2012
2012-03-07,34.150005,34.170001,33.820006,33.949994,76300,22.633329,48.4629855921,1,2012
2012-03-08,34.150005,34.579994,33.559994,34.480004,101400,22.98667,53.0392281779,1,2012
2012-03-09,34.600004,35.310001,34.039996,34.660006,154200,23.10667,54.5163522164,1,2012
2012-03-12,34.780005,34.780005,33.709994,33.780001,99700,22.52,46.7707775065,1,2012
2012-03-13,34.050001,34.930006,33.529996,34.870005,215200,23.24667,55.2515085679,1,2012
2012-03-14,34.879995,35.49,34.669996,35.359995,268200,23.57333,58.4558340471,1,2012
2012-03-15,35.380005,35.860004,34.519996,35.790001,223200,23.860001,61.0891412489,1,2012
2012-03-16,35.899996,36.27,35.119995,36.089999,229800,24.059999,62.8579618544,1,2012
2012-03-19,36.030001,37.319999,35.929994,36.829994,161700,24.553329,66.8598422232,1,2012
2012-03-20,36.599999,37.099995,36.250005,36.820006,129700,24.546671,66.7553040044,1,2012
2012-03-21,36.799996,37.219995,36.619995,36.940006,158700,24.626671,67.414575072,1,2012
2012-03-22,36.540001,36.679994,35.550001,36.030001,173700,24.02,58.0183212257,1,2012
2012-03-23,36.100004,37.369995,36.030001,37.150005,161500,24.76667,64.5646500483,1,2012
2012-03-26,37.579994,38.839994,37.579994,38.470004,334500,25.646669,70.4191164307,1,2012
2012-03-27,38.149996,40.759995,37.300006,39.679994,382500,26.453329,74.5671203113,1,2012
2012-03-28,39.649996,40.14,39.310006,39.460004,395400,26.306669,72.5745296801,1,2012
2012-03-29,39.280005,40.000005,39.0,39.880005,167100,26.58667,74.0028606711,1,2012
2012-03-30,40.030005,40.030005,39.040006,39.070006,150400,26.046671,66.7795496097,1,2012
2012-04-02,38.830004,39.75,38.740005,39.75,143100,26.5,69.4733886173,2,2012
2012-04-03,39.520005,40.000005,39.329999,39.580004,118800,26.386669,67.9890767259,2,2012
2012-04-04,39.24,39.24,38.449994,38.790001,141600,25.860001,61.4215704705,2,2012
2012-04-05,38.479995,39.040006,38.280001,38.329994,149700,25.553329,57.9135401221,2,2012
2012-04-09,37.709999,38.25,37.319999,37.510005,122200,25.00667,52.1912819264,2,2012
2012-04-10,37.62,37.630005,36.24,36.439994,207100,24.293329,45.8279685694,2,2012
2012-04-11,36.739995,37.699994,36.649996,37.690006,233800,25.126671,53.0323247836,2,2012
2012-04-12,37.690006,38.539996,37.690006,38.320006,144000,25.546671,56.1943198452,2,2012
2012-04-13,38.01,38.310001,37.199999,37.489995,125400,24.99333,51.2946950998,2,2012
2012-04-16,37.62,38.020005,37.02,37.650001,85500,25.1,52.1606392759,2,2012
2012-04-17,38.029996,39.130005,38.029996,38.749995,204100,25.83333,57.7252695793,2,2012
2012-04-18,38.530005,38.989995,38.059994,38.310001,127000,25.540001,54.970889031,2,2012
2012-04-19,38.440006,38.770005,37.540006,37.949999,119100,25.299999,52.7529516534,2,2012
2012-04-20,38.809994,38.830004,37.810006,38.050006,173200,25.366671,53.3164513497,2,2012
2012-04-23,37.330004,37.909996,37.120005,37.290001,89700,24.860001,48.5751302466,2,2012
2012-04-24,37.410001,38.400001,37.410001,38.080004,112600,25.386669,53.2309202365,2,2012
2012-04-25,38.449994,39.420001,38.449994,39.340004,151500,26.226669,59.5250230106,2,2012
2012-04-26,39.130005,39.169996,38.689994,39.010005,98400,26.00667,57.3482107158,2,2012
