Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-11-20,14.0,14.1,11.27,12.0,3113600,12.0,,4,2014
2014-11-21,11.82,12.0,11.17,11.25,212500,11.25,,4,2014
2014-11-24,11.1,11.17,10.63,11.0,35400,11.0,,4,2014
2014-11-25,11.0,11.26,11.0,11.13,5800,11.13,,4,2014
2014-11-26,11.09,11.13,10.5,10.59,76500,10.59,,4,2014
2014-11-28,10.78,10.97,10.55,10.785,6300,10.785,,4,2014
2014-12-01,10.65,10.83,10.0,10.17,114700,10.17,,4,2014
2014-12-02,10.5,10.5,9.27,9.6,70600,9.6,,4,2014
2014-12-03,9.83,9.83,8.55,8.75,121300,8.75,,4,2014
2014-12-04,8.68,9.25,8.0,8.7,152700,8.7,,4,2014
2014-12-05,8.5,8.5,8.0,8.38,95700,8.38,,4,2014
2014-12-08,8.04,8.15,7.4,7.7,90800,7.7,,4,2014
2014-12-09,7.71,7.71,7.43,7.55,47500,7.55,,4,2014
2014-12-10,7.697,8.899,7.46,8.5,123400,8.5,,4,2014
2014-12-11,8.73,8.73,7.57,7.97,40500,7.97,19.376899696,4,2014
2014-12-12,7.98,7.98,7.44,7.49,32400,7.49,17.9655321916,4,2014
2014-12-15,8.0,8.0,7.28,7.41,136100,7.41,17.7336921633,4,2014
2014-12-16,7.5,7.58,7.41,7.45,70500,7.45,18.3013905847,4,2014
2014-12-17,7.45,7.58,6.929,7.1,38200,7.1,17.1839814634,4,2014
2014-12-18,7.1,7.29,6.95,6.99,34400,6.99,16.836062598,4,2014
2014-12-19,6.94,6.94,6.34,6.57,77600,6.57,15.5421455273,4,2014
2014-12-22,6.5,6.5,6.32,6.47,32800,6.47,15.2417888817,4,2014
2014-12-23,6.45,6.51,6.11,6.4,21400,6.4,15.0229302654,4,2014
2014-12-24,6.36,6.74,6.24,6.65,26000,6.65,19.4703699142,4,2014
2014-12-26,6.54,7.24,6.47,7.15,47500,7.15,27.6284989747,4,2014
2014-12-29,7.3,7.3,6.87,6.87,32200,6.87,26.0377176254,4,2014
2014-12-30,6.7,7.0,6.6,6.869,43500,6.869,26.0319527941,4,2014
2014-12-31,6.9,7.54,6.9,7.48,144200,7.48,35.4376106222,4,2014
2015-01-02,7.5,7.595,7.26,7.36,20100,7.36,34.5094819672,1,2015
2015-01-05,7.4,7.4,7.17,7.34,12500,7.34,34.3480167991,1,2015
2015-01-06,7.5,7.777,7.07,7.24,24700,7.24,33.5039229077,1,2015
2015-01-07,7.25,7.25,6.8,7.12,30800,7.12,32.4726519723,1,2015
2015-01-08,7.12,7.34,6.91,7.12,20100,7.12,32.4726519723,1,2015
2015-01-09,7.25,7.469,7.025,7.42,12900,7.42,38.0053937193,1,2015
2015-01-12,7.189,7.5,6.91,7.42,26200,7.42,38.0053937193,1,2015
2015-01-13,7.5,7.5,6.9,6.99,19600,6.99,33.449561688,1,2015
2015-01-14,7.08,7.08,6.76,6.99,43600,6.99,33.449561688,1,2015
2015-01-15,7.27,7.27,6.872,6.872,18400,6.872,32.2203255748,1,2015
2015-01-16,6.88,7.01,6.671,6.77,18900,6.77,31.154541821,1,2015
2015-01-20,6.78,6.92,6.68,6.85,5200,6.85,33.0257475764,1,2015
2015-01-21,6.842,6.849,6.67,6.74,19200,6.74,31.7479860357,1,2015
2015-01-22,6.74,6.75,6.45,6.75,21900,6.75,32.0055367171,1,2015
2015-01-23,6.79,6.8,6.51,6.69,17200,6.69,31.2437278691,1,2015
2015-01-26,6.77,6.959,6.701,6.92,15300,6.92,37.3953384986,1,2015
2015-01-27,6.89,7.17,6.82,6.87,18500,6.87,36.6281218493,1,2015
2015-01-28,6.78,7.0,6.42,6.46,36200,6.46,31.0098937882,1,2015
2015-01-29,6.5,6.66,6.45,6.6,68000,6.6,34.6934742193,1,2015
2015-01-30,6.59,6.87,6.52,6.67,5100,6.67,36.5185662068,1,2015
2015-02-02,6.58,6.73,6.57,6.57,10900,6.57,35.0131851668,1,2015
2015-02-03,6.7,6.999,6.57,6.62,36100,6.62,36.424351512,1,2015
2015-02-04,6.61,6.96,6.6,6.9,29400,6.9,43.7859262906,1,2015
2015-02-05,6.95,7.043,6.818,6.82,18700,6.82,42.2795719274,1,2015
2015-02-06,7.02,7.02,6.61,6.71,48800,6.71,40.2301488193,1,2015
2015-02-09,6.72,6.84,6.636,6.75,11400,6.75,41.3435931099,1,2015
2015-02-10,6.62,6.9,6.62,6.79,6100,6.79,42.4972056059,1,2015
2015-02-11,6.8,6.8,6.71,6.71,8200,6.71,40.7701684521,1,2015
2015-02-12,6.78,6.99,6.71,6.73,9300,6.73,41.4112017493,1,2015
2015-02-13,6.76,6.8,6.66,6.69,8300,6.69,40.4678685888,1,2015
