Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-07-01,6.0,6.38,6.0,6.05,2926200,6.05,,3,2014
2014-07-02,6.1,6.15,6.0,6.0,349100,6.0,,3,2014
2014-07-03,6.03,6.22,6.0,6.13,120000,6.13,,3,2014
2014-07-07,6.24,6.24,5.75,5.9,325200,5.9,,3,2014
2014-07-08,5.8,6.08,5.8,5.97,195600,5.97,,3,2014
2014-07-09,5.93,6.06,5.93,5.93,43100,5.93,,3,2014
2014-07-10,5.85,7.54,5.8,6.68,747300,6.68,,3,2014
2014-07-11,7.1,7.13,6.41,6.61,276400,6.61,,3,2014
2014-07-14,6.61,7.0,6.36,6.8,107400,6.8,,3,2014
2014-07-15,6.8,6.8,5.75,5.85,532800,5.85,,3,2014
2014-07-16,5.9,6.09,5.57,6.09,199400,6.09,,3,2014
2014-07-17,6.0,6.4,5.8,6.35,136100,6.35,,3,2014
2014-07-18,6.35,6.4,6.111,6.4,97000,6.4,,3,2014
2014-07-21,6.4,6.4,6.11,6.33,56300,6.33,,3,2014
2014-07-22,6.32,6.32,6.05,6.15,85300,6.15,51.5243902439,3,2014
2014-07-23,6.26,6.3,6.05,6.1,42000,6.1,50.6922011998,3,2014
2014-07-24,6.1,6.7,6.05,6.56,197100,6.56,57.4941093669,3,2014
2014-07-25,6.28,6.85,6.28,6.78,283400,6.78,60.313816589,3,2014
2014-07-28,6.99,7.89,6.82,7.53,570700,7.53,68.0862354761,3,2014
2014-07-29,7.9,7.9,7.15,7.19,101700,7.19,62.1443927925,3,2014
2014-07-30,7.03,7.098,6.51,6.53,134200,6.53,52.5562237619,3,2014
2014-07-31,6.5,6.85,6.1,6.31,82900,6.31,49.7981229598,3,2014
2014-08-01,6.31,6.31,6.15,6.26,78900,6.26,49.166601406,3,2014
2014-08-04,6.74,6.74,6.3,6.63,49300,6.63,53.8324284732,3,2014
2014-08-05,6.45,6.8,6.22,6.24,32700,6.24,48.7528564317,3,2014
2014-08-06,6.15,6.83,6.15,6.82,88000,6.82,55.4807493108,3,2014
2014-08-07,6.85,7.0,6.614,7.0,124600,7.0,57.3520218584,3,2014
2014-08-08,6.26,6.847,6.26,6.51,40000,6.51,51.0601541817,3,2014
2014-08-11,6.55,6.91,6.51,6.54,36500,6.54,51.4116119901,3,2014
2014-08-12,6.77,7.1,6.62,6.975,90000,6.975,56.3109346201,3,2014
2014-08-13,7.1,7.1,6.816,6.86,6200,6.86,54.7394953404,3,2014
2014-08-14,6.99,7.42,6.9,6.99,93400,6.99,56.2266126196,3,2014
2014-08-15,7.33,7.34,6.864,7.29,62600,7.29,59.5311402073,3,2014
2014-08-18,7.15,7.3,6.96,6.97,18900,6.97,54.7806360369,3,2014
2014-08-19,6.97,7.15,6.86,6.96,25700,6.96,54.6339149518,3,2014
2014-08-20,6.83,6.94,6.67,6.67,17100,6.67,50.416728502,3,2014
