Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.71,5.88,5.71,5.76,1674900,5.76,,1,2012
2012-01-04,5.71,5.8,5.65,5.68,508600,5.68,,1,2012
2012-01-05,5.62,5.83,5.56,5.76,730400,5.76,,1,2012
2012-01-06,5.73,5.79,5.65,5.73,945300,5.73,,1,2012
2012-01-09,5.74,5.95,5.64,5.76,862000,5.76,,1,2012
2012-01-10,5.8,6.23,5.79,6.16,2064500,6.16,,1,2012
2012-01-11,6.14,6.31,6.01,6.24,1283100,6.24,,1,2012
2012-01-12,6.31,6.32,6.19,6.29,1493800,6.29,,1,2012
2012-01-13,6.17,6.77,6.15,6.72,4384800,6.72,,1,2012
2012-01-17,6.43,6.52,6.28,6.33,1865800,6.33,,1,2012
2012-01-18,6.35,6.43,6.27,6.39,1527200,6.39,,1,2012
2012-01-19,6.43,6.54,6.29,6.3,891200,6.3,,1,2012
2012-01-20,6.15,6.15,5.83,6.04,2647600,6.04,,1,2012
2012-01-23,6.03,6.16,5.9,6.0,1007000,6.0,,1,2012
2012-01-24,5.97,6.07,5.8,6.06,951900,6.06,57.2115384615,1,2012
2012-01-25,6.06,6.22,5.94,6.18,1143300,6.18,59.7144846797,1,2012
2012-01-26,6.23,6.24,6.02,6.07,864700,6.07,56.4544717918,1,2012
2012-01-27,6.05,6.18,6.0,6.14,973300,6.14,58.0249115666,1,2012
2012-01-30,6.08,6.41,6.01,6.38,1280200,6.38,62.9575102003,1,2012
2012-01-31,6.44,6.48,6.21,6.25,940200,6.25,58.9186942219,1,2012
2012-02-01,6.31,6.89,6.26,6.78,2370500,6.78,67.9467752884,1,2012
2012-02-02,6.78,6.99,6.65,6.92,1760000,6.92,69.8327006182,1,2012
2012-02-03,7.01,7.27,6.99,7.17,2064500,7.17,72.8991280151,1,2012
2012-02-06,7.15,7.4,7.07,7.36,1237000,7.36,74.9806037582,1,2012
2012-02-07,7.39,7.41,7.19,7.27,1018200,7.27,72.1536419695,1,2012
2012-02-08,7.28,7.35,7.08,7.21,1363500,7.21,70.2520240091,1,2012
2012-02-09,7.19,7.35,6.97,6.98,853900,6.98,63.3586449155,1,2012
2012-02-10,6.9,6.93,6.76,6.84,719500,6.84,59.5295941328,1,2012
