Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,7.17,7.17,7.03,7.12,20900,7.12,,1,2012
2012-01-04,7.09,7.16,7.03,7.16,17900,7.16,,1,2012
2012-01-05,7.1,7.15,7.08,7.1,7400,7.1,,1,2012
2012-01-06,7.06,7.15,7.06,7.12,10000,7.12,,1,2012
2012-01-09,7.12,7.23,7.09,7.16,13100,7.16,,1,2012
2012-01-10,7.23,7.26,7.06,7.08,47700,7.08,,1,2012
2012-01-11,7.09,7.18,6.88,6.93,27500,6.93,,1,2012
2012-01-12,7.02,7.03,6.85,6.88,15900,6.88,,1,2012
2012-01-13,6.8,6.87,6.33,6.48,28700,6.48,,1,2012
2012-01-17,6.57,7.05,6.57,6.9,21100,6.9,,1,2012
2012-01-18,6.9,7.01,6.84,6.95,26500,6.95,,1,2012
2012-01-19,6.98,6.99,6.82,6.87,19100,6.87,,1,2012
2012-01-20,6.88,7.15,6.65,7.07,20800,7.07,,1,2012
2012-01-23,7.05,7.15,7.05,7.11,5100,7.11,,1,2012
2012-01-24,7.07,7.08,7.0,7.08,12400,7.08,48.7951807229,1,2012
2012-01-25,7.08,7.15,7.03,7.14,11400,7.14,50.7136485281,1,2012
2012-01-26,7.18,7.18,7.06,7.08,8600,7.08,48.7467845129,1,2012
2012-01-27,7.09,7.2,7.09,7.18,6500,7.18,52.0824142724,1,2012
2012-01-30,7.12,7.18,6.97,6.97,16500,6.97,45.4002258951,1,2012
2012-01-31,6.87,7.12,6.87,6.94,28900,6.94,44.5214392552,1,2012
2012-02-01,6.98,6.99,6.75,6.9,33400,6.9,43.3174793368,1,2012
2012-02-02,6.91,7.02,6.85,6.9,13800,6.9,43.3174793368,1,2012
2012-02-03,6.96,7.11,6.95,6.97,43500,6.97,46.2666130574,1,2012
2012-02-06,7.0,7.26,7.0,7.17,9800,7.17,53.6816751666,1,2012
2012-02-07,7.16,7.67,7.15,7.64,13800,7.64,65.6707861549,1,2012
2012-02-08,7.65,7.78,7.57,7.69,44500,7.69,66.6594833271,1,2012
2012-02-09,7.71,7.71,7.25,7.31,16400,7.31,53.9438108391,1,2012
2012-02-10,7.3,7.42,7.25,7.25,4400,7.25,52.2490511124,1,2012
2012-02-13,7.31,7.5,7.31,7.42,3900,7.42,56.4261503775,1,2012
2012-02-14,7.44,7.65,7.32,7.41,22100,7.41,56.1151871982,1,2012
2012-02-15,7.46,7.5,7.23,7.33,13400,7.33,53.571649185,1,2012
