Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.619991,0.64999,0.579991,0.599991,123800,2.099968,,1,2012
2012-01-04,0.619991,0.63999,0.599991,0.619991,50500,2.169968,,1,2012
2012-01-05,0.619991,0.629991,0.579991,0.609991,31600,2.134968,,1,2012
2012-01-06,0.559992,0.619991,0.559992,0.589991,58800,2.064969,,1,2012
2012-01-09,0.589991,0.599991,0.559992,0.569991,78200,1.99497,,1,2012
2012-01-10,0.569991,0.569991,0.549992,0.549992,58200,1.924971,,1,2012
2012-01-11,0.549992,0.599991,0.539992,0.559992,100100,1.959971,,1,2012
2012-01-12,0.579991,0.599991,0.549992,0.559992,76100,1.959971,,1,2012
2012-01-13,0.579991,0.599991,0.549992,0.589991,46000,2.064969,,1,2012
2012-01-17,0.559992,0.619991,0.559992,0.589991,104400,2.064969,,1,2012
2012-01-18,0.579991,0.619991,0.579991,0.589991,54400,2.064969,,1,2012
2012-01-19,0.599991,0.599991,0.569991,0.569991,68400,1.99497,,1,2012
2012-01-20,0.569991,0.599991,0.559992,0.559992,30000,1.959971,,1,2012
2012-01-23,0.549992,0.579991,0.529992,0.529992,58600,1.854972,,1,2012
2012-01-24,0.529992,0.589991,0.519992,0.569991,34800,1.99497,43.4783040783,1,2012
2012-01-25,0.579991,0.579991,0.529992,0.579991,25600,2.02997,46.0064610534,1,2012
2012-01-26,0.539992,0.579991,0.539992,0.559992,33200,1.959971,41.9637592061,1,2012
2012-01-27,0.549992,0.619991,0.539992,0.589991,68400,2.064969,49.177823666,1,2012
2012-01-30,0.589991,0.589991,0.549992,0.589991,22600,2.064969,49.177823666,1,2012
2012-01-31,0.599991,0.629991,0.579991,0.629991,136800,2.204967,57.3716924749,1,2012
2012-02-01,0.619991,0.769988,0.619991,0.709989,237500,2.484963,68.3591755245,1,2012
2012-02-02,0.729989,0.769988,0.68999,0.719989,53900,2.519962,69.4201949434,1,2012
2012-02-03,0.739989,0.739989,0.69999,0.709989,40400,2.484963,67.0006201751,1,2012
2012-02-06,0.709989,0.779988,0.709989,0.759989,50700,2.65996,72.2152083326,1,2012
2012-02-07,0.749989,0.769988,0.719989,0.729989,28500,2.554962,65.5247661471,1,2012
2012-02-08,0.69999,0.779988,0.69999,0.69999,51300,2.449963,59.5802402501,1,2012
2012-02-09,0.69999,0.719989,0.64999,0.719989,90000,2.519962,62.0519237826,1,2012
2012-02-10,0.779988,0.789988,0.709989,0.749989,144000,2.624961,65.463502801,1,2012
2012-02-13,0.769988,0.899987,0.749989,0.879987,139700,3.079954,75.6705843454,1,2012
2012-02-14,0.909986,0.909986,0.839987,0.869987,101400,3.044954,73.862188582,1,2012
2012-02-15,0.869987,0.949986,0.869987,0.949986,108600,3.32495,78.3248758431,1,2012
