Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.54,1.67,1.51,1.67,66200,1.174279,,1,2012
2012-01-04,1.68,1.85,1.67,1.83,143900,1.286785,,1,2012
2012-01-05,1.8,2.18,1.8,2.0,117800,1.406322,,1,2012
2012-01-06,1.94,2.18,1.94,2.08,91900,1.462575,,1,2012
2012-01-09,2.18,2.23,2.14,2.16,104700,1.518828,,1,2012
2012-01-10,2.21,2.23,2.2,2.21,52000,1.553986,,1,2012
2012-01-11,2.21,2.3,2.21,2.25,56700,1.582113,,1,2012
2012-01-12,2.28,2.33,2.25,2.32,41100,1.631334,,1,2012
2012-01-13,2.35,2.4,2.34,2.38,60100,1.673524,,1,2012
2012-01-17,2.41,2.53,2.41,2.53,65500,1.778998,,1,2012
2012-01-18,2.55,2.64,2.52,2.6,125900,1.828219,,1,2012
2012-01-19,2.61,2.75,2.6,2.7,97800,1.898535,,1,2012
2012-01-20,2.71,2.73,2.47,2.6,77000,1.828219,,1,2012
2012-01-23,2.56,2.7,2.54,2.66,50000,1.870409,,1,2012
2012-01-24,2.67,2.71,2.64,2.67,39700,1.87744,91.6666765427,1,2012
2012-01-25,2.68,2.72,2.63,2.63,32800,1.849314,88.490155788,1,2012
2012-01-26,2.64,2.68,2.62,2.62,49800,1.842282,87.6721480131,1,2012
2012-01-27,2.6,2.67,2.6,2.61,52500,1.83525,86.8079630194,1,2012
2012-01-30,2.6,2.68,2.56,2.67,36500,1.87744,87.5978370808,1,2012
2012-01-31,2.64,2.73,2.63,2.67,49500,1.87744,87.5978370808,1,2012
2012-02-01,2.64,2.66,2.57,2.62,42500,1.842282,82.806106826,1,2012
2012-02-02,2.58,2.64,2.54,2.62,33800,1.842282,82.806106826,1,2012
2012-02-03,2.59,2.63,2.53,2.57,70900,1.807124,77.8662153048,1,2012
2012-02-06,2.54,2.59,2.46,2.58,38400,1.814156,78.1470204675,1,2012
2012-02-07,2.56,2.6,2.51,2.51,48600,1.764934,71.3258136274,1,2012
2012-02-08,2.48,2.6,2.48,2.52,29000,1.771966,71.7057848754,1,2012
2012-02-09,2.49,2.49,2.11,2.17,120200,1.52586,47.821551109,1,2012
2012-02-10,2.2,2.32,2.18,2.32,45100,1.631334,54.7742135594,1,2012
2012-02-13,2.34,2.52,2.34,2.5,54500,1.757903,61.4179434752,1,2012
2012-02-14,2.53,2.63,2.5,2.63,31400,1.849314,65.3741755427,1,2012
2012-02-15,2.59,2.67,2.51,2.55,37100,1.793061,61.2142923941,1,2012
2012-02-16,2.47,2.61,2.32,2.42,74600,1.70165,55.0807393873,1,2012
2012-02-17,2.42,2.53,2.4,2.48,20700,1.74384,57.2117217223,1,2012
2012-02-21,2.52,2.6,2.49,2.52,42900,1.771966,58.6210427231,1,2012
2012-02-22,2.46,2.5,2.33,2.34,73900,1.645397,50.5519118915,1,2012
2012-02-23,2.32,2.4,2.32,2.4,22100,1.687587,52.8802347197,1,2012
2012-02-24,2.37,2.41,2.36,2.36,19900,1.65946,51.1510290985,1,2012
2012-02-27,2.33,2.58,2.32,2.41,46900,1.694618,53.2106428135,1,2012
2012-02-28,2.43,2.56,2.33,2.46,51600,1.729776,55.2428924381,1,2012
2012-02-29,2.44,2.54,2.38,2.39,45700,1.680555,51.8476557687,1,2012
2012-03-01,2.38,2.51,2.36,2.45,78000,1.722745,54.4328280731,1,2012
2012-03-02,2.4,2.44,2.35,2.35,44800,1.652429,49.648635101,1,2012
2012-03-05,2.39,2.42,2.35,2.36,29900,1.65946,50.1207151341,1,2012
2012-03-06,2.35,2.35,2.12,2.14,101200,1.504765,41.0102480611,1,2012
2012-03-07,2.13,2.26,2.11,2.2,87400,1.546954,43.9998947365,1,2012
2012-03-08,2.2,2.25,2.18,2.23,44900,1.568049,45.4875555857,1,2012
2012-03-09,2.23,2.32,2.16,2.22,66400,1.561018,45.0579119293,1,2012
2012-03-12,2.21,2.4,2.21,2.39,87200,1.680555,53.1584998108,1,2012
2012-03-13,2.33,2.36,2.26,2.27,36200,1.596176,47.8009678275,1,2012
2012-03-14,2.27,2.3,2.25,2.26,34000,1.589144,47.3724713372,1,2012
2012-03-15,2.25,2.28,2.23,2.23,25600,1.568049,46.0391846162,1,2012
2012-03-16,2.21,2.29,2.21,2.26,65400,1.589144,47.6266084404,1,2012
2012-03-19,2.23,2.29,2.12,2.12,61400,1.490701,41.4922226663,1,2012
2012-03-20,2.13,2.24,2.13,2.21,58900,1.553986,46.2822690163,1,2012
2012-03-21,2.21,2.26,2.21,2.21,42400,1.553986,46.2822690163,1,2012
