Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-05-23,18.1,20.0,18.1,20.0,1800,19.747345,,2,2013
2013-05-24,20.0,20.1,19.99,20.0,5500,19.747345,,2,2013
2013-05-28,20.309999,21.309999,17.15,20.059999,18200,19.806587,,2,2013
2013-05-29,19.27,20.0,18.219999,18.219999,7100,17.989831,,2,2013
2013-05-30,18.190001,18.190001,14.06,16.74,87000,16.528528,,2,2013
2013-05-31,16.07,17.51,16.07,16.35,53200,16.143455,,2,2013
2013-06-03,16.33,16.75,13.68,15.5,136200,15.304193,,2,2013
2013-06-04,15.48,15.48,12.82,13.28,189200,13.112237,,2,2013
2013-06-05,13.29,13.29,12.45,12.46,148800,12.302596,,2,2013
2013-06-06,12.46,13.07,12.36,12.87,139800,12.707417,,2,2013
2013-06-07,12.91,14.11,12.7,13.69,47000,13.517058,,2,2013
2013-06-10,13.7,14.31,13.45,14.17,43200,13.990994,,2,2013
2013-06-11,13.53,14.65,13.43,13.69,36200,13.517058,,2,2013
2013-06-12,14.43,14.43,12.6,14.14,38100,13.961374,,2,2013
2013-06-13,13.94,14.65,13.8,14.43,50700,14.24771,23.701607627,2,2013
2013-06-14,14.45,14.67,14.0,14.34,17900,14.158847,23.4866503922,2,2013
2013-06-17,14.51,14.61,13.35,13.56,54800,13.388701,21.6537294033,2,2013
2013-06-18,13.54,15.97,13.5,15.47,51600,15.274572,35.0255074426,2,2013
2013-06-19,15.42,16.889999,14.34,16.66,59000,16.449539,41.701648107,2,2013
2013-06-20,16.5,18.621,16.5,18.4,102700,18.167557,49.8205163594,2,2013
2013-06-21,18.360001,18.655001,16.74,16.85,208800,16.637139,43.9489406325,2,2013
2013-06-24,16.75,16.75,16.014999,16.09,57000,15.88674,41.3741473701,2,2013
2013-06-25,16.219999,16.665001,15.935,16.15,15600,15.945981,41.664710249,2,2013
2013-06-26,16.15,17.24,16.15,16.73,30700,16.518654,44.5269249568,2,2013
2013-06-27,16.709999,17.469999,16.709999,17.32,8400,17.101201,47.356520618,2,2013
2013-06-28,17.34,18.0,16.84,18.0,418600,17.772611,50.4910162608,2,2013
