Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.52,1.59,1.51,1.52,7400,30.4,,1,2012
2012-01-04,1.54,1.54,1.42,1.46,3000,29.200001,,1,2012
2012-01-05,1.48,1.52,1.43,1.46,3800,29.200001,,1,2012
2012-01-06,1.48,1.49,1.45,1.45,1500,29.0,,1,2012
2012-01-09,1.48,1.64,1.48,1.62,13400,32.400002,,1,2012
2012-01-10,1.64,1.65,1.58,1.58,7100,31.600001,,1,2012
2012-01-11,1.58,1.6,1.51,1.59,6200,31.8,,1,2012
2012-01-12,1.58,1.63,1.58,1.62,12600,32.400002,,1,2012
2012-01-13,1.6,1.79,1.59,1.74,25600,34.8,,1,2012
2012-01-17,1.8,1.83,1.64,1.71,18400,34.200001,,1,2012
2012-01-18,1.75,1.75,1.69,1.7,2200,34.000001,,1,2012
2012-01-19,1.74,1.74,1.68,1.72,16800,34.400002,,1,2012
2012-01-20,1.71,1.72,1.62,1.69,12200,33.8,,1,2012
2012-01-23,1.72,1.72,1.59,1.61,13800,32.200001,,1,2012
2012-01-24,1.61,1.63,1.51,1.58,12000,31.600001,54.6875028076,1,2012
2012-01-25,1.59,1.72,1.55,1.69,20200,33.8,61.7647041373,1,2012
2012-01-26,1.7,1.8,1.65,1.79,18100,35.8,66.8358349839,1,2012
2012-01-27,1.77,1.91,1.72,1.88,11900,37.599999,70.6134362765,1,2012
2012-01-30,1.9,1.9,1.8,1.84,6900,36.8,66.9626887619,1,2012
2012-01-31,1.86,1.96,1.8,1.87,6000,37.400002,68.2869697118,1,2012
2012-02-01,1.85,2.05,1.84,1.98,22400,39.599999,72.6206136078,1,2012
2012-02-02,2.02,2.13,1.99,2.08,16100,41.599999,75.8513460833,1,2012
2012-02-03,2.09,2.13,1.98,2.03,10700,40.599999,71.3198422858,1,2012
2012-02-06,2.0,2.02,1.91,1.94,12900,38.8,63.9177043804,1,2012
2012-02-07,1.92,1.93,1.86,1.9,6400,38.000001,60.8927803914,1,2012
2012-02-08,1.89,1.95,1.74,1.87,14100,37.400002,58.6508935093,1,2012
2012-02-09,1.88,1.91,1.82,1.88,6900,37.599999,59.1902420992,1,2012
2012-02-10,1.88,1.88,1.74,1.77,12800,35.400002,51.2682373999,1,2012
2012-02-13,1.8,1.83,1.76,1.78,12800,35.599999,51.8985116578,1,2012
2012-02-14,1.77,1.84,1.77,1.78,5600,35.599999,51.8985116578,1,2012
2012-02-15,1.76,1.82,1.74,1.79,4000,35.8,52.6093779347,1,2012
2012-02-16,1.7,1.84,1.7,1.76,9800,35.200001,50.2119817876,1,2012
2012-02-17,1.75,1.9,1.74,1.89,5800,37.8,58.943104323,1,2012
2012-02-21,1.92,2.0,1.89,1.92,7000,38.400002,60.6577282425,1,2012
2012-02-22,1.89,1.97,1.88,1.95,3200,39.000001,62.3509703803,1,2012
2012-02-23,1.95,2.04,1.9,2.03,5900,40.599999,66.4924531926,1,2012
2012-02-24,2.0,2.07,1.97,2.05,9500,41.000001,67.4562749906,1,2012
2012-02-27,2.05,2.09,2.02,2.08,3700,41.599999,68.9012787157,1,2012
2012-02-28,2.07,2.13,2.06,2.1,7500,42.000001,69.8620337971,1,2012
2012-02-29,2.09,2.21,2.05,2.16,11300,43.200001,72.5971149311,1,2012
2012-03-01,2.2,2.2,2.12,2.15,6000,43.000001,71.4335465322,1,2012
2012-03-02,2.14,2.16,2.12,2.12,3500,42.400002,67.9166928468,1,2012
2012-03-05,2.12,2.17,2.02,2.07,9900,41.400002,62.4024267007,1,2012
2012-03-06,2.04,2.04,2.0,2.01,4800,40.200001,56.4766360379,1,2012
2012-03-07,2.0,2.03,1.9,2.0,2300,40.000001,55.5301660019,1,2012
2012-03-08,1.99,2.1,1.99,2.09,4400,41.8,61.7440604615,1,2012
2012-03-09,2.1,2.1,2.04,2.07,900,41.400002,59.7461388368,1,2012
2012-03-12,2.04,2.04,1.97,1.98,2400,39.599999,51.6471675014,1,2012
2012-03-13,1.96,2.01,1.88,1.92,6100,38.400002,47.0665502857,1,2012
2012-03-14,1.9,1.96,1.88,1.92,2300,38.400002,47.0665502857,1,2012
2012-03-15,1.9,1.97,1.83,1.86,5000,37.200001,42.6767968943,1,2012
2012-03-16,1.9,1.91,1.82,1.84,5800,36.8,41.2942450126,1,2012
2012-03-19,1.8,1.82,1.71,1.75,12700,35.000001,35.6909487616,1,2012
2012-03-20,1.75,1.75,1.64,1.73,11600,34.599999,34.56839324,1,2012
2012-03-21,1.71,1.72,1.64,1.71,6000,34.200001,33.4358811402,1,2012
2012-03-22,1.71,1.71,1.66,1.7,11600,34.000001,32.8562673105,1,2012
2012-03-23,1.67,1.75,1.64,1.7,19000,34.000001,32.8562673105,1,2012
2012-03-26,1.73,1.86,1.73,1.84,5800,36.8,47.6038963939,1,2012
2012-03-27,1.81,1.95,1.73,1.94,4900,38.8,55.177008204,1,2012
2012-03-28,2.06,2.17,1.85,2.05,35900,41.000001,61.7296364603,1,2012
2012-03-29,2.04,2.05,1.95,2.04,40400,40.8,60.8586113007,1,2012
2012-03-30,2.05,2.05,1.96,1.97,3400,39.400002,55.0074943988,1,2012
2012-04-02,2.0,2.06,1.97,2.02,5100,40.400002,58.1058242769,2,2012
2012-04-03,2.03,2.05,1.99,2.0,3100,40.000001,56.4318172675,2,2012
2012-04-04,2.01,2.01,1.87,1.9,3800,38.000001,48.8532868794,2,2012
2012-04-05,1.89,1.92,1.86,1.91,2400,38.200001,49.5824544462,2,2012
2012-04-09,1.87,1.88,1.82,1.83,2500,36.599999,44.1586879076,2,2012
2012-04-10,1.87,1.93,1.83,1.84,9900,36.8,44.9690448215,2,2012
2012-04-11,1.85,1.87,1.82,1.82,5900,36.400002,43.6060998899,2,2012
2012-04-12,1.81,1.84,1.8,1.84,2400,36.8,45.3886122188,2,2012
2012-04-13,1.82,1.82,1.71,1.73,18300,34.599999,38.231032684,2,2012
2012-04-16,1.76,1.76,1.68,1.7,10000,34.000001,36.5387065699,2,2012
2012-04-17,1.71,1.74,1.65,1.68,5400,33.599999,35.4132446882,2,2012
2012-04-18,1.67,1.69,1.62,1.64,3600,32.8,33.210020318,2,2012
2012-04-19,1.65,1.69,1.65,1.66,2400,33.200001,35.3749809668,2,2012
2012-04-20,1.68,1.72,1.59,1.6,4200,32.0,32.0215717417,2,2012
2012-04-23,1.6,1.65,1.6,1.62,5200,32.400002,34.2587148564,2,2012
2012-04-24,1.6,1.62,1.51,1.58,6800,31.600001,31.9911215561,2,2012
2012-04-25,1.62,1.62,1.56,1.59,1500,31.8,33.1818440593,2,2012
2012-04-26,1.62,1.72,1.59,1.72,3000,34.400002,46.3358916192,2,2012
2012-04-27,1.73,1.74,1.66,1.67,3200,33.400002,42.8424743056,2,2012
2012-04-30,1.65,1.78,1.65,1.78,3700,35.599999,51.5048670481,2,2012
