Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.15,2.15,1.7,2.02,1000,8.08,,1,2012
2012-01-04,2.02,2.05,1.82,1.94,1500,7.76,,1,2012
2012-01-05,1.94,2.02,1.9,2.0,2800,8.0,,1,2012
2012-01-06,1.85,2.02,1.75,2.0,3800,8.0,,1,2012
2012-01-09,1.71,1.97,1.7,1.97,800,7.88,,1,2012
2012-01-10,1.75,1.89,1.7,1.79,2300,7.16,,1,2012
2012-01-11,1.7,1.79,1.67,1.79,1500,7.16,,1,2012
2012-01-12,1.67,1.7,1.53,1.7,3800,6.8,,1,2012
2012-01-13,1.6,1.7,1.57,1.7,6100,6.8,,1,2012
2012-01-17,1.7,1.95,1.52,1.75,4200,7.0,,1,2012
2012-01-18,1.75,1.75,1.52,1.66,7100,6.64,,1,2012
2012-01-19,1.8,1.8,1.4,1.64,4300,6.56,,1,2012
2012-01-20,1.55,1.64,1.5,1.64,2300,6.56,,1,2012
2012-01-23,1.5,1.55,1.4,1.55,1800,6.2,,1,2012
2012-01-24,1.5,1.6,1.45,1.58,3700,6.32,19.4444444444,1,2012
2012-01-25,1.55,1.85,1.52,1.75,17100,7.0,35.7751277683,1,2012
2012-01-26,1.7,1.85,1.65,1.69,11800,6.76,33.2157196739,1,2012
2012-01-27,1.69,1.69,1.32,1.55,6200,6.2,28.1543770576,1,2012
2012-01-30,1.31,1.95,1.2,1.95,35900,7.8,51.0873335868,1,2012
2012-01-31,1.5,1.6,1.4,1.5,7900,6.0,36.8404029314,1,2012
2012-02-01,1.4,1.49,1.34,1.49,1500,5.96,36.5961634872,1,2012
2012-02-02,1.48,1.49,1.4,1.47,6500,5.88,36.0809536831,1,2012
2012-02-03,1.43,1.45,1.39,1.45,5000,5.8,35.542093312,1,2012
2012-02-06,1.45,1.85,1.45,1.75,5900,7.0,48.0703251935,1,2012
2012-02-07,1.55,1.75,1.4,1.73,3000,6.92,47.4087705789,1,2012
2012-02-08,1.4,1.8,1.37,1.62,7900,6.48,43.8355298453,1,2012
2012-02-09,1.5,1.5,1.41,1.5,1900,6.0,40.2697406865,1,2012
2012-02-10,1.45,1.5,1.35,1.45,3800,5.8,38.8516238381,1,2012
2012-02-13,1.44,1.5,1.27,1.5,3800,6.0,41.0859013028,1,2012
2012-02-14,1.3,1.48,1.25,1.48,1400,5.92,40.4492417841,1,2012
2012-02-15,1.3,1.5,1.1,1.4,12800,5.6,37.9181590754,1,2012
2012-02-16,1.3,1.73,1.25,1.7,4900,6.8,50.4417267908,1,2012
2012-02-17,1.4,1.7,1.4,1.69,1000,6.76,50.0790804861,1,2012
2012-02-21,1.5,1.8,1.5,1.7,7300,6.8,50.4626208011,1,2012
2012-02-22,1.55,1.78,1.55,1.78,3100,7.12,53.5380155591,1,2012
2012-02-23,1.78,1.85,1.5,1.83,32400,7.32,55.4016113137,1,2012
2012-02-24,1.66,2.0,1.66,1.75,10500,7.0,51.820172949,1,2012
2012-02-27,1.75,1.98,1.7,1.9,3700,7.6,57.3830946916,1,2012
2012-02-28,1.9,2.0,1.82,2.0,16600,8.0,60.6454141362,1,2012
2012-02-29,1.99,2.0,1.92,2.0,17000,8.0,60.6454141362,1,2012
2012-03-01,1.95,2.0,1.85,1.95,2500,7.8,58.0677919661,1,2012
2012-03-02,1.95,2.1,1.8,1.9,10800,7.6,55.5262106342,1,2012
2012-03-05,1.85,2.1,1.81,1.89,4900,7.56,55.0076418078,1,2012
2012-03-06,1.8,1.95,1.75,1.88,5700,7.52,54.45990749,1,2012
2012-03-07,1.6,1.78,1.6,1.76,1800,7.04,48.2509495366,1,2012
2012-03-08,1.55,1.95,1.41,1.65,8800,6.6,43.3697671801,1,2012
2012-03-09,1.65,1.7,1.43,1.69,4100,6.76,45.5277427807,1,2012
2012-03-12,1.5,1.69,1.5,1.55,1100,6.2,39.8097873219,1,2012
2012-03-13,1.45,1.7,1.45,1.7,700,6.8,47.4282139241,1,2012
2012-03-14,1.7,1.7,1.7,1.7,0,6.8,47.4282139241,1,2012
2012-03-15,1.7,1.75,1.7,1.7,2200,6.8,47.4282139241,1,2012
2012-03-16,1.75,1.75,1.75,1.75,0,7.0,50.0598282211,1,2012
2012-03-19,1.75,1.75,1.75,1.75,0,7.0,50.0598282211,1,2012
2012-03-20,1.75,1.75,1.75,1.75,0,7.0,50.0598282211,1,2012
2012-03-21,1.8,1.8,1.5,1.7,7000,6.8,47.1142163132,1,2012
