Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-06-26,9.9,9.9,8.06,8.06,3061900,8.06,,2,2013
2013-06-27,8.05,8.3,7.81,8.02,391700,8.02,,2,2013
2013-06-28,8.0,8.15,8.0,8.0,61100,8.0,,2,2013
2013-07-01,8.24,8.24,8.04,8.1,44000,8.1,,3,2013
2013-07-02,8.3,8.53,8.11,8.47,133100,8.47,,3,2013
2013-07-03,8.52,8.58,8.41,8.57,29200,8.57,,3,2013
2013-07-05,8.67,8.68,8.5,8.62,40600,8.62,,3,2013
2013-07-08,8.68,8.82,8.47,8.82,52400,8.82,,3,2013
2013-07-09,8.92,9.03,8.9,8.93,127700,8.93,,3,2013
2013-07-10,9.05,9.05,8.88,8.95,50800,8.95,,3,2013
2013-07-11,9.05,9.12,8.95,9.04,55400,9.04,,3,2013
2013-07-12,9.12,9.12,8.8,9.0,64600,9.0,,3,2013
2013-07-15,9.05,9.4,9.04,9.35,49900,9.35,,3,2013
2013-07-16,9.45,9.49,9.21,9.21,44800,9.21,,3,2013
2013-07-17,9.45,9.45,9.07,9.27,24700,9.27,85.798816568,3,2013
2013-07-18,9.5,9.6,9.29,9.46,103300,9.46,87.3325213155,3,2013
2013-07-19,9.53,9.53,9.15,9.44,199700,9.44,86.2762642313,3,2013
2013-07-22,9.6,9.64,9.07,9.27,211700,9.27,77.6764937787,3,2013
2013-07-23,9.49,9.49,9.04,9.38,159200,9.38,79.1263419934,3,2013
2013-07-24,9.45,9.74,9.04,9.51,188100,9.51,80.7200250189,3,2013
2013-07-25,9.51,9.64,9.22,9.28,25800,9.28,70.4689306503,3,2013
2013-07-26,9.75,9.75,9.16,9.2,49400,9.2,67.2689283739,3,2013
2013-07-29,9.53,9.53,9.31,9.35,25400,9.35,70.0180759932,3,2013
2013-07-30,9.51,9.51,9.06,9.2,35800,9.2,64.2100870847,3,2013
2013-07-31,9.26,9.26,9.0,9.11,23800,9.11,60.9436092888,3,2013
2013-08-01,9.1,9.21,8.88,8.9,29600,8.9,54.0360938054,3,2013
2013-08-02,8.97,8.97,8.4,8.47,41000,8.47,43.2311138507,3,2013
2013-08-05,8.4,8.89,8.4,8.52,26600,8.52,44.6178569324,3,2013
2013-08-06,8.4,8.84,8.0,8.0,28700,8.0,35.0330805485,3,2013
2013-08-07,8.09,8.61,7.26,7.52,81500,7.52,28.8683065023,3,2013
2013-08-08,7.69,7.93,7.51,7.55,26300,7.55,29.7009384373,3,2013
2013-08-09,7.57,7.58,7.06,7.24,72600,7.24,26.2779424144,3,2013
2013-08-12,7.16,7.25,7.01,7.19,97700,7.19,25.7622240813,3,2013
2013-08-13,7.1,7.2,7.06,7.16,198600,7.16,25.4396215331,3,2013
2013-08-14,7.21,7.54,7.21,7.28,83500,7.28,29.255727281,3,2013
2013-08-15,7.29,7.42,7.28,7.35,24000,7.35,31.4594716831,3,2013
2013-08-16,7.53,8.4,7.29,7.79,23900,7.79,43.395508485,3,2013
2013-08-19,7.72,7.95,7.29,7.34,35400,7.34,36.4116209761,3,2013
2013-08-20,7.48,7.65,7.32,7.46,44400,7.46,39.220685204,3,2013
2013-08-21,7.8,7.83,7.32,7.52,12600,7.52,40.6328481659,3,2013
2013-08-22,7.65,8.05,7.51,8.01,13800,8.01,50.7057536936,3,2013
2013-08-23,8.28,8.38,8.09,8.35,19600,8.35,56.2523980359,3,2013
2013-08-26,8.4,8.4,7.92,7.92,17000,7.92,48.7771630715,3,2013
2013-08-27,7.94,7.99,7.57,7.78,3000,7.78,46.6056299733,3,2013
2013-08-28,7.75,8.0,7.67,8.0,6400,8.0,50.3465519978,3,2013
2013-08-29,7.9,8.04,7.07,7.63,38100,7.63,44.677206479,3,2013
2013-08-30,7.55,7.84,7.5,7.65,11300,7.65,45.0374886047,3,2013
2013-09-03,7.66,7.9,7.5,7.9,24800,7.9,49.4674929896,3,2013
2013-09-04,7.89,8.36,7.61,8.01,91100,8.01,51.3264443242,3,2013
2013-09-05,8.1,8.36,7.85,7.94,45800,7.94,50.0642820179,3,2013
2013-09-06,7.91,8.03,7.56,7.6,134900,7.6,44.3584852958,3,2013
2013-09-09,7.7,7.92,7.5,7.62,16100,7.62,44.7573253461,3,2013
2013-09-10,8.29,14.1,8.29,13.0,937000,13.0,82.0437969817,3,2013
2013-09-11,12.83,12.95,10.17,11.0,374900,11.0,64.59049486,3,2013
2013-09-12,11.0,11.7,10.57,11.23,94100,11.23,65.4994458148,3,2013
2013-09-13,11.22,11.5,10.95,11.13,30400,11.13,64.7215413013,3,2013
2013-09-16,11.39,11.53,10.58,10.94,109800,10.94,63.1860472507,3,2013
2013-09-17,10.98,11.19,10.7,10.75,66300,10.75,61.6118886302,3,2013
2013-09-18,10.86,11.0,10.53,10.62,73400,10.62,60.5012667966,3,2013
2013-09-19,10.76,10.89,10.31,10.71,64600,10.71,61.0250732365,3,2013
2013-09-20,10.82,10.87,10.1,10.78,201000,10.78,61.453242738,3,2013
2013-09-23,10.8,12.1,10.67,11.5,162400,11.5,65.6350608605,3,2013
2013-09-24,11.41,12.39,11.05,11.75,208600,11.75,66.9747842824,3,2013
2013-09-25,12.02,12.6,11.35,11.5,134500,11.5,64.2762091764,3,2013
2013-09-26,11.88,12.34,11.55,12.02,67000,12.02,67.2335451131,3,2013
2013-09-27,11.91,12.13,11.33,11.64,137300,11.64,63.1212555437,3,2013
2013-09-30,11.59,11.59,10.67,11.0,185400,11.0,56.8180030646,3,2013
2013-10-01,11.0,11.28,10.94,11.1,40900,11.1,57.531610838,4,2013
2013-10-02,11.2,11.66,10.92,11.35,50000,11.35,59.340626092,4,2013
2013-10-03,11.25,11.68,11.06,11.39,35300,11.39,59.6368811834,4,2013
2013-10-04,11.5,11.5,11.13,11.39,50300,11.39,59.6368811834,4,2013
2013-10-07,11.25,11.8,11.25,11.73,22700,11.73,62.3417927425,4,2013
2013-10-08,11.84,11.9,10.0,10.88,96700,10.88,52.813074301,4,2013
2013-10-09,10.12,10.92,10.08,10.87,43800,10.87,52.710998638,4,2013
2013-10-10,10.88,11.25,10.17,10.72,83200,10.72,51.1150978138,4,2013
2013-10-11,10.77,11.21,10.65,11.0,19200,11.0,53.9197008526,4,2013
2013-10-14,10.81,11.18,10.66,11.04,24700,11.04,54.3228652252,4,2013
2013-10-15,11.11,11.11,10.55,10.78,27400,10.78,51.1879035225,4,2013
2013-10-16,10.69,11.02,10.5,10.72,35300,10.72,50.4641427231,4,2013
2013-10-17,10.83,10.97,10.5,10.89,43800,10.89,52.5128783286,4,2013
2013-10-18,10.9,11.58,10.65,11.15,49500,11.15,55.5414028644,4,2013
2013-10-21,11.23,11.68,10.38,10.75,18200,10.75,50.2335326247,4,2013
2013-10-22,10.76,11.08,10.76,11.08,30000,11.08,54.1283446051,4,2013
2013-10-23,11.1,11.34,10.7,10.76,31000,10.76,50.0387796137,4,2013
2013-10-24,10.7,10.97,10.51,10.56,19500,10.56,47.6172945933,4,2013
2013-10-25,10.55,10.7,10.43,10.5,18900,10.5,46.8842872362,4,2013
2013-10-28,10.59,10.7,10.25,10.69,35400,10.69,49.5335985181,4,2013
2013-10-29,10.62,10.62,10.24,10.37,13300,10.37,45.4241994504,4,2013
2013-10-30,10.36,10.47,10.01,10.16,26100,10.16,42.9084068909,4,2013
2013-10-31,9.76,10.32,9.25,10.21,36100,10.21,43.7078195303,4,2013
2013-11-01,10.2,10.45,8.64,9.95,86500,9.95,40.5297676021,4,2013
2013-11-04,10.53,10.84,9.86,10.27,38000,10.27,45.7573848398,4,2013
2013-11-05,10.45,10.63,10.17,10.2,10200,10.2,44.8290672209,4,2013
2013-11-06,10.74,11.25,10.1,10.11,17500,10.11,43.6041894079,4,2013
2013-11-07,10.23,10.58,10.16,10.37,35200,10.37,48.0225725055,4,2013
2013-11-08,10.59,10.9,10.52,10.66,16900,10.66,52.4933237437,4,2013
