Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.860004,2.999995,2.749998,2.749998,7200,0.9052,,1,2012
2012-01-04,2.159988,2.699992,2.099987,2.600012,41600,0.85583,,1,2012
2012-01-05,2.42001,2.550006,2.42001,2.550006,1500,0.83937,,1,2012
2012-01-06,2.480011,2.500001,2.319999,2.329994,7200,0.76695,,1,2012
2012-01-09,2.259999,2.259999,2.120008,2.250004,53100,0.74062,,1,2012
2012-01-10,2.199998,2.269994,2.190003,2.199998,32800,0.72416,,1,2012
2012-01-11,2.209993,2.269994,2.209993,2.269994,20300,0.7472,,1,2012
2012-01-12,2.250004,2.329994,2.250004,2.319999,6000,0.76366,,1,2012
2012-01-13,2.350015,2.579991,2.350015,2.410015,8800,0.79329,,1,2012
2012-01-17,2.410015,2.410015,2.410015,2.410015,0,0.79329,,1,2012
2012-01-18,2.550006,2.550006,2.449995,2.480011,5100,0.81633,,1,2012
2012-01-19,2.540011,2.550006,2.339989,2.339989,24000,0.77024,,1,2012
2012-01-20,2.449995,2.589986,2.449995,2.589986,21200,0.85253,,1,2012
2012-01-23,2.550006,2.790008,2.500001,2.649987,6000,0.87228,,1,2012
2012-01-24,2.509996,2.800003,2.329994,2.329994,15100,0.76695,36.8750830691,1,2012
2012-01-25,2.540011,2.540011,2.199998,2.199998,24900,0.72416,33.9082458899,1,2012
2012-01-26,2.44,2.749998,2.240009,2.600012,32800,0.85583,47.8203065146,1,2012
2012-01-27,2.800003,2.800003,2.469985,2.699992,35500,0.88874,50.6182344622,1,2012
2012-01-30,2.639992,2.800003,2.469985,2.579991,13900,0.84924,47.3373365444,1,2012
2012-01-31,2.660012,2.660012,2.509996,2.529986,6000,0.83278,45.9993407422,1,2012
2012-02-01,2.649987,2.649987,2.529986,2.529986,11800,0.83278,45.9993407422,1,2012
2012-02-02,2.620002,2.620002,2.519991,2.529986,6000,0.83278,45.9993407422,1,2012
2012-02-03,2.529986,2.589986,2.279989,2.350015,29700,0.77354,40.813766283,1,2012
2012-02-06,2.350015,2.449995,2.259999,2.319999,24000,0.76366,40.0037887539,1,2012
2012-02-07,2.550006,2.800003,2.350015,2.800003,54600,0.92166,55.2862215247,1,2012
2012-02-08,2.709987,2.749998,2.250004,2.720013,72000,0.89533,52.8693631449,1,2012
2012-02-09,2.529986,2.680002,2.389995,2.600012,48600,0.85583,49.3817246187,1,2012
2012-02-10,2.42001,2.680002,2.250004,2.350015,30600,0.77354,43.0154354502,1,2012
2012-02-13,2.449995,2.680002,2.319999,2.36001,20900,0.77683,43.3299978836,1,2012
2012-02-14,2.36001,2.490006,2.36001,2.490006,5400,0.81962,47.3971461106,1,2012
2012-02-15,2.500001,2.509996,2.250004,2.509996,13600,0.8262,48.0149962399,1,2012
2012-02-16,2.339989,2.509996,2.339989,2.490006,11800,0.81962,47.4152376864,1,2012
2012-02-17,2.319999,2.629997,2.319999,2.519991,2100,0.82949,48.4553003518,1,2012
2012-02-21,2.519991,2.589986,2.250004,2.490006,15100,0.81962,47.4447170087,1,2012
2012-02-22,2.519991,2.610007,2.38,2.38,2700,0.78341,43.8328894954,1,2012
2012-02-23,2.329994,2.350015,2.250004,2.300009,7800,0.75708,41.366857595,1,2012
2012-02-24,2.300009,2.339989,2.300009,2.339989,20300,0.77024,43.0902145899,1,2012
2012-02-27,2.36001,2.44,2.159988,2.259999,16700,0.74391,40.5238273333,1,2012
2012-02-28,2.290014,2.389995,2.209993,2.219988,23000,0.73074,39.2641499495,1,2012
2012-02-29,2.240009,2.319999,2.240009,2.310004,3000,0.76037,43.5180667265,1,2012
2012-03-01,2.269994,2.279989,2.029992,2.230014,9700,0.73404,40.7844219631,1,2012
2012-03-02,2.209993,2.230014,2.130003,2.180008,9700,0.71758,39.129635567,1,2012
