Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.82,2.94,2.75,2.79,40700,11.16,,1,2012
2012-01-04,2.83,2.84,2.58,2.6,59400,10.4,,1,2012
2012-01-05,2.69,2.73,2.5,2.58,53300,10.32,,1,2012
2012-01-06,2.58,2.68,2.48,2.67,65800,10.68,,1,2012
2012-01-09,2.68,2.86,2.68,2.76,33100,11.04,,1,2012
2012-01-10,2.76,2.76,2.68,2.72,32400,10.88,,1,2012
2012-01-11,2.73,2.75,2.45,2.5,104800,10.0,,1,2012
2012-01-12,2.55,2.61,2.41,2.5,79600,10.0,,1,2012
2012-01-13,2.53,2.56,2.38,2.45,53700,9.8,,1,2012
2012-01-17,2.45,2.55,2.43,2.53,58100,10.12,,1,2012
2012-01-18,2.59,2.71,2.4,2.4,36600,9.6,,1,2012
2012-01-19,2.41,2.5,2.38,2.41,32000,9.64,,1,2012
2012-01-20,2.46,2.5,2.38,2.38,26800,9.52,,1,2012
2012-01-23,2.35,2.4,2.05,2.24,62800,8.96,,1,2012
2012-01-24,2.21,2.28,2.02,2.08,84200,8.32,21.6,1,2012
2012-01-25,2.1,2.12,2.0,2.06,109900,8.24,21.2341197822,1,2012
2012-01-26,2.05,2.15,2.04,2.06,56700,8.24,21.2341197822,1,2012
2012-01-27,2.08,2.09,2.04,2.09,17000,8.36,23.4887287066,1,2012
2012-01-30,2.1,2.1,2.03,2.06,10000,8.24,22.7863167359,1,2012
2012-01-31,2.1,2.35,2.1,2.25,21900,9.0,35.8670137102,1,2012
2012-02-01,2.3,2.3,2.08,2.12,36900,8.48,31.8866729226,1,2012
2012-02-02,2.08,2.15,2.06,2.06,24100,8.24,30.2197755792,1,2012
2012-02-03,2.24,2.24,2.06,2.09,76700,8.36,32.1302044646,1,2012
2012-02-06,2.13,2.15,2.05,2.08,50300,8.32,31.8175043396,1,2012
2012-02-07,2.07,2.36,2.02,2.2,29800,8.8,39.4348442139,1,2012
2012-02-08,2.28,2.28,2.15,2.23,7600,8.92,41.2033548604,1,2012
2012-02-09,2.25,2.4,2.2,2.31,37700,9.24,45.7523858747,1,2012
2012-02-10,2.31,2.5,2.3,2.36,23600,9.44,48.4375133321,1,2012
2012-02-13,2.44,2.72,2.37,2.45,116500,9.8,52.9517557088,1,2012
2012-02-14,2.5,2.66,2.47,2.64,65800,10.56,60.7618356098,1,2012
2012-02-15,2.75,2.88,2.62,2.84,181300,11.36,66.9762417138,1,2012
2012-02-16,2.86,2.94,2.35,2.42,278100,9.68,49.3134210815,1,2012
2012-02-17,2.14,2.2,2.02,2.18,1071800,8.72,42.4278912209,1,2012
2012-02-21,2.2,2.22,2.1,2.14,205100,8.56,41.3905844203,1,2012
2012-02-22,2.15,2.28,2.15,2.26,253400,9.04,45.6811292972,1,2012
2012-02-23,2.24,2.33,2.24,2.33,99500,9.32,48.0693281038,1,2012
2012-02-24,2.33,2.34,2.26,2.31,59900,9.24,47.4277217633,1,2012
2012-02-27,2.35,2.35,2.28,2.29,88700,9.16,46.7556443119,1,2012
2012-02-28,2.33,2.38,2.31,2.37,42900,9.48,49.8188246475,1,2012
2012-02-29,2.38,2.41,2.36,2.39,32000,9.56,50.584226101,1,2012
2012-03-01,2.4,2.42,2.37,2.37,38700,9.48,49.7667549036,1,2012
2012-03-02,2.37,2.49,2.37,2.42,70600,9.68,51.8612384589,1,2012
2012-03-05,2.44,2.7,2.42,2.68,130700,10.72,60.9736220492,1,2012
2012-03-06,2.67,2.74,2.45,2.58,94300,10.32,56.5405154073,1,2012
2012-03-07,2.58,2.65,2.51,2.56,47300,10.24,55.6687644248,1,2012
2012-03-08,2.58,2.6,2.52,2.55,51300,10.2,55.2104027627,1,2012
2012-03-09,2.55,2.59,2.53,2.53,13900,10.12,54.248352123,1,2012
2012-03-12,2.54,2.54,2.42,2.48,54300,9.92,51.8173950717,1,2012
2012-03-13,2.49,2.51,2.48,2.49,34100,9.96,52.2779952422,1,2012
2012-03-14,2.51,2.51,2.39,2.4,45300,9.6,47.8449971496,1,2012
2012-03-15,2.44,2.5,2.38,2.46,45500,9.84,50.8379639848,1,2012
2012-03-16,2.49,2.69,2.46,2.55,43800,10.2,55.0086799023,1,2012
2012-03-19,2.5,2.6,2.47,2.54,71400,10.16,54.4558803204,1,2012
2012-03-20,2.6,2.63,2.53,2.58,50000,10.32,56.3456491957,1,2012
2012-03-21,2.6,2.6,2.56,2.56,27400,10.24,55.1142608058,1,2012
2012-03-22,2.56,2.61,2.52,2.59,38800,10.36,56.6448250143,1,2012
2012-03-23,2.58,2.65,2.58,2.65,27600,10.6,59.611153871,1,2012
2012-03-26,2.65,2.68,2.56,2.59,50200,10.36,55.5202923293,1,2012
2012-03-27,2.59,2.6,2.35,2.49,103500,9.96,49.4315834713,1,2012
2012-03-28,2.49,2.5,2.37,2.5,43300,10.0,50.0218367908,1,2012
2012-03-29,2.45,2.48,2.42,2.44,28600,9.76,46.5137046148,1,2012
2012-03-30,2.49,2.5,2.45,2.48,19100,9.92,49.0777028628,1,2012
2012-04-02,2.51,2.51,2.47,2.49,13200,9.96,49.7265443869,2,2012
2012-04-03,2.5,2.5,2.4,2.45,32400,9.8,47.1391814052,2,2012
2012-04-04,2.43,2.5,2.43,2.48,31600,9.92,49.2710993147,2,2012
2012-04-05,2.49,2.49,2.36,2.39,55900,9.56,43.5911916781,2,2012
2012-04-09,2.4,2.42,2.36,2.36,25000,9.44,41.8589795048,2,2012
2012-04-10,2.4,2.4,2.24,2.25,84900,9.0,36.1816192004,2,2012
2012-04-11,2.3,2.3,2.11,2.22,83500,8.88,34.7955197185,2,2012
2012-04-12,2.21,2.21,2.14,2.16,54000,8.64,32.1432884701,2,2012
2012-04-13,2.18,2.5,2.17,2.36,212100,9.44,46.7214797126,2,2012
2012-04-16,2.4,2.5,2.34,2.37,151100,9.48,47.3307675534,2,2012
