Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,58.240002,58.419998,57.849998,58.18,1953000,50.475475,,1,2012
2012-01-04,57.900002,57.959999,57.48,57.93,2738200,50.258581,,1,2012
2012-01-05,56.919998,57.48,56.759998,57.459999,2246300,49.85082,,1,2012
2012-01-06,57.369999,57.41,57.0,57.310001,1082400,49.720686,,1,2012
2012-01-09,57.119999,57.189999,56.720001,57.0,2222700,49.451737,,1,2012
2012-01-10,56.860001,57.09,56.82,56.93,2565400,49.391007,,1,2012
2012-01-11,56.150002,56.599998,55.849998,56.490002,3025600,49.009276,,1,2012
2012-01-12,56.560001,56.77,56.23,56.73,2347600,49.217492,,1,2012
2012-01-13,55.299999,55.889999,55.110001,55.799999,2445500,48.410647,,1,2012
2012-01-17,56.27,56.700001,56.139999,56.279999,1831100,48.827082,,1,2012
2012-01-18,56.880001,57.450001,56.740002,57.43,3793900,49.824794,,1,2012
2012-01-19,57.73,58.369999,57.48,58.330002,2804300,50.605612,,1,2012
2012-01-20,56.560001,56.630001,54.950001,55.110001,7461900,47.812022,,1,2012
2012-01-23,55.740002,55.75,55.290001,55.73,6531100,48.349917,,1,2012
2012-01-24,55.849998,56.119999,55.720001,55.869999,4032300,48.471377,37.6734156132,1,2012
2012-01-25,53.860001,55.259998,53.779999,55.209999,6052100,47.898778,35.0171593278,1,2012
2012-01-26,54.610001,55.119999,54.380001,54.799999,4476300,47.543073,33.4398274719,1,2012
2012-01-27,54.450001,54.66,54.299999,54.41,2630800,47.204719,31.9648646922,1,2012
2012-01-30,54.349998,54.43,54.150002,54.299999,2203100,47.109286,31.5422720311,1,2012
2012-01-31,54.52,54.540001,54.07,54.360001,2553500,47.161341,32.0698181294,1,2012
2012-02-01,55.389999,55.860001,55.110001,55.380001,3906200,48.046268,40.4685560471,1,2012
2012-02-02,55.650002,55.75,55.360001,55.66,2847500,48.289187,42.5677184686,1,2012
2012-02-03,55.720001,56.02,55.59,55.720001,2594600,48.341243,43.031304026,1,2012
2012-02-06,55.580002,56.290001,55.529999,56.060001,3837900,48.636218,45.7057085462,1,2012
2012-02-07,56.48,56.650002,56.220001,56.599998,2658400,49.104706,49.7412382505,1,2012
2012-02-08,56.330002,56.48,55.959999,56.150002,2235300,48.7143,46.6307976066,1,2012
2012-02-09,56.5,56.560001,56.240002,56.349998,2026100,48.887812,48.1817060201,1,2012
