Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-12-07,0.5,1.0001,0.5,0.8895,359900,0.8895,,4,2012
2012-12-10,0.85,1.166,0.85,1.03,115600,1.03,,4,2012
2012-12-11,1.1,1.8,1.1,1.5,401300,1.5,,4,2012
2012-12-12,1.6,1.6399,1.25,1.4,101800,1.4,,4,2012
2012-12-13,1.4,1.4,1.36,1.37,37200,1.37,,4,2012
2012-12-14,1.38,1.38,1.3,1.368,12000,1.368,,4,2012
2012-12-17,1.38,1.4,1.3,1.35,40000,1.35,,4,2012
2012-12-18,1.37,1.37,1.3,1.34,14100,1.34,,4,2012
2012-12-19,1.34,1.34,1.25,1.27,35900,1.27,,4,2012
2012-12-20,1.3,1.37,1.3,1.37,47300,1.37,,4,2012
2012-12-21,1.35,1.45,1.35,1.4,55000,1.4,,4,2012
2012-12-24,1.37,1.4,1.37,1.3801,21300,1.3801,,4,2012
2012-12-26,1.3699,1.4,1.3699,1.39,6900,1.39,,4,2012
2012-12-27,1.4,1.6,1.4,1.45,13900,1.45,,4,2012
2012-12-28,1.48,1.5,1.45,1.45,33900,1.45,76.4311987173,4,2012
2012-12-31,1.4692,1.4692,1.42,1.42,8700,1.42,74.1711783383,4,2012
2013-01-02,1.7,1.7,1.7,1.7,2000,1.7,80.0889405826,1,2013
2013-01-03,1.39,1.55,1.39,1.55,1800,1.55,70.7386026563,1,2013
2013-01-04,1.7,1.7,1.6,1.6,200,1.6,71.915620429,1,2013
2013-01-07,1.35,1.5,1.35,1.5,1800,1.5,66.1818349265,1,2013
2013-01-08,1.5,1.5,1.499,1.5,1300,1.5,66.1818349265,1,2013
2013-01-09,1.5,1.5,1.45,1.45,11200,1.45,63.2572264921,1,2013
2013-01-10,1.5,1.55,1.5,1.5,4800,1.5,64.9263723702,1,2013
2013-01-11,1.5,1.55,1.5,1.5465,68700,1.5465,66.4526993178,1,2013
2013-01-14,1.46,1.46,1.45,1.45,1000,1.45,60.5625033111,1,2013
2013-01-15,1.45,1.45,1.45,1.45,0,1.45,60.5625033111,1,2013
2013-01-16,1.454,1.4618,1.454,1.4601,900,1.4601,60.9823030639,1,2013
2013-01-17,1.4601,1.4601,1.4601,1.4601,0,1.4601,60.9823030639,1,2013
2013-01-18,1.55,1.55,1.5,1.5,2300,1.5,62.7967115023,1,2013
2013-01-22,1.6001,1.6001,1.6001,1.6001,400,1.6001,66.9491390888,1,2013
2013-01-23,1.6499,1.6499,1.6,1.6,2600,1.6,66.9411007891,1,2013
2013-01-24,1.66,1.664,1.66,1.664,2300,1.664,69.4677377116,1,2013
2013-01-25,1.66,1.6654,1.66,1.66,4000,1.66,69.1122096142,1,2013
2013-01-28,1.715,1.7163,1.66,1.69,28800,1.69,70.3383278457,1,2013
2013-01-29,1.7658,1.7658,1.66,1.66,18600,1.66,67.454679645,1,2013
2013-01-30,1.67,1.68,1.67,1.68,1200,1.68,68.3852171129,1,2013
2013-01-31,1.67,1.67,1.65,1.65,3900,1.65,65.3661407301,1,2013
2013-02-01,1.67,1.69,1.55,1.55,5400,1.55,56.4240414155,1,2013
2013-02-04,1.66,1.66,1.6,1.6,3200,1.6,59.4136948582,1,2013
2013-02-05,1.6,1.6,1.6,1.6,0,1.6,59.4136948582,1,2013
2013-02-06,1.65,1.65,1.55,1.617,2900,1.617,60.4827710687,1,2013
2013-02-07,1.617,1.617,1.617,1.617,0,1.617,60.4827710687,1,2013
2013-02-08,1.6,1.65,1.55,1.65,4600,1.65,62.6950024581,1,2013
2013-02-11,1.65,1.68,1.45,1.6,6100,1.6,57.447463483,1,2013
2013-02-12,1.6,1.6,1.5,1.5999,7800,1.5999,57.4371089623,1,2013
2013-02-13,1.6,1.6,1.6,1.6,800,1.6,57.445369164,1,2013
2013-02-14,1.45,1.6,1.45,1.5538,3000,1.5538,52.3870084942,1,2013
2013-02-15,1.55,1.55,1.5,1.5,4600,1.5,47.1773063769,1,2013
2013-02-19,1.65,1.65,1.6,1.6,17400,1.6,55.9467098109,1,2013
2013-02-20,1.6,1.6,1.6,1.6,0,1.6,55.9467098109,1,2013
2013-02-21,1.46,1.46,1.4499,1.45,10900,1.45,43.4096339017,1,2013
2013-02-22,1.43,1.5,1.4265,1.4965,4000,1.4965,47.3485642394,1,2013
2013-02-25,1.4,1.4,1.35,1.4,1500,1.4,40.974600756,1,2013
2013-02-26,1.4,1.4,1.4,1.4,200,1.4,40.974600756,1,2013
2013-02-27,1.6,1.6,1.6,1.6,1800,1.6,55.4045638798,1,2013
2013-02-28,0.65,1.6,0.65,1.59,2200,1.59,54.6847058458,1,2013
2013-03-01,1.5,1.5,1.5,1.5,6300,1.5,48.5684861727,1,2013
2013-03-04,1.55,1.55,1.5499,1.5499,1000,1.5499,51.7881721195,1,2013
2013-03-05,1.59,1.59,1.41,1.45,44300,1.45,45.6295942451,1,2013
2013-03-06,1.455,1.49,1.4101,1.4667,20300,1.4667,46.7691842787,1,2013
2013-03-07,1.6,1.65,1.41,1.41,41100,1.41,43.4400760348,1,2013
2013-03-08,1.5899,1.61,1.5,1.5,39900,1.5,49.5756168436,1,2013
2013-03-11,1.57,1.58,1.5,1.573,16100,1.573,53.9400929783,1,2013
2013-03-12,1.57,1.57,1.5,1.5001,4500,1.5001,49.3466478136,1,2013
2013-03-13,1.5,1.55,1.5,1.55,5100,1.55,52.3385785593,1,2013
2013-03-14,1.55,1.55,1.55,1.55,0,1.55,52.3385785593,1,2013
2013-03-15,1.55,1.55,1.55,1.55,200,1.55,52.3385785593,1,2013
2013-03-18,1.5,1.5463,1.5,1.54,3900,1.54,51.5760693548,1,2013
2013-03-19,1.52,1.54,1.52,1.54,10000,1.54,51.5760693548,1,2013
2013-03-20,1.53,1.55,1.53,1.55,2200,1.55,52.3806616883,1,2013
2013-03-21,1.58,1.58,1.58,1.58,1000,1.58,54.8066903984,1,2013
2013-03-22,1.65,1.65,1.58,1.65,11200,1.65,59.93568006,1,2013
2013-03-25,1.56,1.58,1.55,1.58,1000,1.58,53.4081364124,1,2013
2013-03-26,1.601,1.601,1.58,1.58,2000,1.58,53.4081364124,1,2013
2013-03-27,1.58,1.645,1.58,1.62,5900,1.62,56.5445943892,1,2013
2013-03-28,1.62,1.62,1.62,1.62,0,1.62,56.5445943892,1,2013
2013-04-01,1.62,1.65,1.62,1.65,10000,1.65,58.9483517151,2,2013
2013-04-02,1.6,1.6147,1.6,1.6,6500,1.6,53.6243042759,2,2013
2013-04-03,1.65,1.65,1.6499,1.6499,4000,1.6499,57.7276823586,2,2013
2013-04-04,1.6499,1.6499,1.6499,1.6499,0,1.6499,57.7276823586,2,2013
2013-04-05,1.6,1.6,1.6,1.6,1000,1.6,52.3551406705,2,2013
2013-04-08,1.65,1.75,1.65,1.75,18500,1.75,63.3861737178,2,2013
2013-04-09,2.0,2.0,1.84,1.9999,7700,1.9999,74.1317002665,2,2013
2013-04-10,2.1499,2.3,1.8,1.8,6000,1.8,59.1718030612,2,2013
2013-04-11,1.8,1.8,1.8,1.8,0,1.8,59.1718030612,2,2013
2013-04-12,1.8,1.8,1.8,1.8,0,1.8,59.1718030612,2,2013
2013-04-15,1.8,1.8,1.8,1.8,0,1.8,59.1718030612,2,2013
2013-04-16,2.0001,2.5,2.0,2.33,9100,2.33,76.2579622523,2,2013
2013-04-17,2.5,2.5,2.25,2.292,16500,2.292,73.8709729273,2,2013
2013-04-18,2.25,2.3,2.25,2.25,4600,2.25,71.2175723259,2,2013
2013-04-19,2.2,2.21,1.76,2.05,5200,2.05,60.1397151922,2,2013
2013-04-22,2.05,2.05,2.05,2.05,4200,2.05,60.1397151922,2,2013
2013-04-23,2.05,2.05,2.05,2.05,0,2.05,60.1397151922,2,2013
2013-04-24,2.05,2.05,2.05,2.05,0,2.05,60.1397151922,2,2013
2013-04-25,2.05,2.05,2.05,2.05,200,2.05,60.1397151922,2,2013
2013-04-26,2.05,2.05,2.05,2.05,0,2.05,60.1397151922,2,2013
2013-04-29,2.0001,2.0001,2.0001,2.0001,1000,2.0001,56.7066560676,2,2013
2013-04-30,2.0001,2.0001,2.0001,2.0001,0,2.0001,56.7066560676,2,2013
2013-05-01,2.0001,2.0001,2.0001,2.0001,0,2.0001,56.7066560676,2,2013
2013-05-02,2.1,2.1,2.1,2.1,200,2.1,62.1143668701,2,2013
2013-05-03,2.1,2.1,2.1,2.1,0,2.1,62.1143668701,2,2013
2013-05-06,2.1,2.1,2.1,2.1,1500,2.1,62.1143668701,2,2013
2013-05-07,2.25,2.25,1.93,2.08,4500,2.08,60.2331180959,2,2013
2013-05-08,2.09,2.1,2.09,2.1,400,2.1,61.4892096128,2,2013
2013-05-09,1.97,2.0,1.97,2.0,1100,2.0,52.5512659432,2,2013
2013-05-10,2.0,2.0,2.0,2.0,0,2.0,52.5512659432,2,2013
2013-05-13,2.35,2.35,2.35,2.35,1000,2.35,70.1586434426,2,2013
2013-05-14,2.35,2.35,2.35,2.35,0,2.35,70.1586434426,2,2013
2013-05-15,2.25,2.25,2.25,2.25,2000,2.25,62.4764110349,2,2013
2013-05-16,2.5,2.94,2.32,2.55,3400,2.55,72.2820067153,2,2013
2013-05-17,3.0,3.0,2.25,2.25,3200,2.25,56.407759338,2,2013
