Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.99988,2.99988,2.909883,2.909883,100,34.918601,,1,2012
2012-01-04,2.99988,2.99988,2.98988,2.98988,0,35.878565,,1,2012
2012-01-05,2.939882,2.99988,2.879885,2.979881,600,35.758567,,1,2012
2012-01-06,2.98988,2.99988,2.959882,2.99988,600,35.998559,,1,2012
2012-01-09,2.98988,3.149874,2.98988,2.98988,2800,35.878565,,1,2012
2012-01-10,3.159873,3.159873,2.939882,2.939882,200,35.278587,,1,2012
2012-01-11,2.979881,2.99988,2.849886,2.849886,200,34.198632,,1,2012
2012-01-12,2.899884,2.949882,2.879885,2.949882,2100,35.398585,,1,2012
2012-01-13,2.98988,3.039878,2.98988,3.019879,900,36.238551,,1,2012
2012-01-17,3.099876,3.449862,3.049878,3.319867,4000,39.838406,,1,2012
2012-01-18,3.319867,3.559858,3.24987,3.559858,800,42.718291,,1,2012
2012-01-19,3.579857,3.679853,3.179873,3.23987,1500,38.878445,,1,2012
2012-01-20,3.48986,3.49986,3.299868,3.419863,1000,41.038358,,1,2012
2012-01-23,3.359865,3.359865,3.299868,3.299868,400,39.598414,,1,2012
2012-01-24,3.349866,3.569857,3.349866,3.349866,500,40.198392,63.4146341463,1,2012
2012-01-25,3.319867,3.409863,3.189872,3.279869,0,39.358425,60.6278018976,1,2012
2012-01-26,3.329867,3.74985,3.329867,3.599856,600,43.198272,67.6308752051,1,2012
2012-01-27,3.699852,3.74985,3.439862,3.589856,700,43.078278,67.2284525521,1,2012
2012-01-30,3.729851,3.809848,3.589856,3.809848,700,45.718171,71.2776492225,1,2012
2012-01-31,3.929843,4.299828,3.49986,3.899844,900,46.798126,72.760427542,1,2012
2012-02-01,3.949842,4.039838,3.949842,4.039838,300,48.478059,74.9286551099,1,2012
2012-02-02,4.039838,4.039838,4.039838,4.039838,0,48.478059,74.9286551099,1,2012
2012-02-03,3.839846,4.069837,3.74985,4.009839,100,48.118073,73.4751778621,1,2012
2012-02-06,4.009839,4.009839,4.009839,4.009839,0,48.118073,73.4751778621,1,2012
2012-02-07,3.969841,4.029839,3.969841,3.99984,400,47.998079,72.9282883344,1,2012
2012-02-08,3.99984,4.149834,3.949842,4.049838,8800,48.598053,73.9714844114,1,2012
2012-02-09,4.129835,4.49982,3.959842,4.449822,4100,53.397864,80.4589438055,1,2012
2012-02-10,4.099836,4.449822,4.049838,4.359825,3400,52.317906,75.8764720782,1,2012
