Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-07-25,13.0,13.25,12.611,13.15,1877800,13.15,,3,2014
2014-07-28,13.05,13.25,12.8,12.84,292500,12.84,,3,2014
2014-07-29,12.85,13.0,12.56,12.9,103300,12.9,,3,2014
2014-07-30,13.0,13.07,12.81,12.94,80600,12.94,,3,2014
2014-07-31,12.94,13.09,11.9,12.86,154300,12.86,,3,2014
2014-08-01,12.99,13.329,12.87,13.04,132200,13.04,,3,2014
2014-08-04,13.0,13.0,12.7,12.76,59900,12.76,,3,2014
2014-08-05,12.75,12.75,12.59,12.66,18300,12.66,,3,2014
2014-08-06,12.65,12.88,12.62,12.64,26100,12.64,,3,2014
2014-08-07,12.67,12.88,12.2,12.71,43400,12.71,,3,2014
2014-08-08,12.71,13.04,12.7,12.95,35800,12.95,,3,2014
2014-08-11,13.0,13.33,12.7,13.33,38200,13.33,,3,2014
2014-08-12,13.3,15.249,13.07,14.69,168500,14.69,,3,2014
2014-08-13,14.71,15.0,14.244,14.4,42900,14.4,,3,2014
2014-08-14,14.44,14.49,13.8,14.31,139400,14.31,66.5714285714,3,2014
2014-08-15,14.232,14.49,13.8,14.02,10800,14.02,61.1178369653,3,2014
2014-08-18,14.28,14.41,13.82,14.33,25600,14.33,64.4686826279,3,2014
2014-08-19,14.72,14.85,14.02,14.57,119100,14.57,66.8505346048,3,2014
2014-08-20,14.5,15.2,14.377,14.97,115300,14.97,70.4107103019,3,2014
2014-08-21,15.03,16.33,14.964,15.8,74100,15.8,76.1375254493,3,2014
2014-08-22,15.68,15.97,14.92,15.39,75000,15.39,69.0301702959,3,2014
2014-08-25,14.9,15.9,14.9,15.9,43100,15.9,72.4724617415,3,2014
2014-08-26,15.9,16.200001,15.82,16.049999,69700,16.049999,73.4086268606,3,2014
2014-08-27,16.200001,16.85,16.200001,16.6,38600,16.6,76.5568202134,3,2014
2014-08-28,16.450001,16.969999,16.26,16.48,27200,16.48,74.4848150776,3,2014
2014-08-29,16.5,16.559999,16.0,16.469999,49200,16.469999,74.3043189606,3,2014
2014-09-02,16.9,16.9,15.41,15.71,109400,15.71,62.0073620271,3,2014
2014-09-03,15.7,16.389999,15.7,16.1,113500,16.1,65.1909176217,3,2014
2014-09-04,16.200001,16.32,15.17,15.91,95900,15.91,62.4456247566,3,2014
2014-09-05,16.360001,16.360001,15.5,15.92,84800,15.92,62.5350495267,3,2014
2014-09-08,15.81,16.0,15.61,15.71,39300,15.71,59.3395028014,3,2014
2014-09-09,15.65,16.495001,15.635,16.08,103500,16.08,62.9334444181,3,2014
2014-09-10,15.86,16.799999,15.347,16.1,59800,16.1,63.1231869404,3,2014
2014-09-11,15.99,16.719999,15.68,16.41,97000,16.41,66.026162782,3,2014
2014-09-12,16.219999,16.59,15.87,16.370001,150700,16.370001,65.3117430554,3,2014
2014-09-15,16.190001,16.459999,15.35,16.24,118400,16.24,62.9285070552,3,2014
2014-09-16,16.360001,16.4,15.49,15.78,155100,15.78,55.2464741281,3,2014
2014-09-17,15.7,16.32,15.525,16.030001,59200,16.030001,58.2308464773,3,2014
2014-09-18,16.08,16.33,15.53,15.74,47900,15.74,53.7529838977,3,2014
2014-09-19,15.68,15.995,14.58,14.58,183600,14.58,40.3777138039,3,2014
2014-09-22,14.81,15.13,13.86,13.97,121100,13.97,35.3906487222,3,2014
2014-09-23,13.91,14.85,13.81,14.28,115000,14.28,39.4814498554,3,2014
2014-09-24,14.28,15.8,14.12,15.59,65200,15.59,53.0187447215,3,2014
2014-09-25,15.61,15.7,14.64,14.94,62200,14.94,47.3581175784,3,2014
2014-09-26,15.3,15.35,14.89,14.98,55900,14.98,47.7279761953,3,2014
2014-09-29,14.96,15.75,14.6,14.77,76800,14.77,45.9044859447,3,2014
2014-09-30,14.97,15.6,14.55,14.97,676800,14.97,47.9443159163,3,2014
2014-10-01,15.01,15.43,13.69,13.97,59400,13.97,39.8525467657,4,2014
2014-10-02,14.03,14.71,13.86,14.09,56200,14.09,41.1364107831,4,2014
2014-10-03,14.21,15.49,14.21,14.97,60600,14.97,49.6278010797,4,2014
2014-10-06,15.04,15.6,14.23,14.53,46300,14.53,46.0507628632,4,2014
2014-10-07,14.41,15.03,13.99,14.01,46200,14.01,42.1812740867,4,2014
2014-10-08,14.02,14.69,13.996,14.48,41800,14.48,46.5526870522,4,2014
2014-10-09,14.7,15.09,14.08,14.28,65400,14.28,44.9937716787,4,2014
2014-10-10,14.27,14.71,14.13,14.26,43500,14.26,44.8320934701,4,2014
2014-10-13,14.28,14.86,14.0,14.53,76200,14.53,47.5710713419,4,2014
2014-10-14,14.58,14.73,13.74,13.82,44200,13.82,41.7071066095,4,2014
2014-10-15,13.69,14.02,13.225,13.99,105600,13.99,43.5028737935,4,2014
2014-10-16,13.51,14.48,13.3,14.39,56500,14.39,47.5937230777,4,2014
2014-10-17,14.49,14.49,13.22,13.57,34800,13.57,41.0342081659,4,2014
2014-10-20,13.57,14.42,13.56,14.3,46000,14.3,47.9162594176,4,2014
2014-10-21,14.31,14.61,13.71,13.86,104100,13.86,44.5418301813,4,2014
2014-10-22,13.84,14.12,13.55,13.62,37300,13.62,42.7724357783,4,2014
2014-10-23,13.58,13.76,13.0,13.47,60000,13.47,41.6585880131,4,2014
2014-10-24,13.5,13.88,13.06,13.44,74900,13.44,41.4262330369,4,2014
2014-10-27,13.62,13.88,13.23,13.64,47100,13.64,43.6814699301,4,2014
2014-10-28,14.12,14.38,13.74,14.33,25000,14.33,50.7296705472,4,2014
2014-10-29,14.29,15.074,14.004,14.9,92400,14.9,55.6656949652,4,2014
2014-10-30,14.89,15.12,14.29,15.09,162800,15.09,57.2047386418,4,2014
2014-10-31,15.46,15.46,15.04,15.27,39600,15.27,58.6685830616,4,2014
2014-11-03,15.2,15.44,15.2,15.39,20400,15.39,59.6592699523,4,2014
2014-11-04,15.02,15.29,14.88,15.2,29600,15.2,57.3166908279,4,2014
2014-11-05,15.28,15.29,14.74,14.98,32800,14.98,54.6412771729,4,2014
2014-11-06,14.76,15.6,14.7,15.51,67600,15.51,59.5409127946,4,2014
2014-11-07,15.54,15.6,15.37,15.53,33500,15.53,59.7177426432,4,2014
2014-11-10,15.52,15.59,15.122,15.57,43000,15.57,60.0934060012,4,2014
2014-11-11,15.6,15.84,15.34,15.81,41200,15.81,62.3614617182,4,2014
2014-11-12,15.65,16.02,15.01,16.0,113300,16.0,64.1009406318,4,2014
2014-11-13,16.0,16.98,15.77,16.700001,173000,16.700001,69.6635755158,4,2014
2014-11-14,16.75,17.0,16.440001,16.879999,78500,16.879999,70.9117320381,4,2014
2014-11-17,16.799999,17.5,16.360001,16.950001,179800,16.950001,71.40448588,4,2014
