Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-07-18,28.1,31.0,25.049999,27.18,4783700,27.18,,3,2013
2013-07-19,26.85,27.58,25.67,26.700001,537700,26.700001,,3,2013
2013-07-22,27.459999,28.299999,26.75,26.99,133200,26.99,,3,2013
2013-07-23,27.049999,27.950001,26.74,26.74,132200,26.74,,3,2013
2013-07-24,26.809999,27.5,23.209999,23.469999,377900,23.469999,,3,2013
2013-07-25,23.35,23.49,20.030001,20.129999,526400,20.129999,,3,2013
2013-07-26,20.41,20.41,18.57,19.309999,854900,19.309999,,3,2013
2013-07-29,19.870001,21.299999,19.700001,20.99,166000,20.99,,3,2013
2013-07-30,21.24,21.280001,19.5,20.139999,160400,20.139999,,3,2013
2013-07-31,20.34,21.0,19.76,20.18,107800,20.18,,3,2013
2013-08-01,20.73,20.73,19.200001,19.370001,125500,19.370001,,3,2013
2013-08-02,19.200001,20.530001,19.030001,20.530001,120800,20.530001,,3,2013
2013-08-05,20.440001,21.860001,20.08,21.85,93900,21.85,,3,2013
2013-08-06,21.17,21.799999,20.040001,20.17,108200,20.17,,3,2013
2013-08-07,20.5,20.52,19.52,20.01,63400,20.01,27.8018575851,3,2013
2013-08-08,20.639999,20.639999,19.780001,19.879999,83300,19.879999,27.5629202159,3,2013
2013-08-09,19.98,19.98,19.129999,19.84,73400,19.84,27.4846516054,3,2013
2013-08-12,20.129999,20.24,19.0,19.360001,207900,19.360001,26.511733245,3,2013
2013-08-13,19.299999,19.73,17.66,18.450001,234800,18.450001,24.7248139496,3,2013
2013-08-14,18.379999,19.1,18.379999,18.49,97900,18.49,24.9642158906,3,2013
2013-08-15,18.41,19.48,18.360001,18.889999,141200,18.889999,27.4491384498,3,2013
2013-08-16,19.190001,19.43,18.58,18.58,164900,18.58,26.7108630045,3,2013
2013-08-19,18.57,18.6,17.540001,17.73,119400,17.73,24.7455566837,3,2013
2013-08-20,17.5,17.9,16.25,16.690001,208600,16.690001,22.5585404463,3,2013
2013-08-21,16.639999,16.67,15.74,16.360001,194000,16.360001,21.8972236771,3,2013
2013-08-22,16.530001,17.08,16.530001,16.65,67200,16.65,24.0055964201,3,2013
2013-08-23,16.65,17.16,16.65,16.85,63800,16.85,25.4992832465,3,2013
2013-08-26,16.98,17.75,16.98,17.4,88700,17.4,29.5973972182,3,2013
2013-08-27,17.379999,17.379999,16.6,17.07,81400,17.07,28.5815118334,3,2013
2013-08-28,17.27,17.27,16.85,16.940001,43900,16.940001,28.1712993943,3,2013
2013-08-29,17.120001,17.23,16.6,17.01,35500,17.01,28.764168248,3,2013
2013-08-30,17.0,17.08,16.23,16.23,44900,16.23,26.1718816028,3,2013
