Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.96,4.1,3.96,4.0,26400,4.0,,1,2012
2012-01-04,3.99,4.04,3.97,3.99,35100,3.99,,1,2012
2012-01-05,3.97,4.04,3.96,4.02,22700,4.02,,1,2012
2012-01-06,4.05,4.13,4.01,4.1,22300,4.1,,1,2012
2012-01-09,4.11,4.63,4.0,4.47,64600,4.47,,1,2012
2012-01-10,4.69,6.0,4.54,5.49,248900,5.49,,1,2012
2012-01-11,5.61,5.61,5.29,5.45,54000,5.45,,1,2012
2012-01-12,5.5,5.71,5.5,5.61,25100,5.61,,1,2012
2012-01-13,5.66,5.66,5.35,5.53,50200,5.53,,1,2012
2012-01-17,5.5,6.22,5.5,5.69,87700,5.69,,1,2012
2012-01-18,5.74,5.8,5.62,5.79,27000,5.79,,1,2012
2012-01-19,5.7,5.75,5.53,5.72,19500,5.72,,1,2012
2012-01-20,5.52,5.67,5.46,5.59,15800,5.59,,1,2012
2012-01-23,5.59,5.59,5.06,5.21,56600,5.21,,1,2012
2012-01-24,5.22,5.64,5.18,5.56,37800,5.56,76.1744966443,1,2012
2012-01-25,5.73,5.8,5.64,5.67,17800,5.67,77.0854021847,1,2012
2012-01-26,5.7,5.7,5.52,5.7,33400,5.7,77.339854963,1,2012
2012-01-27,5.56,5.92,5.56,5.82,41400,5.82,78.3743054246,1,2012
2012-01-30,5.84,5.89,5.58,5.79,18600,5.79,77.4227365627,1,2012
2012-01-31,5.67,5.71,5.4,5.46,37700,5.46,67.6873853428,1,2012
2012-02-01,5.45,5.78,5.44,5.72,29800,5.72,70.8024924084,1,2012
2012-02-02,5.75,6.06,5.75,5.89,56200,5.89,72.6585148948,1,2012
2012-02-03,5.9,5.94,5.78,5.9,42000,5.9,72.7681753282,1,2012
2012-02-06,5.85,5.97,5.85,5.94,53900,5.94,73.2306734544,1,2012
2012-02-07,6.03,6.46,6.01,6.33,209200,6.33,77.2819634242,1,2012
2012-02-08,6.34,6.5,6.23,6.41,71200,6.41,78.0169082213,1,2012
2012-02-09,6.36,6.44,6.24,6.39,41300,6.39,77.3432631932,1,2012
2012-02-10,6.33,6.4,6.32,6.32,41100,6.32,74.9054059898,1,2012
2012-02-13,6.41,6.41,6.06,6.25,63400,6.25,72.4462484249,1,2012
2012-02-14,6.13,6.27,6.03,6.27,29600,6.27,72.7218016609,1,2012
2012-02-15,6.27,6.44,6.2,6.38,53200,6.38,74.2472442217,1,2012
2012-02-16,6.34,6.68,6.28,6.51,74700,6.51,75.9583608122,1,2012
2012-02-17,6.61,6.75,6.52,6.75,72500,6.75,78.7637110637,1,2012
2012-02-21,6.65,6.93,6.6,6.7,70800,6.7,76.7542982494,1,2012
2012-02-22,6.62,6.69,6.38,6.42,50000,6.42,66.5197982381,1,2012
2012-02-23,6.51,6.58,6.42,6.44,122200,6.44,66.859718278,1,2012
2012-02-24,6.49,6.49,6.24,6.25,50300,6.25,60.5683811569,1,2012
