Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,28.33,28.34,28.049999,28.08,809400,25.338197,,1,2012
2012-01-04,28.0,28.0,27.799999,27.85,594100,25.130656,,1,2012
2012-01-05,27.809999,27.889999,27.52,27.75,581700,25.040419,,1,2012
2012-01-06,27.85,28.040001,27.65,27.940001,634600,25.211868,,1,2012
2012-01-09,28.059999,28.09,27.59,27.59,584800,24.896042,,1,2012
2012-01-10,27.860001,27.9,27.67,27.73,531300,25.022372,,1,2012
2012-01-11,28.0,28.700001,27.969999,28.110001,655200,25.365269,,1,2012
2012-01-12,28.24,28.59,28.040001,28.540001,572200,25.753283,,1,2012
2012-01-13,28.200001,28.51,27.92,27.959999,490800,25.229914,,1,2012
2012-01-17,28.15,28.459999,27.700001,28.139999,478300,25.392338,,1,2012
2012-01-18,28.190001,28.559999,28.0,28.549999,504200,25.762305,,1,2012
2012-01-19,28.719999,29.51,28.65,29.469999,605400,26.592474,,1,2012
2012-01-20,29.49,29.83,29.42,29.709999,614800,26.809039,,1,2012
2012-01-23,29.83,29.85,29.43,29.51,330300,26.628569,,1,2012
2012-01-24,29.469999,30.370001,29.370001,30.15,481800,27.206077,70.7414731301,1,2012
2012-01-25,30.24,30.76,30.059999,30.75,435000,27.747492,74.0958026836,1,2012
2012-01-26,30.77,30.790001,30.25,30.379999,420600,27.413619,68.8535796388,1,2012
2012-01-27,30.290001,30.43,30.209999,30.379999,287700,27.413619,68.8535796388,1,2012
2012-01-30,30.08,30.51,29.9,30.379999,251800,27.413619,68.8535796388,1,2012
2012-01-31,30.620001,31.120001,30.370001,30.41,378900,27.44069,69.0751474033,1,2012
2012-02-01,30.74,31.139999,30.530001,31.01,427600,27.982105,73.1838567534,1,2012
2012-02-02,31.040001,31.040001,30.73,30.83,255500,27.81968,70.1717699188,1,2012
2012-02-03,31.370001,31.49,31.0,31.17,552700,28.126482,72.4761365803,1,2012
2012-02-06,31.18,31.469999,31.16,31.280001,280400,28.225742,73.197574498,1,2012
2012-02-07,30.790001,30.790001,29.4,30.02,1034000,27.088771,55.3130631029,1,2012
2012-02-08,29.809999,30.24,29.59,29.940001,596500,27.016583,54.4041698435,1,2012
2012-02-09,30.08,30.17,29.51,29.85,373500,26.93537,53.3422260379,1,2012
2012-02-10,29.639999,29.99,29.559999,29.82,246200,26.908299,52.971057276,1,2012
2012-02-13,30.0,30.51,29.84,30.389999,457800,27.422643,58.8323146819,1,2012
2012-02-14,30.35,30.49,29.889999,30.09,303400,27.151936,54.9505591008,1,2012
2012-02-15,30.309999,30.42,29.700001,29.75,426200,26.845134,50.8552086205,1,2012
2012-02-16,29.83,30.6,29.75,30.6,462200,27.612139,59.0682492612,1,2012
2012-02-17,30.74,30.99,30.530001,30.68,412100,27.684327,59.7500281589,1,2012
2012-02-21,30.66,30.74,30.25,30.49,393300,27.512879,57.3085397128,1,2012
2012-02-22,30.48,30.530001,30.0,30.030001,288500,27.097795,51.7908433762,1,2012
2012-02-23,30.1,30.5,30.1,30.43,344400,27.458738,55.7780071706,1,2012
2012-02-24,30.559999,30.809999,30.389999,30.620001,210100,27.630186,57.5729707837,1,2012
2012-02-27,30.459999,30.620001,30.0,30.4,246500,27.431666,54.7993366867,1,2012
2012-02-28,30.48,30.65,30.209999,30.450001,277700,27.476785,55.3261104982,1,2012
2012-02-29,30.58,30.65,29.959999,29.959999,490600,27.034629,49.2666601616,1,2012
2012-03-01,30.27,30.34,29.690001,29.799999,473900,26.890252,47.4396063396,1,2012
2012-03-02,29.83,29.91,29.18,29.209999,514600,26.357861,41.3499769072,1,2012
2012-03-05,29.209999,29.49,28.950001,29.41,356800,26.538333,43.9753599364,1,2012
2012-03-06,29.1,29.4,28.940001,29.02,487700,26.186414,40.1967425904,1,2012
2012-03-07,29.15,29.299999,28.889999,29.209999,425500,26.357861,42.7764483827,1,2012
2012-03-08,29.440001,29.83,29.139999,29.77,361800,26.863182,49.667925376,1,2012
2012-03-09,29.780001,30.540001,29.74,30.27,411800,27.314361,54.8914385315,1,2012
2012-03-12,30.280001,30.41,29.98,30.1,267700,27.16096,52.8819331188,1,2012
2012-03-13,30.049999,30.200001,29.809999,30.200001,536200,27.45184,56.159351547,1,2012
2012-03-14,30.209999,30.290001,30.0,30.209999,371100,27.460928,56.2617150917,1,2012
2012-03-15,30.23,30.48,29.91,30.469999,285300,27.697269,58.9462938553,1,2012
2012-03-16,30.5,30.77,30.139999,30.16,577000,27.415479,54.6400678183,1,2012
2012-03-19,30.139999,30.65,30.01,30.43,330200,27.66091,57.5488945016,1,2012
2012-03-20,30.200001,30.360001,30.110001,30.26,273700,27.506379,55.1507901913,1,2012
2012-03-21,30.389999,30.469999,30.0,30.309999,360800,27.551829,55.7350340749,1,2012
2012-03-22,30.01,30.17,29.620001,29.91,312700,27.188228,50.1109956951,1,2012
2012-03-23,29.99,30.07,29.629999,30.049999,294600,27.315488,51.9389478011,1,2012
2012-03-26,30.42,30.870001,30.26,30.65,696900,27.860889,58.8908981149,1,2012
2012-03-27,30.68,30.879999,30.440001,30.440001,419700,27.67,55.8461173599,1,2012
2012-03-28,30.42,30.5,30.040001,30.16,564600,27.415479,51.9866523995,1,2012
2012-03-29,30.08,30.48,30.030001,30.32,441100,27.560919,53.9452857196,1,2012
2012-03-30,30.57,30.620001,30.219999,30.41,480600,27.642729,55.0559194567,1,2012
2012-04-02,30.41,30.75,30.190001,30.540001,441600,27.7609,56.680962141,2,2012
2012-04-03,30.450001,30.639999,30.110001,30.33,301300,27.570009,53.3267057603,2,2012
2012-04-04,30.07,30.07,29.639999,29.809999,370400,27.097328,46.0583700019,2,2012
2012-04-05,29.639999,29.77,29.559999,29.700001,250100,26.997339,44.6713334554,2,2012
2012-04-09,29.280001,29.450001,29.17,29.280001,273600,26.615558,39.7491887326,2,2012
2012-04-10,29.280001,29.290001,28.790001,28.790001,432800,26.170148,34.9155451377,2,2012
2012-04-11,29.08,29.1,28.9,29.07,295200,26.424667,39.4468960329,2,2012
2012-04-12,29.120001,29.17,28.92,29.049999,640500,26.406487,39.2367593333,2,2012
2012-04-13,29.0,29.040001,28.559999,28.709999,358600,26.097426,35.7501597903,2,2012
2012-04-16,28.82,29.120001,28.51,28.82,631000,26.197417,37.6796397967,2,2012
2012-04-17,28.969999,29.719999,28.93,29.66,702400,26.960978,50.0223736929,2,2012
2012-04-18,29.66,29.780001,29.530001,29.610001,768300,26.915529,49.3952804175,2,2012
2012-04-19,29.75,30.040001,29.540001,29.68,505200,26.979159,50.3340284873,2,2012
2012-04-20,29.9,30.049999,29.68,29.74,512900,27.033698,51.1701574915,2,2012
2012-04-23,29.469999,29.469999,29.049999,29.25,348900,26.588288,44.5707920067,2,2012
2012-04-24,28.82,29.950001,28.379999,29.0,1545000,26.361037,41.6213991383,2,2012
2012-04-25,29.24,29.389999,28.889999,28.940001,904800,26.306498,40.9215246996,2,2012
2012-04-26,28.950001,29.389999,28.73,29.27,453300,26.606468,46.2727518876,2,2012
2012-04-27,29.450001,29.450001,29.07,29.290001,699500,26.624649,46.5885308996,2,2012
2012-04-30,29.219999,29.459999,29.16,29.24,385200,26.579198,45.8628263605,2,2012
2012-05-01,29.290001,29.49,28.959999,29.049999,513800,26.406487,43.114517172,2,2012
2012-05-02,28.92,29.18,28.77,29.030001,1137300,26.388308,42.8236310927,2,2012
2012-05-03,29.07,29.1,28.700001,28.75,816000,26.133787,38.8695362271,2,2012
2012-05-04,28.629999,28.73,28.34,28.5,613200,25.906537,35.6999929892,2,2012
2012-05-07,28.450001,28.639999,28.25,28.610001,407400,26.006527,38.0920477657,2,2012
2012-05-08,28.4,28.76,28.32,28.719999,797000,26.106516,40.4767126082,2,2012
2012-05-09,28.41,28.879999,28.34,28.67,401200,26.061067,39.7276289099,2,2012
2012-05-10,28.9,28.93,28.559999,28.690001,401100,26.079248,40.2043592094,2,2012
2012-05-11,28.58,28.84,28.43,28.82,515000,26.197417,43.3411989788,2,2012
2012-05-14,28.530001,28.540001,28.1,28.41,455300,25.824727,36.7866615122,2,2012
2012-05-15,28.309999,28.620001,28.200001,28.370001,395400,25.788367,36.2112931454,2,2012
2012-05-16,28.51,28.57,28.25,28.299999,410100,25.724736,35.1744513526,2,2012
2012-05-17,28.280001,28.360001,27.940001,27.950001,485800,25.406587,30.4758295143,2,2012
2012-05-18,27.9,28.059999,27.57,27.639999,455800,25.124795,27.0315605409,2,2012
2012-05-21,27.66,28.190001,27.450001,28.08,488200,25.524756,37.7799954776,2,2012
2012-05-22,28.18,28.209999,27.629999,27.74,472900,25.215696,33.6546096748,2,2012
2012-05-23,27.549999,27.77,27.370001,27.68,539000,25.161156,32.9704081955,2,2012
2012-05-24,27.780001,27.99,27.559999,27.959999,427600,25.415675,39.1840563607,2,2012
2012-05-25,28.030001,28.030001,27.74,27.93,674300,25.388406,38.7693862838,2,2012
2012-05-29,28.15,28.219999,27.780001,28.139999,364800,25.579296,43.2934159176,2,2012
2012-05-30,27.99,28.26,27.84,28.16,517500,25.597476,43.7199041389,2,2012
2012-05-31,28.24,28.68,28.030001,28.469999,591400,25.879266,49.9973497631,2,2012
2012-06-01,28.09,28.52,27.84,28.33,784800,25.752006,47.4246826794,2,2012
2012-06-04,28.41,28.76,28.27,28.629999,803200,26.024706,53.0050834615,2,2012
2012-06-05,28.469999,28.65,28.33,28.559999,695600,25.961076,51.628092664,2,2012
2012-06-06,28.700001,28.889999,28.48,28.719999,816600,26.106516,54.5354161802,2,2012
2012-06-07,28.91,29.07,28.540001,28.68,516800,26.070157,53.6670151345,2,2012
2012-06-08,28.66,28.870001,28.58,28.870001,431500,26.242868,57.1569315512,2,2012
