Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.25,0.3,0.25,0.29,900,5.8,,1,2012
2012-01-04,0.29,0.29,0.25,0.25,1700,5.0,,1,2012
2012-01-05,0.24,0.28,0.23,0.25,300,5.0,,1,2012
2012-01-06,0.25,0.25,0.23,0.25,200,5.0,,1,2012
2012-01-09,0.27,0.27,0.25,0.25,600,5.0,,1,2012
2012-01-10,0.25,0.35,0.25,0.28,1000,5.6,,1,2012
2012-01-11,0.25,0.25,0.25,0.25,1400,5.0,,1,2012
2012-01-12,0.29,0.3,0.23,0.23,700,4.6,,1,2012
2012-01-13,0.23,0.26,0.23,0.24,400,4.8,,1,2012
2012-01-17,0.24,0.27,0.23,0.26,1200,5.2,,1,2012
2012-01-18,0.23,0.4,0.23,0.4,6800,8.0,,1,2012
2012-01-19,0.4,0.4,0.32,0.39,5100,7.8,,1,2012
2012-01-20,0.39,0.39,0.36,0.38,1800,7.6,,1,2012
2012-01-23,0.38,0.42,0.35,0.38,3000,7.6,,1,2012
2012-01-24,0.38,0.45,0.38,0.4,2400,8.0,66.6666666667,1,2012
2012-01-25,0.45,0.45,0.4,0.41,1000,8.2,67.7200902935,1,2012
2012-01-26,0.37,0.54,0.37,0.48,5800,9.600001,73.9307285862,1,2012
2012-01-27,0.48,0.65,0.48,0.62,2800,12.4,81.56865124,1,2012
2012-01-30,0.65,0.75,0.65,0.72,8000,14.4,84.9585891216,1,2012
2012-01-31,0.73,0.81,0.72,0.76,8500,15.2,86.062806617,1,2012
2012-02-01,1.0,1.0,0.64,0.7,5100,14.0,76.9387660362,1,2012
2012-02-02,0.7,0.76,0.6,0.65,5900,13.0,70.2545623812,1,2012
2012-02-03,0.64,0.64,0.51,0.63,1600,12.600001,67.7202137007,1,2012
2012-02-06,0.64,0.65,0.57,0.64,400,12.8,68.3352788261,1,2012
2012-02-07,0.63,0.63,0.52,0.63,400,12.600001,66.961241184,1,2012
2012-02-08,0.55,0.65,0.55,0.65,700,13.0,68.332693009,1,2012
2012-02-09,0.6,0.69,0.56,0.69,1500,13.8,70.931616415,1,2012
2012-02-10,0.69,0.76,0.57,0.75,900,15.0,74.334229703,1,2012
2012-02-13,0.79,0.79,0.65,0.7,2200,14.0,67.2677656944,1,2012
2012-02-14,0.7,0.78,0.7,0.72,12800,14.4,68.555432802,1,2012
2012-02-15,0.72,0.78,0.67,0.72,11300,14.4,68.555432802,1,2012
2012-02-16,0.69,0.77,0.69,0.74,4500,14.8,69.9274742254,1,2012
2012-02-17,0.75,0.77,0.69,0.76,6100,15.2,71.2771629496,1,2012
2012-02-21,0.76,0.79,0.7,0.73,4300,14.600001,66.4588836151,1,2012
2012-02-22,0.7,0.73,0.6,0.7,4300,14.0,61.9490322725,1,2012
2012-02-23,0.7,0.71,0.65,0.7,3600,14.0,61.9490322725,1,2012
2012-02-24,0.7,0.76,0.7,0.76,700,15.2,67.1237853425,1,2012
2012-02-27,0.76,0.76,0.64,0.76,1300,15.2,67.1237853425,1,2012
2012-02-28,0.74,0.78,0.7,0.74,4900,14.8,63.7710769044,1,2012
2012-02-29,0.74,0.76,0.71,0.76,3200,15.2,65.6203679036,1,2012
2012-03-01,0.74,0.75,0.7,0.7,3300,14.0,56.3306866223,1,2012
2012-03-02,0.73,0.73,0.63,0.72,2400,14.4,58.4425900463,1,2012
2012-03-05,0.7,0.72,0.67,0.69,1700,13.8,54.2077680583,1,2012
2012-03-06,0.78,0.78,0.64,0.69,9500,13.8,54.2077680583,1,2012
2012-03-07,0.75,0.79,0.6,0.65,17000,13.0,48.7457790292,1,2012
2012-03-08,0.65,0.68,0.58,0.68,13400,13.600001,52.6031010443,1,2012
