Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-02-14,1.65,1.65,1.5,1.65,14300,1.65,,1,2012
2012-02-15,1.65,1.65,1.39,1.65,19900,1.65,,1,2012
2012-02-16,1.65,1.65,1.45,1.45,9100,1.45,,1,2012
2012-02-17,1.55,1.55,1.55,1.55,1300,1.55,,1,2012
2012-02-21,1.55,1.55,1.45,1.5,9000,1.5,,1,2012
2012-02-22,1.55,1.55,1.5,1.5,3900,1.5,,1,2012
2012-02-23,1.5,1.55,1.5,1.5,4000,1.5,,1,2012
2012-02-24,1.5,1.51,1.24,1.24,527900,1.24,,1,2012
2012-02-27,1.44,1.65,1.44,1.65,126300,1.65,,1,2012
2012-02-28,1.65,1.7,1.65,1.68,38800,1.68,,1,2012
2012-02-29,1.7,1.75,1.7,1.75,63900,1.75,,1,2012
2012-03-01,1.75,1.75,1.75,1.75,111700,1.75,,1,2012
2012-03-02,1.75,1.8,1.75,1.8,41100,1.8,,1,2012
2012-03-05,1.8,1.8,1.77,1.77,13600,1.77,,1,2012
2012-03-06,1.8,1.8,1.77,1.79,19700,1.79,55.737704918,1,2012
2012-03-07,1.79,1.8,1.79,1.8,33100,1.8,56.125,1,2012
2012-03-08,1.8,1.8,1.8,1.8,17900,1.8,56.125,1,2012
2012-03-09,1.8,1.9,1.8,1.9,265100,1.9,60.1672038678,1,2012
2012-03-12,1.9,2.05,1.9,2.05,255700,2.05,65.3273713176,1,2012
2012-03-13,2.05,2.25,2.05,2.23,480500,2.23,70.2996013208,1,2012
2012-03-14,2.25,2.35,2.23,2.35,305600,2.35,73.0720363526,1,2012
2012-03-15,2.37,2.55,2.35,2.55,341000,2.55,76.9362600873,1,2012
2012-03-16,2.6,2.65,2.55,2.63,164500,2.63,78.2789747937,1,2012
2012-03-19,2.65,2.65,2.4,2.4,101500,2.4,66.3240328397,1,2012
2012-03-20,2.42,2.45,1.95,2.31,220300,2.31,62.3136581831,1,2012
2012-03-21,2.35,2.45,2.2,2.25,64500,2.25,59.7210614823,1,2012
2012-03-22,2.4,2.45,2.3,2.31,189600,2.31,61.4484051373,1,2012
2012-03-23,2.41,2.41,2.25,2.36,129800,2.36,62.8771208499,1,2012
2012-03-26,2.41,2.5,2.41,2.5,143000,2.5,66.6085984168,1,2012
2012-03-27,2.5,2.52,2.45,2.47,152400,2.47,65.0985583976,1,2012
2012-03-28,2.47,2.52,2.45,2.45,35500,2.45,64.0559739905,1,2012
2012-03-29,2.4,2.52,2.4,2.5,63600,2.5,65.5417645031,1,2012
2012-03-30,2.52,2.52,2.45,2.47,102100,2.47,63.8367137279,1,2012
2012-04-02,2.52,2.74,2.5,2.74,270600,2.74,71.1188775934,2,2012
2012-04-03,2.74,2.75,2.7,2.7,107100,2.7,68.9051451966,2,2012
2012-04-04,2.77,2.77,2.7,2.73,113500,2.73,69.6677350363,2,2012
2012-04-05,2.77,2.77,2.74,2.75,73700,2.75,70.1925672438,2,2012
2012-04-09,2.77,2.77,2.4,2.5,218900,2.5,56.9318842846,2,2012
2012-04-10,2.5,2.77,2.4,2.42,39400,2.42,53.4519354231,2,2012
2012-04-11,2.5,2.64,2.4,2.58,27700,2.58,58.8672063559,2,2012
2012-04-12,2.58,2.58,2.4,2.49,35700,2.49,54.9917461498,2,2012
2012-04-13,2.53,2.53,2.4,2.4,22700,2.4,51.3510544397,2,2012
