Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-09-25,23.059999,26.92,23.0,26.299999,7522000,26.299999,,3,2013
2013-09-26,26.1,28.99,25.52,28.26,740700,28.26,,3,2013
2013-09-27,29.540001,31.99,26.610001,29.18,486300,29.18,,3,2013
2013-09-30,29.0,30.6,28.17,29.709999,243300,29.709999,,3,2013
2013-10-01,29.74,30.940001,29.08,29.809999,321700,29.809999,,4,2013
2013-10-02,29.5,32.75,29.5,32.740002,322400,32.740002,,4,2013
2013-10-03,33.650002,34.75,32.75,33.240002,392600,33.240002,,4,2013
2013-10-04,33.93,36.0,33.299999,34.59,293000,34.59,,4,2013
2013-10-07,34.970001,35.630001,30.75,30.98,305100,30.98,,4,2013
2013-10-08,30.5,30.860001,29.049999,29.059999,189600,29.059999,,4,2013
2013-10-09,28.98,28.98,25.77,28.219999,422900,28.219999,,4,2013
2013-10-10,28.5,29.75,26.0,27.379999,462100,27.379999,,4,2013
2013-10-11,26.799999,27.969999,26.530001,27.629999,300700,27.629999,,4,2013
2013-10-14,27.24,27.969999,27.1,27.809999,73400,27.809999,,4,2013
2013-10-15,28.0,28.23,27.25,27.59,68300,27.59,53.9938108982,4,2013
2013-10-16,27.969999,29.049999,27.110001,29.0,117400,29.0,57.9476709769,4,2013
2013-10-17,29.25,29.25,28.08,28.75,156400,28.75,57.0120980652,4,2013
2013-10-18,28.67,30.26,28.559999,29.25,49600,29.25,58.4567293555,4,2013
2013-10-21,31.32,32.950001,30.280001,32.669998,784700,32.669998,66.6999387394,4,2013
2013-10-22,34.25,34.25,32.0,33.080002,269500,33.080002,67.5317064095,4,2013
2013-10-23,33.619999,34.349998,32.16,33.27,138700,33.27,67.9314503972,4,2013
2013-10-24,33.09,36.599998,33.09,34.93,314400,34.93,71.2606728457,4,2013
2013-10-25,34.91,34.93,33.080002,34.0,288100,34.0,67.0602937209,4,2013
2013-10-28,35.240002,35.75,33.189999,34.369999,98000,34.369999,67.8716822146,4,2013
2013-10-29,34.23,36.360001,33.549999,34.009998,98600,34.009998,66.1639553037,4,2013
2013-10-30,34.310001,34.490002,33.139999,33.75,130800,33.75,64.8940088892,4,2013
2013-10-31,33.880001,34.0,31.52,33.52,164000,33.52,63.7286988173,4,2013
2013-11-01,33.209999,34.0,31.65,32.349998,194100,32.349998,58.0209460471,4,2013
2013-11-04,32.130001,32.740002,29.75,31.34,339300,31.34,53.5613055597,4,2013
2013-11-05,30.98,32.200001,29.75,30.5,117700,30.5,50.1114904541,4,2013
2013-11-06,31.940001,31.940001,28.02,28.719999,253000,28.719999,43.6897871349,4,2013
2013-11-07,28.530001,28.530001,26.139999,27.0,257600,27.0,38.5491144266,4,2013
2013-11-08,27.35,28.540001,26.799999,27.5,91800,27.5,40.7322706196,4,2013
2013-11-11,27.57,29.370001,27.0,28.52,61400,28.52,45.0231963672,4,2013
2013-11-12,28.620001,31.200001,26.02,26.49,178400,26.49,38.9753194617,4,2013
2013-11-13,26.5,26.75,23.299999,26.0,632400,26.0,37.6602913988,4,2013
2013-11-14,26.0,27.219999,23.6,24.639999,310600,24.639999,34.2102131262,4,2013
2013-11-15,24.66,25.200001,23.25,23.690001,208300,23.690001,32.004616702,4,2013
2013-11-18,23.84,24.610001,22.610001,24.49,189700,24.49,35.7605961538,4,2013
2013-11-19,25.16,25.49,23.549999,23.879999,99500,23.879999,34.2088931866,4,2013
2013-11-20,23.9,25.799999,23.440001,24.620001,451300,24.620001,37.7383778709,4,2013
2013-11-21,24.629999,25.43,23.540001,24.68,134800,24.68,38.0286669843,4,2013
2013-11-22,24.65,26.27,23.66,25.469999,70800,25.469999,41.8716256051,4,2013
2013-11-25,25.389999,25.841999,25.16,25.620001,16000,25.620001,42.5994822834,4,2013
2013-11-26,25.700001,27.360001,25.700001,27.09,100500,27.09,49.2994817082,4,2013
2013-11-27,27.290001,27.75,26.41,26.65,92000,26.65,47.5118374317,4,2013
2013-11-29,26.799999,28.58,26.799999,28.25,86600,28.25,54.0384180515,4,2013
2013-12-02,28.25,29.6,28.09,28.41,104600,28.41,54.6457512178,4,2013
2013-12-03,28.139999,28.42,26.049999,26.969999,74800,26.969999,48.4416553492,4,2013
2013-12-04,27.0,28.91,26.540001,28.09,124400,28.09,52.9188828147,4,2013
2013-12-05,28.32,29.870001,28.23,28.91,125900,28.91,55.9358833522,4,2013
2013-12-06,29.110001,31.93,28.99,30.0,201300,30.0,59.6383790012,4,2013
2013-12-09,30.799999,31.360001,29.59,29.809999,151700,29.809999,58.712290306,4,2013
2013-12-10,29.799999,30.190001,28.33,28.51,135400,28.51,52.6842098763,4,2013
2013-12-11,28.4,29.610001,27.77,28.780001,87600,28.780001,53.7464008016,4,2013
2013-12-12,28.620001,30.219999,28.139999,29.68,81700,29.68,57.1958055427,4,2013
2013-12-13,29.889999,31.110001,29.74,30.889999,128600,30.889999,61.3672105509,4,2013
2013-12-16,30.93,33.419998,30.93,32.23,310200,32.23,65.3897935531,4,2013
2013-12-17,32.240002,32.580002,31.0,32.0,225200,32.0,64.1550209217,4,2013
2013-12-18,32.09,32.09,30.41,31.629999,242700,31.629999,62.1227235234,4,2013
2013-12-19,31.690001,32.490002,31.16,32.110001,152700,32.110001,63.7280109864,4,2013
2013-12-20,32.09,32.259998,30.0,31.02,1598900,31.02,57.7432872588,4,2013
2013-12-23,31.58,33.34,30.99,32.700001,175500,32.700001,63.4418493918,4,2013
